,open,high,low,close,volume,value
2026-05-15 21:00:00,92.6,92.6,92.5,92.6,28574.31202995,2644956.07428212
2026-05-15 21:15:00,92.6,92.6,92.6,92.6,18769.72645501,1738076.66973393
2026-05-15 21:30:00,92.6,92.6,92.2,92.5,204370.27014085,18896944.91513543
2026-05-15 21:45:00,92.5,92.5,92.2,92.2,3094.30665162,285795.13171593
2026-05-15 22:00:00,92.2,92.2,91.8,91.9,199881.09853241,18391762.42801421
2026-05-15 22:15:00,91.8,92.2,91.8,91.8,16165.7850065,1485591.14158226
2026-05-15 22:30:00,91.9,91.9,90.3,90.3,632519.28166924,57463516.78871008
2026-05-15 22:45:00,90.3,90.6,89.5,89.5,802250.85217797,72167366.63162267
2026-05-15 23:00:00,89.4,89.8,89.1,89.8,310976.1486157,27846369.14438345
2026-05-15 23:15:00,89.8,90.1,89.5,89.8,44729.74489924,4012767.74908871
2026-05-15 23:30:00,89.8,90.0,89.4,89.4,230167.86274269,20598526.28710629
2026-05-15 23:45:00,89.4,90.0,89.3,90.0,155715.48909597,13925039.14678196
2026-05-16 00:00:00,89.7,90.1,89.7,89.8,99241.19941364,8927072.46091066
2026-05-16 00:15:00,89.9,89.9,89.7,89.8,244642.76887382,21983120.18966161
2026-05-16 00:30:00,90.0,90.0,90.0,90.0,4878.24499999,439042.0499991
2026-05-16 00:45:00,90.1,90.2,90.0,90.0,23925.31650294,2154849.07545892
2026-05-16 01:00:00,90.3,90.4,90.3,90.4,6529.3061164,590227.00979256
2026-05-16 01:15:00,90.4,90.5,90.4,90.5,6369.73420574,576153.21431418
2026-05-16 01:30:00,90.7,91.0,90.5,90.9,21842.31287066,1977047.95019901
2026-05-16 01:45:00,90.6,91.0,90.4,90.9,23629.0558697,2140844.21010779
2026-05-16 02:00:00,90.7,91.1,90.6,91.1,15491.28644861,1404983.11370062
2026-05-16 02:30:00,91.1,91.3,91.1,91.3,14887.69143304,1356576.89586286
2026-05-16 02:45:00,91.4,91.5,91.4,91.5,17948.65093803,1640512.89922594
2026-05-16 03:00:00,91.7,92.0,91.6,92.0,85025.34572022,7808506.83981724
2026-05-16 03:15:00,91.7,92.3,91.5,91.8,82005.17984251,7518454.35736534
2026-05-16 03:30:00,91.8,91.9,91.6,91.6,62198.88202704,5704718.41993315
2026-05-16 04:00:00,91.6,91.6,91.5,91.6,69567.51352539,6372363.5490768
2026-05-16 04:15:00,91.4,91.4,91.4,91.4,1684.02301547,153919.70361396
2026-05-16 04:30:00,91.4,91.4,91.4,91.4,1728.11293359,157949.52213013
2026-05-16 04:45:00,91.3,91.3,91.0,91.2,13210.07041829,1203096.57024484
2026-05-16 05:00:00,91.2,91.2,91.2,91.2,7015.95474192,639855.0724631
2026-05-16 05:15:00,90.9,90.9,90.9,90.9,29491.04449854,2680735.94491729
2026-05-16 05:30:00,91.2,91.2,91.2,91.2,7745.43859649,706383.99999989
2026-05-16 05:45:00,90.9,91.1,90.9,91.1,16849.48660908,1533920.69030077
2026-05-16 06:00:00,91.1,91.1,91.1,91.1,95812.9021011,8728555.38141021
2026-05-16 06:15:00,91.1,91.2,91.0,91.0,42101.65264192,3834927.42990694
2026-05-16 06:30:00,91.2,91.2,91.2,91.2,71.39561867,6511.2804227
2026-05-16 07:00:00,91.1,91.3,91.0,91.0,313.976092,28603.32272546
