,open,high,low,close,volume,value
2026-05-07 10:30:00,23.9,23.9,23.7,23.7,557883.37755878,13254570.52601823
2026-05-07 10:45:00,23.9,23.9,23.9,23.9,2303.04916192,55042.87496989
2026-05-07 11:00:00,23.8,23.8,23.7,23.8,157806.45190899,3740658.80340777
2026-05-07 11:15:00,23.8,23.8,23.8,23.8,1465.60722194,34881.45188217
2026-05-07 11:45:00,23.9,23.9,23.7,23.8,70746.63587796,1685373.42273372
2026-05-07 12:00:00,23.8,23.8,23.8,23.8,37780.32091246,899171.63771655
2026-05-07 12:45:00,23.8,23.8,23.8,23.8,29103.89343143,692672.66366803
2026-05-07 13:00:00,23.7,23.7,23.6,23.7,1034141.4455745,24424343.64005915
2026-05-07 13:15:00,23.7,23.7,23.7,23.7,22628.10068824,536285.98631129
2026-05-07 13:30:00,23.6,23.6,23.6,23.6,8090.78793936,190942.5953689
2026-05-07 13:45:00,23.7,23.7,23.6,23.7,44470.76823233,1049573.43408045
2026-05-07 14:00:00,23.7,23.7,23.6,23.7,45722.9211762,1079534.86265051
2026-05-07 14:15:00,23.6,23.7,23.6,23.7,352155.17469555,8312179.33519979
2026-05-07 14:30:00,23.7,23.7,23.7,23.7,33918.94332381,803878.9567743
2026-05-07 14:45:00,23.7,23.7,23.5,23.5,430340.61389429,10120086.21526455
2026-05-07 15:00:00,23.6,23.7,23.6,23.7,106400.36609545,2521206.845562
2026-05-07 15:15:00,23.7,23.7,23.7,23.7,215.18987341,5099.99999982
2026-05-07 15:30:00,23.7,23.7,23.7,23.7,26927.80590717,638188.99999993
2026-05-07 16:15:00,23.7,23.7,23.7,23.7,844.05063288,20003.99999926
2026-05-07 16:30:00,23.7,23.8,23.6,23.6,818923.95158559,19403819.9588394
2026-05-07 16:45:00,23.8,23.8,23.8,23.8,4762.60955621,113350.1074378
2026-05-07 17:00:00,23.8,23.8,23.8,23.8,342.7373892,8157.14986296
2026-05-07 17:30:00,23.8,23.9,23.8,23.9,428094.6893072,10188881.99907722
2026-05-07 17:45:00,23.8,23.9,23.8,23.9,82309.57892741,1959411.99611439
2026-05-07 18:00:00,23.9,24.0,23.9,23.9,256802.85328047,6137613.19340323
2026-05-07 18:15:00,23.9,24.0,23.7,24.0,75834.28643652,1805491.2792725
2026-05-07 18:45:00,23.8,23.8,23.8,23.8,8333.33333333,198333.33333325
2026-05-07 19:00:00,24.0,24.0,24.0,24.0,208.375,5001.0
2026-05-07 19:15:00,23.8,24.0,23.8,24.0,81981.40671578,1960343.27840859
2026-05-07 19:30:00,24.0,24.0,24.0,24.0,44629.97667832,1071119.44027968
2026-05-07 19:45:00,24.0,24.0,23.9,24.0,75326.66141879,1800520.87488439
2026-05-07 20:00:00,24.0,24.1,23.9,24.1,179255.84963412,4299682.05097551
2026-05-07 20:15:00,24.0,24.1,24.0,24.1,28967.35495347,695243.64698245
2026-05-07 20:30:00,24.1,24.1,24.1,24.1,151133.46436747,3642316.49125603
2026-05-07 20:45:00,24.2,24.2,24.1,24.2,76150.51016011,1835727.82982107
2026-05-07 21:00:00,24.1,24.2,24.1,24.2,235006.98417086,5665140.17970077
2026-05-07 21:15:00,24.1,24.2,24.1,24.2,17285.46033494,417293.94366555
2026-05-07 21:30:00,24.1,24.3,24.1,24.3,84774.91389835,2045976.13327502
2026-05-07 21:45:00,24.3,24.3,24.0,24.3,35513.93972547,860489.0819343
2026-05-07 22:00:00,24.3,24.3,24.0,24.0,3280.15638385,78848.44457042
2026-05-07 22:15:00,24.3,24.3,24.0,24.0,9304.3128647,223430.07665403
2026-05-07 22:30:00,24.0,24.0,24.0,24.0,210.41666667,5050.00000008
2026-05-07 22:45:00,24.3,24.3,24.0,24.2,14881.94285944,359918.49222817
2026-05-07 23:00:00,24.0,24.2,24.0,24.2,83049.90357667,1993329.93377396
2026-05-07 23:30:00,24.2,24.2,24.2,24.2,2479.83471072,60011.99999942
2026-05-07 23:45:00,24.0,24.2,24.0,24.2,1156.30578512,27833.9999999
2026-05-08 00:00:00,24.0,24.2,24.0,24.2,121947.82778031,2951087.84550664
2026-05-08 00:15:00,24.2,24.2,24.0,24.2,9614.65998845,230911.920656
2026-05-08 00:45:00,24.0,24.2,24.0,24.2,12326.65549723,296015.56866821
2026-05-08 01:15:00,24.0,24.2,24.0,24.2,34658.95505063,832680.11093942
2026-05-08 02:00:00,23.9,24.2,23.9,24.2,2487.99308283,59662.98451706
2026-05-08 02:45:00,24.1,24.2,24.1,24.2,420.28806584,10147.82536
2026-05-08 03:00:00,24.0,24.2,24.0,24.2,664.79102714,16038.35607993
2026-05-08 05:45:00,24.0,24.2,23.9,24.2,74007.40177998,1790005.24491381
2026-05-08 06:00:00,24.1,24.2,24.1,24.2,2446.47396666,59002.21189692
2026-05-08 06:15:00,24.2,24.2,24.1,24.1,23349.60635842,562750.30662635
2026-05-08 06:30:00,24.1,24.1,24.1,24.1,3919.38971732,94457.29218741
2026-05-08 06:45:00,24.1,24.1,24.1,24.1,829.87551867,19999.99999995
2026-05-08 07:00:00,24.1,24.1,24.1,24.1,1244.813278,29999.9999998
2026-05-08 07:15:00,24.0,24.0,24.0,24.0,247.93388429,5950.41322296
