,open,high,low,close,volume,value
2026-05-01 18:15:00,149.0,149.0,149.0,149.0,2953.02013423,440000.00000027
2026-05-01 18:45:00,149.0,149.0,149.0,149.0,4000.0,596000.0
2026-05-01 19:00:00,149.0,149.0,148.0,149.0,14782.889623,2202584.76435332
2026-05-01 19:15:00,149.0,150.0,149.0,150.0,4262.94666666,638775.33333234
2026-05-01 19:30:00,149.0,149.0,148.0,148.0,4679.81136892,694040.14971423
2026-05-01 20:00:00,149.0,149.0,148.0,149.0,3768.11958855,560103.92330528
2026-05-01 20:15:00,149.0,149.0,148.0,148.0,6667.95176223,993481.85409863
2026-05-01 20:45:00,149.0,149.0,148.0,148.0,1311.70637583,194444.24999867
2026-05-01 21:15:00,149.0,149.0,149.0,149.0,2802.5033557,417572.9999993
2026-05-01 21:30:00,149.0,150.0,148.0,148.0,45924.73967474,6818989.98831724
2026-05-01 21:45:00,148.0,150.0,148.0,150.0,2119.68336169,313962.32228962
2026-05-01 22:00:00,149.0,149.0,149.0,149.0,161.35708563,24042.20575887
2026-05-01 22:30:00,149.0,149.0,149.0,149.0,223.44304591,33293.01384059
2026-05-01 22:45:00,150.0,151.0,149.0,149.0,24171.06664078,3625938.18814682
2026-05-01 23:00:00,151.0,151.0,149.0,149.0,234.78790405,35319.64017823
2026-05-01 23:15:00,149.0,150.0,149.0,150.0,33228.46878876,4951194.66916748
2026-05-02 00:30:00,149.0,149.0,149.0,149.0,219.21413798,32662.90655902
2026-05-02 00:45:00,149.0,149.0,149.0,149.0,592.3620476,88261.9450924
2026-05-02 01:30:00,150.0,150.0,150.0,150.0,66.66666666,9999.999999
2026-05-02 02:00:00,149.0,149.0,149.0,149.0,2788.01880424,415414.80183176
2026-05-02 02:30:00,150.0,150.0,150.0,150.0,34.0,5100.0
2026-05-02 05:15:00,149.0,149.0,149.0,149.0,3271.05074913,487386.56162037
2026-05-02 05:30:00,149.0,149.0,149.0,149.0,66.66666666,9933.33333234
2026-05-02 06:15:00,150.0,150.0,150.0,150.0,34.0,5100.0
2026-05-02 06:30:00,150.0,150.0,149.0,149.0,4106.84563758,611959.99999942
2026-05-02 06:45:00,150.0,150.0,149.0,150.0,124.0,18550.0
2026-05-02 07:45:00,150.0,150.0,150.0,150.0,333.18673996,49978.010994
2026-05-02 08:00:00,149.0,149.0,149.0,149.0,369.48087936,55052.65102464
2026-05-02 08:45:00,149.0,149.0,149.0,149.0,65.78947368,9802.63157832
2026-05-02 09:15:00,149.0,149.0,149.0,149.0,3538.8519198,527288.9360502
2026-05-02 09:30:00,150.0,150.0,150.0,150.0,216.44805194,32467.207791
2026-05-02 10:00:00,150.0,150.0,150.0,150.0,9028.5770548,1354286.55822
2026-05-02 10:15:00,150.0,150.0,150.0,150.0,66.66666666,9999.999999
2026-05-02 11:30:00,149.0,150.0,149.0,150.0,28485.55322295,4251214.09688621
2026-05-02 11:45:00,150.0,150.0,150.0,150.0,2000.0,300000.0
2026-05-02 12:00:00,149.0,149.0,149.0,149.0,200.0,29800.0
2026-05-02 12:30:00,150.0,150.0,150.0,150.0,1521.57254705,228235.8820575
2026-05-02 12:45:00,150.0,150.0,149.0,149.0,6685.70636382,999500.24987501
2026-05-02 13:30:00,149.0,150.0,149.0,150.0,958.70818436,142966.1861363
2026-05-02 13:45:00,150.0,150.0,150.0,150.0,66.66666666,9999.999999
2026-05-02 14:00:00,150.0,150.0,150.0,150.0,100.02,15003.0
2026-05-02 14:30:00,150.0,150.0,150.0,150.0,795.14348784,119271.523176
2026-05-02 14:45:00,150.0,150.0,150.0,150.0,40.0,6000.0
2026-05-02 15:45:00,150.0,150.0,149.0,150.0,2569.98854585,384155.99999831
2026-05-02 16:00:00,150.0,150.0,149.0,149.0,202.29885057,30275.86206826
2026-05-02 16:45:00,149.0,149.0,149.0,149.0,134.73457289,20075.45136061
2026-05-02 18:15:00,150.0,150.0,150.0,150.0,34.0,5100.0
2026-05-02 19:00:00,149.0,150.0,149.0,150.0,369.5704698,55100.0000002
2026-05-02 19:15:00,150.0,150.0,150.0,150.0,329.05844375,49358.7665625
2026-05-02 19:30:00,150.0,150.0,149.0,150.0,6630.18950239,994485.05633471
2026-05-02 20:45:00,150.0,150.0,150.0,150.0,66.66666666,9999.999999
2026-05-02 21:00:00,150.0,150.0,150.0,150.0,7333.33333332,1099999.999998
2026-05-02 21:15:00,150.0,150.0,149.0,149.0,46622.37919521,6946801.16675295
2026-05-02 21:30:00,150.0,150.0,150.0,150.0,267.07939711,40061.9095665
2026-05-02 21:45:00,150.0,150.0,150.0,150.0,10014.45744787,1502168.6171805
2026-05-02 22:00:00,150.0,150.0,150.0,150.0,1333.33333333,199999.9999995
2026-05-02 22:15:00,150.0,150.0,150.0,150.0,267.07939711,40061.9095665
2026-05-02 23:00:00,150.0,150.0,150.0,150.0,11614.87017831,1742230.5267465
2026-05-02 23:30:00,151.0,151.0,151.0,151.0,2068.73611644,312379.15358244
2026-05-03 01:15:00,151.0,151.0,151.0,151.0,725.10667095,109491.10731345
2026-05-03 02:30:00,150.0,150.0,150.0,150.0,662.25165562,99337.748343
2026-05-03 02:45:00,150.0,151.0,150.0,151.0,73012.75187364,10958563.38332878
2026-05-03 03:00:00,151.0,151.0,151.0,151.0,3394.185,512521.935
2026-05-03 03:15:00,151.0,151.0,151.0,151.0,4715.23178807,711999.99999857
2026-05-03 05:45:00,151.0,151.0,151.0,151.0,1330.69867549,200935.49999899
2026-05-03 06:15:00,151.0,151.0,151.0,151.0,3311.25827814,499999.99999914
2026-05-03 06:30:00,151.0,151.0,151.0,151.0,53.88129139,8136.07499989
2026-05-03 07:00:00,150.0,151.0,150.0,151.0,3099.5,464959.0
2026-05-03 07:30:00,151.0,151.0,150.0,151.0,1047.25877482,158082.19370643
2026-05-03 07:45:00,150.0,150.0,150.0,150.0,662.25165562,99337.748343
2026-05-03 08:15:00,150.0,150.0,150.0,150.0,66.22516556,9933.774834
2026-05-03 09:00:00,151.0,151.0,151.0,151.0,765.03973509,115520.99999859
2026-05-03 09:15:00,150.0,151.0,150.0,151.0,2993.83620931,450366.85523755
2026-05-03 09:30:00,151.0,151.0,151.0,151.0,66.22516556,9999.99999956
2026-05-03 09:45:00,151.0,152.0,150.0,150.0,72734.19227475,10982670.83253471
2026-05-03 10:15:00,150.0,150.0,150.0,150.0,66.66666666,9999.999999
2026-05-03 10:45:00,150.0,150.0,150.0,150.0,2416.181804,362427.2706
2026-05-03 11:00:00,151.0,151.0,151.0,151.0,2053.90015142,310138.92286442
2026-05-03 11:15:00,151.0,151.0,151.0,151.0,24927.7630967,3764092.2276017
2026-05-03 11:30:00,152.0,152.0,152.0,152.0,8651.53242457,1315032.92853464
2026-05-03 11:45:00,152.0,152.0,150.0,150.0,28361.0482962,4278647.75404385
2026-05-03 12:00:00,150.0,150.0,150.0,150.0,7142.77527902,1071416.291853
2026-05-03 12:15:00,150.0,151.0,150.0,151.0,42556.6832919,6383542.22888433
2026-05-03 12:30:00,150.0,150.0,149.0,149.0,14304.61405087,2144819.03919784
2026-05-03 13:00:00,149.0,149.0,149.0,149.0,13198.88089039,1966633.25266811
2026-05-03 13:30:00,150.0,150.0,150.0,150.0,11782.52078675,1767378.1180125
2026-05-03 13:45:00,151.0,151.0,151.0,151.0,66.22516556,9999.99999956
2026-05-03 14:30:00,150.0,150.0,150.0,150.0,66.22516556,9933.774834
2026-05-03 14:45:00,150.0,150.0,150.0,150.0,1006.71140939,151006.7114085
2026-05-03 16:15:00,150.0,150.0,150.0,150.0,218.6843139,32802.647085
2026-05-03 16:30:00,150.0,150.0,150.0,150.0,1900.0,285000.0
2026-05-03 16:45:00,150.0,150.0,150.0,150.0,12555.67853459,1883351.7801885
2026-05-03 17:00:00,150.0,150.0,150.0,150.0,4847.80666666,727170.999999
2026-05-03 18:30:00,150.0,150.0,150.0,150.0,7122.52666666,1068378.999999
2026-05-03 18:45:00,150.0,150.0,150.0,150.0,666.66666666,99999.999999
2026-05-03 19:15:00,150.0,150.0,150.0,150.0,5539.0,830850.0
2026-05-03 19:45:00,149.0,149.0,149.0,149.0,52.0,7748.0
2026-05-03 20:00:00,150.0,150.0,149.0,150.0,2408.14563888,359721.845832
2026-05-03 20:15:00,150.0,151.0,150.0,151.0,5146.59226677,775481.57047146
2026-05-03 20:30:00,150.0,150.0,149.0,149.0,27733.54605355,4140031.9080325
2026-05-03 21:00:00,150.0,150.0,150.0,150.0,7074.57333333,1061185.9999995
2026-05-03 21:15:00,150.0,150.0,150.0,150.0,133.36,20004.0
2026-05-03 21:30:00,149.0,149.0,149.0,149.0,202.52123869,30175.66456481
2026-05-03 22:00:00,149.0,149.0,149.0,149.0,1543.62416108,230000.00000092
2026-05-03 22:15:00,149.0,149.0,149.0,149.0,1633.86282517,243445.56095033
2026-05-03 22:30:00,149.0,150.0,149.0,150.0,15534.00249875,2324561.3748125
2026-05-03 22:45:00,150.0,150.0,150.0,150.0,200.0,30000.0
2026-05-03 23:15:00,150.0,150.0,150.0,150.0,687.62760844,103144.141266
2026-05-04 00:00:00,149.0,151.0,149.0,151.0,22207.88027562,3352983.94619362
2026-05-04 00:45:00,149.0,149.0,149.0,149.0,66.66666666,9933.33333234
2026-05-04 01:30:00,149.0,149.0,149.0,149.0,1962.78681851,292455.23595799
2026-05-04 01:45:00,149.0,149.0,149.0,149.0,40.0,5960.0
2026-05-04 02:30:00,150.0,150.0,149.0,149.0,79.33333333,11860.66666617
2026-05-04 02:45:00,149.0,149.0,149.0,149.0,267.81390064,39904.27119536
2026-05-04 04:00:00,149.0,149.0,149.0,149.0,64077.86106946,9547601.29934954
2026-05-04 04:15:00,149.0,149.0,149.0,149.0,3424.6575344,510273.9726256
2026-05-04 05:30:00,150.0,150.0,149.0,149.0,9216.20459759,1382391.4850409
2026-05-04 06:15:00,150.0,150.0,149.0,149.0,78985.32632137,11775476.95688329
2026-05-04 07:00:00,150.0,150.0,150.0,150.0,1020.2415201,153036.228015
2026-05-04 07:15:00,150.0,150.0,149.0,149.0,7152.09333332,1072747.33333134
2026-05-04 07:30:00,150.0,150.0,149.0,149.0,6956.65675675,1036741.75675575
2026-05-04 07:45:00,149.0,149.0,149.0,149.0,1421.15084562,211751.47599738
2026-05-04 08:15:00,149.0,149.0,149.0,149.0,146.25890237,21792.57645313
2026-05-04 08:30:00,150.0,150.0,150.0,150.0,2700.00666666,405000.999999
2026-05-04 08:45:00,149.0,150.0,149.0,150.0,12207.07096114,1818987.80139777
2026-05-04 09:00:00,150.0,150.0,150.0,150.0,2588.20690281,388231.0354215
2026-05-04 09:15:00,150.0,150.0,149.0,150.0,39184.41231293,5857999.58022043
2026-05-04 09:30:00,149.0,149.0,149.0,149.0,6224.2949223,927419.9434227
2026-05-04 09:45:00,150.0,150.0,149.0,149.0,99.34640522,14835.94771111
2026-05-04 10:00:00,149.0,149.0,149.0,149.0,13130.9421313,1956510.3775637
2026-05-04 10:15:00,149.0,150.0,149.0,150.0,4742.40824588,706818.72863612
2026-05-04 10:30:00,150.0,151.0,150.0,151.0,4480.01962872,672488.9477414
2026-05-04 10:45:00,151.0,151.0,151.0,151.0,627.75234899,94790.60469749
2026-05-04 11:00:00,151.0,151.0,150.0,150.0,9101.4170209,1365666.297628
2026-05-04 11:15:00,151.0,151.0,151.0,151.0,57.83664459,8733.33333309
2026-05-04 11:30:00,151.0,151.0,150.0,150.0,14077.39857688,2117820.51844222
2026-05-04 11:45:00,150.0,150.0,150.0,150.0,26772.87356321,4015931.0344815
2026-05-04 12:00:00,150.0,150.0,150.0,150.0,5205.85496572,780878.244858
2026-05-04 12:15:00,151.0,151.0,151.0,151.0,7765.20529801,1172545.99999951
2026-05-04 12:30:00,150.0,150.0,150.0,150.0,18153.21308724,2722981.963086
2026-05-04 13:00:00,150.0,151.0,150.0,151.0,22004.37208945,3320506.81506899
2026-05-04 13:30:00,151.0,151.0,151.0,151.0,17419.83312978,2630394.80259678
2026-05-04 13:45:00,151.0,151.0,151.0,151.0,2052.98013244,309999.99999844
2026-05-04 14:00:00,150.0,150.0,150.0,150.0,5001.375,750206.25
2026-05-04 14:45:00,150.0,150.0,150.0,150.0,8653.42163354,1298013.245031
2026-05-04 15:00:00,151.0,151.0,151.0,151.0,165.59602645,25004.99999395
2026-05-04 15:45:00,151.0,151.0,151.0,151.0,410.45040393,61978.01099343
