,open,high,low,close,volume,value
2026-05-17 10:30:00,3851.0,3859.0,3844.0,3844.0,11417.17623064,43913132.82210943
2026-05-17 10:45:00,3859.0,3859.0,3824.0,3826.0,756.80361638,2899432.28769002
2026-05-17 11:00:00,3827.0,3840.0,3827.0,3840.0,469.47484015,1801187.07292272
2026-05-17 11:15:00,3841.0,3845.0,3841.0,3845.0,1577.03478422,6057910.76223582
2026-05-17 11:30:00,3856.0,3856.0,3834.0,3844.0,803.28049413,3088143.12824631
2026-05-17 11:45:00,3844.0,3844.0,3836.0,3836.0,4584.03956716,17586779.07905153
2026-05-17 12:00:00,3843.0,3860.0,3843.0,3855.0,4287.52050221,16525395.09354765
2026-05-17 12:15:00,3851.0,3861.0,3850.0,3861.0,1881.99174747,7263444.5525995
2026-05-17 12:30:00,3861.0,3887.0,3861.0,3874.0,5586.87958779,21669462.53154196
2026-05-17 12:45:00,3881.0,3888.0,3876.0,3876.0,1043.57628627,4052099.42616642
2026-05-17 13:00:00,3888.0,3891.0,3880.0,3880.0,2583.6113879,10043396.38410908
2026-05-17 13:15:00,3876.0,3901.0,3876.0,3900.0,449.03828714,1748851.43342232
2026-05-17 13:30:00,3899.0,3899.0,3881.0,3881.0,4687.02515268,18197995.6547682
2026-05-17 13:45:00,3891.0,3897.0,3890.0,3894.0,5938.30863629,23117675.95873083
2026-05-17 14:00:00,3895.0,3942.0,3895.0,3942.0,493.97133702,1936139.26761427
2026-05-17 14:15:00,3923.0,3931.0,3917.0,3917.0,3149.22477674,12349360.08676674
2026-05-17 14:30:00,3910.0,3926.0,3908.0,3925.0,4233.5304748,16576696.22406947
2026-05-17 14:45:00,3926.0,3931.0,3912.0,3912.0,3787.13401831,14881456.2376635
2026-05-17 15:00:00,3911.0,3918.0,3911.0,3918.0,1374.75360829,5377810.60775665
2026-05-17 15:15:00,3912.0,3912.0,3888.0,3888.0,5684.49098497,22146987.3442426
2026-05-17 15:30:00,3893.0,3905.0,3891.0,3898.0,6323.46557835,24650039.17527404
2026-05-17 15:45:00,3893.0,3902.0,3890.0,3902.0,816.15290316,3177678.44344925
2026-05-17 16:00:00,3899.0,3906.0,3890.0,3906.0,107.84160726,421102.56505233
2026-05-17 16:15:00,3909.0,3909.0,3907.0,3909.0,953.88029044,3726956.78137264
2026-05-17 16:30:00,3908.0,3908.0,3895.0,3897.0,899.56590066,3510034.79728258
2026-05-17 16:45:00,3900.0,3931.0,3897.0,3920.0,9503.32232053,37109963.58770011
2026-05-17 17:00:00,3917.0,3928.0,3917.0,3920.0,1488.56624435,5836872.80086165
2026-05-17 17:15:00,3920.0,3931.0,3911.0,3921.0,11171.09193854,43821742.99851072
2026-05-17 17:30:00,3926.0,3926.0,3920.0,3920.0,4616.78511715,18100594.35575243
2026-05-17 17:45:00,3920.0,3920.0,3904.0,3904.0,3216.89836382,12585006.24447658
2026-05-17 18:00:00,3918.0,3921.0,3918.0,3921.0,394.37342709,1545158.91671889
2026-05-17 18:15:00,3922.0,3922.0,3907.0,3915.0,4055.41785526,15871645.79199661
2026-05-17 18:30:00,3915.0,3943.0,3915.0,3943.0,744.79344112,2916661.08612352
2026-05-17 18:45:00,3941.0,3954.0,3941.0,3954.0,1422.38862405,5613086.12701573
2026-05-17 19:00:00,3954.0,3960.0,3944.0,3944.0,4279.97231352,16907460.21136636
2026-05-17 19:15:00,3955.0,3970.0,3950.0,3966.0,6346.76969387,25114623.54237536
2026-05-17 19:30:00,3960.0,3963.0,3950.0,3963.0,2503.4121979,9898513.94690122
2026-05-17 19:45:00,3959.0,3967.0,3943.0,3943.0,7894.55730906,31243643.0088746
2026-05-17 20:00:00,3950.0,3950.0,3924.0,3932.0,3255.81999218,12799255.57122947
2026-05-17 20:15:00,3932.0,3933.0,3917.0,3933.0,317.04681152,1244362.73345746
2026-05-17 20:30:00,3931.0,3945.0,3914.0,3927.0,3038.22413221,11940436.57815742
2026-05-17 20:45:00,3928.0,3930.0,3925.0,3925.0,193.91325158,761967.61513134
2026-05-17 21:00:00,3925.0,3926.0,3921.0,3926.0,6974.36111265,27369388.35821515
2026-05-17 21:15:00,3948.0,3948.0,3937.0,3937.0,1117.370795,4403052.71778306
2026-05-17 21:30:00,3937.0,3949.0,3931.0,3931.0,7734.73427355,30439559.28350149
2026-05-17 21:45:00,3945.0,3945.0,3925.0,3930.0,1011.54726243,3972892.17329623
2026-05-17 22:00:00,3928.0,3931.0,3919.0,3923.0,4299.69353685,16892573.93612601
2026-05-17 22:15:00,3922.0,3922.0,3897.0,3916.0,6153.64591675,24065818.09609417
2026-05-17 22:30:00,3916.0,3916.0,3906.0,3906.0,2450.88712207,9582299.36656722
2026-05-17 22:45:00,3900.0,3905.0,3896.0,3896.0,3335.78053064,13008318.27590973
2026-05-17 23:00:00,3898.0,3904.0,3890.0,3899.0,5628.36391781,21940145.22377651
2026-05-17 23:15:00,3890.0,3890.0,3871.0,3888.0,3411.81506827,13236514.92902605
2026-05-17 23:30:00,3885.0,3886.0,3872.0,3885.0,2175.08515068,8440155.57837047
2026-05-17 23:45:00,3875.0,3898.0,3875.0,3889.0,2520.97297324,9793635.0855853
2026-05-18 00:00:00,3889.0,3893.0,3886.0,3886.0,2346.29776664,9124451.76075458
2026-05-18 00:15:00,3885.0,3885.0,3877.0,3877.0,675.31358333,2620774.43172524
2026-05-18 00:30:00,3875.0,3884.0,3870.0,3880.0,19024.31448787,73788928.00892083
2026-05-18 00:45:00,3893.0,3893.0,3892.0,3892.0,271.79327307,1058088.64268844
2026-05-18 01:00:00,3898.0,3898.0,3891.0,3891.0,340.40225762,1325525.56022548
2026-05-18 01:15:00,3889.0,3889.0,3887.0,3887.0,362.97013021,1411010.61630161
2026-05-18 01:30:00,3888.0,3888.0,3879.0,3879.0,46.06637849,178978.67344359
2026-05-18 01:45:00,3885.0,3885.0,3885.0,3885.0,57.4699,223270.5615
2026-05-18 02:00:00,3871.0,3871.0,3861.0,3861.0,475.61488443,1838404.57910627
2026-05-18 02:15:00,3868.0,3868.0,3855.0,3862.0,1322.06302813,5103790.37677221
2026-05-18 02:30:00,3862.0,3867.0,3851.0,3867.0,434.81751875,1677704.73364697
2026-05-18 02:45:00,3871.0,3871.0,3871.0,3871.0,20.5619226,79595.2023846
2026-05-18 03:00:00,3878.0,3878.0,3860.0,3860.0,956.15933225,3706470.04655514
2026-05-18 03:15:00,3860.0,3860.0,3854.0,3857.0,8164.8877537,31472821.558753
2026-05-18 03:30:00,3861.0,3868.0,3852.0,3852.0,831.01994033,3208566.25906534
2026-05-18 03:45:00,3852.0,3868.0,3852.0,3868.0,684.28509883,2639555.17725061
2026-05-18 04:00:00,3875.0,3875.0,3874.0,3874.0,235.72642394,913343.68441042
2026-05-18 04:15:00,3879.0,3879.0,3879.0,3879.0,141.04838774,547126.69604346
2026-05-18 04:45:00,3878.0,3883.0,3878.0,3883.0,4.62508992,17943.99987476
2026-05-18 05:00:00,3889.0,3890.0,3880.0,3880.0,264.11109278,1026416.88625631
2026-05-18 05:15:00,3880.0,3881.0,3880.0,3880.0,2932.16013363,11376839.6464844
2026-05-18 05:30:00,3878.0,3878.0,3874.0,3874.0,582.89697445,2258619.78780246
2026-05-18 05:45:00,3890.0,3890.0,3888.0,3888.0,51.30601565,199528.98699676
2026-05-18 06:45:00,3902.0,3902.0,3900.0,3900.0,133.38201907,520194.99994962
2026-05-18 07:00:00,3892.0,3892.0,3867.0,3867.0,1772.87988621,6883661.13694012
2026-05-18 07:15:00,3870.0,3870.0,3846.0,3846.0,2747.08736235,10598051.99505801
