,open,high,low,close,volume,value
2026-05-17 12:15:00,44.8,44.8,44.6,44.6,2361.03029694,105324.71910067
2026-05-17 12:30:00,44.8,45.1,44.8,45.1,25139.57371466,1131994.39878235
2026-05-17 12:45:00,45.1,45.1,45.1,45.1,11487.05390601,518066.13116105
2026-05-17 13:00:00,45.1,45.1,45.1,45.1,221.72949003,10000.00000035
2026-05-17 13:15:00,45.1,45.1,45.1,45.1,291723.51809794,13156730.66621709
2026-05-17 13:30:00,45.1,45.1,45.1,45.1,39026.77327427,1760107.47466958
2026-05-17 14:00:00,45.2,45.3,45.2,45.3,2239.8421148,101384.70483009
2026-05-17 14:15:00,45.3,45.3,45.3,45.3,28789.84348885,1304179.91004491
2026-05-17 14:45:00,45.3,45.3,45.3,45.3,55182.79087926,2499780.42683048
2026-05-17 15:15:00,45.2,45.2,45.2,45.2,114012.91153649,5153383.60144935
2026-05-17 15:30:00,45.2,45.2,45.2,45.2,162.72707465,7355.26377418
2026-05-17 15:45:00,45.1,45.1,45.1,45.1,1408.05406927,63503.23852408
2026-05-17 16:00:00,45.1,45.1,45.1,45.1,43286.45011987,1952218.90040614
2026-05-17 16:15:00,45.1,45.2,45.1,45.2,131039.99191982,5912276.46793478
2026-05-17 16:30:00,45.3,45.3,45.3,45.3,24725.03858249,1120044.2477868
2026-05-17 16:45:00,45.4,45.4,45.3,45.4,23094.55632473,1046260.7142856
2026-05-17 17:15:00,45.3,45.3,45.1,45.1,118952.95994386,5383962.18280199
2026-05-17 17:30:00,45.1,45.1,45.1,45.1,44577.80407248,2010458.96366885
2026-05-17 18:00:00,45.1,45.2,45.0,45.0,415712.11212653,18720361.17372113
2026-05-17 18:45:00,45.4,45.4,45.4,45.4,167.40088106,7600.00000012
2026-05-17 19:00:00,45.3,45.5,45.3,45.5,2356.74034705,107081.33773238
2026-05-17 19:15:00,45.4,45.4,45.3,45.3,39292.17166734,1780980.97047362
2026-05-17 19:30:00,45.3,45.3,45.1,45.1,133882.51650876,6038583.57540693
