,open,high,low,close,volume,value
2026-05-17 20:45:00,7185.0,7185.0,7165.0,7185.0,1700.06419942,12212597.53924055
2026-05-17 21:00:00,7185.0,7205.0,7175.0,7175.0,1271.29123191,9140702.91448875
2026-05-17 21:15:00,7170.0,7170.0,7155.0,7170.0,2371.0652105,16986560.5698509
2026-05-17 21:30:00,7165.0,7165.0,7140.0,7140.0,1599.20392953,11424688.39038985
2026-05-17 21:45:00,7165.0,7175.0,7160.0,7160.0,1617.8858002,11598875.7588467
2026-05-17 22:00:00,7175.0,7175.0,7115.0,7115.0,2888.26119966,20590105.86059725
2026-05-17 22:15:00,7110.0,7110.0,7045.0,7075.0,9486.59846173,67127032.94301675
2026-05-17 22:30:00,7085.0,7090.0,7075.0,7075.0,85.20401471,603712.58083675
2026-05-17 22:45:00,7070.0,7070.0,7065.0,7065.0,668.2390697,4721947.0274305
2026-05-17 23:00:00,7050.0,7050.0,7000.0,7020.0,3709.80672685,25997188.4464143
2026-05-17 23:15:00,7015.0,7020.0,6985.0,7020.0,1694.38782708,11878596.44687675
2026-05-17 23:30:00,7005.0,7015.0,7005.0,7015.0,1344.58090649,9432205.43216175
2026-05-18 00:00:00,7055.0,7075.0,7050.0,7055.0,1712.08929607,12088195.9091057
2026-05-18 00:15:00,7050.0,7050.0,7025.0,7025.0,652.77590391,4592014.19588905
2026-05-18 00:30:00,7025.0,7035.0,7025.0,7035.0,441.91216142,3108621.6849785
2026-05-18 00:45:00,7050.0,7050.0,7025.0,7025.0,514.89887774,3624279.0608686
2026-05-18 01:00:00,7080.0,7080.0,7055.0,7055.0,207.28987648,1467126.9337334
2026-05-18 01:15:00,7060.0,7060.0,7050.0,7055.0,733.6062901,5175528.53682265
2026-05-18 01:30:00,7045.0,7050.0,7045.0,7050.0,197.76353577,1394227.9172424
2026-05-18 01:45:00,7045.0,7045.0,7015.0,7015.0,4277.73725092,30008629.9869691
2026-05-18 02:00:00,7015.0,7040.0,7015.0,7025.0,1543.95669939,10832300.13495045
2026-05-18 02:15:00,7015.0,7035.0,7005.0,7035.0,267.00513168,1871743.19639445
2026-05-18 02:30:00,7010.0,7010.0,6955.0,6975.0,2714.25007512,18922287.6720553
2026-05-18 02:45:00,6965.0,6990.0,6965.0,6990.0,23.34774665,162706.468865
2026-05-18 03:00:00,6970.0,6970.0,6960.0,6960.0,2.86123032,19922.0114872
2026-05-18 03:15:00,6960.0,6960.0,6950.0,6950.0,5.01331951,34856.9384105
2026-05-18 03:30:00,6965.0,6985.0,6960.0,6965.0,27.05299088,188319.25408375
2026-05-18 03:45:00,6970.0,7030.0,6970.0,7030.0,62.66103478,437064.5623595
2026-05-18 04:00:00,7050.0,7070.0,7050.0,7070.0,2.83286686,19999.999906
2026-05-18 04:15:00,7055.0,7055.0,7055.0,7055.0,1.734137,12234.336535
2026-05-18 04:30:00,7040.0,7040.0,7040.0,7040.0,143.46389426,1009985.8155904
2026-05-18 04:45:00,7080.0,7080.0,7070.0,7070.0,64.29983803,455226.1119342
2026-05-18 05:00:00,7065.0,7085.0,7055.0,7065.0,20.86599633,147675.55052645
2026-05-18 05:15:00,7085.0,7085.0,7060.0,7060.0,1260.49891551,8913626.70137005
2026-05-18 05:30:00,7100.0,7125.0,7100.0,7100.0,511.1172992,3635946.861161
2026-05-18 05:45:00,7110.0,7110.0,7110.0,7110.0,165.961042,1179983.00862
2026-05-18 06:00:00,7110.0,7110.0,7075.0,7085.0,111.68630988,792087.63350505
2026-05-18 06:15:00,7085.0,7085.0,7085.0,7085.0,235.3059286,1667142.504131
2026-05-18 06:30:00,7085.0,7085.0,7040.0,7040.0,362.4003328,2556617.93518335
2026-05-18 06:45:00,7035.0,7035.0,7000.0,7030.0,1447.3126984,10143805.28880435
2026-05-18 07:00:00,7000.0,7010.0,6975.0,6975.0,1772.42656716,12386107.98984085
2026-05-18 07:15:00,6975.0,6975.0,6935.0,6940.0,1665.50134933,11609845.0905699
2026-05-18 07:30:00,6960.0,6975.0,6960.0,6965.0,1394.68301432,9714502.8490691
2026-05-18 07:45:00,6950.0,6965.0,6925.0,6940.0,2595.90095371,18022031.86833775
2026-05-18 08:00:00,6930.0,6930.0,6885.0,6900.0,1868.36263057,12905332.18700245
2026-05-18 08:15:00,6900.0,6900.0,6840.0,6850.0,2925.74668495,20044776.29503455
2026-05-18 08:30:00,6840.0,6850.0,6640.0,6715.0,18523.46429501,125042837.05948955
2026-05-18 08:45:00,6730.0,6840.0,6715.0,6820.0,4658.38853872,31581658.9508245
2026-05-18 09:00:00,6780.0,6800.0,6745.0,6775.0,5741.81712403,38852219.9266834
2026-05-18 09:15:00,6795.0,6820.0,6790.0,6820.0,6509.46475519,44303995.78391945
2026-05-18 09:30:00,6820.0,6845.0,6810.0,6815.0,4699.41381057,32056048.73509935
2026-05-18 09:45:00,6800.0,6825.0,6755.0,6825.0,4930.14628777,33390833.55498255
2026-05-18 10:00:00,6840.0,6855.0,6810.0,6855.0,6537.82145535,44781129.19672375
2026-05-18 10:15:00,6825.0,6825.0,6790.0,6800.0,1649.98423792,11227433.08923085
2026-05-18 10:30:00,6780.0,6810.0,6780.0,6795.0,827.9155646,5617990.46143575
2026-05-18 10:45:00,6795.0,6910.0,6780.0,6885.0,2696.88490897,18553909.40435565
2026-05-18 11:00:00,6885.0,6975.0,6885.0,6975.0,5016.70329683,34805269.0439397
2026-05-18 11:15:00,6965.0,6965.0,6920.0,6940.0,2585.86629922,17914479.0497633
2026-05-18 11:30:00,6960.0,6990.0,6940.0,6960.0,286.62744758,1999755.4908108
2026-05-18 11:45:00,6960.0,6970.0,6925.0,6925.0,5881.26500474,40878674.41010575
2026-05-18 12:00:00,6945.0,6945.0,6925.0,6935.0,1128.51338672,7833487.0781542
2026-05-18 12:15:00,6905.0,6905.0,6900.0,6900.0,806.49790834,5564972.5135552
2026-05-18 12:30:00,6890.0,6905.0,6850.0,6885.0,1836.75124351,12614134.69300925
2026-05-18 12:45:00,6905.0,6905.0,6880.0,6880.0,1173.68508061,8086738.0996083
2026-05-18 13:00:00,6880.0,6885.0,6875.0,6885.0,902.54872851,6209101.5287318
2026-05-18 13:15:00,6890.0,6895.0,6860.0,6860.0,563.49465424,3882474.77380495
2026-05-18 13:30:00,6840.0,6840.0,6820.0,6840.0,127.58504853,870355.9528418
2026-05-18 13:45:00,6860.0,6935.0,6845.0,6935.0,2568.17127945,17772832.3439358
2026-05-18 14:00:00,6935.0,6935.0,6910.0,6910.0,544.74802751,3775699.32837505
2026-05-18 14:15:00,6910.0,6930.0,6905.0,6930.0,717.86344766,4963656.857907
2026-05-18 14:30:00,6930.0,6930.0,6870.0,6870.0,2059.65122068,14214118.0841866
2026-05-18 14:45:00,6870.0,6870.0,6870.0,6870.0,1098.85688768,7549146.8183616
2026-05-18 15:00:00,6870.0,6885.0,6830.0,6885.0,2251.51692681,15429987.758035
2026-05-18 15:15:00,6885.0,6890.0,6820.0,6850.0,2718.06876154,18584568.03592865
2026-05-18 15:30:00,6850.0,6870.0,6840.0,6840.0,622.12666,4267368.1433252
2026-05-18 15:45:00,6830.0,6850.0,6820.0,6850.0,547.00062674,3741172.48328675
2026-05-18 16:00:00,6840.0,6840.0,6830.0,6830.0,53.765192,367746.26136
2026-05-18 16:15:00,6830.0,6845.0,6785.0,6840.0,4980.88586799,34059756.90962145
2026-05-18 16:30:00,6840.0,6840.0,6775.0,6785.0,2394.88549005,16255802.3731147
2026-05-18 16:45:00,6775.0,6790.0,6760.0,6775.0,5157.17522725,34920173.8446686
2026-05-18 17:00:00,6775.0,6815.0,6770.0,6815.0,3224.66317964,21872469.824823
2026-05-18 17:15:00,6800.0,6810.0,6800.0,6810.0,1646.79454057,11206402.423304
2026-05-18 17:30:00,6810.0,6830.0,6805.0,6830.0,538.17127319,3666595.80780115
2026-05-18 17:45:00,6825.0,6850.0,6805.0,6850.0,816.5899794,5576875.138933
2026-05-18 18:00:00,6850.0,6850.0,6790.0,6790.0,3610.03385039,24603570.85588685
2026-05-18 18:15:00,6795.0,6795.0,6785.0,6785.0,406.70185613,2761427.70301895
2026-05-18 18:30:00,6780.0,6800.0,6760.0,6770.0,2242.39610887,15181029.941584
