,open,high,low,close,volume,value
2026-05-29 18:30:00,220.0,325.0,220.0,310.0,33553570.46561856,10490495080.472204
2026-05-29 18:45:00,310.0,332.0,303.0,325.0,23727892.71841478,7566474479.975345
2026-05-29 19:00:00,325.0,332.0,309.0,310.0,17390891.74867255,5614225806.274008
2026-05-29 19:15:00,310.0,315.0,297.0,302.0,16337404.44907216,4975172059.047878
2026-05-29 19:30:00,302.0,302.0,289.0,292.0,11379395.12090232,3334225842.305464
2026-05-29 19:45:00,292.0,296.0,288.0,289.0,6194609.37890831,1808561994.8721828
2026-05-29 20:00:00,289.0,289.0,281.0,287.0,9363135.46868204,2662128910.0986133
2026-05-29 20:15:00,287.0,292.0,284.0,289.0,6148027.13858406,1773671927.9865358
2026-05-29 20:30:00,288.0,300.0,282.0,293.0,7524163.35225239,2181563304.0551057
2026-05-29 20:45:00,292.0,295.0,276.0,280.0,9086341.39926998,2576582422.19929
2026-05-29 21:00:00,279.0,280.0,272.0,274.0,4482237.56759955,1233350449.6124172
2026-05-29 21:15:00,274.0,279.0,273.0,279.0,2880417.44469774,798258506.51528
2026-05-29 21:30:00,278.0,281.0,277.0,280.0,1905147.11331427,532500805.8435209
2026-05-29 21:45:00,280.0,290.0,278.0,285.0,6426141.51354833,1828294177.8236814
2026-05-29 22:00:00,285.0,287.0,275.0,279.0,3950795.09525957,1103037769.9139752
2026-05-29 22:15:00,279.0,280.0,277.0,280.0,1079567.68522211,300853677.48321193
2026-05-29 22:30:00,280.0,285.0,278.0,284.0,2116517.10194522,597021149.466768
2026-05-29 22:45:00,284.0,285.0,278.0,282.0,2643805.29458007,742891842.1259758
2026-05-29 23:00:00,282.0,284.0,280.0,282.0,1321964.51118039,372725708.40480024
2026-05-29 23:15:00,282.0,283.0,276.0,278.0,1671198.11641037,464526365.3793857
2026-05-29 23:30:00,278.0,281.0,277.0,278.0,1163716.5126997,324955530.16440654
2026-05-29 23:45:00,278.0,292.0,277.0,286.0,4038468.1964702,1156797516.2924337
2026-05-30 00:00:00,287.0,287.0,279.0,283.0,2372373.06344796,671678507.6820357
2026-05-30 00:15:00,283.0,286.0,281.0,283.0,1736719.12002216,493023297.0484957
2026-05-30 00:30:00,284.0,287.0,281.0,282.0,1211996.95281743,344253910.0734634
2026-05-30 00:45:00,282.0,284.0,279.0,280.0,810317.54202913,227535699.3170098
2026-05-30 01:00:00,280.0,283.0,280.0,282.0,400255.65484025,112538815.38816357
2026-05-30 01:15:00,282.0,282.0,277.0,282.0,674301.90400318,188507892.21239626
2026-05-30 01:30:00,282.0,285.0,281.0,284.0,551984.02582886,156561443.11927855
2026-05-30 01:45:00,284.0,284.0,279.0,282.0,452051.63806731,127107717.44839922
2026-05-30 02:00:00,282.0,284.0,281.0,283.0,333677.18028733,94203233.42679515
2026-05-30 02:15:00,282.0,283.0,279.0,281.0,220517.64484628,61854028.78142659
2026-05-30 02:30:00,280.0,280.0,276.0,279.0,736448.81064529,204192914.78369918
2026-05-30 02:45:00,277.0,279.0,276.0,277.0,141815.26856028,39302361.56346508
2026-05-30 03:00:00,277.0,278.0,276.0,276.0,174610.13213071,48360626.26806249
2026-05-30 03:15:00,276.0,277.0,267.0,272.0,1233866.76660076,336890808.33258206
2026-05-30 03:30:00,273.0,274.0,270.0,271.0,664990.27786106,181025212.3680889
2026-05-30 03:45:00,271.0,271.0,266.0,269.0,1418772.95369286,381592685.54855925
2026-05-30 04:00:00,269.0,270.0,266.0,267.0,382245.21921454,102394217.078496
2026-05-30 04:15:00,266.0,268.0,263.0,268.0,761473.70924118,202006411.14667416
2026-05-30 04:30:00,268.0,270.0,267.0,268.0,340575.53894604,91464504.95807782
2026-05-30 04:45:00,268.0,270.0,267.0,269.0,187759.38921943,50411274.23117431
2026-05-30 05:00:00,269.0,273.0,269.0,272.0,451187.96769005,122465875.42415653
2026-05-30 05:15:00,272.0,273.0,270.0,272.0,349726.62082492,94946373.43587068
2026-05-30 05:30:00,272.0,273.0,271.0,272.0,197193.83513352,53651683.9072842
2026-05-30 05:45:00,272.0,273.0,269.0,271.0,355975.87274992,96337394.31585422
2026-05-30 06:00:00,271.0,273.0,270.0,272.0,257269.10780959,69852201.75882392
2026-05-30 06:15:00,272.0,273.0,268.0,268.0,391382.71708819,105412945.90619022
2026-05-30 06:30:00,268.0,268.0,265.0,266.0,630699.50347132,168367126.779126
2026-05-30 06:45:00,266.0,266.0,261.0,261.0,1237631.67230873,324913346.9362269
2026-05-30 07:00:00,261.0,265.0,261.0,264.0,770876.28450675,203019746.77962187
2026-05-30 07:15:00,264.0,265.0,262.0,263.0,925875.64442417,244095105.37945986
2026-05-30 07:30:00,263.0,264.0,262.0,262.0,437704.49324998,115095397.21359491
2026-05-30 07:45:00,262.0,263.0,260.0,260.0,742792.68851249,193818375.35441718
2026-05-30 08:00:00,261.0,261.0,255.0,257.0,2810411.03830856,721943764.8679634
2026-05-30 08:15:00,258.0,258.0,255.0,258.0,836637.38156022,214956838.1870582
2026-05-30 08:30:00,258.0,260.0,256.0,257.0,1521626.00639287,392751446.8003531
2026-05-30 08:45:00,257.0,260.0,256.0,258.0,1154558.02687371,297852121.7085613
2026-05-30 09:00:00,258.0,262.0,253.0,259.0,4831172.26771073,1242811152.822678
2026-05-30 09:15:00,259.0,264.0,258.0,263.0,2445968.75246015,636358968.3359954
2026-05-30 09:30:00,263.0,267.0,262.0,266.0,5401372.76531415,1426985142.520384
2026-05-30 09:45:00,265.0,269.0,264.0,269.0,2304908.9902998,615716060.3009202
2026-05-30 10:00:00,269.0,272.0,267.0,270.0,3450682.10581579,927644315.9842046
2026-05-30 10:15:00,270.0,278.0,258.0,258.0,9714091.26838132,2589411597.907757
2026-05-30 10:30:00,258.0,261.0,258.0,258.0,1412647.09047554,365615870.2700765
2026-05-30 10:45:00,258.0,259.0,250.0,252.0,2593223.28853331,658500598.7524111
2026-05-30 11:00:00,253.0,255.0,252.0,255.0,757245.36905597,192076339.24707982
2026-05-30 11:15:00,255.0,255.0,251.0,253.0,695902.09097399,175976577.36747685
2026-05-30 11:30:00,253.0,255.0,252.0,253.0,500964.3607955,127043397.32873718
2026-05-30 11:45:00,253.0,255.0,253.0,254.0,331923.58855747,84220074.56605057
2026-05-30 12:00:00,254.0,254.0,251.0,252.0,988196.16665797,249068731.1470744
2026-05-30 12:15:00,251.0,253.0,250.0,252.0,693988.36786706,174727637.83265787
2026-05-30 12:30:00,252.0,254.0,251.0,253.0,471793.80312494,119131680.81044273
2026-05-30 12:45:00,252.0,254.0,251.0,253.0,474475.31293842,119903985.73802759
2026-05-30 13:00:00,253.0,253.0,247.0,253.0,1512130.16313967,377835511.9950189
2026-05-30 13:15:00,253.0,253.0,250.0,251.0,645441.15705761,162113019.869953
2026-05-30 13:30:00,250.0,252.0,248.0,252.0,478766.67212731,119483358.65776418
2026-05-30 13:45:00,252.0,257.0,251.0,257.0,865310.06293614,219882793.76308405
2026-05-30 14:00:00,256.0,261.0,256.0,258.0,2038859.7662256,526824621.27401346
2026-05-30 14:15:00,257.0,262.0,256.0,259.0,938863.39181677,243563369.15900376
2026-05-30 14:30:00,260.0,261.0,256.0,257.0,846105.13092009,218889197.8564326
2026-05-30 14:45:00,258.0,258.0,255.0,255.0,633771.42832468,162415870.01027447
2026-05-30 15:00:00,255.0,257.0,254.0,255.0,389012.83153953,99102595.7970795
2026-05-30 15:15:00,255.0,260.0,254.0,260.0,156446.03816573,40176456.76622562
2026-05-30 15:30:00,260.0,260.0,258.0,258.0,237770.16945764,61659227.71199051
2026-05-30 15:45:00,259.0,260.0,257.0,260.0,392786.57050265,101544146.26603234
2026-05-30 16:00:00,260.0,262.0,259.0,260.0,633073.1353931,165174126.27217495
2026-05-30 16:15:00,260.0,265.0,260.0,264.0,581587.01652143,152638712.24230522
2026-05-30 16:30:00,264.0,264.0,259.0,261.0,391869.39193104,102224574.27385451
2026-05-30 16:45:00,261.0,263.0,260.0,262.0,543038.98549285,142012226.33958894
2026-05-30 17:00:00,261.0,261.0,257.0,258.0,443966.05095018,114944690.06564534
2026-05-30 17:15:00,258.0,259.0,256.0,257.0,288629.89346276,74134257.73167965
2026-05-30 17:30:00,257.0,258.0,256.0,257.0,130900.96603934,33678984.65319261
2026-05-30 17:45:00,257.0,258.0,256.0,257.0,159943.0300406,41176180.17059112
2026-05-30 18:00:00,257.0,260.0,257.0,260.0,231173.38752266,59775541.73444038
2026-05-30 18:15:00,260.0,261.0,259.0,260.0,192127.26182959,49972543.5985486
2026-05-30 18:30:00,260.0,261.0,259.0,260.0,113012.58950452,29385765.13167153
2026-05-30 18:45:00,260.0,260.0,257.0,258.0,285114.94546091,73708163.5892198
2026-05-30 19:00:00,257.0,257.0,252.0,252.0,559469.998473,142233654.22921222
2026-05-30 19:15:00,252.0,255.0,252.0,253.0,439720.61908211,111094369.71969143
2026-05-30 19:30:00,253.0,253.0,252.0,252.0,340973.20426854,85966570.14422219
2026-05-30 19:45:00,252.0,253.0,251.0,253.0,291316.26278993,73395124.09936975
2026-05-30 20:00:00,253.0,254.0,250.0,253.0,523134.38528368,131906526.16564374
2026-05-30 20:15:00,253.0,254.0,252.0,253.0,97717.95741394,24711375.48006786
2026-05-30 20:30:00,253.0,254.0,250.0,250.0,159945.94375701,40246277.24861122
2026-05-30 20:45:00,250.0,253.0,249.0,252.0,272244.28958443,68342862.5072402
2026-05-30 21:00:00,252.0,253.0,251.0,253.0,98331.12063211,24724216.53562549
2026-05-30 21:15:00,253.0,254.0,253.0,254.0,128896.22447534,32613892.82454409
2026-05-30 21:30:00,254.0,254.0,252.0,253.0,162055.51061227,40990297.08185454
2026-05-30 21:45:00,253.0,258.0,252.0,255.0,1440945.93172316,367559989.1476793
2026-05-30 22:00:00,255.0,259.0,253.0,258.0,934469.71403857,239192056.21906894
2026-05-30 22:15:00,257.0,260.0,257.0,259.0,256222.36420351,66253447.73601108
2026-05-30 22:30:00,260.0,265.0,259.0,260.0,875592.75639025,229338414.22542107
2026-05-30 22:45:00,260.0,263.0,259.0,263.0,312586.41128007,81903327.54180436
2026-05-30 23:00:00,263.0,267.0,262.0,266.0,310318.77590391,82179561.88993698
2026-05-30 23:15:00,266.0,266.0,260.0,262.0,411671.35011125,108306614.95672248
2026-05-30 23:30:00,261.0,261.0,257.0,258.0,293980.36299639,76037983.8422066
2026-05-30 23:45:00,258.0,258.0,256.0,258.0,209281.84121111,53858601.19726581
2026-05-31 00:00:00,257.0,263.0,257.0,261.0,144151.38414195,37575291.52228874
2026-05-31 00:15:00,261.0,261.0,259.0,260.0,223029.76946089,58072039.95901534
2026-05-31 00:30:00,260.0,264.0,260.0,263.0,173859.53163106,45592479.43119939
2026-05-31 00:45:00,263.0,266.0,262.0,266.0,209670.53696037,55459067.87175356
2026-05-31 01:00:00,266.0,272.0,266.0,270.0,741717.06981473,199375770.24244165
2026-05-31 01:15:00,270.0,270.0,265.0,268.0,514809.28616809,137516901.98390135
2026-05-31 01:30:00,269.0,269.0,266.0,266.0,88920.44356598,23793568.8883494
2026-05-31 01:45:00,266.0,266.0,262.0,264.0,286116.95356203,75632855.009237
2026-05-31 02:00:00,264.0,265.0,262.0,264.0,149595.95406684,39438494.18338942
2026-05-31 02:15:00,264.0,264.0,262.0,262.0,24168.4146472,6345795.18270198
2026-05-31 02:30:00,262.0,264.0,260.0,264.0,69699.50235087,18254248.9413785
2026-05-31 02:45:00,263.0,264.0,262.0,262.0,51131.41615438,13404133.70097519
2026-05-31 03:00:00,262.0,263.0,261.0,263.0,49781.44267304,12993132.14080355
2026-05-31 03:15:00,263.0,263.0,262.0,262.0,13488.61926873,3536935.51836923
2026-05-31 03:30:00,262.0,265.0,261.0,265.0,35193.6300916,9202246.7143462
2026-05-31 03:45:00,265.0,266.0,264.0,266.0,14028.1593862,3721680.36295817
2026-05-31 04:00:00,266.0,267.0,266.0,267.0,23081.76763174,6140820.27993047
2026-05-31 04:15:00,267.0,268.0,266.0,267.0,43284.27780143,11550361.11914714
2026-05-31 04:30:00,267.0,268.0,267.0,268.0,57476.40532916,15372097.22214727
2026-05-31 04:45:00,269.0,271.0,269.0,271.0,60280.32312942,16276151.03150262
2026-05-31 05:00:00,271.0,273.0,271.0,273.0,525570.25041116,142934571.33481148
2026-05-31 05:15:00,273.0,275.0,273.0,275.0,236192.91890742,64673580.71522148
2026-05-31 05:30:00,275.0,278.0,274.0,278.0,507507.2223461,140398456.9277552
2026-05-31 05:45:00,277.0,278.0,273.0,273.0,407339.58931102,112213384.50255133
2026-05-31 06:00:00,272.0,277.0,272.0,275.0,196774.41617295,54120088.6427402
2026-05-31 06:15:00,275.0,278.0,275.0,278.0,164102.10479341,45298043.09838902
2026-05-31 06:30:00,279.0,284.0,279.0,284.0,769902.61739891,216751109.0406167
2026-05-31 06:45:00,284.0,286.0,281.0,285.0,504297.50674401,143007779.50395954
2026-05-31 07:00:00,285.0,301.0,283.0,301.0,3799029.66339009,1116661239.2648585
2026-05-31 07:15:00,301.0,302.0,287.0,296.0,3340352.07331972,986091723.1001755
2026-05-31 07:30:00,295.0,305.0,293.0,297.0,3354127.16002002,1005971009.5874645
2026-05-31 07:45:00,298.0,301.0,292.0,295.0,2295622.48133647,679909425.5841562
2026-05-31 08:00:00,295.0,297.0,281.0,284.0,3419711.92808813,980611712.0089117
2026-05-31 08:15:00,284.0,287.0,282.0,285.0,940952.73951603,267564468.87101936
2026-05-31 08:30:00,285.0,286.0,282.0,284.0,368512.39236263,104725679.62534782
2026-05-31 08:45:00,285.0,285.0,283.0,284.0,575841.50542568,163367471.28519332
2026-05-31 09:00:00,283.0,285.0,277.0,282.0,2036264.57368362,572929715.2310544
2026-05-31 09:15:00,282.0,283.0,279.0,280.0,562866.92548259,158221436.69167057
2026-05-31 09:30:00,280.0,283.0,279.0,280.0,581691.71565682,163406721.08605662
2026-05-31 09:45:00,280.0,282.0,278.0,279.0,733468.79183227,205059186.85987526
2026-05-31 10:00:00,280.0,283.0,279.0,281.0,329057.33137856,92607289.07500395
2026-05-31 10:15:00,281.0,281.0,278.0,280.0,536579.78407674,150246147.15868315
2026-05-31 10:30:00,281.0,283.0,278.0,279.0,250564.5321287,70385087.29906575
2026-05-31 10:45:00,279.0,280.0,274.0,276.0,791105.31683786,219039025.14884546
2026-05-31 11:00:00,277.0,278.0,275.0,276.0,518118.09119271,143118649.87714696
2026-05-31 11:15:00,275.0,277.0,274.0,276.0,323251.57615388,89093749.67426588
2026-05-31 11:30:00,275.0,277.0,274.0,275.0,181622.67140245,49904306.00603082
2026-05-31 11:45:00,275.0,277.0,274.0,276.0,93689.30979857,25834022.99742408
2026-05-31 12:00:00,275.0,278.0,275.0,278.0,85006.39673879,23557264.24469763
2026-05-31 12:15:00,278.0,280.0,277.0,278.0,172874.26057822,48082467.92002447
2026-05-31 12:30:00,278.0,281.0,278.0,280.0,203576.25578758,56927521.93027551
2026-05-31 12:45:00,280.0,282.0,280.0,282.0,168972.91831228,47494165.79196521
2026-05-31 13:00:00,282.0,283.0,280.0,282.0,158705.40144121,44685603.09758245
2026-05-31 13:15:00,281.0,281.0,277.0,279.0,280153.01412051,78280258.39665937
2026-05-31 13:30:00,279.0,281.0,277.0,278.0,71586.05956675,19929972.09476384
2026-05-31 13:45:00,278.0,278.0,277.0,277.0,79604.31804678,22058179.48397141
2026-05-31 14:00:00,278.0,280.0,278.0,280.0,124592.02143067,34794199.08791833
2026-05-31 14:15:00,279.0,279.0,274.0,275.0,216369.88582843,59769357.60427566
2026-05-31 14:30:00,275.0,276.0,275.0,275.0,254935.77916245,70149717.78944068
2026-05-31 14:45:00,276.0,276.0,272.0,272.0,331205.27083465,90314878.82232954
2026-05-31 15:00:00,272.0,272.0,270.0,272.0,321467.32002953,87275130.85967971
2026-05-31 15:15:00,272.0,272.0,269.0,270.0,465362.96555042,125636431.45060548
2026-05-31 15:30:00,271.0,271.0,269.0,270.0,215017.22017191,58069470.58676867
2026-05-31 15:45:00,270.0,270.0,269.0,269.0,341821.93226516,92065687.42105424
2026-05-31 16:00:00,269.0,272.0,267.0,271.0,1009914.46490941,271036490.45549774
2026-05-31 16:15:00,272.0,273.0,271.0,272.0,245493.53261052,66803347.13611867
2026-05-31 16:30:00,273.0,274.0,271.0,271.0,59271.91556422,16102974.9600877
2026-05-31 16:45:00,272.0,272.0,268.0,268.0,390403.15924427,105428225.27367082
2026-05-31 17:00:00,269.0,269.0,265.0,267.0,594434.04965525,158824406.14437973
2026-05-31 17:15:00,266.0,268.0,265.0,265.0,312249.52085932,83034525.54393356
2026-05-31 17:30:00,266.0,267.0,264.0,265.0,199099.84051326,52892965.01665203
2026-05-31 17:45:00,266.0,266.0,265.0,266.0,81394.93648317,21606007.85491024
2026-05-31 18:00:00,266.0,266.0,265.0,266.0,195715.58347576,51951393.31373393
2026-05-31 18:15:00,266.0,267.0,266.0,267.0,69310.95941894,18490583.0705976
2026-05-31 18:30:00,268.0,268.0,266.0,266.0,88862.77073386,23697612.12470732
2026-05-31 18:45:00,267.0,267.0,264.0,264.0,98778.20750797,26213454.02425026
2026-05-31 19:00:00,264.0,265.0,264.0,264.0,208058.83429068,55100389.31321048
2026-05-31 19:15:00,264.0,265.0,262.0,263.0,144450.24491469,37999420.03422703
2026-05-31 19:30:00,263.0,264.0,262.0,262.0,61657.71367886,16173870.37363563
2026-05-31 19:45:00,262.0,263.0,262.0,262.0,109385.92710578,28711940.35110751
2026-05-31 20:00:00,262.0,265.0,262.0,265.0,34157.5146311,9017987.16508438
2026-05-31 20:15:00,265.0,265.0,263.0,263.0,212958.80220891,56057802.28353953
2026-05-31 20:30:00,264.0,264.0,261.0,262.0,171382.3087897,44889526.33566892
2026-05-31 20:45:00,262.0,262.0,260.0,261.0,285955.07785468,74579748.15931748
2026-05-31 21:00:00,261.0,263.0,261.0,261.0,207884.3918264,54403236.17028021
2026-05-31 21:15:00,262.0,263.0,261.0,261.0,50693.77366404,13307519.20352925
2026-05-31 21:30:00,262.0,263.0,262.0,263.0,37067.97957007,9722927.08578773
2026-05-31 21:45:00,263.0,263.0,262.0,262.0,43100.16421963,11309022.54470569
2026-05-31 22:00:00,262.0,263.0,262.0,263.0,25492.16580147,6685928.80880643
2026-05-31 22:15:00,262.0,263.0,261.0,262.0,161316.28176703,42181291.09017368
2026-05-31 22:30:00,262.0,262.0,258.0,258.0,221419.67353013,57482514.99329376
2026-05-31 22:45:00,258.0,259.0,257.0,258.0,466830.12493989,120183995.02253626
2026-05-31 23:00:00,258.0,258.0,256.0,258.0,128096.34391462,32951463.16443468
2026-05-31 23:15:00,258.0,259.0,255.0,256.0,159396.47985875,40856162.54422061
2026-05-31 23:30:00,256.0,256.0,254.0,255.0,254070.04816308,64771202.8710022
2026-05-31 23:45:00,255.0,256.0,253.0,256.0,93719.16973534,23859574.86122643
2026-06-01 00:00:00,257.0,257.0,257.0,257.0,102425.1735889,26323269.6123473
2026-06-01 00:15:00,257.0,259.0,257.0,258.0,10552.63907426,2726083.26112889
2026-06-01 00:30:00,260.0,260.0,258.0,258.0,62189.80309749,16085435.07827504
2026-06-01 00:45:00,259.0,259.0,257.0,258.0,188450.05343075,48611724.79982092
2026-06-01 01:00:00,258.0,259.0,258.0,259.0,457.68046813,118100.88510187
2026-06-01 01:15:00,259.0,260.0,257.0,257.0,114306.2533419,29408012.74314192
2026-06-01 01:30:00,256.0,256.0,255.0,255.0,76000.91423244,19391182.26819003
2026-06-01 01:45:00,254.0,255.0,253.0,254.0,42765.43560471,10867751.84034805
2026-06-01 02:00:00,255.0,256.0,254.0,254.0,2557.48503521,652294.85585355
2026-06-01 02:15:00,254.0,255.0,254.0,254.0,24484.14785779,6230019.18600477
2026-06-01 02:30:00,254.0,257.0,254.0,257.0,4676.01794626,1189781.13116063
2026-06-01 02:45:00,255.0,255.0,255.0,255.0,31.79536059,8107.81695045
2026-06-01 03:00:00,256.0,256.0,256.0,256.0,19.55078125,5005.0
2026-06-01 03:15:00,256.0,256.0,254.0,255.0,4678.89538005,1195546.42298722
2026-06-01 03:30:00,254.0,254.0,254.0,254.0,156.9605822,39867.9878788
2026-06-01 03:45:00,254.0,254.0,254.0,254.0,20984.61030046,5330091.01631684
2026-06-01 04:00:00,253.0,255.0,253.0,255.0,8010.52138258,2030917.72605892
2026-06-01 04:15:00,255.0,255.0,254.0,255.0,69995.9460362,17828698.72298913
2026-06-01 04:30:00,255.0,255.0,255.0,255.0,43.57254901,11110.99999755
2026-06-01 04:45:00,256.0,256.0,255.0,255.0,21904.18240287,5597092.48398784
2026-06-01 05:00:00,257.0,258.0,257.0,257.0,1232.11990981,316694.81682117
2026-06-01 05:15:00,257.0,257.0,256.0,256.0,39673.94944081,10191453.35248253
2026-06-01 05:30:00,258.0,258.0,258.0,258.0,51710.9779504,13341432.3112032
2026-06-01 05:45:00,258.0,259.0,258.0,259.0,372.47253375,96401.94420175
2026-06-01 06:00:00,259.0,259.0,259.0,259.0,30862.20723257,7993311.67323563
2026-06-01 06:15:00,258.0,259.0,257.0,259.0,64245.41295764,16573410.13480748
2026-06-01 06:30:00,258.0,258.0,257.0,257.0,33061.07548318,8528077.14392113
2026-06-01 06:45:00,259.0,261.0,259.0,261.0,32706.24191571,8492154.57598909
2026-06-01 07:00:00,261.0,262.0,258.0,260.0,79537.52723293,20621521.80344325
2026-06-01 07:15:00,261.0,262.0,261.0,262.0,83651.47678094,21867935.1064655
2026-06-01 07:30:00,262.0,264.0,261.0,261.0,107113.38648402,28084895.0832964
2026-06-01 07:45:00,262.0,264.0,262.0,264.0,23848.42150648,6285162.50113365
2026-06-01 08:00:00,264.0,265.0,261.0,261.0,75711.69202238,19967317.60652898
2026-06-01 08:15:00,261.0,262.0,259.0,259.0,67869.84051624,17644272.43930376
2026-06-01 08:30:00,259.0,259.0,259.0,259.0,22861.82726781,5921213.26236279
2026-06-01 08:45:00,259.0,261.0,259.0,260.0,23538.04159551,6137144.47188222
2026-06-01 09:00:00,259.0,260.0,256.0,258.0,171225.1784861,44132521.37957529
2026-06-01 09:15:00,258.0,258.0,256.0,258.0,207204.53605691,53250352.86475367
2026-06-01 09:30:00,260.0,261.0,259.0,261.0,89097.25901453,23183167.99828056
2026-06-01 09:45:00,260.0,260.0,257.0,258.0,118768.18950564,30696745.65192931
2026-06-01 10:00:00,258.0,260.0,256.0,257.0,240143.54360334,61786625.26220451
2026-06-01 10:15:00,257.0,257.0,256.0,257.0,165454.19436145,42433250.93019763
2026-06-01 10:30:00,256.0,257.0,254.0,256.0,209448.84173656,53548750.99097355
2026-06-01 10:45:00,256.0,256.0,254.0,256.0,87424.23970098,22278999.30142032
2026-06-01 11:00:00,254.0,258.0,254.0,258.0,97926.80406414,25087101.51422592
2026-06-01 11:15:00,258.0,260.0,257.0,260.0,149439.87747445,38634466.20180259
2026-06-01 11:30:00,261.0,265.0,260.0,265.0,286462.28780559,75055441.07105958
2026-06-01 11:45:00,264.0,265.0,263.0,263.0,179195.30682286,47351761.92541646
