,open,high,low,close,volume,value
2026-05-08 04:30:00,1.64,1.64,1.64,1.64,27383.478125,44908.904125
2026-05-08 04:45:00,1.64,1.64,1.64,1.64,27376.478125,44897.424125
2026-05-08 05:00:00,1.64,1.64,1.64,1.64,27384.478125,44910.544125
2026-05-08 05:15:00,1.65,1.65,1.64,1.64,1410514.02378148,2316660.04748648
2026-05-08 05:30:00,1.64,1.64,1.63,1.63,217258.36193735,355846.55028065
2026-05-08 05:45:00,1.63,1.63,1.63,1.63,27380.478125,44630.17934375
2026-05-08 06:00:00,1.63,1.64,1.63,1.63,4625662.77067182,7540679.59277629
2026-05-08 06:15:00,1.63,1.63,1.63,1.63,27423.478125,44700.26934375
2026-05-08 06:30:00,1.64,1.64,1.64,1.64,77375.478125,126895.784125
2026-05-08 06:45:00,1.65,1.65,1.64,1.64,1631105.0202933,2675329.2687027
2026-05-08 07:00:00,1.64,1.64,1.63,1.63,302489.30832143,495808.6108659
2026-05-08 07:15:00,1.63,1.64,1.63,1.63,107530.478125,175774.67934375
2026-05-08 07:30:00,1.63,1.63,1.63,1.63,27384.478125,44636.69934375
2026-05-08 07:45:00,1.63,1.63,1.63,1.63,46784.44589243,76258.64680466
2026-05-08 08:00:00,1.63,1.63,1.63,1.63,290789.02814146,473986.11587058
2026-05-08 08:15:00,1.63,1.63,1.63,1.63,72367.13422036,117958.42877919
2026-05-08 08:30:00,1.64,1.64,1.63,1.63,1725801.01471036,2830039.72934374
2026-05-08 08:45:00,1.64,1.64,1.63,1.63,1105410.62124007,1812599.43405246
2026-05-08 09:00:00,1.64,1.64,1.63,1.63,2330967.16283156,3822512.22226251
2026-05-08 09:15:00,1.64,1.64,1.63,1.63,5494008.87530572,9009660.60724941
2026-05-08 09:30:00,1.63,1.63,1.63,1.63,27375.478125,44622.02934375
2026-05-08 09:45:00,1.63,1.63,1.63,1.63,113624.80286893,185208.42867636
2026-05-08 10:00:00,1.63,1.63,1.63,1.63,27398.478125,44659.51934375
2026-05-08 10:15:00,1.64,1.64,1.63,1.63,1353095.82357421,2218803.18588045
2026-05-08 10:30:00,1.64,1.64,1.63,1.63,2345322.85553385,3846055.56829426
2026-05-08 10:45:00,1.63,1.63,1.63,1.63,243359.82760075,396676.51898922
2026-05-08 11:00:00,1.63,1.63,1.63,1.63,1655793.22547083,2698942.95751745
2026-05-08 11:15:00,1.63,1.63,1.63,1.63,128810.22370156,209960.66463354
2026-05-08 11:30:00,1.63,1.63,1.63,1.63,27393.478125,44651.36934375
2026-05-08 11:45:00,1.64,1.64,1.63,1.63,418920.478125,686755.82934375
2026-05-08 12:00:00,1.63,1.63,1.63,1.63,2201627.478125,3588652.78934375
2026-05-08 12:15:00,1.63,1.64,1.63,1.63,66112.54842103,108068.33197506
2026-05-08 12:30:00,1.63,1.63,1.63,1.63,36960.9913073,60246.4158309
2026-05-08 12:45:00,1.63,1.63,1.63,1.63,27423.478125,44700.26934375
2026-05-08 13:00:00,1.63,1.63,1.63,1.63,27373.478125,44618.76934375
2026-05-08 13:15:00,1.64,1.64,1.64,1.64,27372.478125,44890.864125
2026-05-08 13:30:00,1.64,1.64,1.63,1.63,327408.28856601,536675.56846701
2026-05-08 13:45:00,1.63,1.63,1.63,1.63,2193358.32279004,3575174.06614777
2026-05-08 14:00:00,1.63,1.64,1.63,1.63,2695862.53781134,4419670.97169117
2026-05-08 14:15:00,1.64,1.65,1.63,1.63,4045355.60274911,6634179.40715591
2026-05-08 14:30:00,1.63,1.63,1.63,1.63,27414.478125,44685.59934375
2026-05-08 14:45:00,1.64,1.64,1.63,1.63,47066.20205138,76914.55658301
2026-05-08 15:00:00,1.63,1.63,1.63,1.63,104637.57489919,170559.24708568
2026-05-08 15:15:00,1.63,1.63,1.63,1.63,58077.32475077,94666.03934376
2026-05-08 15:30:00,1.63,1.63,1.63,1.63,27375.478125,44622.02934375
2026-05-08 15:45:00,1.64,1.64,1.63,1.63,332281.52690548,544667.66934374
2026-05-08 16:00:00,1.63,1.63,1.63,1.63,1343088.03984495,2189233.50494727
2026-05-08 16:15:00,1.63,1.63,1.63,1.63,34409.46454938,56087.42721549
