,open,high,low,close,volume,value
2026-05-16 11:15:00,86.7,86.7,86.6,86.6,45319.91144255,3929077.82206909
2026-05-16 11:30:00,86.6,86.8,86.5,86.8,394080.89313241,34088718.46686556
2026-05-16 11:45:00,86.7,86.8,86.6,86.6,33804.08377197,2931582.37396145
2026-05-16 12:00:00,86.6,86.8,86.6,86.8,5987.76807519,519715.28042075
2026-05-16 12:15:00,86.8,87.0,86.8,86.9,48875.32620276,4242395.71439957
2026-05-16 12:45:00,86.6,86.6,86.6,86.6,146682.7898967,12702729.60505422
2026-05-16 13:00:00,86.6,86.6,86.1,86.1,43348.63175627,3743079.36924101
2026-05-16 13:15:00,86.1,86.2,85.7,85.7,370754.43786725,31793014.18606942
2026-05-16 13:30:00,85.8,85.8,85.3,85.7,211610.77618621,18088272.52361837
2026-05-16 13:45:00,85.7,85.7,85.4,85.5,66876.01887621,5717889.87023148
2026-05-16 14:00:00,85.4,85.5,85.2,85.5,62637.24236711,5338241.84932595
2026-05-16 14:15:00,85.4,85.4,85.4,85.4,3058.54800936,261199.99999934
2026-05-16 14:30:00,85.3,85.3,84.9,85.1,173005.72137768,14713331.18355089
2026-05-16 14:45:00,85.1,85.1,84.6,84.6,618204.33020581,52455388.25889212
2026-05-16 15:00:00,84.9,85.0,84.3,84.3,181833.9247035,15397852.78615023
2026-05-16 15:15:00,84.4,84.4,83.8,84.0,190890.1984419,16034720.37618181
2026-05-16 15:30:00,84.0,84.0,83.8,83.8,58225.4907531,4883667.09417614
2026-05-16 15:45:00,83.7,83.8,83.5,83.8,153068.7950099,12799816.32758015
2026-05-16 16:00:00,83.9,83.9,82.5,83.1,411508.15980164,34192104.84066624
2026-05-16 16:15:00,82.9,83.6,82.9,83.6,210833.74959664,17561013.52629423
2026-05-16 16:30:00,83.2,83.6,83.2,83.6,70174.57901475,5840105.30268148
2026-05-16 16:45:00,83.6,83.7,83.3,83.5,205922.58720517,17211751.78628951
2026-05-16 17:00:00,83.5,83.8,83.2,83.8,127465.93774125,10630702.72396671
2026-05-16 17:15:00,83.6,83.7,83.4,83.7,211355.01469634,17653229.19505766
2026-05-16 17:30:00,83.6,83.6,83.3,83.3,67150.93905146,5594111.28621345
2026-05-16 17:45:00,83.3,83.3,83.2,83.2,8292.08100081,690214.13582901
2026-05-16 18:00:00,83.2,83.4,82.7,83.0,217009.20005137,18003077.41787214
2026-05-16 18:15:00,82.7,82.9,82.3,82.5,201409.0537333,16630638.91856076
2026-05-16 18:30:00,82.8,83.1,82.8,82.9,110303.56121502,9149558.95508833
2026-05-16 18:45:00,82.9,82.9,82.9,82.9,4412.33301355,365782.4068233
2026-05-16 19:00:00,82.9,82.9,82.6,82.6,212178.14156007,17547044.24205591
2026-05-16 19:15:00,82.6,83.0,82.5,83.0,464439.87635501,38418421.79763991
