,open,high,low,close,volume,value
2026-05-18 07:15:00,737.0,738.0,734.0,735.0,19878.04781403,14606974.60177973
2026-05-18 07:30:00,735.0,736.0,734.0,735.0,9357.46026852,6877550.25422731
2026-05-18 07:45:00,735.0,735.0,733.0,733.0,58025.55314645,42543940.99428601
2026-05-18 08:00:00,733.0,733.0,729.0,731.0,111678.46568376,81601814.00116053
2026-05-18 08:15:00,730.0,730.0,725.0,725.0,393834.46232955,286210728.42979807
2026-05-18 08:30:00,725.0,727.0,691.0,705.0,1499564.64900183,1064079190.2125287
2026-05-18 08:45:00,704.0,713.0,703.0,711.0,369430.78903,260770021.56527373
2026-05-18 09:00:00,710.0,712.0,701.0,705.0,412012.96322195,290812206.6421397
2026-05-18 09:15:00,705.0,711.0,705.0,710.0,89733.65200075,63550577.85832711
2026-05-18 09:30:00,709.0,709.0,706.0,707.0,185597.67851667,131227359.88181213
2026-05-18 09:45:00,706.0,708.0,704.0,706.0,54173.01631576,38215730.3095409
2026-05-18 10:00:00,709.0,709.0,705.0,705.0,45268.94545063,31978235.02025254
2026-05-18 10:15:00,705.0,706.0,703.0,703.0,153434.63000754,107944123.13706736
2026-05-18 10:30:00,703.0,704.0,700.0,701.0,148117.82738404,103912655.87783831
2026-05-18 10:45:00,701.0,706.0,700.0,705.0,35946.31997671,25243444.74680746
2026-05-18 11:00:00,705.0,712.0,705.0,711.0,106284.16551469,75333146.0978589
2026-05-18 11:15:00,711.0,711.0,706.0,709.0,72827.16298181,51565177.52282338
2026-05-18 11:30:00,709.0,713.0,708.0,711.0,95637.28913243,67930252.22000542
2026-05-18 11:45:00,713.0,716.0,713.0,716.0,83341.82119548,59549148.11012185
2026-05-18 12:00:00,717.0,723.0,714.0,719.0,197128.68427025,141936473.7877174
2026-05-18 12:15:00,719.0,723.0,712.0,713.0,106045.52384092,76040485.34008352
2026-05-18 12:30:00,713.0,718.0,710.0,718.0,81068.25938523,57713306.04946297
2026-05-18 12:45:00,717.0,717.0,713.0,714.0,39448.38508477,28221463.51280148
2026-05-18 13:00:00,713.0,716.0,713.0,715.0,52263.239592,37340265.97592749
2026-05-18 13:15:00,715.0,720.0,714.0,717.0,209384.47973532,150313667.1592019
2026-05-18 13:30:00,716.0,718.0,715.0,716.0,64463.00307813,46133297.63948601
2026-05-18 13:45:00,718.0,718.0,716.0,717.0,10654.83185315,7643830.08091197
2026-05-18 14:00:00,717.0,718.0,715.0,717.0,25024.95772114,17938997.68791306
2026-05-18 14:15:00,718.0,718.0,715.0,716.0,32716.04903879,23421126.91357239
2026-05-18 14:30:00,716.0,716.0,711.0,711.0,59937.87938104,42725773.45389671
2026-05-18 14:45:00,711.0,713.0,711.0,711.0,44721.19304507,31830948.60552493
2026-05-18 15:00:00,711.0,713.0,709.0,712.0,43076.95775627,30636749.57262364
2026-05-18 15:15:00,713.0,713.0,708.0,708.0,92419.07861021,65637904.16452349
2026-05-18 15:30:00,708.0,711.0,708.0,708.0,56737.85897781,40198420.99043242
2026-05-18 15:45:00,709.0,712.0,708.0,708.0,59903.36342328,42540220.87830865
2026-05-18 16:00:00,710.0,712.0,707.0,707.0,19382.29018429,13758772.64427492
2026-05-18 16:15:00,707.0,708.0,705.0,708.0,46000.69932015,32486608.21619653
2026-05-18 16:30:00,708.0,708.0,705.0,706.0,101411.72705629,71624362.8468247
2026-05-18 16:45:00,707.0,707.0,704.0,706.0,128655.05748439,90666667.37158477
2026-05-18 17:00:00,706.0,710.0,706.0,708.0,61986.33172604,43865390.10231002
2026-05-18 17:15:00,708.0,709.0,706.0,707.0,53923.14663571,38141360.26361898
2026-05-18 17:30:00,706.0,708.0,705.0,706.0,12971.08107496,9159954.95971064
2026-05-18 17:45:00,705.0,715.0,705.0,715.0,68745.90836288,48921095.25424677
2026-05-18 18:00:00,715.0,717.0,713.0,714.0,110268.20439822,78788096.57650004
2026-05-18 18:15:00,713.0,714.0,710.0,712.0,57125.98603951,40634508.04995873
2026-05-18 18:30:00,711.0,714.0,711.0,713.0,5915.86043256,4217601.75034203
2026-05-18 18:45:00,713.0,714.0,712.0,712.0,19014.02591761,13572272.88524688
2026-05-18 19:00:00,712.0,713.0,709.0,712.0,48343.51432464,34393476.35798732
2026-05-18 19:15:00,712.0,712.0,711.0,711.0,47131.54073398,33529969.16556107
2026-05-18 19:30:00,711.0,712.0,710.0,711.0,43815.25601613,31136598.47239634
2026-05-18 19:45:00,712.0,716.0,711.0,712.0,111725.00146067,79842663.27168767
2026-05-18 20:00:00,712.0,715.0,711.0,715.0,19106.05376799,13623821.01504004
2026-05-18 20:15:00,716.0,716.0,715.0,715.0,63637.89987135,45522510.88880028
2026-05-18 20:30:00,715.0,723.0,713.0,722.0,159475.20996622,114540737.04666682
2026-05-18 20:45:00,723.0,727.0,719.0,721.0,197673.767621,142927171.91256747
2026-05-18 21:00:00,721.0,727.0,721.0,725.0,182540.96438468,132405331.86438023
2026-05-18 21:15:00,725.0,727.0,722.0,724.0,84831.35932422,61454303.20871296
2026-05-18 21:30:00,724.0,729.0,722.0,728.0,45232.95007109,32930270.72275452
2026-05-18 21:45:00,728.0,728.0,721.0,722.0,50884.32541208,36870887.36389021
2026-05-18 22:00:00,722.0,727.0,721.0,723.0,96109.24129009,69485510.70168912
2026-05-18 22:15:00,723.0,724.0,722.0,722.0,39600.75603215,28635151.23335713
2026-05-18 22:30:00,721.0,723.0,716.0,720.0,87762.50019087,63118016.47766622
2026-05-18 22:45:00,718.0,722.0,718.0,719.0,70872.5399771,51029732.87913758
2026-05-18 23:00:00,719.0,719.0,716.0,716.0,56777.57603098,40738338.8431352
2026-05-18 23:15:00,716.0,719.0,714.0,717.0,130055.34402317,93131499.16157661
2026-05-18 23:30:00,717.0,718.0,715.0,716.0,86225.37315111,61763112.70361996
2026-05-18 23:45:00,716.0,716.0,714.0,714.0,56551.58859653,40445976.57800453
2026-05-19 00:00:00,715.0,715.0,712.0,714.0,63882.10163953,45529112.27247556
2026-05-19 00:15:00,715.0,716.0,711.0,715.0,52675.16268352,37610686.16161018
2026-05-19 00:30:00,714.0,720.0,714.0,719.0,46187.38343339,33158522.85681804
2026-05-19 00:45:00,719.0,723.0,719.0,720.0,15781.84307451,11381550.46733808
2026-05-19 01:00:00,720.0,720.0,717.0,719.0,46899.31639695,33688614.80522853
2026-05-19 01:15:00,720.0,720.0,715.0,715.0,24172.25941382,17329146.98138306
2026-05-19 01:30:00,716.0,718.0,716.0,717.0,19430.26114307,13934060.24251393
2026-05-19 01:45:00,718.0,718.0,716.0,717.0,31666.28360269,22729649.65983345
2026-05-19 02:00:00,717.0,718.0,715.0,715.0,4627.70232918,3317675.46868549
2026-05-19 02:15:00,716.0,716.0,716.0,716.0,235.98881764,168967.99343024
2026-05-19 02:30:00,716.0,717.0,716.0,717.0,18995.49289084,13616033.37350112
2026-05-19 02:45:00,717.0,717.0,716.0,717.0,22060.92743836,15811036.51320795
2026-05-19 03:00:00,717.0,717.0,712.0,712.0,108353.05656464,77425056.48928641
2026-05-19 03:15:00,712.0,715.0,710.0,715.0,10589.23160182,7532434.50683674
2026-05-19 03:30:00,716.0,718.0,716.0,716.0,3729.87417459,2673098.95642875
2026-05-19 03:45:00,718.0,718.0,712.0,712.0,9604.27670428,6840361.31530036
2026-05-19 04:00:00,712.0,721.0,712.0,718.0,5713.57427111,4085425.1900715
2026-05-19 04:15:00,718.0,719.0,717.0,719.0,3479.39974286,2497569.14065764
2026-05-19 04:30:00,719.0,721.0,719.0,720.0,36389.28577955,26200608.5741322
2026-05-19 04:45:00,722.0,723.0,722.0,723.0,48414.81914169,34985452.52750079
2026-05-19 05:00:00,723.0,724.0,721.0,723.0,11969.19726258,8641641.86471916
2026-05-19 05:15:00,723.0,725.0,723.0,724.0,100586.40242023,72868302.56776738
2026-05-19 05:30:00,724.0,724.0,722.0,723.0,34042.76391691,24627566.9624191
2026-05-19 05:45:00,722.0,722.0,719.0,720.0,32992.16963191,23771011.14478726
2026-05-19 06:00:00,722.0,724.0,721.0,723.0,8985.76311969,6490039.27943253
2026-05-19 06:15:00,723.0,725.0,723.0,724.0,16369.59988692,11854883.02981796
2026-05-19 06:30:00,723.0,726.0,723.0,724.0,43987.33244648,31842947.43086109
2026-05-19 06:45:00,725.0,726.0,724.0,726.0,3138.300432,2275699.84346937
2026-05-19 07:00:00,726.0,729.0,724.0,729.0,52439.93541468,38103174.27380052
2026-05-19 07:15:00,728.0,732.0,728.0,728.0,70719.04411544,51652243.79704697
2026-05-19 07:30:00,729.0,731.0,727.0,727.0,26704.74451237,19445317.01041789
2026-05-19 07:45:00,728.0,729.0,727.0,729.0,81163.1424227,59089566.55607183
2026-05-19 08:00:00,729.0,733.0,729.0,731.0,46090.50058506,33670624.81557645
2026-05-19 08:15:00,731.0,731.0,729.0,729.0,41913.87974615,30606952.84251144
2026-05-19 08:30:00,729.0,732.0,728.0,730.0,37644.83162551,27487388.10104704
2026-05-19 08:45:00,730.0,730.0,725.0,727.0,93714.82785844,68144653.86961561
2026-05-19 09:00:00,726.0,746.0,726.0,737.0,2265021.75464488,1671320205.4431593
2026-05-19 09:15:00,737.0,744.0,736.0,736.0,531987.44897269,393933734.3189598
2026-05-19 09:30:00,736.0,736.0,728.0,728.0,441056.26370049,322831462.7016969
2026-05-19 09:45:00,729.0,733.0,729.0,730.0,179774.60060951,131253908.46983755
2026-05-19 10:00:00,730.0,730.0,727.0,728.0,228757.35829961,166538399.4867875
2026-05-19 10:15:00,728.0,728.0,724.0,725.0,225427.84394083,163578247.2857641
2026-05-19 10:30:00,725.0,728.0,725.0,727.0,124441.41401932,90364070.33455446
2026-05-19 10:45:00,726.0,726.0,723.0,724.0,85537.51240024,61949407.42001738
2026-05-19 11:00:00,723.0,724.0,721.0,722.0,207904.98684519,150062141.34554642
2026-05-19 11:15:00,722.0,724.0,720.0,723.0,171273.58473117,123626771.2405454
2026-05-19 11:30:00,722.0,722.0,719.0,721.0,116935.07023435,84227622.27190655
2026-05-19 11:45:00,721.0,723.0,719.0,719.0,81649.75774344,58803123.72001879
2026-05-19 12:00:00,719.0,721.0,718.0,721.0,200167.57242268,144080988.30501166
2026-05-19 12:15:00,720.0,721.0,720.0,720.0,34891.22557971,25129192.09042646
2026-05-19 12:30:00,721.0,721.0,720.0,721.0,18197.44898111,13103840.08279958
2026-05-19 12:45:00,720.0,721.0,719.0,720.0,137480.69054346,98917640.39979164
2026-05-19 13:00:00,719.0,721.0,719.0,721.0,37731.0181604,27165914.51759157
2026-05-19 13:15:00,722.0,722.0,718.0,718.0,89302.05398221,64232471.85266018
2026-05-19 13:30:00,718.0,720.0,716.0,717.0,55208.46624927,39612735.25459356
2026-05-19 13:45:00,719.0,722.0,719.0,721.0,19530.0253808,14063689.8749619
2026-05-19 14:00:00,721.0,722.0,720.0,720.0,40398.03112515,29099155.88318081
2026-05-19 14:15:00,719.0,720.0,718.0,720.0,43470.02230389,31257464.8838867
2026-05-19 14:30:00,720.0,723.0,720.0,723.0,11283.68786144,8134604.59839003
2026-05-19 14:45:00,721.0,722.0,720.0,721.0,15420.62909442,11109175.0170078
2026-05-19 15:00:00,720.0,724.0,720.0,724.0,33177.78726591,23976502.17462723
2026-05-19 15:15:00,723.0,723.0,721.0,721.0,44223.5526609,31929912.98717741
2026-05-19 15:30:00,721.0,723.0,721.0,722.0,16526.48775703,11928456.59017325
2026-05-19 15:45:00,723.0,724.0,722.0,722.0,31059.2287987,22466491.33912076
2026-05-19 16:00:00,722.0,724.0,721.0,721.0,21814.97871787,15747571.816377
2026-05-19 16:15:00,724.0,724.0,721.0,721.0,16100.89450186,11633899.44822081
2026-05-19 16:30:00,722.0,724.0,722.0,724.0,4936.28506608,3564080.73954907
2026-05-19 16:45:00,723.0,724.0,722.0,722.0,37395.66967483,27064587.03519968
2026-05-19 17:00:00,722.0,723.0,719.0,719.0,74342.33041986,53652794.36365239
2026-05-19 17:15:00,719.0,720.0,717.0,719.0,65247.29465426,46835554.72942524
2026-05-19 17:30:00,719.0,722.0,719.0,721.0,53952.20842595,38838230.96451425
2026-05-19 17:45:00,720.0,721.0,720.0,720.0,22239.2275662,16012735.26738586
2026-05-19 18:00:00,719.0,719.0,717.0,717.0,65634.90367699,47140988.5072611
2026-05-19 18:15:00,718.0,719.0,715.0,716.0,156568.98977645,112269592.74712832
2026-05-19 18:30:00,716.0,716.0,713.0,716.0,157252.27907602,112371364.95615506
2026-05-19 18:45:00,716.0,717.0,715.0,717.0,30648.54185522,21946232.53933174
2026-05-19 19:00:00,716.0,717.0,716.0,716.0,8432.37697492,6039954.5090732
2026-05-19 19:15:00,716.0,716.0,715.0,715.0,72909.01121321,52168215.07541655
2026-05-19 19:30:00,715.0,717.0,713.0,713.0,66967.2927965,47848530.55235931
2026-05-19 19:45:00,714.0,715.0,713.0,714.0,47175.76931477,33675637.28358215
2026-05-19 20:00:00,714.0,715.0,713.0,714.0,94192.15967715,67267571.96121179
2026-05-19 20:15:00,713.0,714.0,712.0,713.0,94790.88692684,67585178.25516278
2026-05-19 20:30:00,713.0,713.0,709.0,710.0,119641.71560553,85128824.12819047
2026-05-19 20:45:00,710.0,712.0,709.0,710.0,84020.74828627,59723408.49461483
2026-05-19 21:00:00,710.0,715.0,710.0,715.0,56980.79195716,40691927.81712398
2026-05-19 21:15:00,714.0,715.0,711.0,711.0,40553.19141404,28884781.82788644
2026-05-19 21:30:00,713.0,713.0,711.0,712.0,17748.00765321,12623722.84981042
2026-05-19 21:45:00,712.0,713.0,712.0,712.0,55430.14811758,39471846.9721259
2026-05-19 22:00:00,713.0,713.0,712.0,712.0,13215.39081315,9422057.61752459
2026-05-19 22:15:00,713.0,714.0,712.0,712.0,32946.02294411,23466939.87188864
2026-05-19 22:30:00,712.0,715.0,712.0,712.0,33546.62122068,23925245.20395534
2026-05-19 22:45:00,712.0,714.0,712.0,713.0,42110.44310099,30033235.57658573
2026-05-19 23:00:00,713.0,714.0,711.0,711.0,33174.6195601,23651975.20796971
2026-05-19 23:15:00,711.0,711.0,709.0,710.0,68152.4481047,48373965.14705898
2026-05-19 23:30:00,710.0,712.0,710.0,711.0,18629.67128255,13243314.45484697
2026-05-19 23:45:00,710.0,711.0,708.0,710.0,60636.00062556,43025039.33739489
2026-05-20 00:00:00,710.0,713.0,710.0,712.0,79453.21845694,56495589.51257705
2026-05-20 00:15:00,712.0,713.0,708.0,713.0,79035.66840397,56049536.22965345
2026-05-20 00:30:00,712.0,715.0,712.0,715.0,25288.60156405,18069589.72840263
2026-05-20 00:45:00,714.0,715.0,712.0,712.0,65146.45690125,46491486.79521184
2026-05-20 01:00:00,713.0,713.0,712.0,713.0,48755.10898317,34746151.61409314
2026-05-20 01:15:00,713.0,714.0,712.0,714.0,18765.3995273,13393701.41435611
2026-05-20 01:30:00,714.0,714.0,713.0,713.0,8473.27220451,6043443.08181563
2026-05-20 01:45:00,714.0,717.0,714.0,717.0,6319.80877138,4525067.82385796
2026-05-20 02:00:00,717.0,717.0,716.0,716.0,6827.76789238,4892492.33294348
2026-05-20 02:15:00,717.0,717.0,716.0,716.0,11336.05879418,8118168.11699549
2026-05-20 02:30:00,716.0,716.0,713.0,713.0,17432.93130141,12476246.39557358
2026-05-20 02:45:00,712.0,713.0,712.0,713.0,48487.66064267,34524233.6443412
2026-05-20 03:00:00,713.0,714.0,711.0,714.0,2645.11426884,1881722.42556341
2026-05-20 03:15:00,712.0,713.0,711.0,711.0,19650.67187324,13972719.37949742
2026-05-20 03:30:00,711.0,712.0,710.0,712.0,11695.43459475,8319643.41079183
2026-05-20 03:45:00,712.0,712.0,710.0,711.0,59334.67456053,42137185.8838895
2026-05-20 04:00:00,711.0,715.0,711.0,715.0,20315.11606357,14451327.41612696
2026-05-20 04:15:00,716.0,718.0,715.0,717.0,57085.45931312,40925390.99517336
2026-05-20 04:30:00,716.0,716.0,715.0,715.0,19992.62440728,14309762.45816343
2026-05-20 04:45:00,714.0,714.0,713.0,713.0,8963.52280683,6397019.63877716
2026-05-20 05:00:00,713.0,715.0,712.0,715.0,38265.18244984,27307952.83000638
2026-05-20 05:15:00,713.0,714.0,713.0,714.0,8340.62934666,5955127.00117942
2026-05-20 05:30:00,715.0,716.0,715.0,716.0,7813.05094654,5586401.25917833
2026-05-20 05:45:00,716.0,717.0,716.0,717.0,1230.41280554,881462.46718668
2026-05-20 06:00:00,717.0,719.0,715.0,718.0,36879.18665669,26432282.33921936
2026-05-20 06:15:00,719.0,720.0,719.0,719.0,6969.5589546,5011925.40825715
2026-05-20 06:30:00,718.0,719.0,717.0,717.0,41384.90641605,29709537.95325359
2026-05-20 06:45:00,717.0,718.0,715.0,715.0,16325.47741031,11701621.38250184
2026-05-20 07:00:00,715.0,715.0,713.0,713.0,33711.25006918,24070170.77032908
2026-05-20 07:15:00,713.0,714.0,710.0,710.0,26596.47687023,18928371.88529852
2026-05-20 07:30:00,710.0,713.0,710.0,712.0,6165.63479494,4382556.75394262
2026-05-20 07:45:00,711.0,712.0,710.0,710.0,6599.50586538,4692447.35821686
2026-05-20 08:00:00,710.0,712.0,709.0,710.0,97929.28442757,69480705.92834821
2026-05-20 08:15:00,711.0,713.0,711.0,713.0,3245.14098886,2311036.76137535
2026-05-20 08:30:00,713.0,715.0,713.0,713.0,23195.20204798,16551686.35603972
2026-05-20 08:45:00,713.0,715.0,711.0,712.0,19254.12251994,13720091.59545432
2026-05-20 09:00:00,712.0,713.0,709.0,711.0,154965.84573716,110219861.75613476
2026-05-20 09:15:00,711.0,713.0,709.0,711.0,125688.82679329,89310321.49641429
2026-05-20 09:30:00,711.0,713.0,709.0,709.0,107021.87519609,75969744.89672174
2026-05-20 09:45:00,709.0,711.0,708.0,710.0,51927.59373848,36837317.88325697
2026-05-20 10:00:00,710.0,712.0,708.0,711.0,64906.88291152,46017964.28572002
2026-05-20 10:15:00,711.0,712.0,706.0,707.0,135794.50373788,96152482.15694866
2026-05-20 10:30:00,708.0,712.0,708.0,712.0,98019.78522413,69618518.4500976
2026-05-20 10:45:00,711.0,716.0,711.0,716.0,175056.12281457,124852158.56584316
2026-05-20 11:00:00,715.0,716.0,713.0,713.0,47033.5513419,33595210.24271753
2026-05-20 11:15:00,712.0,715.0,711.0,713.0,23526.64082468,16768644.5642354
2026-05-20 11:30:00,713.0,714.0,710.0,711.0,12567.94039491,8947479.45252026
2026-05-20 11:45:00,711.0,711.0,708.0,709.0,70415.5533617,49901179.08749427
2026-05-20 12:00:00,708.0,711.0,707.0,709.0,85854.37423422,60823603.22996227
2026-05-20 12:15:00,709.0,711.0,708.0,711.0,45523.9625119,32293137.65293367
2026-05-20 12:30:00,711.0,712.0,711.0,711.0,28125.53632812,19999954.50113048
2026-05-20 12:45:00,711.0,711.0,708.0,708.0,33050.48556961,23459123.62887015
2026-05-20 13:00:00,710.0,710.0,709.0,710.0,44735.22305586,31748091.69607933
2026-05-20 13:15:00,710.0,711.0,709.0,709.0,21243.82858408,15072815.17259558
2026-05-20 13:30:00,709.0,710.0,708.0,709.0,39556.8534899,28013199.85670942
2026-05-20 13:45:00,709.0,710.0,708.0,709.0,98562.47299354,69830569.58984475
2026-05-20 14:00:00,710.0,713.0,709.0,712.0,37937.38077255,26967014.8269344
2026-05-20 14:15:00,712.0,717.0,712.0,715.0,81969.3190423,58565066.63450879
2026-05-20 14:30:00,715.0,716.0,714.0,715.0,30484.98642198,21796926.24976355
2026-05-20 14:45:00,714.0,715.0,714.0,714.0,7662.38174066,5475819.29439687
2026-05-20 15:00:00,714.0,714.0,713.0,714.0,50907.93240242,36318062.35988922
2026-05-20 15:15:00,714.0,714.0,713.0,714.0,13730.81680619,9799580.71463439
2026-05-20 15:30:00,714.0,714.0,712.0,714.0,56347.59852264,40177284.45776764
2026-05-20 15:45:00,714.0,716.0,713.0,716.0,32134.27279571,22952922.86621824
2026-05-20 16:00:00,716.0,716.0,715.0,716.0,37047.82678712,26497399.09332844
2026-05-20 16:15:00,715.0,717.0,714.0,715.0,11573.98919922,8274283.29184194
2026-05-20 16:30:00,715.0,715.0,715.0,715.0,58037.71159416,41496963.7898244
2026-05-20 16:45:00,714.0,715.0,714.0,714.0,109386.59123026,78156911.206192
2026-05-20 17:00:00,714.0,714.0,712.0,712.0,61415.20429961,43751410.71593859
2026-05-20 17:15:00,713.0,713.0,712.0,713.0,13569.29067407,9672361.00165523
2026-05-20 17:30:00,712.0,719.0,712.0,717.0,86621.48437429,61896819.77583006
2026-05-20 17:45:00,716.0,716.0,715.0,715.0,8977.17024519,6421090.30976976
2026-05-20 18:00:00,715.0,716.0,715.0,716.0,25061.09486354,17939172.56719715
2026-05-20 18:15:00,716.0,716.0,714.0,715.0,19715.82117877,14093639.8137516
2026-05-20 18:30:00,715.0,717.0,715.0,715.0,26663.12298947,19083568.4162964
2026-05-20 18:45:00,715.0,716.0,713.0,714.0,31527.93673055,22526226.19194956
2026-05-20 19:00:00,714.0,716.0,714.0,716.0,11490.09119871,8217475.22947791
2026-05-20 19:15:00,716.0,717.0,715.0,715.0,31089.26887931,22254145.75559793
2026-05-20 19:30:00,716.0,717.0,716.0,717.0,19830.70744076,14215198.22996851
2026-05-20 19:45:00,716.0,717.0,716.0,716.0,44489.00659348,31854718.72097347
2026-05-20 20:00:00,715.0,715.0,714.0,714.0,124914.6597379,89312461.7125985
2026-05-20 20:15:00,716.0,716.0,714.0,714.0,30332.65965436,21659692.21407611
2026-05-20 20:30:00,715.0,716.0,713.0,714.0,55257.66761679,39412720.82434629
2026-05-20 20:45:00,713.0,714.0,711.0,712.0,45561.80370531,32435749.61882592
2026-05-20 21:00:00,713.0,715.0,713.0,715.0,6704.48365739,4781077.25339181
2026-05-20 21:15:00,715.0,715.0,712.0,713.0,47724.76676163,34056242.83973013
2026-05-20 21:30:00,715.0,715.0,714.0,714.0,18425.15670086,13159627.84943846
2026-05-20 21:45:00,715.0,716.0,715.0,716.0,28270.7270112,20241092.22359041
2026-05-20 22:00:00,716.0,716.0,714.0,714.0,12788.1355807,9148454.62801432
2026-05-20 22:15:00,713.0,713.0,712.0,713.0,30771.59641119,21931420.66712454
2026-05-20 22:30:00,712.0,713.0,711.0,713.0,57193.95391357,40683776.00343976
2026-05-20 22:45:00,713.0,715.0,713.0,713.0,8942.79543459,6382930.55436991
2026-05-20 23:00:00,713.0,715.0,711.0,715.0,36131.47400385,25740791.2414731
2026-05-20 23:15:00,715.0,719.0,714.0,715.0,55027.7352887,39442001.48053815
2026-05-20 23:30:00,715.0,718.0,715.0,716.0,61077.84437445,43683618.1366281
2026-05-20 23:45:00,716.0,717.0,715.0,716.0,17714.51395572,12695435.04262822
2026-05-21 00:00:00,718.0,718.0,715.0,715.0,24949.04685695,17852583.85148871
2026-05-21 00:15:00,715.0,722.0,715.0,719.0,269487.40116662,194237321.32018661
2026-05-21 00:30:00,719.0,721.0,718.0,719.0,43819.91509784,31507613.39121355
2026-05-21 00:45:00,719.0,721.0,717.0,718.0,46661.2668813,33584365.20859514
2026-05-21 01:00:00,718.0,720.0,718.0,719.0,16096.51897908,11565117.78801522
2026-05-21 01:15:00,718.0,722.0,716.0,716.0,52322.8934378,37652185.64806504
2026-05-21 01:30:00,718.0,720.0,717.0,719.0,21621.54114836,15528584.56498743
2026-05-21 01:45:00,721.0,721.0,718.0,718.0,18473.76835437,13299156.0569896
2026-05-21 02:00:00,718.0,721.0,717.0,721.0,16262.22124721,11675063.03010421
2026-05-21 02:15:00,721.0,723.0,720.0,721.0,120811.84054358,87032484.09321426
2026-05-21 02:30:00,721.0,722.0,719.0,721.0,13957.05901794,10062359.39921725
2026-05-21 02:45:00,721.0,721.0,719.0,719.0,13233.52895778,9518376.7909122
2026-05-21 03:00:00,719.0,721.0,719.0,721.0,7936.74103177,5711297.80336978
2026-05-21 03:15:00,722.0,725.0,720.0,720.0,24222.52757617,17497460.25599024
2026-05-21 03:30:00,720.0,721.0,720.0,721.0,10716.5404932,7717160.30107955
2026-05-21 03:45:00,721.0,721.0,720.0,720.0,991.42487498,713853.63537394
2026-05-21 04:00:00,720.0,721.0,720.0,721.0,15290.84753211,11010105.21479692
2026-05-21 04:15:00,721.0,725.0,721.0,725.0,21381.62901258,15445229.30056152
2026-05-21 04:30:00,725.0,728.0,724.0,727.0,51259.10980679,37237356.52240501
2026-05-21 04:45:00,728.0,730.0,727.0,727.0,41215.26115934,30003008.97475325
