,open,high,low,close,volume,value
2026-05-06 21:30:00,1.66,1.67,1.66,1.67,283750.12554504,471649.8428359
2026-05-06 21:45:00,1.66,1.66,1.66,1.66,1558279.50230525,2586743.97382672
2026-05-06 22:00:00,1.66,1.66,1.65,1.65,8804731.92390977,14613689.89921073
2026-05-06 22:15:00,1.65,1.66,1.65,1.65,114656.20368884,189284.18186972
2026-05-06 22:45:00,1.65,1.66,1.65,1.66,1571544.68992127,2593391.51878712
2026-05-06 23:00:00,1.66,1.66,1.65,1.65,7922137.75454724,13112695.06993397
2026-05-07 00:00:00,1.65,1.65,1.65,1.65,9593.25124004,15828.86454607
2026-05-07 00:15:00,1.65,1.66,1.65,1.65,3655880.17133792,6041238.42728588
2026-05-07 00:30:00,1.66,1.66,1.65,1.65,274911.33951095,455750.71500392
2026-05-07 00:45:00,1.66,1.66,1.66,1.66,2216520.65533497,3679424.28785605
2026-05-07 01:15:00,1.65,1.65,1.65,1.65,694893.81970283,1146574.80250967
2026-05-07 01:45:00,1.66,1.66,1.66,1.66,59612.36249345,98956.52173913
2026-05-07 02:45:00,1.66,1.66,1.66,1.66,121088.5542168,201006.99999989
2026-05-07 03:00:00,1.66,1.66,1.66,1.66,426823.93742887,708527.73613192
2026-05-07 03:30:00,1.66,1.66,1.66,1.66,72314.44518704,120041.97901049
2026-05-07 04:30:00,1.66,1.66,1.66,1.66,66278.3132528,110021.99999965
2026-05-07 05:00:00,1.66,1.66,1.65,1.66,721463.86992439,1191198.67453187
2026-05-07 05:15:00,1.65,1.66,1.65,1.66,258516.22201307,428538.72464963
2026-05-07 05:30:00,1.65,1.66,1.65,1.66,205613.30268599,339331.12413068
2026-05-07 06:00:00,1.65,1.65,1.65,1.65,80190.86724764,132314.93095861
2026-05-07 06:45:00,1.66,1.66,1.66,1.66,6917.46987951,11482.99999999
2026-05-07 07:00:00,1.66,1.66,1.66,1.66,63395.18072289,105236.0
2026-05-07 07:45:00,1.66,1.66,1.66,1.66,6379366.19496742,10589747.88364592
2026-05-07 08:00:00,1.67,1.67,1.65,1.66,361391.27998671,599711.39062862
2026-05-07 08:15:00,1.66,1.66,1.65,1.65,758579.14416284,1253217.28292477
2026-05-07 08:30:00,1.66,1.66,1.66,1.66,840681.46649566,1395531.2343828
2026-05-07 08:45:00,1.65,1.66,1.65,1.65,2541145.83567044,4203207.53666738
2026-05-07 09:00:00,1.65,1.66,1.65,1.65,4073555.10852981,6726079.52318075
2026-05-07 09:15:00,1.65,1.66,1.65,1.66,415170.38298786,688041.68012274
2026-05-07 09:30:00,1.65,1.65,1.65,1.65,1957342.87969122,3229615.75149051
2026-05-07 09:45:00,1.65,1.65,1.65,1.65,12121.21212121,20000.0
2026-05-07 10:00:00,1.65,1.66,1.65,1.66,7923089.0302293,13079183.60469762
2026-05-07 10:15:00,1.64,1.65,1.64,1.65,3141535.19048008,5173017.2926168
2026-05-07 10:30:00,1.66,1.66,1.65,1.65,1511042.91148521,2505803.05673986
2026-05-07 10:45:00,1.65,1.66,1.64,1.64,1597636.6958539,2631548.17694394
2026-05-07 11:00:00,1.64,1.65,1.64,1.65,125427.92451778,205732.42500916
2026-05-07 11:15:00,1.64,1.64,1.64,1.64,1786657.16685532,2930117.75364272
2026-05-07 11:30:00,1.64,1.64,1.64,1.64,275549.36978463,451900.96644679
2026-05-07 11:45:00,1.64,1.65,1.64,1.65,4682004.97180111,7679741.4325417
2026-05-07 12:00:00,1.64,1.64,1.64,1.64,393167.94732225,644795.43360849
2026-05-07 12:15:00,1.64,1.64,1.63,1.63,24740411.84443706,40429757.17529706
