,open,high,low,close,volume,value
2026-05-18 03:45:00,65.4,65.6,64.8,65.5,2442179.8884674,159259758.46106952
2026-05-18 04:00:00,65.5,65.6,64.7,65.1,1416763.38483372,92150664.4858257
2026-05-18 04:15:00,64.8,65.5,64.8,65.5,800401.35439552,52120819.71906435
2026-05-18 04:30:00,65.4,65.4,64.8,65.2,1755837.1077013,114127988.84807782
2026-05-18 04:45:00,65.2,65.2,64.8,65.1,1382905.95419542,89861962.98418444
2026-05-18 05:00:00,65.1,65.5,65.1,65.2,2034211.71261292,132748017.05382779
2026-05-18 05:15:00,65.3,65.9,65.0,65.5,4232089.13265779,277142392.9020287
2026-05-18 05:30:00,65.5,65.7,65.3,65.3,2734802.90075362,179117193.55079365
2026-05-18 05:45:00,65.4,65.9,65.3,65.7,2806551.58865283,184055201.09699562
2026-05-18 06:00:00,65.7,65.8,65.4,65.5,4120570.33890763,270211935.16660947
2026-05-18 06:15:00,65.5,65.6,65.3,65.4,2509620.93952824,164213540.0036072
2026-05-18 06:30:00,65.3,65.4,65.0,65.3,3130234.81161291,204053890.12787753
2026-05-18 06:45:00,65.3,65.3,64.6,64.8,3804599.92449677,246939789.2698124
2026-05-18 07:00:00,64.8,65.0,64.1,64.7,7991606.92299157,514889150.8465187
2026-05-18 07:15:00,64.6,64.8,64.2,64.8,4984558.13390065,321392704.6319301
2026-05-18 07:30:00,64.6,64.9,64.5,64.7,3694405.64721589,238953926.9556076
2026-05-18 07:45:00,64.7,64.8,64.0,64.5,5434930.20377128,349716605.1962547
2026-05-18 08:00:00,64.5,64.9,64.2,64.7,5133989.41514303,330924052.73114365
2026-05-18 08:15:00,64.6,64.8,64.3,64.4,5812253.46134943,375209444.1493854
2026-05-18 08:30:00,64.5,64.7,62.6,63.3,17580557.00688731,1119208865.8275502
2026-05-18 08:45:00,63.4,64.0,62.4,63.8,18171065.82864493,1150192929.5348322
2026-05-18 09:00:00,64.0,66.3,63.3,65.1,86966303.50963673,5659488560.932267
2026-05-18 09:15:00,65.1,66.1,61.5,61.6,51612968.59648377,3306678165.332115
2026-05-18 09:30:00,61.7,62.6,59.3,60.0,60162255.75681613,3650964274.058604
2026-05-18 09:45:00,59.9,60.8,58.9,59.6,29895327.55802696,1789430444.5663702
2026-05-18 10:00:00,59.7,59.7,58.1,59.6,26557359.31960886,1564066987.8387454
2026-05-18 10:15:00,59.6,59.8,59.1,59.5,7669580.48324789,456096238.86288464
2026-05-18 10:30:00,59.5,59.6,58.5,59.1,11046786.51301038,650273664.8651309
2026-05-18 10:45:00,59.0,59.5,58.6,59.3,5661415.99860243,334896468.03818405
2026-05-18 11:00:00,59.3,59.9,59.1,59.3,6616066.87467668,393871227.239188
2026-05-18 11:15:00,59.3,59.8,59.2,59.3,3309644.19834664,196877390.16983023
2026-05-18 11:30:00,59.3,59.5,59.2,59.4,2269471.40243272,134644182.88833365
2026-05-18 11:45:00,59.4,60.1,59.4,60.0,4506108.80132558,269836918.3275005
2026-05-18 12:00:00,60.0,60.3,59.7,60.1,4042798.50834289,242809570.96323395
2026-05-18 12:15:00,60.0,60.2,59.7,59.8,2597471.17107859,155603760.91237265
2026-05-18 12:30:00,59.7,60.4,59.7,59.9,2938633.02658967,176392371.24346924
2026-05-18 12:45:00,59.9,60.0,59.0,59.1,5429386.82584168,322067222.55930156
2026-05-18 13:00:00,59.1,59.6,58.9,59.5,2525603.43452579,149618869.20722526
2026-05-18 13:15:00,59.5,59.8,59.2,59.4,2399532.49787508,142775220.22588515
2026-05-18 13:30:00,59.3,59.6,59.2,59.5,2097563.25089021,124467528.49811567
2026-05-18 13:45:00,59.5,59.8,59.3,59.3,2378812.8490259,141926859.83238333
2026-05-18 14:00:00,59.3,59.5,59.0,59.4,3233764.19309653,191718411.30480835
2026-05-18 14:15:00,59.4,59.5,58.5,58.8,6940869.21905331,408748722.72765654
2026-05-18 14:30:00,58.8,58.9,57.4,57.8,22586443.05986283,1310470449.518227
2026-05-18 14:45:00,57.8,58.0,57.2,57.7,11531186.35161531,664424430.7474371
2026-05-18 15:00:00,57.7,57.8,56.7,57.3,13164701.86598305,752614669.919821
2026-05-18 15:15:00,57.2,57.4,56.8,57.3,7528765.3555638,430206894.69389826
2026-05-18 15:30:00,57.3,57.4,57.0,57.3,4485908.42700811,256526048.3603894
2026-05-18 15:45:00,57.3,57.5,56.7,56.9,7859648.53856968,448389638.855724
2026-05-18 16:00:00,56.9,57.5,56.8,57.2,7441227.16891558,425563777.140415
2026-05-18 16:15:00,57.2,57.3,56.7,56.9,7575010.46421336,431452655.30855674
2026-05-18 16:30:00,56.9,56.9,55.8,56.2,31269014.45320659,1760148871.5242183
2026-05-18 16:45:00,56.2,56.3,55.7,56.2,10846723.51695555,606901385.2798893
2026-05-18 17:00:00,56.1,56.6,56.0,56.5,6630993.72372756,372738245.5870897
2026-05-18 17:15:00,56.4,56.6,56.0,56.2,6581667.176603,370115574.4289673
2026-05-18 17:30:00,56.1,56.2,55.4,56.1,20765362.2259937,1157772879.1304076
2026-05-18 17:45:00,56.1,56.5,55.7,56.4,6429572.51332248,360321431.19013387
2026-05-18 18:00:00,56.3,56.7,56.0,56.3,6042485.31853471,340444447.9130596
2026-05-18 18:15:00,56.2,56.5,56.0,56.1,3782385.22576603,212677541.09521058
2026-05-18 18:30:00,56.1,57.0,56.0,56.9,7597931.06335243,429884940.20218736
2026-05-18 18:45:00,56.9,57.5,56.4,57.5,9987444.75207754,567745980.024328
2026-05-18 19:00:00,57.5,57.9,56.9,57.3,17596441.58764956,1010883023.0099599
2026-05-18 19:15:00,57.3,57.4,56.3,56.9,10295603.02290581,585254651.6362534
2026-05-18 19:30:00,56.9,56.9,55.8,56.4,10691057.00795894,600912258.7465211
2026-05-18 19:45:00,56.4,56.9,56.2,56.9,5764483.92742232,326332475.3277857
2026-05-18 20:00:00,56.9,57.6,56.8,57.0,11168950.55767038,639400047.361694
2026-05-18 20:15:00,57.1,57.5,57.0,57.2,3774684.73991438,216335013.7312058
2026-05-18 20:30:00,57.3,57.3,56.7,57.1,4288277.39938457,244053355.3071997
2026-05-18 20:45:00,57.1,57.5,57.0,57.2,4161611.67983792,238288541.75610554
2026-05-18 21:00:00,57.2,59.0,57.0,58.5,13508761.10080769,785260699.2938099
2026-05-18 21:15:00,58.5,58.6,57.4,57.8,12224461.34466243,709888897.2381486
2026-05-18 21:30:00,57.8,58.4,57.6,58.2,6073530.0416351,352654226.34015757
2026-05-18 21:45:00,58.2,58.2,57.3,57.3,7183089.94719067,414821025.80616623
2026-05-18 22:00:00,57.3,57.7,57.1,57.4,6449739.43756418,370151812.9815756
2026-05-18 22:15:00,57.5,57.5,56.7,56.9,6600085.55336321,376488738.9525495
2026-05-18 22:30:00,56.9,57.1,56.4,56.6,6652182.66673195,376611907.3551084
2026-05-18 22:45:00,56.5,56.9,56.3,56.8,4179809.89532383,236843119.964717
2026-05-18 23:00:00,56.8,57.0,56.4,56.5,4009685.76608862,227377080.39753303
2026-05-18 23:15:00,56.5,56.5,56.0,56.2,6569895.4253373,369415872.92537796
2026-05-18 23:30:00,56.1,56.3,55.8,56.3,6080750.92041348,340672728.8878749
2026-05-18 23:45:00,56.2,56.3,55.9,56.1,3367717.35910942,188879296.8496041
2026-05-19 00:00:00,56.0,56.1,55.1,55.3,12940125.32728382,716598915.5996773
2026-05-19 00:15:00,55.3,55.4,55.0,55.2,6011614.38152263,331918864.4244557
2026-05-19 00:30:00,55.1,55.4,55.1,55.3,2604162.30388864,143724238.64787233
2026-05-19 00:45:00,55.3,55.4,54.6,54.7,6045995.77050871,332382300.46127254
2026-05-19 01:00:00,54.7,55.0,54.7,55.0,3256690.22238057,178740330.96553102
2026-05-19 01:15:00,55.0,55.2,54.8,54.8,2576523.61201974,141690443.4027587
2026-05-19 01:30:00,54.9,55.0,54.7,54.8,2824974.67931861,154823755.41035563
2026-05-19 01:45:00,54.8,55.0,54.7,54.7,2886238.82533213,158156519.94628233
2026-05-19 02:00:00,54.9,54.9,54.3,54.3,3230032.55390254,176038921.0780591
2026-05-19 02:15:00,54.5,54.6,54.2,54.4,2472552.49486552,134425458.1196563
2026-05-19 02:30:00,54.5,54.5,53.3,53.4,8982349.02931851,482093778.535971
2026-05-19 02:45:00,53.5,53.6,52.9,52.9,4604684.36383898,245170990.4932988
2026-05-19 03:00:00,53.1,53.5,52.9,53.0,4278404.25343305,227315729.90926847
2026-05-19 03:15:00,53.0,53.1,51.8,52.3,12225885.41119792,639332729.7132993
2026-05-19 03:30:00,52.2,52.3,51.8,52.2,3932619.98184719,204954352.0951553
2026-05-19 03:45:00,52.2,52.5,51.9,51.9,2193320.03845115,114631840.31750864
2026-05-19 04:00:00,51.9,52.8,51.9,52.2,4173188.26912677,218247884.4838499
2026-05-19 04:15:00,52.2,52.2,51.2,51.5,8460671.17435616,436763163.9238849
2026-05-19 04:30:00,51.4,52.6,51.4,52.4,3295710.49762773,171546177.48726007
2026-05-19 04:45:00,52.4,52.6,52.2,52.4,1786124.28154269,93607330.5162236
