,open,high,low,close,volume,value
2026-05-16 02:15:00,669.0,670.0,666.0,666.0,9263.09117089,6200496.81762563
2026-05-16 02:30:00,667.0,668.0,667.0,668.0,504.19806389,336307.74334516
2026-05-16 02:45:00,666.0,666.0,666.0,666.0,809.84337615,539355.6885159
2026-05-16 03:00:00,671.0,671.0,668.0,671.0,9391.17207011,6276839.32223945
2026-05-16 03:15:00,668.0,668.0,668.0,668.0,75.26080477,50274.21758636
2026-05-16 03:30:00,668.0,668.0,668.0,668.0,147.09582119,98260.00855492
2026-05-16 03:45:00,667.0,667.0,665.0,665.0,9660.5480656,6425223.64897361
2026-05-16 04:00:00,663.0,663.0,663.0,663.0,1359.90541109,901617.28755267
2026-05-16 04:15:00,663.0,665.0,663.0,665.0,3421.57183273,2273842.76459183
2026-05-16 04:30:00,665.0,665.0,665.0,665.0,99.82593518,66384.2468947
2026-05-16 04:45:00,664.0,665.0,664.0,665.0,6519.77918009,4332837.66039366
2026-05-16 05:00:00,665.0,665.0,664.0,665.0,8844.96659502,5881789.8856883
2026-05-16 05:15:00,665.0,665.0,664.0,664.0,12651.02203069,8410815.03913098
2026-05-16 05:30:00,664.0,664.0,662.0,664.0,8018.18676811,5313623.44484302
2026-05-16 05:45:00,662.0,662.0,662.0,662.0,1803.86496751,1194158.60849162
2026-05-16 06:00:00,665.0,665.0,665.0,665.0,2000.0,1330000.0
2026-05-16 06:15:00,665.0,665.0,665.0,665.0,150.37593984,99999.9999936
2026-05-16 06:30:00,667.0,667.0,664.0,664.0,866.30234205,576568.79526695
2026-05-16 07:00:00,664.0,664.0,661.0,661.0,9859.59464119,6526953.5799467
2026-05-16 07:15:00,660.0,661.0,659.0,661.0,47632.88048496,31440484.07001405
2026-05-16 07:30:00,661.0,663.0,660.0,663.0,7665.2545516,5065235.60901215
2026-05-16 07:45:00,662.0,664.0,662.0,664.0,402.46121335,267030.6415841
2026-05-16 08:00:00,663.0,667.0,663.0,667.0,2583.72957739,1719551.55760557
2026-05-16 08:15:00,667.0,667.0,662.0,662.0,34287.18500097,22715598.95008017
2026-05-16 08:30:00,662.0,663.0,660.0,663.0,18811.61052258,12452965.0862738
2026-05-16 08:45:00,661.0,663.0,661.0,663.0,38.72511365,25657.63194767
2026-05-16 09:00:00,663.0,664.0,662.0,664.0,3055.50304876,2028748.64297881
2026-05-16 09:15:00,663.0,665.0,662.0,665.0,164.65870818,109301.07619509
2026-05-16 09:30:00,665.0,667.0,664.0,664.0,20817.29041936,13847135.15820772
2026-05-16 09:45:00,665.0,665.0,663.0,663.0,21892.50641499,14530412.08746651
2026-05-16 10:00:00,664.0,664.0,662.0,662.0,4968.47254087,3290142.14735712
2026-05-16 10:15:00,661.0,663.0,661.0,662.0,28415.1894462,18814538.90918839
2026-05-16 10:30:00,661.0,662.0,661.0,662.0,18203.47391341,12050169.84444147
2026-05-16 11:00:00,662.0,666.0,662.0,666.0,31838.97186334,21116847.96689996
2026-05-16 11:15:00,666.0,666.0,666.0,666.0,34.02987987,22663.89999342
2026-05-16 11:30:00,665.0,667.0,665.0,667.0,14402.27842499,9578346.46461835
