,open,high,low,close,volume,value
2026-05-17 00:30:00,13.1,13.3,13.1,13.3,3627860.97136429,47780390.96889541
2026-05-17 00:45:00,13.3,13.3,13.2,13.3,851307.01410981,11248202.09127367
2026-05-17 01:00:00,13.3,13.4,13.2,13.3,1976270.0223713,26275155.71722536
2026-05-17 01:15:00,13.3,13.4,13.2,13.2,679276.68913305,9013517.81172081
2026-05-17 01:30:00,13.2,13.3,13.1,13.2,1526328.49684335,20203114.95378882
2026-05-17 01:45:00,13.1,13.1,13.1,13.1,2092702.06616927,27414397.06681744
2026-05-17 02:00:00,13.1,13.2,13.1,13.1,222882.3686881,2920137.70990441
2026-05-17 02:15:00,13.1,13.2,13.1,13.1,649206.83079831,8504663.45062027
2026-05-17 02:30:00,13.1,13.2,13.1,13.1,645652.13762112,8458614.60283667
2026-05-17 02:45:00,13.1,13.1,13.1,13.1,364586.18618358,4776079.0390049
2026-05-17 03:15:00,13.1,13.2,13.1,13.2,2480101.34627342,32489427.6361818
2026-05-17 03:30:00,13.1,13.2,13.1,13.2,313164.12920406,4133312.34527319
2026-05-17 03:45:00,13.2,13.2,13.1,13.1,580530.20714455,7607976.01662391
2026-05-17 04:15:00,13.0,13.0,13.0,13.0,170620.45907689,2218065.96799957
2026-05-17 04:45:00,12.9,12.9,12.9,12.9,1213532.14509715,15654564.67175324
2026-05-17 05:00:00,12.9,13.0,12.9,13.0,79267.28061419,1022722.70999997
2026-05-17 05:45:00,13.0,13.0,13.0,13.0,3175.412,41280.356
2026-05-17 06:00:00,13.0,13.0,12.9,12.9,505336.7378297,6518978.56261851
2026-05-17 06:15:00,12.9,12.9,12.9,12.9,237613.29259034,3065211.47441539
2026-05-17 06:30:00,12.9,12.9,12.9,12.9,2260031.63380194,29154408.07604503
2026-05-17 06:45:00,13.0,13.0,12.9,12.9,174495.90153636,2251036.36058827
2026-05-17 07:15:00,12.9,12.9,12.9,12.9,8696.26255574,112181.78696905
2026-05-17 07:30:00,13.0,13.0,13.0,13.0,112465.87995424,1462056.43940512
2026-05-17 07:45:00,13.0,13.0,13.0,13.0,1923.07692307,24999.99999991
2026-05-17 08:00:00,12.9,12.9,12.9,12.9,2465216.5853133,31801293.95054157
2026-05-17 08:15:00,12.9,12.9,12.8,12.9,1238440.54533407,15958687.91436929
2026-05-17 08:30:00,12.9,12.9,12.9,12.9,976648.21351935,12598761.95439962
2026-05-17 08:45:00,12.9,12.9,12.9,12.9,40209.5380023,518703.04022967
2026-05-17 09:00:00,12.9,12.9,12.8,12.8,265408.14390279,3414976.17994021
2026-05-17 09:15:00,12.8,12.9,12.8,12.9,1051176.79760499,13455136.64694368
2026-05-17 09:30:00,12.8,12.8,12.8,12.8,888643.53989958,11374637.31071462
2026-05-17 09:45:00,12.8,12.8,12.7,12.8,727620.34396134,9290947.13806831
2026-05-17 10:00:00,12.7,12.8,12.6,12.8,6537536.17378322,83027231.76041345
2026-05-17 10:15:00,12.7,12.7,12.6,12.6,2188133.47741866,27784728.65121304
2026-05-17 10:30:00,12.8,12.8,12.6,12.6,488495.38473564,6215557.54600333
2026-05-17 10:45:00,12.6,12.7,12.6,12.7,948389.64226542,12033881.60520833
2026-05-17 11:00:00,12.6,12.7,12.6,12.7,1704396.64508335,21632637.39255855
2026-05-17 11:15:00,12.7,12.8,12.7,12.7,267556.12356426,3401291.89767846
2026-05-17 11:30:00,12.7,12.8,12.7,12.7,210377.32625618,2671832.31788991
2026-05-17 11:45:00,12.7,12.8,12.7,12.8,70097.85413006,890614.66818491
2026-05-17 12:00:00,12.7,12.9,12.7,12.8,1230476.9752304,15750103.11326103
2026-05-17 12:15:00,12.9,12.9,12.9,12.9,51431.06589147,663460.74999996
2026-05-17 12:30:00,12.9,13.0,12.9,12.9,1320107.15368654,17029427.38255637
2026-05-17 12:45:00,12.9,13.0,12.9,12.9,225646.05777837,2910872.79149482
2026-05-17 13:00:00,12.9,12.9,12.8,12.9,680712.96197951,8780940.41921242
2026-05-17 13:15:00,12.9,13.0,12.8,12.9,1532011.17500942,19757379.79335211
2026-05-17 13:30:00,13.0,13.0,12.8,12.9,550084.17254166,7077160.50412573
2026-05-17 13:45:00,12.9,12.9,12.9,12.9,968.3917731,12492.25387299
2026-05-17 14:00:00,12.9,12.9,12.8,12.9,9093.83322619,116482.70095415
2026-05-17 14:15:00,12.9,12.9,12.8,12.8,413986.76660513,5299119.53707565
2026-05-17 14:30:00,12.8,12.8,12.8,12.8,451032.64129503,5773217.80857638
2026-05-17 14:45:00,12.9,12.9,12.8,12.8,103222.19436787,1329461.1421723
2026-05-17 15:15:00,12.8,12.8,12.8,12.8,384613.02325581,4923046.69767437
2026-05-17 15:30:00,12.8,12.8,12.8,12.8,1012022.79262839,12953891.74564339
2026-05-17 15:45:00,12.9,12.9,12.9,12.9,120096.92828003,1549250.37481239
2026-05-17 16:00:00,12.8,12.8,12.8,12.8,4873.25267361,62377.63422221
2026-05-17 16:15:00,12.9,12.9,12.9,12.9,2343.75,30234.375
2026-05-17 16:30:00,12.9,12.9,12.8,12.8,4474.37097827,57678.76061968
2026-05-17 17:00:00,12.8,12.8,12.8,12.8,23293.86692102,298161.49658906
2026-05-17 17:15:00,12.8,12.8,12.8,12.8,1013156.23707776,12968399.83459533
2026-05-17 17:30:00,12.9,12.9,12.9,12.9,872244.86552241,11251958.76523909
2026-05-17 17:45:00,12.9,12.9,12.9,12.9,124275.93215988,1603159.52486245
2026-05-17 18:00:00,12.9,12.9,12.8,12.9,53453.93136763,689400.79216181
2026-05-17 18:15:00,12.9,12.9,12.9,12.9,186691.84787451,2408324.83758118
2026-05-17 18:30:00,12.9,12.9,12.8,12.8,1201794.48833016,15502485.97918347
2026-05-17 18:45:00,12.8,12.9,12.8,12.8,146557.69528469,1879812.53162029
2026-05-17 19:00:00,12.8,12.8,12.8,12.8,235509.84964114,3014526.07540659
2026-05-17 19:15:00,12.9,12.9,12.9,12.9,23075.51650531,297674.1629185
2026-05-17 19:30:00,12.9,12.9,12.9,12.9,96287.53875968,1242109.24999987
2026-05-17 19:45:00,12.8,12.9,12.8,12.9,99671.10514122,1280180.15632174
2026-05-17 20:00:00,12.8,12.9,12.8,12.8,661510.14063458,8468103.51020014
2026-05-17 20:15:00,12.8,12.8,12.8,12.8,776141.12269222,9934606.37046042
2026-05-17 20:30:00,12.8,12.8,12.8,12.8,226099.39379844,2894072.24062003
2026-05-17 20:45:00,12.8,12.9,12.8,12.8,19681.08647273,251995.10064939
2026-05-17 21:00:00,12.8,12.8,12.8,12.8,2000.0,25600.0
2026-05-17 21:15:00,12.8,12.8,12.8,12.8,54687.5,700000.0
2026-05-17 21:30:00,12.9,12.9,12.9,12.9,22873.76172376,295071.5262365
2026-05-17 21:45:00,12.8,12.9,12.8,12.9,612729.36508341,7844485.48547075
2026-05-17 22:00:00,12.8,12.9,12.8,12.8,625761.60543935,8071859.19078777
2026-05-17 22:15:00,12.9,13.0,12.9,13.0,598434.42255979,7719842.83728083
2026-05-17 22:30:00,13.0,13.0,12.9,13.0,210179.38317038,2720132.91554427
2026-05-17 22:45:00,13.0,13.0,12.8,12.9,3401722.24369945,43901213.07723733
2026-05-17 23:00:00,13.0,13.0,12.8,12.8,434339.17471675,5602628.99999992
2026-05-17 23:15:00,12.9,12.9,12.8,12.8,325511.60358124,4166626.41731274
2026-05-17 23:30:00,12.8,12.9,12.8,12.8,2378460.81268827,30445418.13341758
2026-05-17 23:45:00,12.9,12.9,12.8,12.8,35616.54644865,457481.72477525
2026-05-18 00:00:00,12.9,12.9,12.8,12.8,949423.30342215,12153540.53961746
2026-05-18 00:15:00,12.8,12.9,12.8,12.8,66346.69767441,849276.67596888
2026-05-18 00:30:00,12.9,12.9,12.8,12.8,8698.23004621,111376.29032792
2026-05-18 00:45:00,12.8,13.0,12.8,13.0,2437396.95121454,31405714.41967206
2026-05-18 01:00:00,12.9,13.0,12.9,12.9,8514.45492389,110605.69928741
2026-05-18 01:15:00,13.0,13.1,12.9,13.1,379289.24914024,4930375.84423801
2026-05-18 01:30:00,13.0,13.0,12.9,12.9,326596.35934849,4238366.90589623
2026-05-18 01:45:00,12.9,13.0,12.8,12.8,538607.94257273,6948199.17409949
2026-05-18 02:00:00,12.9,12.9,12.8,12.8,2169090.36526071,27891370.81942783
2026-05-18 02:15:00,12.8,12.8,12.8,12.8,1382828.4069,17700203.60832
2026-05-18 02:30:00,12.8,12.8,12.8,12.8,2608288.31919922,33386090.48575002
2026-05-18 02:45:00,12.8,12.9,12.8,12.9,1018638.74757485,13044384.84895808
2026-05-18 03:00:00,12.8,12.8,12.7,12.8,1044945.99905969,13374991.02418269
2026-05-18 03:15:00,12.8,13.0,12.8,13.0,610758.26672351,7826072.19911979
2026-05-18 03:30:00,13.0,13.0,12.8,12.9,401165.36546075,5175473.73633528
2026-05-18 03:45:00,12.9,12.9,12.9,12.9,736434.10852712,9499999.99999985
2026-05-18 04:00:00,12.9,12.9,12.9,12.9,113032.88114663,1458124.16679153
2026-05-18 04:45:00,12.8,12.8,12.7,12.7,101157.1586026,1292449.42538887
2026-05-18 05:00:00,12.8,12.8,12.7,12.7,181120.00083529,2302865.6607737
2026-05-18 05:15:00,12.8,12.8,12.8,12.8,6530.9765625,83596.5
2026-05-18 05:30:00,12.8,12.8,12.7,12.8,219550.91664752,2803952.52048983
2026-05-18 05:45:00,12.7,12.7,12.7,12.7,21416.55587626,271990.2596285
2026-05-18 06:00:00,12.7,12.8,12.7,12.7,1609619.27746731,20442352.32383484
2026-05-18 06:15:00,12.8,12.8,12.8,12.8,183288.35,2346090.88
2026-05-18 06:30:00,12.8,12.8,12.8,12.8,562519.07920678,7200244.21384678
2026-05-18 06:45:00,12.8,12.8,12.7,12.8,383006.68114318,4902407.3936327
2026-05-18 07:00:00,12.7,12.8,12.6,12.7,3101634.89362025,39382802.30193449
2026-05-18 07:15:00,12.7,12.7,12.6,12.6,532565.59694644,6731837.04947376
2026-05-18 07:30:00,12.6,12.7,12.6,12.7,243838.29916824,3088260.1071626
2026-05-18 07:45:00,12.6,12.6,12.6,12.6,1212341.6607299,15275504.92519674
2026-05-18 08:00:00,12.6,12.7,12.6,12.6,675438.9026079,8510570.76194
2026-05-18 08:15:00,12.5,12.5,12.5,12.5,1144318.38259794,14303979.78247425
2026-05-18 08:30:00,12.5,12.6,12.0,12.1,15314978.5759355,187623202.75656736
2026-05-18 08:45:00,12.1,12.4,12.1,12.4,4116105.53046724,50219910.2981839
2026-05-18 09:00:00,12.3,12.4,12.1,12.2,4341622.99278257,53127235.05235174
2026-05-18 09:15:00,12.2,12.3,12.2,12.2,2779227.45628882,34059025.74883158
2026-05-18 09:30:00,12.2,12.3,12.2,12.3,7672502.70435136,93604951.2283682
2026-05-18 09:45:00,12.3,12.3,12.2,12.3,73418.24549143,899076.16557195
2026-05-18 10:00:00,12.3,12.3,12.2,12.2,2666558.14949889,32593026.59553877
2026-05-18 10:15:00,12.1,12.2,12.0,12.2,5793861.91629268,70139702.56455722
2026-05-18 10:30:00,12.1,12.2,12.1,12.1,1753826.98123849,21257927.46769841
2026-05-18 10:45:00,12.1,12.3,12.1,12.3,2247824.47179778,27421156.66397317
2026-05-18 11:00:00,12.3,12.4,12.3,12.4,1026437.0831382,12625873.91895281
2026-05-18 11:15:00,12.3,12.3,12.3,12.3,813495.93495924,10005999.99999865
2026-05-18 11:30:00,12.3,12.3,12.2,12.3,2128965.95778706,26152098.83808006
2026-05-18 11:45:00,12.3,12.3,12.2,12.2,703251.6607242,8629665.58837472
2026-05-18 12:00:00,12.3,12.4,12.2,12.3,1337024.95936476,16436513.83948562
2026-05-18 12:15:00,12.3,12.3,12.2,12.2,450337.38978262,5511536.14263313
2026-05-18 12:30:00,12.2,12.2,12.1,12.1,1054492.22079099,12853199.94446975
2026-05-18 12:45:00,12.2,12.2,12.1,12.1,1869266.04751391,22795198.78549223
2026-05-18 13:00:00,12.2,12.2,12.1,12.2,150674.34155184,1836076.86508754
2026-05-18 13:15:00,12.2,12.2,12.1,12.1,88240.35482598,1068267.86606704
2026-05-18 13:30:00,12.2,12.2,12.1,12.2,746865.56878892,9111556.001692
2026-05-18 13:45:00,12.2,12.2,12.1,12.2,121233.83072952,1478851.98389127
2026-05-18 14:00:00,12.2,12.2,12.2,12.2,470121.65759645,5735484.22267669
2026-05-18 14:15:00,12.1,12.1,12.1,12.1,53644.04555161,649092.95117448
2026-05-18 14:30:00,12.1,12.2,12.1,12.2,450277.86555369,5448404.07160528
2026-05-18 14:45:00,12.1,12.2,12.1,12.1,23426.38948542,285098.65703588
2026-05-18 15:00:00,12.1,12.2,12.1,12.2,75681.68726224,916200.61454902
2026-05-18 15:15:00,12.2,12.2,12.0,12.1,2620610.32430492,31702024.51656361
2026-05-18 15:30:00,12.1,12.1,12.1,12.1,1142999.45236366,13830293.37360029
2026-05-18 15:45:00,12.1,12.2,12.1,12.2,123463.49830531,1506212.48523196
2026-05-18 16:00:00,12.1,12.1,12.0,12.0,566098.32245409,6848809.70169449
2026-05-18 16:15:00,12.0,12.2,12.0,12.1,4274597.82819939,51694203.48345611
2026-05-18 16:30:00,12.1,12.1,12.0,12.1,2422397.3073246,29310961.57696099
2026-05-18 16:45:00,12.1,12.1,12.0,12.1,1175307.35488815,14138454.81445015
2026-05-18 17:00:00,12.1,12.1,12.1,12.1,656980.03271086,7949458.39580141
2026-05-18 17:15:00,12.1,12.2,12.0,12.2,1118628.0726962,13537336.03198607
2026-05-18 17:30:00,12.2,12.2,12.1,12.1,963353.44370594,11658216.01310417
2026-05-18 17:45:00,12.2,12.2,12.2,12.2,945546.64686463,11535669.09174849
2026-05-18 18:00:00,12.3,12.3,12.1,12.1,2042014.26027634,25056420.23664535
2026-05-18 18:15:00,12.1,12.2,12.1,12.2,789387.15089339,9553674.24517798
2026-05-18 18:30:00,12.1,12.2,12.1,12.2,250929.62701978,3048719.28702725
2026-05-18 18:45:00,12.2,12.2,12.1,12.1,87042.10149362,1053649.17541225
2026-05-18 19:00:00,12.1,12.2,12.1,12.1,98928.62218794,1197121.87401759
2026-05-18 19:15:00,12.1,12.2,12.1,12.1,423870.77829877,5128924.11323934
2026-05-18 19:30:00,12.1,12.3,12.1,12.2,1223478.55065067,14888327.22090582
2026-05-18 19:45:00,12.2,12.3,12.1,12.2,686301.67423859,8372962.2876075
2026-05-18 20:00:00,12.1,12.2,12.1,12.2,121176.99002467,1466284.15478496
2026-05-18 20:15:00,12.2,12.2,12.2,12.2,291420.07168545,3555324.87456249
2026-05-18 20:30:00,12.2,12.4,12.2,12.3,2574481.04931478,31600051.365072
2026-05-18 20:45:00,12.3,12.4,12.2,12.3,3423570.98845344,42080054.41797319
2026-05-18 21:00:00,12.3,12.4,12.3,12.4,1548311.51283298,19195320.29912895
2026-05-18 21:15:00,12.3,12.4,12.3,12.3,1828347.11305392,22488828.32120838
2026-05-18 21:30:00,12.3,12.4,12.3,12.4,95645.6517178,1177875.99999991
2026-05-18 21:45:00,12.3,12.4,12.3,12.4,2107239.87886472,25919094.31245541
2026-05-18 22:00:00,12.3,12.3,12.2,12.2,552207.02881269,6787268.4056156
