,open,high,low,close,volume,value
2026-05-11 00:15:00,98.7,98.7,98.6,98.6,12804.02315135,1263490.20559446
2026-05-11 00:30:00,98.9,98.9,98.9,98.9,691.9686552,68435.69999928
2026-05-11 00:45:00,98.8,99.1,98.7,99.0,273440.52846148,27037989.56240045
2026-05-11 01:00:00,99.0,99.2,98.8,98.8,119025.39833693,11777471.50019033
2026-05-11 01:15:00,98.8,99.0,98.7,98.7,7801.10228435,770755.6570984
2026-05-11 01:30:00,98.9,98.9,98.9,98.9,1889.76269494,186897.53052957
2026-05-11 01:45:00,98.9,98.9,98.9,98.9,72681.3466414,7188185.18283446
2026-05-11 02:00:00,98.9,99.1,98.9,98.9,31623.04019134,3127719.67994865
2026-05-11 02:15:00,98.9,99.0,98.9,99.0,23831.46521902,2358917.57065898
2026-05-11 02:45:00,98.8,98.9,98.8,98.9,111.15010331,10986.86646736
2026-05-11 03:00:00,99.2,99.2,99.2,99.2,18292.22479233,1814588.69939914
2026-05-11 03:15:00,99.2,99.6,99.2,99.4,23764.17559556,2366433.70170796
2026-05-11 03:30:00,99.6,100.0,99.6,100.0,250153.42786976,24988821.82120231
2026-05-11 03:45:00,101.0,101.0,99.8,100.0,146806.49188595,14670310.3816651
2026-05-11 04:00:00,99.9,100.0,99.8,100.0,57100.98091386,5704954.24391766
2026-05-11 04:15:00,100.0,100.0,100.0,100.0,31172.21137342,3117221.137342
2026-05-11 04:30:00,101.0,101.0,99.8,99.9,89961.95813411,8989433.14889401
2026-05-11 04:45:00,100.0,100.0,99.6,99.6,251192.25774162,25033944.91056996
2026-05-11 05:00:00,99.7,99.7,99.5,99.6,222391.54546876,22139486.07797584
2026-05-11 05:15:00,99.4,99.4,98.7,99.2,327571.88625067,32407880.55443074
2026-05-11 05:30:00,99.2,99.2,98.6,98.6,157943.22705848,15640765.94944972
2026-05-11 05:45:00,98.4,98.5,97.6,98.3,49244.66943783,4838320.60967111
2026-05-11 06:00:00,98.4,98.4,97.7,97.7,158721.34518833,15573712.33167653
2026-05-11 06:15:00,97.8,98.0,97.8,97.8,109190.21376077,10682216.05111674
2026-05-11 06:30:00,98.2,98.5,98.2,98.5,72589.87055317,7128629.85684921
2026-05-11 06:45:00,97.9,97.9,97.5,97.5,80250.74900057,7841547.45877117
2026-05-11 07:00:00,98.3,98.3,98.3,98.3,62657.87150793,6159268.76922952
2026-05-11 07:15:00,98.3,98.9,98.3,98.8,208991.34119464,20596608.95428297
2026-05-11 07:30:00,98.8,99.4,98.8,99.0,292420.44741196,28962925.26425665
2026-05-11 07:45:00,99.1,100.0,99.1,99.8,251808.36643328,25058883.10077003
2026-05-11 08:00:00,99.9,101.0,99.9,100.0,183578.12948068,18468906.45874478
2026-05-11 08:15:00,100.0,100.0,99.7,99.7,155794.54542435,15566722.01706447
2026-05-11 08:30:00,99.5,99.7,99.4,99.7,39152.85419384,3896564.19583806
2026-05-11 08:45:00,99.7,101.0,99.7,100.0,57165.45666014,5733672.15684906
