,open,high,low,close,volume,value
2026-05-18 01:15:00,320.0,320.0,318.0,319.0,131934.4650193,42115972.50882759
2026-05-18 01:30:00,319.0,321.0,318.0,319.0,148202.03522083,47301217.64873477
2026-05-18 01:45:00,319.0,319.0,318.0,318.0,27496.99209053,8754824.36714445
2026-05-18 02:00:00,317.0,317.0,316.0,317.0,185088.06815245,58596278.76374906
2026-05-18 02:15:00,316.0,317.0,316.0,317.0,112079.32429729,35417090.0628493
2026-05-18 02:30:00,317.0,319.0,317.0,318.0,67855.91386152,21561766.83865726
2026-05-18 02:45:00,318.0,318.0,318.0,318.0,4893.55031446,1556148.99999828
2026-05-18 03:00:00,319.0,320.0,318.0,318.0,47756.41327523,15252323.11692171
2026-05-18 03:15:00,319.0,319.0,317.0,317.0,13226.72719223,4194361.53331998
2026-05-18 03:30:00,317.0,318.0,317.0,318.0,5529.97161414,1754273.53407207
2026-05-18 03:45:00,317.0,319.0,317.0,319.0,10916.62438444,3467828.06237314
2026-05-18 04:00:00,319.0,321.0,319.0,321.0,13740.14181466,4388725.46238627
2026-05-18 04:15:00,321.0,321.0,319.0,319.0,11870.56623502,3797859.33824555
2026-05-18 04:30:00,319.0,319.0,319.0,319.0,1427.4018591,455341.1930529
2026-05-18 04:45:00,319.0,319.0,319.0,319.0,500.0,159500.0
2026-05-18 05:00:00,319.0,320.0,318.0,319.0,36269.50645974,11569056.92245831
2026-05-18 05:15:00,319.0,320.0,319.0,319.0,21534.17363605,6875911.74409785
2026-05-18 05:30:00,319.0,319.0,318.0,319.0,27810.98022573,8871655.6700643
2026-05-18 05:45:00,320.0,320.0,319.0,319.0,6902.28002298,2206596.64601204
2026-05-18 06:00:00,319.0,320.0,319.0,319.0,38719.93687349,12379016.79823801
2026-05-18 06:15:00,319.0,320.0,319.0,320.0,20670.42296192,6599913.38423059
2026-05-18 06:30:00,320.0,320.0,318.0,319.0,81664.20796669,26076580.59239273
2026-05-18 06:45:00,319.0,320.0,318.0,320.0,29915.06830693,9529844.22979569
2026-05-18 07:00:00,319.0,320.0,319.0,319.0,11739.51899066,3745184.83138385
2026-05-18 07:15:00,319.0,319.0,319.0,319.0,23389.10078398,7461123.15008962
2026-05-18 07:30:00,319.0,320.0,319.0,320.0,34790.02546297,11101158.74846828
