,open,high,low,close,volume,value
2026-05-06 13:15:00,221.0,222.0,220.0,220.0,109096.33043813,24125433.73543171
2026-05-06 13:30:00,220.0,220.0,219.0,220.0,12470.54085882,2742999.23745104
2026-05-06 13:45:00,221.0,221.0,221.0,221.0,2256.44440832,498674.21423872
2026-05-06 14:00:00,221.0,221.0,219.0,219.0,59406.41716299,13076412.79825672
2026-05-06 14:15:00,219.0,220.0,219.0,220.0,19264.85757856,4220350.53422389
2026-05-06 14:30:00,220.0,220.0,219.0,219.0,76665.50173194,16800813.98065848
2026-05-06 14:45:00,218.0,220.0,218.0,219.0,88949.13686044,19482077.85833078
2026-05-06 15:00:00,218.0,219.0,217.0,218.0,113997.35500208,24844072.18611437
2026-05-06 15:15:00,218.0,218.0,217.0,218.0,141456.23122638,30698362.7412616
2026-05-06 15:30:00,218.0,218.0,218.0,218.0,85332.1003935,18602397.885783
2026-05-06 15:45:00,218.0,218.0,217.0,217.0,70554.40663895,15312348.08101913
2026-05-06 16:00:00,217.0,218.0,216.0,218.0,112573.45237363,24405744.81347117
2026-05-06 16:15:00,217.0,218.0,217.0,217.0,17010.01303223,3701780.27111317
2026-05-06 16:30:00,217.0,218.0,217.0,218.0,24119.65895105,5234323.19237785
2026-05-06 16:45:00,218.0,218.0,218.0,218.0,4257.52616865,928140.7047657
2026-05-06 17:00:00,217.0,219.0,217.0,218.0,126603.2291091,27577636.50293648
2026-05-06 17:15:00,219.0,220.0,218.0,220.0,30464.28021313,6670757.50674573
2026-05-06 17:30:00,220.0,220.0,220.0,220.0,34763.0090358,7647861.987876
2026-05-06 17:45:00,219.0,220.0,219.0,220.0,4056.98827312,889307.91209554
2026-05-06 18:00:00,219.0,220.0,219.0,220.0,10254.16762195,2246551.30920705
2026-05-06 18:15:00,220.0,220.0,219.0,219.0,12861.84261573,2819513.93739032
2026-05-06 18:30:00,219.0,220.0,219.0,220.0,27278.05753953,5989380.06775734
2026-05-06 18:45:00,220.0,220.0,219.0,220.0,454.73293253,99898.48805432
2026-05-06 19:00:00,220.0,221.0,220.0,220.0,16636.58690045,3660194.36696777
2026-05-06 19:15:00,220.0,221.0,219.0,219.0,59935.21352906,13156059.60987152
2026-05-06 19:30:00,219.0,220.0,219.0,220.0,42726.38164027,9370776.20935611
2026-05-06 19:45:00,220.0,221.0,219.0,220.0,62378.68904716,13707349.5188958
2026-05-06 20:00:00,219.0,220.0,218.0,219.0,45037.88543684,9861592.63794068
2026-05-06 20:15:00,219.0,219.0,218.0,218.0,23813.45367892,5198436.45525076
2026-05-06 20:30:00,218.0,219.0,218.0,218.0,25026.65726197,5456002.18717565
2026-05-06 20:45:00,219.0,219.0,218.0,218.0,11101.27030408,2428534.02889565
2026-05-06 21:00:00,218.0,219.0,218.0,218.0,76340.17719079,16642823.26686161
2026-05-06 21:15:00,218.0,218.0,218.0,218.0,6396.79697029,1394501.73952322
2026-05-06 21:30:00,218.0,219.0,217.0,217.0,41934.89401907,9125176.55147124
