,open,high,low,close,volume,value
2026-05-15 16:30:00,207.0,208.0,205.0,205.0,107497.150356,22178227.27031811
2026-05-15 16:45:00,205.0,206.0,205.0,206.0,6270.5433382,1289089.44680955
2026-05-15 17:00:00,206.0,206.0,204.0,204.0,121413.93036011,24984172.1813194
2026-05-15 17:15:00,204.0,205.0,204.0,204.0,124267.86817129,25356218.41077903
2026-05-15 17:30:00,204.0,205.0,204.0,205.0,36688.53017383,7489950.25209198
2026-05-15 17:45:00,205.0,206.0,205.0,206.0,64316.04611063,13201690.19165293
2026-05-15 18:00:00,206.0,206.0,206.0,206.0,35597.23778887,7333030.98450722
2026-05-15 18:15:00,206.0,206.0,204.0,204.0,61880.0042352,12624146.06871885
2026-05-15 18:30:00,204.0,204.0,203.0,204.0,20682.38835451,4218714.6134826
2026-05-15 18:45:00,204.0,205.0,204.0,204.0,9669.97572505,1975132.97560694
2026-05-15 19:00:00,204.0,204.0,203.0,203.0,1853.79885153,378085.87274295
2026-05-15 19:15:00,203.0,205.0,203.0,204.0,1917.17745634,391103.74154505
2026-05-15 19:30:00,204.0,205.0,203.0,205.0,85768.25800527,17496724.31546385
2026-05-15 19:45:00,205.0,205.0,204.0,205.0,144699.88424505,29604416.23268464
2026-05-15 20:00:00,205.0,205.0,204.0,205.0,23388.4566452,4785389.63411445
2026-05-15 20:15:00,204.0,205.0,204.0,204.0,24014.47398192,4899440.49718972
2026-05-15 20:30:00,204.0,205.0,204.0,204.0,93338.74527012,19041454.20029023
2026-05-15 20:45:00,204.0,205.0,202.0,202.0,347488.53579637,70454505.00141454
2026-05-15 21:00:00,202.0,203.0,202.0,202.0,55004.3658783,11111396.07428851
2026-05-15 21:15:00,203.0,203.0,203.0,203.0,13535.11913992,2747629.18540376
2026-05-15 21:30:00,202.0,203.0,201.0,202.0,131997.99823397,26580886.88895031
2026-05-15 21:45:00,202.0,202.0,200.0,201.0,62316.4234627,12503709.32584766
2026-05-15 22:00:00,201.0,201.0,199.0,200.0,161746.06351757,32367833.36284401
2026-05-15 22:15:00,200.0,201.0,199.0,200.0,26913.32801014,5382231.54925302
2026-05-15 22:30:00,200.0,200.0,197.0,198.0,488684.15076346,97341276.3689859
2026-05-15 22:45:00,197.0,198.0,193.0,194.0,1103524.46698414,215950062.0853552
2026-05-15 23:00:00,194.0,195.0,193.0,195.0,544584.23449211,106098654.10180533
2026-05-15 23:15:00,195.0,196.0,193.0,194.0,223592.3956526,43531623.00455733
2026-05-15 23:30:00,194.0,195.0,194.0,195.0,86056.15684175,16697373.00958971
2026-05-15 23:45:00,195.0,195.0,193.0,194.0,265317.02681978,51232151.80129297
2026-05-16 00:00:00,194.0,195.0,194.0,194.0,52581.76565459,10202517.94376957
2026-05-16 00:15:00,194.0,195.0,193.0,194.0,45998.59731829,8924469.8512736
2026-05-16 00:30:00,194.0,195.0,194.0,194.0,5987.40307097,1161760.27740084
2026-05-16 00:45:00,193.0,194.0,192.0,194.0,135289.27139697,26104300.47429667
2026-05-16 01:00:00,194.0,195.0,194.0,194.0,71768.97173968,13943325.81653788
2026-05-16 01:15:00,194.0,195.0,194.0,195.0,51448.42813947,9984033.67188614
2026-05-16 01:30:00,196.0,197.0,196.0,197.0,31269.28902086,6138990.61813138
