,open,high,low,close,volume,value
2026-05-10 03:15:00,5.99,6.02,5.99,6.02,105796.61285489,634815.88486412
2026-05-10 03:30:00,6.02,6.03,6.01,6.03,389134.29164144,2340873.9602577
2026-05-10 03:45:00,6.0,6.0,6.0,6.0,1658.3747927,9950.2487562
2026-05-10 04:00:00,6.0,6.0,6.0,6.0,36054.16666665,216324.9999999
2026-05-10 04:15:00,6.0,6.0,5.97,5.97,612841.10077491,3668237.30365018
2026-05-10 04:30:00,5.97,5.98,5.97,5.98,162673.98229664,971180.10817578
2026-05-10 04:45:00,5.99,6.0,5.99,6.0,53091.66666666,318027.49999996
2026-05-10 05:00:00,5.99,6.01,5.99,6.0,1807435.49150573,10847570.81965256
2026-05-10 05:15:00,6.0,6.0,5.98,5.98,1274482.82615298,7632318.51800743
2026-05-10 05:30:00,5.98,5.98,5.96,5.97,835067.24517626,4984517.5235008
2026-05-10 05:45:00,5.97,5.99,5.97,5.99,645935.94861227,3861148.05969895
2026-05-10 06:00:00,5.98,5.99,5.98,5.98,1520270.14150374,9095984.54737018
2026-05-10 06:15:00,5.99,6.07,5.99,6.05,2513523.000617,15214614.23418419
2026-05-10 06:30:00,6.05,6.06,6.05,6.06,1535896.01916849,9292962.62375984
2026-05-10 06:45:00,6.05,6.06,6.04,6.06,180620.00347015,1094315.28909105
2026-05-10 07:00:00,6.06,6.06,6.04,6.05,2373006.18135339,14341902.0318338
2026-05-10 07:15:00,6.06,6.06,6.04,6.04,2230766.5687507,13479487.88788592
2026-05-10 07:30:00,6.04,6.04,6.01,6.03,1666008.97073899,10049077.25408134
2026-05-10 07:45:00,6.03,6.04,6.02,6.04,507707.64466347,3056948.08224421
2026-05-10 08:00:00,6.04,6.04,6.0,6.0,1025891.85863502,6162952.64135729
2026-05-10 08:15:00,6.0,6.02,6.0,6.0,393201.02419171,2359222.7597682
2026-05-10 08:30:00,6.0,6.0,5.99,6.0,737141.45282621,4422834.56678626
2026-05-10 08:45:00,6.0,6.02,6.0,6.02,2165435.5171276,13006895.15049157
2026-05-10 09:00:00,6.0,6.01,5.96,5.98,7546877.32593624,45142101.34552332
2026-05-10 09:15:00,5.97,6.0,5.97,5.99,2335474.81956392,13994207.23435019
2026-05-10 09:30:00,5.99,6.02,5.99,6.02,576337.02870556,3457328.87508849
2026-05-10 09:45:00,6.0,6.01,5.94,5.96,15282530.82266761,91016025.55045204
2026-05-10 10:00:00,5.96,5.96,5.92,5.92,10512518.6278544,62322259.91418563
2026-05-10 10:15:00,5.92,5.93,5.89,5.91,9640920.99782865,56945967.96108042
2026-05-10 10:30:00,5.91,5.91,5.89,5.9,3365060.29613175,19858723.98428763
2026-05-10 10:45:00,5.9,5.9,5.87,5.89,7241946.11966737,42596991.32943313
2026-05-10 11:00:00,5.89,5.9,5.89,5.9,1512309.15026783,8907911.94769952
2026-05-10 11:15:00,5.9,5.94,5.9,5.94,1800848.09481073,10628360.76047671
