,open,high,low,close,volume,value
2026-05-10 23:15:00,204.0,204.0,204.0,204.0,5027.02702702,1025513.51351208
2026-05-10 23:30:00,204.0,204.0,204.0,204.0,11882.0978938,2423947.9703352
2026-05-10 23:45:00,204.0,205.0,204.0,205.0,16967.52768734,3478164.1759047
2026-05-11 00:00:00,204.0,205.0,204.0,205.0,6835.38312458,1400893.51351188
2026-05-11 00:15:00,205.0,205.0,204.0,205.0,10017.34869707,2051227.85369411
2026-05-11 00:30:00,205.0,206.0,205.0,206.0,16328.07693606,3347598.2195083
2026-05-11 00:45:00,206.0,206.0,205.0,205.0,11796.89316781,2418483.84040105
2026-05-11 01:00:00,206.0,207.0,205.0,205.0,18422.46714313,3797267.21266151
2026-05-11 01:15:00,205.0,205.0,205.0,205.0,1166.30862222,239093.2675551
2026-05-11 01:30:00,205.0,206.0,205.0,206.0,15463.79015958,3173559.6590139
2026-05-11 01:45:00,206.0,207.0,205.0,207.0,11112.7800109,2295792.07051316
2026-05-11 02:00:00,207.0,207.0,207.0,207.0,3593.38688143,743831.08445601
2026-05-11 02:15:00,206.0,206.0,205.0,206.0,63751.27201078,13107668.40952213
2026-05-11 02:30:00,206.0,207.0,206.0,207.0,13975.39885284,2878979.78273265
2026-05-11 02:45:00,206.0,207.0,206.0,207.0,6207.35263128,1283313.46340594
2026-05-11 03:00:00,206.0,206.0,206.0,206.0,4830.91787439,995169.08212434
2026-05-11 03:15:00,207.0,207.0,207.0,207.0,6277.05470936,1299350.32483752
2026-05-11 03:30:00,207.0,207.0,206.0,207.0,2240.11405438,463645.63824216
2026-05-11 03:45:00,207.0,208.0,206.0,206.0,3052.66490598,634335.64104609
2026-05-11 04:15:00,208.0,208.0,207.0,207.0,16447.12868242,3417854.30801692
2026-05-11 04:30:00,207.0,208.0,207.0,208.0,4665.30269028,965798.29273484
2026-05-11 04:45:00,206.0,206.0,206.0,206.0,60.85655465,12536.4502579
2026-05-11 05:00:00,208.0,209.0,207.0,207.0,10367.45393733,2158670.53663425
2026-05-11 05:15:00,207.0,207.0,207.0,207.0,3935.8695652,814724.9999964
2026-05-11 05:30:00,206.0,206.0,206.0,206.0,53013.29789337,10920739.36603422
2026-05-11 05:45:00,206.0,206.0,204.0,204.0,289368.82473851,59474049.85526677
2026-05-11 06:00:00,204.0,205.0,204.0,204.0,5724.80706445,1170829.44821225
2026-05-11 06:15:00,205.0,206.0,204.0,206.0,16265.16652352,3333831.82014009
2026-05-11 06:30:00,206.0,206.0,205.0,206.0,21183.4504285,4360290.68180087
2026-05-11 07:00:00,207.0,207.0,206.0,206.0,3751.17077139,773358.21218509
2026-05-11 07:15:00,206.0,207.0,206.0,207.0,7416.66138686,1533792.5964004
2026-05-11 07:30:00,208.0,208.0,208.0,208.0,1763.46634614,366800.99999712
2026-05-11 07:45:00,207.0,207.0,207.0,207.0,307.19647701,63589.67074107
2026-05-11 08:00:00,208.0,208.0,208.0,208.0,1308.73671497,272217.23671376
2026-05-11 08:15:00,208.0,208.0,207.0,207.0,8149.84776842,1688313.33583136
2026-05-11 08:30:00,207.0,207.0,207.0,207.0,1809.94584352,374658.78960864
2026-05-11 08:45:00,208.0,208.0,208.0,208.0,11192.25961514,2327989.99994912
2026-05-11 09:00:00,208.0,208.0,207.0,208.0,31620.72600883,6547162.53328
2026-05-11 09:15:00,208.0,208.0,206.0,207.0,18480.70350329,3820985.57849673
2026-05-11 09:30:00,207.0,207.0,206.0,206.0,28927.96589857,5977956.33038044
2026-05-11 09:45:00,206.0,206.0,205.0,206.0,130959.52537517,26867693.97340851
2026-05-11 10:00:00,206.0,206.0,205.0,205.0,5025.77469551,1030332.35626887
2026-05-11 10:15:00,206.0,207.0,206.0,207.0,53479.30800248,11069227.6290012
2026-05-11 10:30:00,206.0,206.0,206.0,206.0,4657.39141243,959422.63096058
2026-05-11 10:45:00,206.0,206.0,206.0,206.0,473.51618451,97544.33400906
2026-05-11 11:00:00,206.0,206.0,205.0,205.0,13926.0,2864543.0
2026-05-11 11:15:00,205.0,205.0,205.0,205.0,26882.10679611,5510831.89320255
2026-05-11 11:30:00,205.0,205.0,204.0,205.0,52919.37546932,10827699.62707635
2026-05-11 11:45:00,205.0,205.0,205.0,205.0,5315.67248672,1089712.8597776
2026-05-11 12:00:00,205.0,205.0,204.0,204.0,9628.63401225,1968753.53362095
2026-05-11 12:15:00,204.0,204.0,203.0,203.0,38389.2299691,7824975.26345637
2026-05-11 12:30:00,203.0,203.0,203.0,203.0,8705.40715093,1767197.65163879
2026-05-11 12:45:00,203.0,203.0,203.0,203.0,29.55665025,6000.00000075
2026-05-11 13:00:00,204.0,204.0,203.0,203.0,63683.84132,12979314.89090117
2026-05-11 13:15:00,204.0,204.0,203.0,204.0,17568.09180144,3566374.38079035
2026-05-11 13:30:00,204.0,204.0,204.0,204.0,561.66528099,114579.71732196
2026-05-11 13:45:00,204.0,204.0,204.0,204.0,2870.35431207,585552.27966228
2026-05-11 14:00:00,204.0,204.0,204.0,204.0,0.1805,36.822
2026-05-11 14:30:00,205.0,205.0,204.0,205.0,9464.09098077,1939485.75519904
2026-05-11 14:45:00,205.0,205.0,204.0,205.0,6173.58818013,1264993.57411239
2026-05-11 15:00:00,204.0,205.0,204.0,204.0,8710.39562721,1780582.32309023
2026-05-11 15:15:00,205.0,205.0,204.0,205.0,23401.92122082,4787699.099779
2026-05-11 15:30:00,205.0,205.0,205.0,205.0,1000.2575459,205052.7969095
2026-05-11 15:45:00,205.0,205.0,204.0,205.0,2980.48780488,610000.00000039
2026-05-11 16:00:00,205.0,205.0,204.0,204.0,4150.10992412,848987.83206061
2026-05-11 16:15:00,204.0,204.0,204.0,204.0,2338.10545707,476973.51324228
2026-05-11 16:30:00,204.0,204.0,204.0,204.0,147.05882352,29999.99999808
2026-05-11 16:45:00,204.0,204.0,204.0,204.0,13318.39879418,2716953.35401272
2026-05-11 17:00:00,205.0,205.0,205.0,205.0,11537.65843899,2365219.97999295
2026-05-11 17:15:00,205.0,205.0,205.0,205.0,1584.38536584,324798.9999972
2026-05-11 17:30:00,204.0,205.0,204.0,205.0,20811.04861979,4258448.46477859
2026-05-11 17:45:00,205.0,205.0,204.0,205.0,47147.52440352,9665213.23442892
2026-05-11 18:00:00,205.0,205.0,205.0,205.0,37393.40487789,7665647.99996745
2026-05-11 18:15:00,204.0,204.0,204.0,204.0,219.14466273,44705.51119692
2026-05-11 18:30:00,205.0,205.0,205.0,205.0,6216.52219498,1274387.0499709
2026-05-11 18:45:00,205.0,205.0,204.0,204.0,1034.99282972,211792.19579944
2026-05-11 19:00:00,206.0,206.0,206.0,206.0,9578.03573012,1973075.36040472
2026-05-11 19:15:00,206.0,206.0,206.0,206.0,2465.71701357,507937.70479542
2026-05-11 19:30:00,207.0,207.0,206.0,207.0,1759.63574768,364176.87967947
2026-05-11 19:45:00,207.0,207.0,205.0,205.0,5777.99406892,1190824.69570062
2026-05-11 20:15:00,206.0,206.0,206.0,206.0,2897.91885588,596971.28431128
2026-05-11 20:30:00,206.0,207.0,206.0,206.0,3721.41275612,770178.37135944
2026-05-11 20:45:00,207.0,207.0,205.0,205.0,33755.80178668,6959398.55711164
2026-05-11 21:00:00,205.0,206.0,205.0,205.0,662.92551114,136142.4482303
2026-05-11 21:30:00,207.0,207.0,207.0,207.0,572.46859902,118500.99999714
2026-05-11 21:45:00,206.0,206.0,206.0,206.0,1000.0,206000.0
2026-05-11 22:00:00,206.0,206.0,206.0,206.0,631.97042255,130185.9070453
2026-05-11 22:15:00,206.0,206.0,206.0,206.0,17266.31942522,3556861.80159532
2026-05-11 22:30:00,206.0,206.0,205.0,205.0,25609.91059809,5264645.12216522
2026-05-11 22:45:00,207.0,207.0,206.0,206.0,24561.84199041,5066360.69228252
2026-05-11 23:00:00,206.0,206.0,206.0,206.0,11347.56531615,2337598.4551269
2026-05-11 23:15:00,206.0,206.0,205.0,205.0,3983.68556543,817149.64646716
2026-05-11 23:30:00,205.0,205.0,205.0,205.0,3966.635737,813160.326085
2026-05-11 23:45:00,205.0,205.0,205.0,205.0,2581.78421631,529265.76434355
2026-05-12 00:00:00,205.0,206.0,205.0,205.0,1310.87957039,268778.85561927
2026-05-12 00:15:00,206.0,206.0,206.0,206.0,37402.64850054,7704945.59111124
2026-05-12 00:30:00,207.0,207.0,207.0,207.0,122.82118766,25423.98584562
2026-05-12 00:45:00,206.0,206.0,206.0,206.0,12947.66793284,2667219.59416504
2026-05-12 01:00:00,206.0,207.0,206.0,207.0,13113.4874178,2703221.00018859
2026-05-12 01:15:00,207.0,207.0,206.0,206.0,1262.41894155,260127.72090085
2026-05-12 01:30:00,206.0,206.0,205.0,205.0,9759.83888242,2000877.92016913
2026-05-12 02:00:00,205.0,205.0,205.0,205.0,4040.28901579,828259.24823695
2026-05-12 02:15:00,206.0,206.0,206.0,206.0,1247.0,256882.0
2026-05-12 02:30:00,206.0,206.0,206.0,206.0,2471.0,509026.0
2026-05-12 02:45:00,206.0,206.0,206.0,206.0,4854.36893204,1000000.00000024
2026-05-12 03:30:00,207.0,207.0,207.0,207.0,4474.15905573,926150.92453611
2026-05-12 05:00:00,207.0,207.0,207.0,207.0,7295.16908211,1510099.99999677
2026-05-12 06:15:00,207.0,207.0,206.0,206.0,6593.91177862,1361330.84584771
2026-05-12 06:30:00,207.0,207.0,206.0,206.0,18907.65084872,3900028.2342566
2026-05-12 06:45:00,206.0,206.0,206.0,206.0,1105.0,227630.0
2026-05-12 07:00:00,207.0,207.0,206.0,206.0,14622.33816424,3013191.99999768
2026-05-12 07:15:00,205.0,205.0,205.0,205.0,2500.31264321,512564.09185805
2026-05-12 07:30:00,206.0,206.0,206.0,206.0,162.24458736,33422.38499616
2026-05-12 07:45:00,206.0,207.0,206.0,207.0,1551.76009889,321110.99999911
2026-05-12 08:00:00,206.0,206.0,206.0,206.0,146.3883495,30155.999997
2026-05-12 08:15:00,205.0,206.0,205.0,206.0,1282.46442102,262953.74999842
2026-05-12 08:30:00,205.0,205.0,205.0,205.0,5213.83314107,1068835.79391935
2026-05-12 08:45:00,206.0,207.0,205.0,207.0,20890.68663885,4319514.53939052
2026-05-12 09:00:00,207.0,207.0,205.0,205.0,486.72999694,100683.95227846
2026-05-12 09:30:00,206.0,207.0,206.0,207.0,7443.41463414,1537343.41463284
2026-05-12 09:45:00,206.0,206.0,206.0,206.0,2145.39655739,441951.69082234
2026-05-12 10:00:00,206.0,207.0,206.0,206.0,57210.24803726,11803632.71264485
2026-05-12 10:15:00,206.0,206.0,206.0,206.0,4389.27181135,904189.9931381
2026-05-12 10:30:00,205.0,205.0,204.0,204.0,47900.26313801,9811426.96633553
2026-05-12 10:45:00,204.0,204.0,204.0,204.0,112298.37963294,22908869.44511976
2026-05-12 11:00:00,205.0,205.0,205.0,205.0,10877.9118125,2229971.9215625
2026-05-12 11:15:00,205.0,205.0,204.0,204.0,113741.36816489,23276953.30849954
2026-05-12 11:30:00,205.0,205.0,204.0,204.0,27683.71404409,5673715.58543412
2026-05-12 11:45:00,204.0,205.0,204.0,205.0,132.82277006,27120.23533614
2026-05-12 12:00:00,205.0,205.0,203.0,203.0,78337.0732002,15978234.09566859
2026-05-12 12:15:00,204.0,205.0,203.0,204.0,16910.99313056,3438084.9470758
