,open,high,low,close,volume,value
2026-05-07 05:00:00,748.0,748.0,748.0,748.0,163.68964705,122439.8559934
2026-05-07 05:15:00,748.0,749.0,746.0,748.0,2682.06111736,2006031.3094865
2026-05-07 05:30:00,746.0,746.0,746.0,746.0,1869.64673963,1394756.46776398
2026-05-07 06:00:00,746.0,747.0,746.0,746.0,111.90896654,83552.33903884
2026-05-07 06:15:00,743.0,743.0,743.0,743.0,119.10380508,88494.12717444
2026-05-07 06:30:00,746.0,747.0,746.0,746.0,1601.94241991,1196167.00452406
2026-05-07 06:45:00,746.0,747.0,746.0,746.0,3571.07185522,2664360.04986906
2026-05-07 07:00:00,749.0,750.0,748.0,748.0,9755.05714502,7311929.35264314
2026-05-07 07:15:00,744.0,746.0,744.0,746.0,904.93827112,673300.77598296
2026-05-07 07:30:00,744.0,744.0,744.0,744.0,942.0693894,700899.6257136
2026-05-07 07:45:00,744.0,747.0,744.0,747.0,8127.16153298,6065843.64666261
2026-05-07 08:00:00,744.0,744.0,744.0,744.0,2280.36362526,1696590.53719344
2026-05-07 08:15:00,744.0,744.0,744.0,744.0,8345.8962397,6209346.8023368
2026-05-07 08:30:00,745.0,745.0,745.0,745.0,1300.96512674,969219.0194213
2026-05-07 08:45:00,748.0,750.0,748.0,750.0,118.02131579,88493.17093088
2026-05-07 09:00:00,750.0,750.0,745.0,745.0,15914.49511262,11870567.47305294
2026-05-07 09:15:00,744.0,746.0,744.0,744.0,5423.88800426,4038772.64635263
2026-05-07 09:30:00,743.0,743.0,738.0,738.0,4989.54662952,3686400.08815032
2026-05-07 09:45:00,737.0,737.0,736.0,737.0,1473.13670444,1084317.45076783
2026-05-07 10:00:00,737.0,737.0,734.0,737.0,28756.12898796,21141090.09951077
2026-05-07 10:15:00,738.0,738.0,734.0,734.0,4920.0085248,3625338.56881611
2026-05-07 10:30:00,739.0,739.0,739.0,739.0,355.16612465,262467.76611635
2026-05-07 10:45:00,739.0,739.0,738.0,739.0,1414.09140747,1043660.3701474
2026-05-07 11:00:00,736.0,736.0,734.0,734.0,2862.24524928,2103746.1714626
2026-05-07 11:15:00,735.0,735.0,735.0,735.0,1496.53064623,1099950.02497905
2026-05-07 11:30:00,734.0,735.0,733.0,735.0,4051.73096204,2974679.339393
2026-05-07 11:45:00,736.0,736.0,736.0,736.0,5232.1050438,3850829.3122368
2026-05-07 12:00:00,737.0,740.0,737.0,737.0,502.62663532,371386.25026083
2026-05-07 12:15:00,738.0,738.0,737.0,737.0,1069.98873205,788673.39552084
2026-05-07 12:30:00,737.0,737.0,737.0,737.0,800.94033333,590293.02566421
2026-05-07 12:45:00,737.0,739.0,735.0,735.0,3284.27460033,2417452.95027045
2026-05-07 13:00:00,736.0,736.0,734.0,736.0,1297.1420327,954680.0258472
2026-05-07 13:15:00,736.0,740.0,736.0,740.0,3220.94139516,2370770.99581288
2026-05-07 13:30:00,740.0,740.0,739.0,739.0,8901.801434,6586013.79994628
2026-05-07 14:00:00,742.0,744.0,742.0,744.0,5044.19475,3747819.35815
2026-05-07 14:15:00,744.0,744.0,742.0,742.0,4399.29649418,3266415.47672741
2026-05-07 14:30:00,744.0,744.0,744.0,744.0,1397.37969428,1039650.49254432
2026-05-07 14:45:00,745.0,746.0,743.0,743.0,5892.87731728,4387129.33019725
2026-05-07 15:00:00,743.0,745.0,743.0,745.0,6193.86885112,4606983.07484266
2026-05-07 15:15:00,744.0,746.0,743.0,743.0,5300.90852696,3944645.59472454
2026-05-07 15:30:00,747.0,752.0,747.0,751.0,9358.62790911,7014093.87537737
2026-05-07 15:45:00,751.0,752.0,751.0,751.0,2852.30234689,2142093.94835439
2026-05-07 16:00:00,753.0,754.0,751.0,752.0,5436.43326937,4097622.06742112
2026-05-07 16:15:00,752.0,756.0,752.0,756.0,7967.86992483,6013250.29775627
2026-05-07 16:30:00,756.0,759.0,756.0,758.0,8358.51003755,6330087.67776673
2026-05-07 16:45:00,757.0,758.0,757.0,758.0,5969.82113418,4523660.98360086
2026-05-07 17:00:00,759.0,759.0,757.0,758.0,8404.52801526,6365588.76925267
2026-05-07 17:15:00,756.0,756.0,756.0,756.0,233.48234523,176512.65299388
2026-05-07 17:30:00,756.0,759.0,756.0,759.0,1024.05925882,775594.51353063
2026-05-07 17:45:00,758.0,761.0,757.0,760.0,5345.03077011,4056488.50098989
2026-05-07 18:00:00,760.0,761.0,759.0,759.0,14285.9177519,10864419.60105783
2026-05-07 18:15:00,761.0,763.0,758.0,758.0,9951.23341846,7552350.83366655
2026-05-07 18:30:00,761.0,762.0,759.0,759.0,11263.61086201,8576058.83873072
2026-05-07 18:45:00,759.0,759.0,757.0,757.0,2640.56165249,2000186.29423991
2026-05-07 19:00:00,757.0,758.0,757.0,758.0,2580.67603761,1956084.77441234
2026-05-07 19:15:00,756.0,756.0,755.0,755.0,23872.8851472,18024516.6558462
2026-05-07 19:30:00,754.0,755.0,754.0,755.0,2217.98044627,1672424.25648758
2026-05-07 19:45:00,760.0,760.0,759.0,759.0,26.31578946,19986.84209487
2026-05-07 20:00:00,760.0,763.0,760.0,762.0,6489.44068669,4940777.91421399
2026-05-07 20:15:00,762.0,763.0,761.0,762.0,4789.14780425,3649239.14243839
2026-05-07 20:30:00,762.0,762.0,762.0,762.0,25.935,19762.47
2026-05-07 20:45:00,761.0,761.0,760.0,760.0,16878.54677444,12842508.99204976
2026-05-07 21:00:00,760.0,765.0,760.0,765.0,15275.12438021,11666521.49604888
2026-05-07 21:15:00,765.0,771.0,765.0,769.0,33626.85732329,25861455.16249952
2026-05-07 21:30:00,769.0,771.0,768.0,770.0,1870.68623788,1440627.85734182
2026-05-07 21:45:00,770.0,772.0,768.0,772.0,11854.80306034,9138742.9583644
2026-05-07 22:00:00,772.0,772.0,765.0,767.0,3159.24980165,2426187.09715203
2026-05-07 22:15:00,765.0,768.0,764.0,764.0,2989.09791452,2291442.60001643
2026-05-07 22:30:00,763.0,763.0,761.0,762.0,6472.68279242,4930879.8854464
2026-05-07 22:45:00,761.0,763.0,757.0,759.0,6222.84601759,4724674.01946188
2026-05-07 23:00:00,761.0,763.0,760.0,763.0,14649.43743144,11164704.43810165
2026-05-07 23:15:00,761.0,764.0,761.0,761.0,3097.46949753,2357201.77453131
2026-05-07 23:30:00,759.0,759.0,754.0,755.0,5877.38278104,4438745.67711041
2026-05-07 23:45:00,760.0,761.0,760.0,760.0,21674.29166822,16491817.87311116
2026-05-08 00:00:00,759.0,767.0,759.0,766.0,23084.16315043,17607594.21465083
2026-05-08 00:15:00,764.0,764.0,755.0,755.0,21795.11830448,16480277.24349903
2026-05-08 00:30:00,759.0,760.0,759.0,760.0,190.67514998,144814.13883481
2026-05-08 00:45:00,760.0,760.0,760.0,760.0,2718.54411118,2066093.5244968
2026-05-08 01:15:00,757.0,757.0,756.0,756.0,792.73590717,599408.41636051
2026-05-08 01:30:00,762.0,762.0,760.0,760.0,1403.8603695,1068425.81208532
2026-05-08 01:45:00,762.0,763.0,761.0,762.0,1158.6,882808.6
2026-05-08 02:00:00,760.0,763.0,760.0,763.0,15707.01105788,11964452.124699
2026-05-08 02:15:00,764.0,771.0,763.0,766.0,54042.19534499,41413338.22749148
2026-05-08 02:30:00,767.0,772.0,767.0,772.0,5122.40079067,3943633.92444688
2026-05-08 02:45:00,772.0,774.0,772.0,774.0,31001.79073576,23968095.34445125
2026-05-08 03:00:00,775.0,779.0,773.0,775.0,24326.89538532,18888795.46798097
2026-05-08 03:15:00,772.0,773.0,772.0,773.0,2733.05821474,2110693.99999402
2026-05-08 03:30:00,772.0,773.0,772.0,773.0,180.31972625,139213.38914497
2026-05-08 03:45:00,773.0,778.0,773.0,778.0,2361.366106,1829830.999938
2026-05-08 04:00:00,777.0,777.0,774.0,774.0,245.63388275,190381.01494431
2026-05-08 04:15:00,776.0,776.0,775.0,776.0,2893.40037435,2242662.42565706
2026-05-08 04:30:00,777.0,780.0,777.0,780.0,5586.44855367,4345719.34883675
2026-05-08 04:45:00,780.0,786.0,777.0,785.0,32388.33664525,25278275.83719666
2026-05-08 05:00:00,786.0,789.0,784.0,789.0,12526.76316119,9863604.93532382
2026-05-08 05:15:00,789.0,791.0,786.0,790.0,18737.4466463,14797231.13141574
2026-05-08 05:30:00,791.0,791.0,778.0,781.0,12974.16880576,10198343.63774463
2026-05-08 05:45:00,781.0,783.0,781.0,783.0,444.53965971,347637.29643351
2026-05-08 06:00:00,779.0,779.0,776.0,777.0,4470.79704292,3473793.89663453
2026-05-08 06:15:00,778.0,778.0,778.0,778.0,127.32551132,99059.24780696
2026-05-08 06:30:00,779.0,779.0,773.0,773.0,6259.83230309,4855739.23183289
2026-05-08 06:45:00,774.0,776.0,773.0,773.0,2059.23706526,1592889.63819219
2026-05-08 07:00:00,772.0,775.0,771.0,775.0,5250.81642839,4053161.82414708
2026-05-08 07:30:00,775.0,777.0,773.0,777.0,6588.09371144,5100571.34004584
2026-05-08 07:45:00,777.0,777.0,777.0,777.0,421.45819856,327473.02028112
2026-05-08 08:00:00,777.0,778.0,775.0,777.0,10591.77165277,8227276.13309533
2026-05-08 08:15:00,777.0,777.0,774.0,777.0,4303.1206586,3338440.66810334
2026-05-08 08:45:00,774.0,777.0,774.0,777.0,5110.72364172,3970812.10240089
2026-05-08 09:00:00,775.0,777.0,773.0,777.0,14543.58674173,11252582.29330668
2026-05-08 09:15:00,775.0,778.0,774.0,776.0,8589.50554105,6652993.74593743
2026-05-08 09:30:00,775.0,778.0,774.0,774.0,16432.31075264,12731951.71641098
2026-05-08 09:45:00,773.0,773.0,770.0,771.0,15599.31092156,12024313.36436901
2026-05-08 10:00:00,771.0,773.0,771.0,771.0,1101.17668352,850295.77797448
2026-05-08 10:15:00,771.0,772.0,771.0,772.0,649.2,500792.88257528
2026-05-08 10:30:00,773.0,775.0,773.0,774.0,895.0,693308.64866149
