,open,high,low,close,volume,value
2026-05-09 03:45:00,1.4,1.4,1.38,1.4,3051534.44249879,4214921.61739092
2026-05-09 04:15:00,1.4,1.4,1.4,1.4,6993.006993,9790.2097902
2026-05-09 04:30:00,1.4,1.4,1.4,1.4,3613218.1189379,5058505.36651306
2026-05-09 04:45:00,1.41,1.41,1.41,1.41,3624.82269503,5110.99999999
2026-05-09 05:30:00,1.4,1.4,1.4,1.4,6879.57986995,9631.41181793
2026-05-09 05:45:00,1.4,1.41,1.4,1.41,169358.07965064,237810.53136905
2026-05-09 06:00:00,1.41,1.41,1.41,1.41,758197.87234042,1069058.99999999
2026-05-09 06:15:00,1.4,1.4,1.4,1.4,7142.85714286,10000.0
2026-05-09 07:00:00,1.41,1.41,1.4,1.4,60737.58865248,85600.0
2026-05-09 07:15:00,1.41,1.41,1.41,1.41,7200.0,10152.0
2026-05-09 07:45:00,1.4,1.4,1.4,1.4,1150149.75609712,1610209.65853597
2026-05-09 08:00:00,1.4,1.4,1.4,1.4,7142.85714285,9999.99999999
2026-05-09 08:15:00,1.4,1.4,1.4,1.4,1540950.08879487,2157330.12431282
2026-05-09 08:30:00,1.39,1.4,1.39,1.4,2407481.68673345,3346442.40170235
2026-05-09 08:45:00,1.4,1.4,1.4,1.4,325421.42857142,455589.99999999
2026-05-09 09:00:00,1.4,1.4,1.39,1.39,2209796.4079827,3084856.51591297
2026-05-09 09:15:00,1.4,1.4,1.39,1.4,5421130.35340601,7588424.99047066
2026-05-09 09:30:00,1.4,1.41,1.39,1.4,3643934.66660338,5101507.57275841
2026-05-09 10:00:00,1.4,1.41,1.4,1.4,1270633.63722934,1781041.45146623
2026-05-09 10:15:00,1.41,1.41,1.4,1.4,2857820.08061728,4029353.0774032
2026-05-09 10:30:00,1.4,1.41,1.4,1.41,6840417.85944179,9637022.15196378
2026-05-09 10:45:00,1.41,1.42,1.4,1.41,3682135.96601322,5177492.19587932
2026-05-09 11:00:00,1.42,1.42,1.41,1.41,334015.03863583,471260.162223
2026-05-09 11:15:00,1.41,1.42,1.41,1.42,295977.74647886,419772.28450702
2026-05-09 11:30:00,1.42,1.42,1.41,1.41,9182220.71770862,12947429.08979081
2026-05-09 11:45:00,1.42,1.42,1.41,1.41,19669.81298082,27895.21893981
2026-05-09 12:00:00,1.42,1.42,1.41,1.41,17108953.96098658,24128564.71472337
2026-05-09 12:15:00,1.41,1.41,1.41,1.41,2825671.610795,3984196.97122095
2026-05-09 12:30:00,1.42,1.42,1.41,1.41,9138360.08545602,12886496.17119721
2026-05-09 12:45:00,1.41,1.41,1.41,1.41,21276.59574468,30000.0
2026-05-09 13:00:00,1.41,1.41,1.41,1.41,1656206.12429491,2335250.63525582
2026-05-09 13:15:00,1.42,1.42,1.42,1.42,2922780.86308956,4150348.82558718
2026-05-09 13:30:00,1.42,1.42,1.42,1.42,7007.05985035,9950.0249875
2026-05-09 13:45:00,1.42,1.42,1.41,1.42,2002498.15516922,2843419.02902299
2026-05-09 14:00:00,1.42,1.42,1.42,1.42,339192.37564316,481653.17341329
2026-05-09 14:30:00,1.42,1.42,1.42,1.42,109129.23819779,154963.51824086
2026-05-09 14:45:00,1.41,1.41,1.41,1.41,231531.90886001,326459.99149261
2026-05-09 15:15:00,1.42,1.42,1.41,1.41,1440904.32353774,2031710.10303753
2026-05-09 15:30:00,1.41,1.41,1.41,1.41,230248.3510018,324650.17491254
2026-05-09 16:00:00,1.41,1.41,1.41,1.41,731224.45869263,1031026.48675661
2026-05-09 17:00:00,1.41,1.41,1.4,1.4,4770684.44349154,6679385.5887645
2026-05-09 17:30:00,1.4,1.41,1.4,1.41,3953437.54927093,5570499.24693877
2026-05-09 17:45:00,1.4,1.4,1.4,1.4,110399.23753044,154558.93254262
2026-05-09 18:00:00,1.41,1.41,1.41,1.41,8148.22695035,11488.99999999
2026-05-09 18:30:00,1.4,1.4,1.4,1.4,1667680.51492212,2334752.72089097
2026-05-09 18:45:00,1.41,1.41,1.41,1.41,60813.24721375,85746.67857139
2026-05-09 19:00:00,1.41,1.41,1.41,1.41,14248.22695034,20089.99999998
2026-05-09 19:15:00,1.4,1.4,1.4,1.4,45744.17326932,64041.84257705
2026-05-09 19:30:00,1.4,1.4,1.4,1.4,337837.83783783,472972.97297296
2026-05-09 19:45:00,1.4,1.4,1.4,1.4,1324784.39716312,1854698.15602837
2026-05-09 20:00:00,1.4,1.41,1.4,1.41,147937.26900409,207183.09859154
2026-05-09 20:30:00,1.41,1.41,1.41,1.41,3652346.97904952,5149809.24045982
2026-05-09 20:45:00,1.41,1.41,1.41,1.41,1342317.40766469,1892667.54480721
2026-05-09 21:00:00,1.41,1.42,1.41,1.41,1001522.21282704,1419188.57360725
2026-05-09 21:15:00,1.41,1.41,1.41,1.41,701925.61623498,989715.11889132
2026-05-09 21:30:00,1.41,1.41,1.41,1.41,904732.62411346,1275672.99999998
2026-05-09 22:00:00,1.41,1.41,1.4,1.4,386833.27625979,544997.74279207
2026-05-09 22:15:00,1.4,1.41,1.4,1.41,4694457.35239679,6572282.846547
2026-05-09 22:30:00,1.4,1.4,1.4,1.4,373817.59996431,523344.63995003
2026-05-09 23:00:00,1.4,1.4,1.4,1.4,1453003.26096203,2034204.56534684
2026-05-09 23:15:00,1.4,1.4,1.4,1.4,605519.35157665,847727.09220731
2026-05-09 23:30:00,1.4,1.4,1.39,1.39,97231.57880823,135921.45976083
2026-05-09 23:45:00,1.39,1.39,1.39,1.39,719424.46043166,1000000.00000001
2026-05-10 00:00:00,1.39,1.39,1.39,1.39,188016.64606786,261343.13803433
2026-05-10 00:15:00,1.4,1.4,1.4,1.4,17989.31654675,25185.04316545
2026-05-10 00:30:00,1.4,1.41,1.4,1.4,1901931.63079046,2666373.06596699
2026-05-10 00:45:00,1.4,1.4,1.4,1.4,570116.65033553,798163.31046974
2026-05-10 01:00:00,1.4,1.4,1.4,1.4,987975.68358677,1383165.95702148
2026-05-10 01:30:00,1.41,1.41,1.41,1.41,98934.9858156,139498.33
2026-05-10 02:00:00,1.41,1.41,1.41,1.41,2221784.14462799,3132715.64392547
2026-05-10 02:15:00,1.41,1.41,1.41,1.41,1484546.92568944,2093211.16522211
2026-05-10 03:15:00,1.42,1.42,1.42,1.42,3949.65517241,5608.51034482
2026-05-10 03:30:00,1.42,1.42,1.42,1.42,70422.53521126,99999.99999999
2026-05-10 04:00:00,1.42,1.42,1.4,1.4,11665.6518938,16416.41969357
