,open,high,low,close,volume,value
2026-05-17 06:00:00,155.0,156.0,155.0,156.0,7949.67089381,1233641.29623285
2026-05-17 06:30:00,156.0,156.0,156.0,156.0,2000.0,312000.0
2026-05-17 07:00:00,156.0,156.0,155.0,155.0,22865.27380547,3545239.23471964
2026-05-17 07:15:00,155.0,155.0,155.0,155.0,15388.41597797,2385204.47658535
2026-05-17 07:30:00,155.0,155.0,155.0,155.0,6470.00795196,1002851.2325538
2026-05-17 07:45:00,155.0,155.0,155.0,155.0,279.85362157,43377.31134335
2026-05-17 08:00:00,155.0,155.0,155.0,155.0,277.568,43023.04
2026-05-17 08:30:00,156.0,156.0,155.0,156.0,31520.19284821,4912804.43106044
2026-05-17 09:00:00,156.0,156.0,156.0,156.0,369.58974358,57655.99999848
2026-05-17 09:15:00,156.0,156.0,156.0,156.0,7498.62184291,1169785.00749396
2026-05-17 09:30:00,156.0,156.0,155.0,155.0,104968.45642984,16271045.13199661
2026-05-17 09:45:00,155.0,155.0,154.0,154.0,73205.45072075,11298375.35031162
2026-05-17 10:00:00,154.0,154.0,154.0,154.0,128228.23779805,19747148.6208997
2026-05-17 10:15:00,154.0,154.0,154.0,154.0,66895.79933146,10301953.09704484
2026-05-17 10:30:00,154.0,154.0,153.0,153.0,17304.00035647,2659137.5652415
2026-05-17 10:45:00,154.0,154.0,153.0,153.0,13101.20407772,2017542.93296639
2026-05-17 11:00:00,154.0,154.0,153.0,153.0,999.39241011,153167.95300052
2026-05-17 11:15:00,154.0,154.0,154.0,154.0,129.83766233,19994.99999882
2026-05-17 11:30:00,154.0,154.0,153.0,153.0,67799.10590699,10440999.11935388
2026-05-17 11:45:00,154.0,154.0,154.0,154.0,1002.98051948,154458.99999992
2026-05-17 12:00:00,154.0,155.0,154.0,155.0,31784.90650489,4895037.54076915
2026-05-17 12:15:00,155.0,155.0,155.0,155.0,13940.16540116,2160725.6371798
2026-05-17 12:30:00,155.0,155.0,154.0,155.0,15519.80403496,2397569.51646854
2026-05-17 12:45:00,155.0,156.0,155.0,156.0,112627.52044668,17482956.18205591
2026-05-17 13:00:00,156.0,156.0,156.0,156.0,64.07051282,9994.99999992
2026-05-17 13:15:00,156.0,156.0,155.0,155.0,1559.52429693,243124.49999849
2026-05-17 13:30:00,155.0,156.0,155.0,155.0,20751.61457413,3218605.17448112
2026-05-17 13:45:00,156.0,156.0,156.0,156.0,9690.65191279,1511741.69839524
2026-05-17 14:00:00,156.0,156.0,156.0,156.0,9676.99292799,1509610.89676644
2026-05-17 14:15:00,156.0,156.0,155.0,156.0,3030.34871597,472587.38494938
2026-05-17 14:30:00,155.0,156.0,155.0,155.0,57691.73096031,8944469.55302959
2026-05-17 14:45:00,155.0,156.0,155.0,155.0,161984.41541238,25108462.84725222
2026-05-17 15:00:00,155.0,156.0,154.0,155.0,56418.40196294,8765993.1030909
2026-05-17 15:15:00,155.0,155.0,154.0,154.0,11887.07024881,1838277.83811005
2026-05-17 15:30:00,154.0,154.0,154.0,154.0,1401.35,215807.9
2026-05-17 15:45:00,154.0,155.0,154.0,154.0,79531.11840035,12247828.07236357
2026-05-17 16:00:00,155.0,155.0,154.0,154.0,94886.06690204,14625514.2854948
2026-05-17 16:15:00,154.0,154.0,154.0,154.0,37651.21871127,5798287.68153558
2026-05-17 16:30:00,155.0,155.0,154.0,154.0,52387.79822834,8067850.79729423
2026-05-17 16:45:00,154.0,154.0,153.0,153.0,36015.86094332,5541834.2335609
2026-05-17 17:00:00,155.0,155.0,155.0,155.0,19208.02926986,2977244.5368283
2026-05-17 17:15:00,154.0,154.0,154.0,154.0,9101.22414193,1401588.51785722
2026-05-17 17:30:00,153.0,153.0,151.0,152.0,997601.82438716,151733605.868752
2026-05-17 17:45:00,152.0,153.0,151.0,152.0,170711.32710481,25924147.95705251
2026-05-17 18:00:00,152.0,153.0,152.0,152.0,372921.9899384,56684192.4706368
2026-05-17 18:15:00,152.0,152.0,151.0,152.0,263078.94230179,39985926.01287208
2026-05-17 18:30:00,152.0,152.0,152.0,152.0,48075.81057651,7307523.20762952
2026-05-17 18:45:00,152.0,153.0,151.0,153.0,303572.20870764,46285155.35078475
2026-05-17 19:00:00,153.0,154.0,153.0,153.0,109320.35688787,16726047.41430162
2026-05-17 19:15:00,153.0,154.0,152.0,153.0,229548.50763303,35117261.73385359
2026-05-17 19:30:00,153.0,153.0,153.0,153.0,122006.84746509,18667047.66215877
2026-05-17 19:45:00,152.0,153.0,152.0,153.0,312471.13155752,47806072.55823818
2026-05-17 20:00:00,153.0,153.0,152.0,152.0,59617.56725201,9063590.53862446
2026-05-17 20:15:00,152.0,153.0,152.0,152.0,505493.91044553,76841793.62987684
2026-05-17 20:30:00,152.0,152.0,151.0,152.0,370727.62969391,56349917.95443689
2026-05-17 20:45:00,152.0,153.0,152.0,152.0,259156.24818479,39391814.88438855
2026-05-17 21:00:00,153.0,153.0,152.0,152.0,65065.95293486,9944799.02184526
2026-05-17 21:15:00,153.0,153.0,152.0,153.0,32311.60388383,4917464.81338769
2026-05-17 21:30:00,153.0,153.0,152.0,152.0,36513.18617099,5550273.22413426
2026-05-17 21:45:00,152.0,153.0,152.0,152.0,7514.48501912,1143345.79139487
2026-05-17 22:00:00,152.0,153.0,151.0,151.0,343168.46822087,52052398.17905194
2026-05-17 22:15:00,151.0,152.0,150.0,152.0,436040.1091471,65847047.72746717
2026-05-17 22:30:00,152.0,152.0,151.0,152.0,6682.67572013,1013905.06918332
2026-05-17 22:45:00,151.0,152.0,150.0,151.0,288943.94137629,43626890.4656488
2026-05-17 23:00:00,150.0,151.0,150.0,150.0,286412.32113145,42968467.37667031
2026-05-17 23:15:00,150.0,151.0,149.0,151.0,532319.27275165,79769868.48190168
2026-05-17 23:30:00,151.0,151.0,149.0,150.0,167154.69391417,25081519.49410023
2026-05-17 23:45:00,150.0,150.0,149.0,150.0,75848.03746843,11374193.57207173
2026-05-18 00:00:00,150.0,150.0,149.0,149.0,206614.08461666,30786672.95544839
2026-05-18 00:15:00,149.0,150.0,148.0,149.0,460104.65539379,68570727.9580852
2026-05-18 00:30:00,150.0,150.0,148.0,149.0,128635.6642529,19165994.88341352
2026-05-18 00:45:00,149.0,150.0,149.0,150.0,57477.57681815,8570353.49351057
2026-05-18 01:00:00,150.0,150.0,150.0,150.0,65449.98524567,9817497.7868505
2026-05-18 01:15:00,150.0,150.0,150.0,150.0,8090.09009009,1213513.5135135
2026-05-18 01:30:00,150.0,150.0,149.0,149.0,79002.54861814,11846511.32497907
2026-05-18 01:45:00,150.0,150.0,150.0,150.0,110485.26403464,16572789.605196
2026-05-18 02:00:00,149.0,150.0,148.0,149.0,176889.46093667,26295327.83813932
2026-05-18 02:15:00,149.0,149.0,148.0,149.0,125618.13309163,18649296.19399755
2026-05-18 02:30:00,149.0,149.0,147.0,147.0,213111.44893279,31556910.21054174
2026-05-18 02:45:00,148.0,149.0,148.0,148.0,311601.48757157,46384768.30665353
2026-05-18 03:00:00,148.0,149.0,147.0,147.0,312764.07247888,46248547.52606613
2026-05-18 03:15:00,147.0,148.0,146.0,147.0,266327.93200236,39100824.76483839
2026-05-18 03:30:00,147.0,147.0,147.0,147.0,3401.36054422,500000.00000034
2026-05-18 03:45:00,148.0,148.0,147.0,148.0,369043.22627795,54610328.6391366
2026-05-18 04:00:00,149.0,149.0,148.0,148.0,84503.40303948,12546183.52717466
