,open,high,low,close,volume,value
2026-05-12 07:30:00,3.44,3.44,3.4,3.42,10120339.41309429,34555464.12112045
2026-05-12 07:45:00,3.41,3.42,3.4,3.42,10739887.29834299,36542193.25010157
2026-05-12 08:00:00,3.41,3.43,3.41,3.41,3658285.23748874,12505692.54827278
2026-05-12 08:15:00,3.43,3.45,3.42,3.43,5249569.21734972,18004900.25678813
2026-05-12 08:30:00,3.43,3.44,3.39,3.41,27667260.21240281,94241760.63911349
2026-05-12 08:45:00,3.41,3.45,3.39,3.45,20467062.84866201,70108574.61318289
2026-05-12 09:00:00,3.42,3.45,3.32,3.34,62362887.71861493,209205533.5900654
2026-05-12 09:15:00,3.34,3.37,3.32,3.35,24298976.34679414,81100038.3280478
2026-05-12 09:30:00,3.36,3.36,3.33,3.35,19880458.02999288,66385570.87566887
2026-05-12 09:45:00,3.35,3.35,3.33,3.33,8615551.37020785,28730884.14738849
2026-05-12 10:00:00,3.34,3.34,3.32,3.32,12501386.50519582,41596361.59970484
2026-05-12 10:15:00,3.33,3.35,3.3,3.34,19775074.32888341,65581871.31998179
2026-05-12 10:30:00,3.34,3.36,3.33,3.36,14769358.19571367,49379635.45938355
2026-05-12 10:45:00,3.35,3.39,3.35,3.37,11454421.1543825,38627206.55229812
2026-05-12 11:00:00,3.36,3.38,3.34,3.37,3684974.08310031,12367128.9924504
2026-05-12 11:15:00,3.37,3.37,3.33,3.34,5310970.31711616,17765143.66840467
2026-05-12 11:30:00,3.34,3.34,3.33,3.34,5056123.3193468,16872600.14772356
2026-05-12 11:45:00,3.33,3.34,3.29,3.31,34346985.16088984,113407104.23309693
2026-05-12 12:00:00,3.31,3.33,3.3,3.31,7742656.1586415,25670151.83411336
2026-05-12 12:15:00,3.33,3.34,3.31,3.32,1268125.70714429,4212349.70541894
2026-05-12 12:30:00,3.33,3.34,3.32,3.32,2507393.88596827,8344056.08089893
2026-05-12 12:45:00,3.33,3.33,3.31,3.32,1667179.44361774,5535616.67786415
2026-05-12 13:00:00,3.32,3.32,3.31,3.31,4547651.63617738,15080095.39974616
2026-05-12 13:15:00,3.32,3.32,3.31,3.32,2835234.95949513,9412028.99724581
2026-05-12 13:30:00,3.32,3.32,3.31,3.31,442645.12187326,1467424.57719622
2026-05-12 13:45:00,3.31,3.31,3.31,3.31,4703821.16193831,15569648.04601581
2026-05-12 14:00:00,3.31,3.32,3.3,3.32,1546182.73885276,5120039.17085827
2026-05-12 14:15:00,3.31,3.32,3.29,3.31,6329977.49074743,20915518.83414646
2026-05-12 14:30:00,3.31,3.32,3.3,3.31,103032.01673542,340652.68685794
2026-05-12 14:45:00,3.31,3.33,3.31,3.32,2564969.50622745,8518868.63373495
2026-05-12 15:00:00,3.32,3.32,3.3,3.32,8496316.69017413,28085233.06732401
2026-05-12 15:15:00,3.31,3.32,3.28,3.31,18396175.23767477,60558315.34711724
2026-05-12 15:30:00,3.3,3.32,3.28,3.32,6338539.22775497,20915441.33705992
2026-05-12 15:45:00,3.31,3.31,3.29,3.29,6062792.67519244,19985986.09009478
2026-05-12 16:00:00,3.29,3.3,3.27,3.29,22063096.90404974,72303577.19341633
2026-05-12 16:15:00,3.29,3.3,3.28,3.29,2573265.77730943,8465901.10949683
2026-05-12 16:30:00,3.29,3.33,3.28,3.32,10934559.97840828,35996476.511598
2026-05-12 16:45:00,3.32,3.32,3.3,3.32,2506294.29921053,8292935.95093962
2026-05-12 17:00:00,3.3,3.31,3.3,3.3,1834964.13678518,6058764.85682916
2026-05-12 17:15:00,3.3,3.33,3.3,3.32,1820144.09675187,6028398.78305731
2026-05-12 17:30:00,3.32,3.33,3.3,3.3,2998944.5230162,9925456.85838405
2026-05-12 17:45:00,3.32,3.32,3.3,3.32,1342981.7549152,4442239.81277069
2026-05-12 18:00:00,3.3,3.32,3.3,3.31,2128616.82619422,7032994.45594246
2026-05-12 18:15:00,3.31,3.32,3.3,3.3,6700040.7610182,22140428.71333437
2026-05-12 18:30:00,3.3,3.32,3.3,3.32,3981504.93017039,13167540.47174458
2026-05-12 18:45:00,3.32,3.33,3.31,3.32,2829121.9354874,9390722.40013573
2026-05-12 19:00:00,3.32,3.33,3.31,3.33,1414820.75214749,4697915.19544193
2026-05-12 19:15:00,3.33,3.34,3.32,3.33,8120142.47131855,27070648.14025421
2026-05-12 19:30:00,3.33,3.33,3.31,3.32,5511951.93440875,18315474.68524068
2026-05-12 19:45:00,3.33,3.33,3.33,3.33,4611200.65111837,15355298.16822417
2026-05-12 20:00:00,3.32,3.32,3.31,3.31,5512465.95071776,18246617.32992108
2026-05-12 20:15:00,3.32,3.33,3.31,3.31,4917409.54666095,16346450.16862188
2026-05-12 20:30:00,3.31,3.31,3.3,3.31,4462977.50321776,14770905.99995225
2026-05-12 20:45:00,3.32,3.33,3.31,3.33,2309768.59049212,7676974.80193856
2026-05-12 21:00:00,3.34,3.34,3.31,3.33,2446401.38478116,8159397.4988254
2026-05-12 21:15:00,3.33,3.33,3.31,3.33,707683.73148312,2351289.17199106
2026-05-12 21:30:00,3.33,3.33,3.31,3.31,8461913.08611202,28010514.41287076
2026-05-12 21:45:00,3.31,3.32,3.31,3.32,4353309.9965863,14420551.94601121
2026-05-12 22:00:00,3.32,3.33,3.31,3.33,541261.83445814,1795515.08055392
2026-05-12 22:15:00,3.33,3.33,3.3,3.32,1778707.56775212,5883972.26634051
2026-05-12 22:30:00,3.31,3.32,3.31,3.31,2434363.95031921,8061524.15283552
2026-05-12 22:45:00,3.31,3.32,3.3,3.31,1575464.73530288,5208181.72174857
2026-05-12 23:00:00,3.31,3.32,3.3,3.32,7171479.1199941,23760579.64295497
2026-05-12 23:15:00,3.32,3.32,3.31,3.31,1121271.90585486,3715339.15397396
2026-05-12 23:30:00,3.31,3.32,3.3,3.32,1805625.60838177,5976530.58174293
2026-05-12 23:45:00,3.32,3.32,3.3,3.3,3280268.32413003,10831107.05649971
2026-05-13 00:00:00,3.3,3.32,3.3,3.32,507766.93318726,1685662.09769978
2026-05-13 00:15:00,3.31,3.32,3.3,3.3,9378730.3724446,31067124.1739851
2026-05-13 00:30:00,3.3,3.32,3.29,3.32,476345.2890386,1572896.99885031
2026-05-13 00:45:00,3.31,3.31,3.31,3.31,1962764.84114438,6496751.6241879
2026-05-13 01:00:00,3.31,3.32,3.31,3.32,127585.21479626,422442.64228135
2026-05-13 01:15:00,3.31,3.32,3.3,3.3,1481959.51686562,4894818.93859246
2026-05-13 01:30:00,3.29,3.3,3.29,3.3,601767.80700254,1984336.75712036
2026-05-13 01:45:00,3.3,3.31,3.3,3.31,573023.95634259,1895917.81313805
2026-05-13 02:00:00,3.31,3.31,3.31,3.31,20484.15535253,67802.55421687
2026-05-13 02:15:00,3.31,3.31,3.31,3.31,726599.3487966,2405043.84451675
