,open,high,low,close,volume,value
2026-05-18 06:30:00,138.0,138.0,138.0,138.0,69009.89676761,9523365.75393018
2026-05-18 06:45:00,139.0,139.0,138.0,138.0,26478.98712515,3657753.12343932
2026-05-18 07:00:00,138.0,138.0,137.0,137.0,25345.70389652,3492969.26895002
2026-05-18 07:15:00,137.0,137.0,137.0,137.0,150051.58274329,20557066.83583073
2026-05-18 07:30:00,137.0,137.0,136.0,137.0,101025.35090365,13832904.30528545
2026-05-18 07:45:00,137.0,137.0,136.0,137.0,41066.36358441,5596546.14200255
2026-05-18 08:00:00,136.0,137.0,135.0,135.0,374217.93108539,50883018.25337673
2026-05-18 08:15:00,135.0,136.0,135.0,136.0,44275.34450472,5988790.00134975
2026-05-18 08:30:00,135.0,136.0,131.0,133.0,1712982.75646344,228596442.37333056
2026-05-18 08:45:00,133.0,135.0,133.0,134.0,583038.54713508,77785313.76716858
2026-05-18 09:00:00,135.0,135.0,131.0,133.0,1059772.81451958,140012933.0868349
2026-05-18 09:15:00,133.0,134.0,132.0,132.0,305387.36444517,40633267.67770139
2026-05-18 09:30:00,133.0,133.0,131.0,131.0,700831.10775332,92365856.24090011
2026-05-18 09:45:00,131.0,132.0,131.0,132.0,630401.88868481,82854525.77392615
2026-05-18 10:00:00,132.0,133.0,132.0,133.0,741847.62779305,98553195.71754134
2026-05-18 10:15:00,133.0,133.0,132.0,132.0,322814.27623948,42663046.45525082
2026-05-18 10:30:00,131.0,133.0,131.0,132.0,123682.14270733,16313290.62307787
2026-05-18 10:45:00,133.0,133.0,131.0,133.0,139533.23605673,18483931.58670114
2026-05-18 11:00:00,133.0,135.0,132.0,134.0,327978.9047921,43689263.06393812
2026-05-18 11:15:00,134.0,135.0,134.0,135.0,49747.51380317,6667474.86443958
2026-05-18 11:30:00,134.0,135.0,134.0,134.0,386637.35854842,51849545.27217122
2026-05-18 11:45:00,134.0,135.0,133.0,134.0,248755.70365138,33287647.51602254
2026-05-18 12:00:00,134.0,135.0,133.0,133.0,237894.17370888,31891971.12769748
2026-05-18 12:15:00,133.0,134.0,132.0,133.0,77126.67555065,10272644.89703126
2026-05-18 12:30:00,133.0,133.0,133.0,133.0,376974.50491035,50137609.15307655
2026-05-18 12:45:00,133.0,133.0,132.0,133.0,110987.73922148,14696532.0131189
2026-05-18 13:00:00,133.0,135.0,132.0,134.0,253525.69094753,33891565.17123804
