,open,high,low,close,volume,value
2026-05-08 08:45:00,14.3,14.3,14.2,14.2,15753.96683831,223741.54037161
2026-05-08 09:00:00,14.3,14.3,14.2,14.3,1407.3006993,20054.46993006
2026-05-08 09:15:00,14.2,14.2,14.2,14.2,6993.00699301,99300.69930074
2026-05-08 10:00:00,14.3,14.3,14.3,14.3,1000.0,14300.0
2026-05-08 10:15:00,14.3,14.3,14.3,14.3,356.28671328,5094.8999999
2026-05-08 10:30:00,14.2,14.2,14.2,14.2,55603.03750067,789563.13250951
2026-05-08 10:45:00,14.3,14.3,14.3,14.3,4604.75524475,65847.99999993
2026-05-08 11:00:00,14.2,14.2,14.2,14.2,353.0,5012.6
2026-05-08 11:15:00,14.2,14.2,14.2,14.2,78100.0,1109020.0
2026-05-08 11:30:00,14.2,14.2,14.2,14.2,72376.27663645,1027743.12823759
2026-05-08 12:15:00,14.2,14.2,14.2,14.2,58985.85492563,837599.13994395
2026-05-08 13:15:00,14.2,14.2,14.2,14.2,20000.0,284000.0
2026-05-08 13:30:00,14.2,14.2,14.2,14.2,402700.375008,5718345.3251136
2026-05-08 13:45:00,14.2,14.2,14.2,14.2,5889.74930863,83634.44018255
2026-05-08 14:30:00,14.3,14.3,14.3,14.3,356.0,5090.8
2026-05-08 15:00:00,14.3,14.3,14.2,14.2,15275.08746184,216948.20000009
2026-05-08 15:15:00,14.3,14.3,14.3,14.3,690.84338949,9879.06046971
2026-05-08 15:30:00,14.3,14.3,14.3,14.3,7692.3076923,109999.99999989
2026-05-08 15:45:00,14.3,14.3,14.2,14.2,80299.76700097,1140993.86623895
2026-05-08 16:00:00,14.3,14.3,14.3,14.3,3496.5034965,49999.99999995
2026-05-08 16:15:00,14.2,14.2,14.2,14.2,8887.71090509,126205.49485228
2026-05-08 16:30:00,14.3,14.3,14.3,14.3,704.22535211,10070.42253517
2026-05-08 16:45:00,14.3,14.3,14.3,14.3,699.3006993,9999.99999999
2026-05-08 17:00:00,14.3,14.3,14.3,14.3,172808.63064969,2471163.41829057
2026-05-08 17:30:00,14.3,14.3,14.3,14.3,34169.58041957,488624.99999985
