,open,high,low,close,volume,value
2026-05-15 16:45:00,0.916,0.918,0.916,0.918,14609538.7651965,13403866.47941518
2026-05-15 17:00:00,0.918,0.918,0.912,0.914,97484917.83479214,89130521.08796819
2026-05-15 17:15:00,0.914,0.914,0.91,0.911,5333292.44660041,4867358.10174114
2026-05-15 17:30:00,0.909,0.912,0.909,0.912,3895923.51252707,3546086.38950946
2026-05-15 17:45:00,0.909,0.909,0.908,0.908,130799.83711691,118860.38197227
2026-05-15 18:00:00,0.908,0.911,0.907,0.911,1236546.84511286,1125124.85265786
2026-05-15 18:15:00,0.907,0.908,0.906,0.908,2118957.4568121,1920178.86387476
2026-05-15 18:30:00,0.908,0.908,0.907,0.907,944450.56300901,857309.15024786
2026-05-15 18:45:00,0.906,0.906,0.904,0.905,8610577.17983734,7792589.74984115
2026-05-15 19:00:00,0.906,0.907,0.903,0.907,7061661.33345112,6386378.98881311
2026-05-15 19:15:00,0.905,0.906,0.903,0.905,207341.21654898,187424.8445575
2026-05-15 19:30:00,0.905,0.905,0.905,0.905,1111609.04569232,1006006.18635155
2026-05-15 19:45:00,0.907,0.909,0.906,0.906,16487728.79864727,14960501.86208945
2026-05-15 20:00:00,0.907,0.907,0.903,0.903,10010514.902,9044261.63330522
2026-05-15 20:15:00,0.903,0.906,0.903,0.903,5472418.87516745,4954985.04891031
2026-05-15 20:30:00,0.904,0.907,0.903,0.906,243281.53971857,220170.52264119
2026-05-15 20:45:00,0.906,0.907,0.899,0.901,61190193.51441713,55175678.91379902
2026-05-15 21:00:00,0.901,0.903,0.897,0.901,7306645.04841931,6573014.79505094
2026-05-15 21:15:00,0.901,0.902,0.901,0.901,5782094.72233054,5209888.9635005
2026-05-15 21:30:00,0.899,0.901,0.898,0.9,4343057.81798463,3905583.85480909
2026-05-15 21:45:00,0.898,0.898,0.894,0.894,55349356.10901446,49564907.43723314
2026-05-15 22:00:00,0.896,0.896,0.887,0.889,32984373.89753165,29370482.11018406
2026-05-15 22:15:00,0.889,0.89,0.889,0.89,29207989.1003419,25993108.29930429
2026-05-15 22:30:00,0.89,0.89,0.871,0.874,190414822.7147225,167197082.88033524
2026-05-15 22:45:00,0.876,0.876,0.86,0.86,140193938.3303276,121181238.91221246
2026-05-15 23:00:00,0.859,0.866,0.854,0.865,204675113.43689844,176299369.5920989
2026-05-15 23:15:00,0.865,0.866,0.858,0.858,36273246.83017704,31300284.84773585
2026-05-15 23:30:00,0.86,0.863,0.86,0.861,21253929.83742465,18298983.34189029
2026-05-15 23:45:00,0.861,0.866,0.86,0.866,31120086.43649972,26797959.77912558
2026-05-16 00:00:00,0.865,0.866,0.862,0.862,59908358.13704172,51807041.21069873
2026-05-16 00:15:00,0.864,0.872,0.864,0.868,129263396.7902785,112047165.78640524
2026-05-16 00:30:00,0.868,0.869,0.863,0.863,23787127.13405212,20603431.93103903
2026-05-16 00:45:00,0.864,0.864,0.86,0.86,109830695.44127086,94616620.44051996
2026-05-16 01:00:00,0.86,0.864,0.86,0.864,6062070.4460334,5217531.11673995
2026-05-16 01:15:00,0.864,0.869,0.864,0.869,5516868.95776362,4773126.59587939
2026-05-16 01:30:00,0.869,0.869,0.869,0.869,279724.555803,243080.63899281
2026-05-16 01:45:00,0.867,0.869,0.863,0.863,14947890.84237407,12927125.35310437
2026-05-16 02:00:00,0.868,0.868,0.868,0.868,1822666.0,1582074.088
2026-05-16 02:15:00,0.869,0.87,0.868,0.87,21101620.36875468,18352526.55712935
2026-05-16 02:30:00,0.87,0.87,0.868,0.868,8137870.01452086,7066884.48457776
2026-05-16 03:00:00,0.868,0.87,0.868,0.868,3860429.27586206,3350864.10799999
2026-05-16 03:15:00,0.868,0.868,0.864,0.864,22112731.45432392,19161352.62319867
2026-05-16 03:30:00,0.864,0.867,0.863,0.867,5590722.04685345,4829893.4479887
2026-05-16 03:45:00,0.867,0.868,0.867,0.868,557698.27463736,483539.40399999
2026-05-16 04:00:00,0.864,0.864,0.864,0.864,34400.60905806,29722.12622616
2026-05-16 04:15:00,0.866,0.866,0.863,0.865,24035.11162314,20773.0291641
2026-05-16 04:30:00,0.868,0.868,0.865,0.865,686813.51153161,594125.23281895
2026-05-16 04:45:00,0.867,0.867,0.864,0.864,551093.80632917,476837.09019089
2026-05-16 05:00:00,0.861,0.861,0.859,0.86,9418755.76315989,8099876.27716722
2026-05-16 05:15:00,0.862,0.862,0.862,0.862,1169171.4979935,1007825.8312704
2026-05-16 05:30:00,0.86,0.861,0.86,0.86,9700989.595008,8344069.98347212
2026-05-16 05:45:00,0.86,0.863,0.859,0.863,19481036.30741281,16753276.29825453
2026-05-16 06:00:00,0.862,0.865,0.862,0.864,7865332.84057762,6795372.51368996
2026-05-16 06:15:00,0.864,0.864,0.864,0.864,2211954.42427231,1911128.62257128
2026-05-16 06:45:00,0.864,0.864,0.86,0.86,14082118.68224107,12139122.54935522
2026-05-16 07:00:00,0.862,0.863,0.86,0.861,3334192.77228804,2873919.4775449
2026-05-16 07:15:00,0.862,0.863,0.862,0.863,2177748.83256784,1878319.3001041
2026-05-16 07:30:00,0.863,0.863,0.863,0.863,42177.2873702,36398.99900048
2026-05-16 07:45:00,0.865,0.868,0.865,0.868,3070895.4282997,2659564.50580811
2026-05-16 08:00:00,0.868,0.868,0.867,0.867,6349904.4486507,5511140.31878635
2026-05-16 08:15:00,0.868,0.869,0.866,0.867,5361745.69356935,4650398.27719705
2026-05-16 08:30:00,0.867,0.867,0.867,0.867,6921953.3934452,6001333.59211699
2026-05-16 08:45:00,0.867,0.868,0.866,0.868,12303371.98449062,10664891.00886672
2026-05-16 09:00:00,0.866,0.868,0.864,0.867,4608177.73149835,3992259.38212269
2026-05-16 09:15:00,0.867,0.87,0.865,0.869,10250034.33032073,8887704.44773824
2026-05-16 09:30:00,0.869,0.871,0.869,0.87,2129902.04243251,1852485.20395357
2026-05-16 09:45:00,0.87,0.873,0.87,0.87,18193716.08565508,15832307.14454991
2026-05-16 10:00:00,0.87,0.87,0.866,0.867,7896502.72062812,6864035.45341249
2026-05-16 10:15:00,0.869,0.869,0.866,0.867,6810884.39737226,5898641.08541976
2026-05-16 10:30:00,0.867,0.869,0.867,0.868,17987183.73101669,15609524.82363441
2026-05-16 10:45:00,0.868,0.872,0.868,0.87,11824742.15038081,10295314.49041526
2026-05-16 11:00:00,0.871,0.872,0.871,0.871,367433.39204947,320056.18367141
2026-05-16 11:15:00,0.872,0.872,0.869,0.871,11636189.89641324,10128104.73456698
2026-05-16 11:30:00,0.868,0.87,0.868,0.87,7016836.27662073,6095691.7747486
2026-05-16 11:45:00,0.87,0.872,0.867,0.867,5105452.51175946,4436112.07352292
2026-05-16 12:00:00,0.869,0.87,0.868,0.87,2028874.23359884,1764819.62556839
2026-05-16 12:15:00,0.871,0.871,0.869,0.869,125741.67623421,109281.0
2026-05-16 12:30:00,0.87,0.87,0.868,0.868,1141833.18504434,991122.94357659
2026-05-16 12:45:00,0.867,0.867,0.865,0.865,7355908.43430538,6363047.3409021
2026-05-16 13:00:00,0.866,0.866,0.865,0.865,6626534.0974429,5733684.14902252
2026-05-16 13:15:00,0.865,0.867,0.864,0.864,8550280.36359947,7396076.9378384
2026-05-16 13:30:00,0.864,0.864,0.858,0.861,31072576.37466953,26751969.75533412
2026-05-16 13:45:00,0.86,0.861,0.859,0.861,60503263.34876935,52023228.19537011
2026-05-16 14:15:00,0.861,0.861,0.861,0.861,6463653.46820809,5565205.63612717
2026-05-16 14:30:00,0.861,0.861,0.86,0.86,7936834.15895164,6830713.20735494
2026-05-16 14:45:00,0.86,0.86,0.856,0.856,33289569.345845,28551030.89668719
2026-05-16 15:00:00,0.856,0.857,0.853,0.853,20815589.68961026,17787702.37294291
2026-05-16 15:15:00,0.853,0.853,0.849,0.849,55769234.72250447,47411012.21652982
2026-05-16 15:30:00,0.849,0.853,0.848,0.848,27732064.4348421,23588541.04247859
2026-05-16 15:45:00,0.848,0.851,0.847,0.851,14046875.14864503,11901864.40446105
2026-05-16 16:00:00,0.849,0.85,0.84,0.84,112104305.14696464,94293676.65416053
2026-05-16 16:15:00,0.844,0.844,0.835,0.842,63727289.97206036,53460807.1891126
2026-05-16 16:30:00,0.841,0.845,0.839,0.845,1717697.57514752,1448055.07224895
2026-05-16 16:45:00,0.846,0.846,0.841,0.841,13827507.99525094,11653817.61833523
2026-05-16 17:00:00,0.843,0.844,0.842,0.844,3819564.85640365,3222403.52087226
2026-05-16 17:15:00,0.844,0.846,0.843,0.843,14078644.39848839,11883450.58491371
2026-05-16 17:30:00,0.843,0.845,0.843,0.844,7205421.77251087,6074787.80288816
2026-05-16 17:45:00,0.844,0.845,0.842,0.842,12198934.37757802,10283394.42098783
2026-05-16 18:00:00,0.842,0.842,0.841,0.841,2824138.3030891,2377030.17864199
2026-05-16 18:15:00,0.841,0.842,0.833,0.834,69594383.53702936,58152143.09454814
2026-05-16 18:30:00,0.835,0.84,0.835,0.839,4936725.43945534,4131879.53755422
2026-05-16 18:45:00,0.838,0.839,0.836,0.837,26739559.28990453,22377195.652129
2026-05-16 19:00:00,0.838,0.839,0.829,0.831,34604239.20996171,28801600.44592472
