,open,high,low,close,volume,value
2026-05-15 23:45:00,116.0,116.0,115.0,115.0,100804.71927779,11691371.5446311
2026-05-16 00:00:00,116.0,116.0,116.0,116.0,86.95652173,10086.95652068
2026-05-16 00:15:00,116.0,116.0,115.0,116.0,101664.69144337,11723080.09865818
2026-05-16 00:30:00,116.0,116.0,115.0,116.0,114527.85381159,13276086.7606522
2026-05-16 00:45:00,115.0,116.0,115.0,116.0,4465.59652447,514158.84169335
2026-05-16 01:00:00,116.0,116.0,115.0,116.0,51357.49190734,5930786.82389138
2026-05-16 01:15:00,116.0,116.0,115.0,116.0,9067.3023488,1050945.00349528
2026-05-16 01:45:00,116.0,117.0,116.0,117.0,11968.95205388,1400323.39030396
2026-05-16 02:00:00,117.0,117.0,117.0,117.0,29807.96242006,3487531.60314702
2026-05-16 02:15:00,117.0,117.0,117.0,117.0,94317.04003401,11035093.68397917
2026-05-16 02:30:00,117.0,118.0,117.0,118.0,949.64887048,111152.49775112
2026-05-16 02:45:00,118.0,118.0,118.0,118.0,126.05042016,14873.94957888
2026-05-16 03:15:00,117.0,117.0,117.0,117.0,28252.64102564,3305558.99999988
2026-05-16 03:30:00,117.0,117.0,117.0,117.0,2808.7,328617.9
2026-05-16 03:45:00,117.0,117.0,117.0,117.0,109114.01182582,12766339.38362094
2026-05-16 04:00:00,117.0,117.0,117.0,117.0,68016.05042072,7957877.89922424
2026-05-16 04:15:00,117.0,117.0,117.0,117.0,35816.27989424,4190504.74762608
2026-05-16 04:45:00,117.0,117.0,116.0,116.0,57602.53413408,6727399.71949382
2026-05-16 05:15:00,117.0,117.0,117.0,117.0,831.64393465,97302.34035405
2026-05-16 05:30:00,117.0,117.0,117.0,117.0,6412.39316239,750249.99999963
2026-05-16 05:45:00,116.0,117.0,116.0,116.0,26141.02564102,3032508.97435832
2026-05-16 06:15:00,116.0,117.0,116.0,117.0,71557.16971952,8300717.15754979
