,open,high,low,close,volume,value
2026-05-13 12:45:00,79.4,79.6,79.1,79.2,309865.60315419,24543144.82640987
2026-05-13 13:00:00,79.5,79.5,79.3,79.4,102856.61741074,8166825.21009155
2026-05-13 13:15:00,79.4,79.4,79.2,79.2,91030.88446007,7214777.03090959
2026-05-13 13:30:00,79.2,79.4,79.1,79.4,44565.77606526,3528919.16286149
2026-05-13 13:45:00,79.4,79.4,79.2,79.4,3261.33531502,258932.30543825
2026-05-13 14:00:00,79.4,79.4,79.2,79.2,46471.7446087,3680813.1872226
2026-05-13 14:15:00,79.3,79.4,79.2,79.3,98693.88585802,7822730.67458325
2026-05-13 14:30:00,79.3,79.4,79.2,79.4,26551.28955576,2104900.61707532
2026-05-13 14:45:00,79.2,79.2,79.1,79.2,144868.52660457,11473100.55861077
2026-05-13 15:00:00,79.2,79.4,79.2,79.3,92349.31403865,7314863.35063532
2026-05-13 15:15:00,79.2,79.3,79.1,79.1,38061.38828706,3012031.28602447
2026-05-13 15:30:00,79.1,79.3,79.1,79.3,23214.05302426,1840822.76022828
2026-05-13 15:45:00,79.1,79.2,79.1,79.2,12498.49488569,989270.99494665
2026-05-13 16:00:00,79.2,79.3,79.2,79.3,46944.05537772,3718000.82457277
2026-05-13 16:15:00,79.2,79.2,79.2,79.2,14133.59197942,1119380.48477006
2026-05-13 16:30:00,79.2,79.4,79.2,79.3,49730.7547368,3942141.66371004
2026-05-13 16:45:00,79.3,79.5,79.3,79.5,117970.43652136,9359674.87325761
2026-05-13 17:00:00,79.5,79.5,79.4,79.4,38262.50855316,3041616.58547559
2026-05-13 17:15:00,79.4,79.5,79.2,79.3,27898.74117115,2213201.57608049
2026-05-13 17:30:00,79.3,79.4,79.3,79.3,92113.0580992,7307044.10865195
2026-05-13 17:45:00,79.4,79.4,79.3,79.3,5838.00924972,463374.00000154
2026-05-13 18:00:00,79.3,79.7,79.3,79.7,230390.74098438,18351802.17406625
2026-05-13 18:15:00,79.7,79.8,79.7,79.8,3832.43467691,305614.09268453
2026-05-13 18:30:00,79.8,79.8,79.8,79.8,501.25313283,39999.99999983
2026-05-13 18:45:00,79.8,79.8,79.6,79.6,9129.70512254,727005.23201483
2026-05-13 19:00:00,79.6,79.8,79.6,79.6,81242.88574882,6473350.93474122
2026-05-13 19:15:00,79.8,79.8,79.6,79.8,46826.30612946,3727440.13833887
2026-05-13 19:30:00,79.6,79.8,79.6,79.8,76520.76776232,6092568.65560981
2026-05-13 19:45:00,79.6,79.7,79.6,79.6,137655.59269659,10957416.54753188
2026-05-13 20:00:00,79.5,79.6,79.3,79.6,50282.69551694,3992954.27040616
2026-05-13 20:15:00,79.6,79.6,79.3,79.6,2092.61065314,165989.76577401
2026-05-13 20:30:00,79.6,79.6,79.3,79.3,6648.49393901,527291.52413736
2026-05-13 20:45:00,79.4,79.6,79.2,79.2,83744.49558638,6638061.5683591
2026-05-13 21:00:00,79.3,79.3,79.2,79.2,33437.1998287,2648382.38290714
2026-05-13 21:15:00,79.3,79.5,79.3,79.3,10680.64247731,847483.12678068
2026-05-13 21:30:00,79.3,79.3,79.1,79.1,99267.14837693,7859884.36536402
2026-05-13 21:45:00,79.1,79.4,79.1,79.4,200500.28571092,15860014.87318052
2026-05-13 22:00:00,79.1,79.4,79.1,79.4,78095.0814377,6178593.54492921
2026-05-13 22:15:00,79.3,79.4,79.1,79.4,226622.01915007,17993332.683457
2026-05-13 22:30:00,79.5,79.5,79.0,79.1,95834.22604614,7588044.04663771
2026-05-13 22:45:00,79.1,79.3,79.1,79.3,8131.37617728,643555.95717811
2026-05-13 23:00:00,79.2,79.3,79.1,79.1,1902.6033658,150784.63369556
2026-05-13 23:15:00,79.1,79.1,79.1,79.1,220.45426154,17437.93208781
2026-05-13 23:30:00,79.3,79.3,79.3,79.3,33.0,2616.9
2026-05-14 00:00:00,79.2,79.3,79.2,79.3,9281.53486686,736003.0673511
2026-05-14 00:15:00,79.2,79.3,78.8,78.9,407267.6344585,32134317.03606081
2026-05-14 00:30:00,78.9,79.1,78.7,79.1,754112.57333753,59374902.15841029
2026-05-14 00:45:00,78.8,79.0,78.7,78.8,177004.91113434,13934942.48914947
2026-05-14 01:00:00,78.7,78.8,78.5,78.5,97950.03910782,7704395.80094402
2026-05-14 01:15:00,78.5,78.8,78.5,78.8,8988.11330514,706059.85482609
2026-05-14 01:30:00,78.6,78.8,78.2,78.7,93641.05712645,7337972.33297659
2026-05-14 01:45:00,78.6,78.6,78.4,78.4,507.41190838,39869.65080783
2026-05-14 02:00:00,78.7,78.7,78.7,78.7,37936.41601888,2985595.94068586
2026-05-14 02:15:00,78.7,78.9,78.4,78.4,14174.84951343,1114120.5405707
2026-05-14 02:30:00,78.4,78.7,78.4,78.7,825.89157366,64940.41487686
2026-05-14 03:00:00,78.5,78.7,78.5,78.7,3486.43773443,273698.07117436
2026-05-14 03:15:00,78.7,78.7,78.7,78.7,3365.47649301,264862.99999989
2026-05-14 03:30:00,78.5,78.7,78.5,78.5,1368.84266609,107461.34724848
2026-05-14 03:45:00,78.5,78.5,78.5,78.5,190.327616,14940.717856
2026-05-14 04:00:00,78.5,78.5,78.4,78.5,19232.62736,1509191.96346703
2026-05-14 04:15:00,78.5,78.5,78.5,78.5,111424.52750524,8746825.40916134
2026-05-14 04:30:00,78.5,78.5,78.5,78.5,12036.80198113,944888.95551871
2026-05-14 04:45:00,78.5,78.5,78.5,78.5,2350.0,184475.0
2026-05-14 05:00:00,78.5,78.8,78.5,78.8,1414.14041393,111390.7331534
2026-05-14 05:15:00,78.5,78.9,78.4,78.8,18928.0703956,1485140.85723825
2026-05-14 05:30:00,78.3,78.9,78.3,78.8,17245.56513114,1358777.13556602
2026-05-14 05:45:00,78.5,78.9,78.4,78.4,5582.32497696,438065.95435692
2026-05-14 06:00:00,78.8,78.8,78.8,78.8,200.0,15760.0
2026-05-14 06:15:00,78.8,78.9,78.8,78.9,6389.81194681,503527.18140863
2026-05-14 06:30:00,78.4,78.4,78.4,78.4,512.54702481,40183.6867451
2026-05-14 06:45:00,78.9,78.9,78.3,78.8,49525.04937659,3880682.05561923
2026-05-14 07:00:00,78.8,78.8,78.8,78.8,1632.61421319,128649.99999937
2026-05-14 07:15:00,78.4,78.8,78.2,78.3,33566.1069133,2632120.43770347
2026-05-14 07:30:00,78.3,78.7,78.3,78.3,6151.26876488,481669.75725071
2026-05-14 07:45:00,78.4,78.8,78.4,78.8,8187.68830444,642351.56002241
2026-05-14 08:00:00,78.8,78.9,78.5,78.9,28611.46664857,2254149.26896857
2026-05-14 08:15:00,78.4,78.4,78.4,78.4,426.1925508,33413.49598272
2026-05-14 08:30:00,78.4,78.9,78.4,78.9,13675.23296037,1075363.91285506
2026-05-14 08:45:00,78.8,78.9,78.4,78.9,46186.7270902,3630251.92872195
2026-05-14 09:00:00,78.9,78.9,78.5,78.9,20600.10205415,1617196.65561072
2026-05-14 09:15:00,78.5,78.9,78.5,78.9,22523.06511012,1768087.01114442
2026-05-14 09:30:00,78.5,78.9,78.5,78.8,4570.58434372,359125.07766819
2026-05-14 09:45:00,78.8,78.8,78.5,78.5,89882.87206648,7056146.19048572
2026-05-14 10:00:00,78.8,78.9,78.5,78.9,15744.90073262,1238905.76802395
2026-05-14 10:15:00,78.8,78.9,78.7,78.7,47584.1904029,3749133.18953532
2026-05-14 10:30:00,78.6,78.8,78.4,78.4,79051.50673354,6198626.25326849
2026-05-14 10:45:00,78.4,78.8,78.4,78.4,1056.30603823,82858.94872718
2026-05-14 11:00:00,78.8,78.8,78.4,78.8,49801.97894922,3904594.52919976
2026-05-14 11:15:00,78.4,78.8,78.4,78.8,2103.32279326,165245.07551949
2026-05-14 11:30:00,78.4,78.8,78.4,78.8,15179.93631376,1190644.08453589
2026-05-14 12:00:00,78.4,78.8,78.4,78.8,1302.03553299,102092.78578642
2026-05-14 12:15:00,78.4,78.7,78.3,78.7,39006.15848353,3055699.17076073
2026-05-14 12:30:00,78.7,78.7,78.1,78.6,106134.49195966,8300437.18481561
2026-05-14 12:45:00,78.6,78.6,78.2,78.2,2119.88064294,165896.70621044
2026-05-14 13:00:00,78.2,78.6,78.2,78.6,23122.94141267,1808278.10905603
2026-05-14 13:15:00,78.2,78.5,78.1,78.5,24862.03146402,1943947.59102636
2026-05-14 13:30:00,78.2,78.5,77.4,77.5,605617.9468405,47033430.17692204
2026-05-14 13:45:00,77.5,77.5,77.4,77.5,292839.27046364,22690199.56512275
2026-05-14 14:00:00,77.4,78.3,77.4,78.1,166678.94378158,12918311.76622148
2026-05-14 14:15:00,77.6,77.6,77.5,77.6,18312.04605579,1419518.48354658
2026-05-14 14:30:00,77.6,77.9,77.6,77.6,35255.89082625,2736317.05654188
