,open,high,low,close,volume,value
2026-05-11 23:45:00,213.0,213.0,213.0,213.0,3933.91481599,837923.85580587
2026-05-12 00:00:00,214.0,214.0,214.0,214.0,4694.83568075,1004694.8356805
2026-05-12 00:30:00,216.0,216.0,215.0,215.0,8203.05584641,1766386.56141389
2026-05-12 01:00:00,216.0,216.0,216.0,216.0,25852.1082056,5584055.3724096
2026-05-12 01:15:00,216.0,216.0,215.0,215.0,1474.57887904,317057.60714174
2026-05-12 01:30:00,215.0,215.0,215.0,215.0,7097.83804014,1526035.1786301
2026-05-12 02:00:00,214.0,214.0,214.0,214.0,11608.74134961,2484270.64881654
2026-05-12 02:30:00,216.0,216.0,215.0,216.0,24904.85036399,5376503.90545154
2026-05-12 02:45:00,216.0,216.0,216.0,216.0,36869.02623599,7963709.66697384
2026-05-12 03:00:00,216.0,216.0,216.0,216.0,1645.4,355406.4
2026-05-12 03:45:00,215.0,215.0,215.0,215.0,19646.33962088,4223963.0184892
2026-05-12 04:15:00,214.0,214.0,214.0,214.0,1320.0,282480.0
2026-05-12 04:30:00,215.0,215.0,215.0,215.0,465.11627907,100000.00000005
2026-05-12 05:00:00,216.0,216.0,216.0,216.0,855.7,184831.2
2026-05-12 05:15:00,216.0,216.0,216.0,216.0,148.14814814,31999.99999824
2026-05-12 06:00:00,215.0,215.0,215.0,215.0,6137.37806336,1319536.2836224
2026-05-12 06:15:00,215.0,216.0,215.0,215.0,34927.08335101,7533117.62959406
2026-05-12 06:30:00,215.0,215.0,215.0,215.0,6241.20037573,1341858.08078195
2026-05-12 07:00:00,215.0,215.0,215.0,215.0,558.13953487,119999.99999705
2026-05-12 07:15:00,215.0,215.0,215.0,215.0,469.38856153,100918.54072895
2026-05-12 07:30:00,215.0,215.0,215.0,215.0,4740.49534883,1019206.49999845
2026-05-12 07:45:00,215.0,215.0,215.0,215.0,30.0,6450.0
2026-05-12 08:00:00,214.0,214.0,214.0,214.0,17428.80976207,3729765.28908298
2026-05-12 08:15:00,214.0,215.0,214.0,215.0,64841.07751739,13876920.82127959
2026-05-12 08:30:00,214.0,214.0,214.0,214.0,1619.0,346466.0
2026-05-12 08:45:00,214.0,214.0,214.0,214.0,28379.36963223,6073185.10129722
2026-05-12 09:00:00,214.0,214.0,214.0,214.0,4021.01082801,860496.31719414
2026-05-12 09:15:00,214.0,214.0,214.0,214.0,592.94699346,126890.65660044
2026-05-12 09:30:00,214.0,214.0,214.0,214.0,50544.41550936,10816504.91900304
2026-05-12 09:45:00,214.0,214.0,214.0,214.0,479.72096458,102660.28642012
2026-05-12 10:00:00,214.0,214.0,213.0,214.0,98733.49983159,21127612.08310629
2026-05-12 10:15:00,214.0,214.0,213.0,213.0,297372.80085597,63370384.61746784
2026-05-12 10:30:00,212.0,212.0,209.0,210.0,138852.16336026,29217922.16457778
2026-05-12 10:45:00,210.0,212.0,210.0,210.0,88815.12523996,18700822.32390958
2026-05-12 11:00:00,210.0,211.0,209.0,211.0,271601.54603917,57018552.48144564
2026-05-12 11:15:00,210.0,210.0,209.0,210.0,159185.80864524,33292740.3085177
2026-05-12 11:30:00,211.0,211.0,209.0,210.0,38638.42140627,8112735.73270988
2026-05-12 11:45:00,210.0,210.0,210.0,210.0,60904.47700047,12789940.1700987
2026-05-12 12:00:00,211.0,211.0,211.0,211.0,236.96682464,49999.99999904
2026-05-12 12:15:00,211.0,211.0,211.0,211.0,28425.66071024,5997814.40986064
2026-05-12 12:30:00,211.0,211.0,210.0,210.0,80699.81516791,16987002.10060109
2026-05-12 12:45:00,210.0,211.0,210.0,211.0,11705.33649289,2462859.99999979
2026-05-12 13:00:00,210.0,210.0,210.0,210.0,14929.27583827,3135147.9260367
2026-05-12 13:15:00,210.0,211.0,210.0,210.0,37165.57648146,7806424.29146299
2026-05-12 13:30:00,210.0,210.0,210.0,210.0,4933.86915887,1036112.5233627
2026-05-12 13:45:00,211.0,212.0,211.0,211.0,139216.54160371,29381009.22838281
2026-05-12 14:00:00,211.0,211.0,211.0,211.0,73158.91800136,15436531.69828696
2026-05-12 14:15:00,211.0,211.0,211.0,211.0,465.54454976,98229.89999936
2026-05-12 14:30:00,211.0,211.0,210.0,211.0,49242.1125558,10388454.90253231
2026-05-12 14:45:00,211.0,211.0,211.0,211.0,55804.4518558,11774739.3415738
2026-05-12 15:00:00,211.0,212.0,211.0,212.0,334.58357112,70644.72763378
2026-05-12 15:15:00,212.0,213.0,212.0,212.0,13196.48369761,2800529.85073425
2026-05-12 15:30:00,212.0,212.0,212.0,212.0,119404.09983685,25313669.1654122
2026-05-12 15:45:00,211.0,211.0,211.0,211.0,25641.59996825,5410377.59330075
2026-05-12 16:00:00,211.0,211.0,211.0,211.0,32091.19642054,6771242.44473394
2026-05-12 16:15:00,211.0,213.0,211.0,211.0,42139.51530136,8915047.99148696
2026-05-12 16:30:00,211.0,212.0,211.0,212.0,14408.98059398,3054464.52573418
2026-05-12 16:45:00,211.0,211.0,211.0,211.0,22179.3772,4679848.5892
2026-05-12 17:30:00,210.0,211.0,210.0,211.0,8949.56980753,1887974.22938883
2026-05-12 17:45:00,212.0,212.0,211.0,211.0,292.48524546,61949.9999996
2026-05-12 18:00:00,211.0,211.0,211.0,211.0,2641.50334783,557357.20639213
2026-05-12 18:15:00,210.0,211.0,210.0,210.0,20767.71719039,4361247.7209632
2026-05-12 18:30:00,211.0,211.0,211.0,211.0,71.56398103,15099.99999733
2026-05-12 18:45:00,210.0,211.0,210.0,211.0,1556.63317425,328406.969435
2026-05-12 19:00:00,210.0,211.0,210.0,210.0,18150.63590447,3829209.09390541
2026-05-12 19:15:00,210.0,210.0,210.0,210.0,1645.66043783,345588.6919443
2026-05-12 19:30:00,210.0,210.0,208.0,209.0,49129.50544975,10311523.59484788
2026-05-12 19:45:00,209.0,209.0,209.0,209.0,40872.5434107,8542361.5728363
2026-05-12 20:00:00,210.0,210.0,209.0,209.0,130672.25783066,27310549.50565555
2026-05-12 20:15:00,208.0,208.0,207.0,207.0,107296.52826599,22313265.98581428
2026-05-12 20:30:00,208.0,209.0,208.0,208.0,91718.45423496,19118475.35219492
2026-05-12 20:45:00,208.0,209.0,208.0,209.0,17836.30365661,3727738.00423149
2026-05-12 21:15:00,209.0,209.0,208.0,208.0,5457.36312313,1135724.09935486
2026-05-12 21:30:00,209.0,209.0,208.0,208.0,11187.54759229,2327034.30111019
2026-05-12 21:45:00,209.0,209.0,209.0,209.0,55.21551151,11540.04190559
2026-05-12 22:00:00,210.0,210.0,210.0,210.0,666.66666655,139999.9999755
2026-05-12 22:15:00,209.0,209.0,209.0,209.0,500.0,104500.0
2026-05-12 22:30:00,209.0,209.0,209.0,209.0,1435.40669856,299999.99999904
2026-05-12 22:45:00,210.0,210.0,209.0,209.0,10797.41345082,2265460.20239683
2026-05-12 23:00:00,209.0,209.0,208.0,209.0,21491.1613804,4489268.97596152
2026-05-12 23:15:00,209.0,209.0,206.0,206.0,40802.24246798,8428454.46255052
2026-05-12 23:30:00,206.0,208.0,204.0,207.0,108336.35822455,22273853.34986137
2026-05-12 23:45:00,206.0,207.0,206.0,206.0,28727.83518032,5917982.35632466
2026-05-13 00:15:00,207.0,207.0,205.0,206.0,23804.76480314,4881131.9381855
2026-05-13 00:30:00,205.0,206.0,205.0,206.0,22246.9974899,4582575.4839194
2026-05-13 00:45:00,206.0,206.0,204.0,205.0,69441.06632853,14225857.10714264
2026-05-13 01:00:00,205.0,206.0,205.0,205.0,149611.77326071,30671161.99296011
2026-05-13 01:15:00,205.0,205.0,205.0,205.0,2839.56142313,582110.09174165
2026-05-13 01:30:00,205.0,206.0,205.0,206.0,636.09178743,130551.81642315
2026-05-13 01:45:00,205.0,205.0,205.0,205.0,8758.398,1795471.59
2026-05-13 02:00:00,205.0,206.0,205.0,206.0,12367.64708904,2540042.4432532
2026-05-13 02:15:00,206.0,207.0,206.0,207.0,2907.39768175,600087.30322793
2026-05-13 02:30:00,207.0,207.0,207.0,207.0,431.047,89226.729
2026-05-13 02:45:00,207.0,207.0,207.0,207.0,611.998,126683.586
2026-05-13 03:00:00,207.0,208.0,207.0,208.0,28910.54405037,5989160.2485299
2026-05-13 03:15:00,208.0,208.0,208.0,208.0,8022.45509259,1668670.65925872
2026-05-13 03:30:00,208.0,208.0,208.0,208.0,63.868,13284.544
2026-05-13 03:45:00,208.0,209.0,208.0,208.0,22766.4458001,4735667.5264208
2026-05-13 04:00:00,208.0,208.0,208.0,208.0,10813.68803323,2249247.11091184
2026-05-13 04:45:00,208.0,208.0,208.0,208.0,26104.77285629,5429792.75410832
2026-05-13 05:00:00,208.0,208.0,207.0,207.0,32334.06877066,6700919.2266381
2026-05-13 05:30:00,207.0,207.0,207.0,207.0,4028.37835375,833874.31922625
2026-05-13 06:00:00,208.0,209.0,208.0,209.0,5152.999,1071976.791
2026-05-13 06:15:00,209.0,209.0,209.0,209.0,11096.5217816,2319173.0523544
2026-05-13 06:30:00,208.0,208.0,208.0,208.0,416.66666667,86666.66666736
2026-05-13 07:00:00,209.0,209.0,209.0,209.0,2126.48,444434.32
2026-05-13 07:15:00,209.0,209.0,209.0,209.0,6035.35375569,1261388.93493921
2026-05-13 07:30:00,208.0,208.0,208.0,208.0,28.85204081,6001.22448848
2026-05-13 07:45:00,209.0,209.0,208.0,208.0,55.28990845,11524.70287147
2026-05-13 08:00:00,208.0,208.0,208.0,208.0,60439.12279342,12571337.54103136
2026-05-13 08:45:00,207.0,208.0,207.0,208.0,3814.24476343,791015.49295307
2026-05-13 09:00:00,207.0,208.0,207.0,208.0,89.80314307,18628.80250228
2026-05-13 09:15:00,208.0,208.0,208.0,208.0,52938.53863929,11011216.03697232
2026-05-13 09:30:00,208.0,208.0,208.0,208.0,21068.27056127,4382200.27674416
2026-05-13 10:00:00,209.0,210.0,209.0,210.0,106.47191387,22334.69999883
2026-05-13 10:15:00,210.0,210.0,210.0,210.0,128491.01176955,26983112.4716055
2026-05-13 10:45:00,210.0,210.0,210.0,210.0,26023.0,5464830.0
2026-05-13 11:00:00,210.0,210.0,210.0,210.0,2718.22576806,570827.4112926
2026-05-13 11:15:00,210.0,210.0,209.0,209.0,21077.0,4405228.0
2026-05-13 11:30:00,209.0,209.0,209.0,209.0,6902.10695343,1442540.35326687
2026-05-13 12:00:00,209.0,209.0,209.0,209.0,502.55776634,105034.57316506
2026-05-13 12:15:00,209.0,209.0,209.0,209.0,39977.87230786,8355375.31234274
2026-05-13 12:30:00,210.0,210.0,210.0,210.0,1397.30134932,293433.2833572
2026-05-13 12:45:00,211.0,211.0,210.0,210.0,1996.92045728,420138.96901458
2026-05-13 13:00:00,209.0,209.0,209.0,209.0,1006.78170908,210417.37719772
2026-05-13 13:15:00,210.0,210.0,210.0,210.0,104.28809523,21900.4999983
2026-05-13 13:30:00,209.0,209.0,209.0,209.0,239.23444976,49999.99999984
2026-05-13 13:45:00,209.0,209.0,209.0,209.0,3727.13196312,778970.58029208
