,open,high,low,close,volume,value
2026-05-06 16:15:00,958.0,960.0,958.0,960.0,525.00771012,503136.88235467
2026-05-06 16:30:00,960.0,961.0,958.0,958.0,3434.2670428,3297881.5084627
2026-05-06 16:45:00,959.0,959.0,959.0,959.0,119.97643282,115057.39907438
2026-05-06 17:00:00,959.0,960.0,958.0,958.0,3176.16170851,3046187.84255455
2026-05-06 17:15:00,959.0,959.0,957.0,957.0,630.36268632,603455.37130876
2026-05-06 17:30:00,958.0,958.0,958.0,958.0,743.86390738,712621.62327004
2026-05-06 17:45:00,961.0,964.0,961.0,964.0,464.45467104,446541.97668707
2026-05-06 18:00:00,964.0,966.0,964.0,965.0,6670.26624773,6432954.85881053
2026-05-06 18:15:00,966.0,967.0,965.0,965.0,10253.11204612,9905502.35307882
2026-05-06 18:30:00,967.0,969.0,965.0,968.0,2668.50454147,2582499.93139208
2026-05-06 18:45:00,968.0,969.0,967.0,969.0,523.09521197,505852.59299714
2026-05-06 19:00:00,970.0,971.0,970.0,970.0,9587.8027066,9304208.14740102
2026-05-06 19:15:00,972.0,973.0,972.0,973.0,5821.33755677,5658345.44518044
2026-05-06 19:30:00,973.0,974.0,973.0,973.0,9391.46549278,9137902.22916494
2026-05-06 19:45:00,974.0,974.0,971.0,971.0,5917.66439204,5752823.83233471
2026-05-06 20:00:00,971.0,973.0,971.0,972.0,7894.96966168,7670211.88375509
2026-05-06 20:15:00,973.0,981.0,973.0,981.0,23514.94268741,22943127.04735831
2026-05-06 20:30:00,978.0,986.0,978.0,983.0,30077.02303787,29602804.12560021
2026-05-06 20:45:00,982.0,985.0,981.0,984.0,14468.61964103,14237917.93509481
2026-05-06 21:00:00,985.0,986.0,981.0,982.0,19954.88945451,19600101.35269225
2026-05-06 21:15:00,983.0,988.0,982.0,985.0,15864.38637969,15652082.86894999
2026-05-06 21:30:00,985.0,988.0,985.0,988.0,2412.41525932,2381805.24111667
2026-05-06 21:45:00,986.0,986.0,984.0,985.0,1257.1350102,1237816.38995762
2026-05-06 22:00:00,982.0,986.0,979.0,986.0,24830.1761835,24370487.20553756
2026-05-06 22:15:00,984.0,984.0,979.0,979.0,3669.0502852,3610295.9806368
2026-05-06 22:30:00,977.0,980.0,977.0,980.0,2788.30540162,2726817.05908524
2026-05-06 22:45:00,980.0,981.0,980.0,981.0,3451.99610876,3384577.74206859
2026-05-06 23:00:00,981.0,981.0,978.0,978.0,8401.84905758,8224851.10595083
2026-05-06 23:15:00,982.0,988.0,982.0,986.0,18500.98323848,18208080.99369824
2026-05-06 23:30:00,986.0,988.0,985.0,988.0,6799.84767358,6705036.88801813
2026-05-06 23:45:00,988.0,988.0,983.0,983.0,2629.85071562,2592238.84992603
2026-05-07 00:00:00,987.0,987.0,980.0,980.0,4923.85804697,4828484.95063841
2026-05-07 00:15:00,981.0,984.0,981.0,981.0,3592.08658198,3523968.61328548
2026-05-07 00:30:00,983.0,983.0,982.0,982.0,1439.56636752,1414386.07015464
2026-05-07 00:45:00,985.0,988.0,985.0,987.0,3702.20775258,3656904.5174548
2026-05-07 01:00:00,985.0,985.0,983.0,983.0,2841.69328093,2796026.59370361
2026-05-07 01:15:00,982.0,982.0,980.0,980.0,9471.57242409,9284763.61761576
2026-05-07 01:30:00,980.0,981.0,979.0,981.0,4481.29354625,4394065.35192053
2026-05-07 01:45:00,981.0,981.0,981.0,981.0,50.76142131,49796.95430511
2026-05-07 02:00:00,983.0,983.0,983.0,983.0,101.62601626,99898.37398358
2026-05-07 02:15:00,983.0,983.0,980.0,980.0,25.40334,24928.78436
2026-05-07 02:30:00,978.0,980.0,978.0,978.0,141.68253844,138665.5225943
2026-05-07 02:45:00,977.0,977.0,977.0,977.0,22.51791197,21999.99999469
