,open,high,low,close,volume,value
2026-04-30 13:30:00,40.6,40.6,40.6,40.6,52442.27263117,2129156.2688255
2026-04-30 13:45:00,40.6,40.6,40.6,40.6,146789.4630927,5959652.20156362
2026-04-30 14:00:00,40.6,40.6,40.5,40.5,128680.98018892,5213241.43717917
2026-04-30 14:15:00,40.5,40.6,40.4,40.5,265269.87018354,10742469.76253179
2026-04-30 14:30:00,40.5,40.5,40.4,40.4,82500.91103619,3338977.42814353
2026-04-30 14:45:00,40.5,40.5,40.5,40.5,3045.29002804,123334.24613562
2026-04-30 15:00:00,40.6,40.7,40.5,40.7,13422.5359527,544455.55430787
2026-04-30 15:15:00,40.5,40.5,40.5,40.5,4720.0141,191160.57105
2026-04-30 15:30:00,40.6,40.7,40.6,40.7,836.85314548,34027.8242556
2026-04-30 15:45:00,40.6,40.6,40.5,40.5,400.0,16217.59316
2026-04-30 16:00:00,40.7,40.7,40.7,40.7,23005.33811488,936317.26127562
2026-04-30 16:30:00,40.7,40.7,40.7,40.7,4472.45496544,182028.91709341
2026-04-30 16:45:00,40.8,40.9,40.5,40.9,285147.14790398,11587405.54400579
2026-04-30 17:15:00,40.8,40.8,40.6,40.6,73853.64667281,3002340.72215519
2026-04-30 17:30:00,40.6,40.9,40.6,40.9,7742.88621074,316601.9191536
2026-04-30 17:45:00,40.9,40.9,40.8,40.8,5889.97555012,240799.99999991
2026-04-30 18:00:00,40.6,40.8,40.6,40.7,51494.08275758,2095640.9329193
2026-04-30 18:15:00,40.6,40.8,40.6,40.8,66051.58285392,2681718.94367211
2026-04-30 18:30:00,40.7,40.8,40.7,40.8,4879.42735802,198837.79151063
2026-04-30 18:45:00,40.7,40.9,40.7,40.8,131405.13222117,5358634.76712914
2026-04-30 19:00:00,40.8,40.8,40.8,40.8,57763.17287681,2356737.45337385
2026-04-30 19:15:00,40.9,40.9,40.9,40.9,123.47188264,5049.99999998
2026-04-30 19:45:00,40.8,40.8,40.6,40.6,216259.60172273,8793247.56700026
2026-04-30 20:00:00,40.6,40.8,40.6,40.8,120699.63356207,4900466.82706194
2026-04-30 20:15:00,40.8,40.8,40.6,40.6,75059.50735291,3062374.29999873
2026-04-30 20:30:00,40.7,40.8,40.7,40.7,1255.67546433,51118.23589701
2026-04-30 20:45:00,40.8,40.8,40.8,40.8,125.94132029,5138.40586783
2026-04-30 21:00:00,40.7,40.7,40.7,40.7,6143.23815425,250029.79287798
2026-04-30 21:15:00,40.7,40.7,40.7,40.7,125.3071253,5099.99999971
2026-04-30 21:30:00,40.7,40.8,40.7,40.8,5594.81960691,227721.69084795
2026-04-30 21:45:00,40.7,40.7,40.7,40.7,9914.57520172,403523.21071
2026-04-30 22:00:00,40.8,40.9,40.8,40.9,1432.80418086,58465.90211257
2026-04-30 22:30:00,40.6,40.9,40.5,40.9,87948.7622278,3568424.59640893
2026-04-30 22:45:00,40.6,40.6,40.6,40.6,127.5,5176.5
2026-04-30 23:00:00,40.6,40.6,40.6,40.6,174.99947924,7104.97885714
2026-04-30 23:15:00,40.6,40.7,40.6,40.7,12443.52773597,505220.05176038
2026-04-30 23:30:00,40.6,40.6,40.6,40.6,57386.17245657,2329878.60173674
2026-04-30 23:45:00,40.9,40.9,40.6,40.6,24755.93690578,1005128.65688483
2026-05-01 00:00:00,40.6,40.6,40.6,40.6,3010.54292131,122228.04260519
2026-05-01 00:15:00,40.9,40.9,40.7,40.7,539.88385356,22055.9335706
2026-05-01 00:30:00,40.9,40.9,40.7,40.9,49446.36519199,2012528.32652438
2026-05-01 00:45:00,40.9,40.9,40.9,40.9,4244.44987773,173597.99999916
2026-05-01 01:00:00,40.9,40.9,40.9,40.9,209.21521818,8556.90242356
2026-05-01 01:15:00,40.9,40.9,40.9,40.9,170.55571358,6975.72868542
2026-05-01 01:30:00,40.9,40.9,40.9,40.9,147.42704331,6029.76607138
2026-05-01 01:45:00,40.7,40.7,40.7,40.7,1022.83564545,41629.41076982
2026-05-01 02:00:00,40.9,40.9,40.9,40.9,4400.97799511,180000.0
2026-05-01 02:15:00,40.9,40.9,40.9,40.9,31526.03726584,1289414.92417286
2026-05-01 03:15:00,40.9,40.9,40.9,40.9,245.09803922,10024.5098041
2026-05-01 04:15:00,40.9,40.9,40.9,40.9,187.65808491,7675.21567282
2026-05-01 04:30:00,40.9,40.9,40.9,40.9,17359.41320292,709999.99999943
2026-05-01 05:15:00,41.0,41.0,41.0,41.0,124.69437652,5112.46943732
2026-05-01 05:45:00,41.0,41.0,40.8,40.8,168674.23700732,6893399.87843524
2026-05-01 06:30:00,40.8,40.8,40.8,40.8,146.96355525,5996.1130542
2026-05-01 07:15:00,41.0,41.0,41.0,41.0,8661.94341852,355139.68015932
2026-05-01 07:30:00,41.0,41.1,40.8,40.8,129803.33606399,5322078.23597263
2026-05-01 07:45:00,40.8,40.8,40.8,40.8,2079.00471709,84823.39245727
2026-05-01 08:00:00,41.1,41.1,41.1,41.1,125.11992179,5142.42878557
2026-05-01 09:00:00,40.9,40.9,40.8,40.8,401996.66938921,16416222.10127782
2026-05-01 09:15:00,40.8,40.8,40.7,40.8,40329.11202722,1641760.28904798
2026-05-01 09:30:00,40.7,41.1,40.7,41.1,32552.41894015,1330824.68098625
2026-05-01 09:45:00,41.1,41.2,40.8,41.0,196018.72832894,8044498.01857722
2026-05-01 10:00:00,40.9,41.1,40.9,41.1,123527.91747506,5066916.85045059
2026-05-01 10:15:00,41.1,41.1,41.1,41.1,92091.30228072,3784952.52373759
2026-05-01 10:30:00,41.1,41.1,40.8,40.8,173490.33002566,7081902.86121881
2026-05-01 10:45:00,40.8,40.9,40.8,40.9,56111.77002522,2291295.59408058
2026-05-01 11:00:00,40.9,40.9,40.8,40.8,94306.76847249,3849740.60355534
2026-05-01 11:15:00,40.9,41.0,40.8,40.8,4676.14398797,191215.34270629
2026-05-01 11:30:00,40.8,41.0,40.8,41.0,21903.48294102,895540.36438017
2026-05-01 11:45:00,40.9,41.0,40.9,41.0,52956.82226897,2166555.95067577
2026-05-01 12:00:00,40.9,40.9,40.7,40.7,284206.96883452,11587661.79367234
2026-05-01 12:15:00,40.8,41.0,40.8,41.0,66708.61873932,2725481.15234044
2026-05-01 12:30:00,40.9,40.9,40.9,40.9,848.39893781,34699.51655643
2026-05-01 13:15:00,41.0,41.0,40.9,40.9,21720.07310037,890330.50049517
2026-05-01 13:30:00,41.1,41.3,41.1,41.2,375187.83316256,15448716.37536342
2026-05-01 13:45:00,41.2,41.3,41.2,41.3,3265.18158421,134738.4498457
2026-05-01 14:00:00,41.2,41.2,41.0,41.0,22861.48766208,941328.80748458
2026-05-01 14:30:00,41.2,41.2,41.0,41.0,82766.11912462,3393435.7621582
2026-05-01 14:45:00,41.0,41.0,41.0,41.0,4400.97799511,180440.09779951
2026-05-01 15:15:00,41.0,41.1,41.0,41.1,59857.39443827,2460125.16260907
2026-05-01 15:30:00,41.2,41.3,41.1,41.1,158897.2858348,6553474.44341959
2026-05-01 15:45:00,41.1,41.1,40.9,40.9,109454.64782339,4489813.17021957
2026-05-01 16:15:00,41.3,41.3,41.3,41.3,242.1307506,9999.99999978
2026-05-01 16:30:00,41.0,41.0,40.7,40.7,119865.81281486,4892275.84374624
2026-05-01 16:45:00,41.0,41.0,41.0,41.0,122.85012285,5036.85503685
2026-05-01 17:30:00,41.0,41.0,41.0,41.0,81339.91540814,3334936.53173374
2026-05-01 17:45:00,40.9,41.1,40.9,41.1,1466.92211138,60046.00000021
2026-05-01 18:00:00,41.1,41.1,41.1,41.1,24330.9002433,999999.99999963
2026-05-01 18:15:00,41.1,41.1,41.1,41.1,1638.14403181,67327.71970739
2026-05-01 18:45:00,41.1,41.1,41.1,41.1,238.42494027,9799.2650451
2026-05-01 19:15:00,41.1,41.1,41.1,41.1,751.02234175,30867.01824593
2026-05-01 19:30:00,41.1,41.1,40.8,40.8,60283.81005438,2462709.51390011
2026-05-01 19:45:00,40.8,40.8,40.8,40.8,2433.09002433,99270.07299266
2026-05-01 20:15:00,40.8,40.8,40.6,40.7,118792.17231942,4833381.25259675
2026-05-01 20:30:00,40.7,40.7,40.6,40.6,118448.83194213,4816764.36960398
2026-05-01 20:45:00,40.7,40.7,40.6,40.6,16021.45324709,651720.72935545
2026-05-01 21:00:00,40.9,40.9,40.9,40.9,11841.51895728,484318.12535275
2026-05-01 21:45:00,40.8,40.8,40.8,40.8,20181.712,823413.8496
2026-05-01 22:00:00,40.7,40.9,40.6,40.9,161031.30684585,6549461.98810045
2026-05-01 22:15:00,40.9,40.9,40.7,40.7,3813.03379072,155928.16661756
2026-05-01 22:30:00,40.9,40.9,40.8,40.8,319029.5646831,13048291.02081879
2026-05-01 22:45:00,40.7,40.9,40.7,40.9,15207.07212497,620316.98677926
2026-05-01 23:00:00,41.0,41.1,40.8,40.8,5133.44135802,210798.32569384
2026-05-01 23:30:00,41.0,41.1,41.0,41.1,125.02427184,5131.98261262
2026-05-02 00:00:00,40.9,40.9,40.9,40.9,2444.98777506,99999.99999995
2026-05-02 00:15:00,40.9,41.1,40.9,41.1,425.20381058,17434.67809142
2026-05-02 00:30:00,41.1,41.1,40.8,41.1,3110.54701074,127003.95740829
2026-05-02 00:45:00,40.9,40.9,40.8,40.8,1401.13013554,57178.41977003
2026-05-02 01:00:00,41.0,41.0,40.8,40.8,11057.47496937,451188.16995271
2026-05-02 01:30:00,40.8,41.0,40.8,41.0,9180.52867605,374597.61388528
2026-05-02 01:45:00,41.0,41.0,41.0,41.0,10843.82447572,444596.80350452
2026-05-02 02:15:00,41.0,41.0,41.0,41.0,13546.41942671,555403.19649511
2026-05-02 04:15:00,40.9,40.9,40.8,40.8,119570.75461039,4878499.09930391
2026-05-02 04:30:00,40.8,40.8,40.8,40.8,2450.98039215,99999.99999972
