,open,high,low,close,volume,value
2026-05-10 03:30:00,21.2,21.2,21.2,21.2,168729.03171055,3577055.47226366
2026-05-10 03:45:00,21.2,21.2,21.2,21.2,462612.04413428,9807375.33564674
2026-05-10 04:00:00,21.2,21.2,21.2,21.2,7184.0,152300.8
2026-05-10 04:30:00,21.2,21.2,21.2,21.2,70396.0,1492395.2
2026-05-10 04:45:00,21.2,21.2,21.2,21.2,4986.65215038,105717.02558806
2026-05-10 05:00:00,21.2,21.2,21.2,21.2,14210.0,301252.0
2026-05-10 05:15:00,21.2,21.2,21.2,21.2,9477.0,200912.4
2026-05-10 05:30:00,21.2,21.2,21.1,21.2,33021.09616816,699103.84253858
2026-05-10 06:00:00,21.3,21.3,21.3,21.3,9389.6713615,199999.99999995
2026-05-10 06:15:00,21.3,21.3,21.3,21.3,10000.0,213000.0
2026-05-10 06:45:00,21.3,21.3,21.3,21.3,7464.39221703,158991.55422274
2026-05-10 07:00:00,21.2,21.2,21.2,21.2,2358.49056603,49999.99999984
2026-05-10 07:15:00,21.2,21.2,21.2,21.2,2830.18867923,59999.99999968
2026-05-10 07:30:00,21.1,21.1,21.1,21.1,18868.34434729,398122.06572782
2026-05-10 07:45:00,21.2,21.2,21.2,21.2,24811.32075474,526000.00000049
2026-05-10 08:00:00,21.2,21.2,21.2,21.2,78560.74452585,1665487.78394802
2026-05-10 08:15:00,21.2,21.2,21.2,21.2,265800.03773584,5634960.79999981
2026-05-10 08:30:00,21.2,21.3,21.1,21.3,61333.0239392,1301869.4268861
2026-05-10 08:45:00,21.2,21.2,21.1,21.1,212658.09643766,4496075.10076504
2026-05-10 09:00:00,21.1,21.1,21.0,21.0,71548.79251433,1507152.70732188
2026-05-10 09:15:00,21.1,21.1,21.0,21.0,415559.59734218,8727874.97344435
2026-05-10 09:30:00,21.0,21.1,21.0,21.1,244002.40949344,5146069.88793063
2026-05-10 09:45:00,21.1,21.1,21.1,21.1,237.44075829,5009.99999992
2026-05-10 10:00:00,21.0,21.0,21.0,21.0,140489.58356474,2950281.25485954
2026-05-10 10:15:00,21.0,21.0,20.9,20.9,442062.72523532,9239635.95741819
2026-05-10 10:30:00,21.0,21.0,20.8,20.9,89799.29891851,1872583.56130968
