,open,high,low,close,volume,value
2026-05-14 12:15:00,43.9,44.0,43.9,43.9,87676.23914264,3849554.39273702
2026-05-14 12:30:00,44.0,44.1,43.8,43.9,397916.63094956,17512548.94743256
2026-05-14 12:45:00,43.9,43.9,43.7,43.8,1096312.70333417,48022909.72036467
2026-05-14 13:00:00,43.8,44.1,43.8,44.0,151925.57567404,6684037.58666243
2026-05-14 13:15:00,44.0,44.3,43.9,44.2,905277.20355784,39919641.02706073
2026-05-14 13:30:00,44.3,44.3,44.2,44.3,667271.26056075,29560096.84284123
2026-05-14 13:45:00,44.2,44.3,44.1,44.3,986586.82242013,43607825.81034298
2026-05-14 14:00:00,44.3,44.4,44.2,44.4,118196.59219723,5240331.47805013
2026-05-14 14:15:00,44.4,44.6,44.4,44.5,1024817.01270481,45604196.70847988
2026-05-14 14:30:00,44.5,44.7,44.4,44.5,151837.39849295,6767514.49941986
2026-05-14 14:45:00,44.3,44.7,44.3,44.4,80363.11491113,3578231.50839736
2026-05-14 15:00:00,44.4,44.7,44.4,44.7,235635.47885745,10469088.34787685
2026-05-14 15:15:00,44.6,44.6,44.4,44.4,565469.39289425,25151046.46597898
2026-05-14 15:30:00,44.5,44.5,44.2,44.5,528660.3897507,23437865.37660815
2026-05-14 15:45:00,44.5,44.5,44.2,44.3,131863.10946673,5843474.58131471
2026-05-14 16:00:00,44.4,44.4,44.0,44.1,125766.80622665,5540905.56410196
2026-05-14 16:15:00,44.1,44.4,44.1,44.4,1028371.71144376,45656920.38963491
2026-05-14 16:30:00,44.4,44.6,44.2,44.5,327901.75315771,14535536.08328007
2026-05-14 16:45:00,44.4,44.5,44.3,44.3,462404.77597217,20491063.51823838
2026-05-14 17:00:00,44.3,44.5,44.2,44.5,30823.12572415,1363892.23620447
2026-05-14 17:15:00,44.5,44.5,44.3,44.3,26556.6470439,1181680.49999983
2026-05-14 17:30:00,44.3,44.5,44.3,44.4,951927.10687663,42186683.8469693
2026-05-14 17:45:00,44.5,44.5,44.2,44.3,307130.69981582,13653177.70716427
2026-05-14 18:00:00,44.4,44.4,44.3,44.3,79971.35067674,3543652.90254715
2026-05-14 18:15:00,44.4,44.4,44.2,44.3,307234.38626702,13585764.32686052
2026-05-14 18:30:00,44.4,44.5,44.2,44.3,72234.97099057,3200221.3786459
2026-05-14 18:45:00,44.4,44.4,44.1,44.2,125584.79134855,5539746.55530796
2026-05-14 19:00:00,44.2,44.2,43.6,43.6,2973319.03190344,130238136.3462856
2026-05-14 19:15:00,43.7,43.8,43.7,43.8,1528411.71076502,66919816.14647961
2026-05-14 19:30:00,43.8,43.8,43.5,43.5,1715655.03750167,74780492.74974522
2026-05-14 19:45:00,43.5,43.6,43.4,43.6,254847.64998261,11082002.89024689
2026-05-14 20:00:00,43.6,43.6,43.2,43.2,191332.8289088,8312084.51204789
2026-05-14 20:15:00,43.3,43.4,43.0,43.1,2104025.89642608,90816133.12740871
2026-05-14 20:30:00,43.1,43.2,43.0,43.1,301122.4062194,12977714.62675573
2026-05-14 20:45:00,43.1,43.2,43.1,43.1,56178.82230362,2424435.33233309
2026-05-14 21:00:00,43.0,43.2,42.9,43.1,219756.26068506,9459723.5695244
2026-05-14 21:15:00,43.0,43.1,42.8,43.1,314521.23663751,13473661.14391406
2026-05-14 21:30:00,43.1,43.4,43.1,43.2,554183.34731918,23951688.26414477
2026-05-14 21:45:00,43.2,43.2,43.0,43.2,1759467.29337038,75709270.34700026
2026-05-14 22:00:00,43.2,43.3,43.1,43.1,415957.13625971,17963779.07551141
2026-05-14 22:15:00,43.4,43.5,43.3,43.4,1340707.4595388,58224989.38281507
2026-05-14 22:30:00,43.2,43.2,43.0,43.0,271800.13556899,11722213.77254169
2026-05-14 22:45:00,43.1,43.2,43.0,43.0,752922.09506886,32413976.36593263
2026-05-14 23:00:00,42.9,43.1,42.7,42.8,2046774.99860993,87728670.14682336
2026-05-14 23:15:00,42.8,42.9,42.3,42.4,3708536.67497655,157773786.93467575
2026-05-14 23:30:00,42.4,42.9,42.2,42.9,1875223.10623329,79246426.58746833
2026-05-14 23:45:00,43.0,44.2,43.0,43.9,1776245.92066305,77818784.4842361
2026-05-15 00:00:00,43.8,43.9,43.6,43.7,516787.60450097,22607628.94676873
2026-05-15 00:15:00,43.8,43.8,43.7,43.7,632315.11670159,27685038.73767377
2026-05-15 00:30:00,43.7,45.2,43.7,44.8,5556120.5790629,248728294.588031
2026-05-15 00:45:00,44.9,45.0,44.6,44.6,690070.6649468,30868703.85485845
2026-05-15 01:00:00,44.5,44.9,44.3,44.6,332498.33241764,14837158.21012914
2026-05-15 01:15:00,44.7,44.7,44.6,44.7,847524.90587173,37808072.86848371
2026-05-15 01:30:00,44.8,45.2,44.8,45.0,942110.15200614,42385991.46826587
2026-05-15 01:45:00,44.9,44.9,44.4,44.8,672617.14183018,30026616.22578347
2026-05-15 02:00:00,44.8,45.1,44.8,45.1,798278.45922992,35855871.70916303
2026-05-15 02:15:00,44.6,44.6,44.4,44.5,60823.06265735,2701896.9824662
2026-05-15 02:30:00,44.5,44.5,44.5,44.5,252013.16936185,11214586.03660233
2026-05-15 02:45:00,44.9,45.1,44.8,45.1,239242.71677054,10745085.25482597
2026-05-15 03:00:00,44.8,45.0,44.7,44.9,56089.15291468,2517666.11846336
