,open,high,low,close,volume,value
2026-05-14 19:45:00,84.4,84.7,84.4,84.7,122465.6879746,10336153.54284529
2026-05-14 20:00:00,84.7,84.8,84.5,84.5,25977.00251777,2198594.46521487
2026-05-14 20:15:00,84.4,84.4,84.0,84.0,91300.53595104,7688563.92190721
2026-05-14 20:30:00,84.3,84.3,84.0,84.0,75438.49865638,6343845.17595231
2026-05-14 20:45:00,83.9,84.0,83.9,83.9,91657.41276267,7696767.62881168
2026-05-14 21:00:00,83.8,84.1,83.8,84.1,174653.49746638,14659198.06958986
2026-05-14 21:15:00,84.1,84.1,84.0,84.1,272532.4169742,22899135.68753395
2026-05-14 21:30:00,84.1,84.7,84.0,84.6,226263.4326963,19125497.27909058
2026-05-14 21:45:00,84.9,85.1,84.9,85.1,14760.64829579,1255536.95825506
2026-05-14 22:00:00,85.1,85.3,85.0,85.3,77140.13972448,6573985.44850903
2026-05-14 22:15:00,85.4,85.5,85.1,85.2,267219.7851795,22803877.55239373
2026-05-14 22:30:00,85.2,85.2,84.7,85.0,112606.44455772,9563697.39029581
2026-05-14 22:45:00,85.2,85.2,84.9,84.9,229419.89421549,19541174.1318127
2026-05-14 23:00:00,85.0,85.2,84.8,85.0,141751.83598229,12041759.21029705
2026-05-14 23:15:00,85.3,85.8,85.3,85.4,188940.86678098,16188054.55016592
2026-05-14 23:30:00,85.5,86.0,85.5,85.9,215381.59194461,18462146.61374223
2026-05-14 23:45:00,85.9,86.4,85.9,86.2,256373.04049142,22116156.58880015
2026-05-15 00:00:00,86.5,86.5,86.0,86.0,368030.66796619,31736947.39785117
2026-05-15 00:15:00,86.2,86.8,86.2,86.5,180218.69121635,15605044.9492806
2026-05-15 00:30:00,86.6,86.6,86.3,86.3,169360.61065316,14651737.60221763
2026-05-15 00:45:00,86.6,87.0,86.5,86.8,390721.916775,33879668.57106119
2026-05-15 01:00:00,86.8,87.5,86.8,87.4,231300.96116289,20152263.51982088
2026-05-15 01:15:00,87.4,87.5,86.8,87.2,186432.02514638,16275929.81087363
2026-05-15 01:30:00,87.2,88.6,87.2,88.6,691569.37453923,60846715.15107681
2026-05-15 01:45:00,88.4,88.8,87.6,88.2,293762.88924435,25879636.18785018
2026-05-15 02:00:00,88.7,89.0,88.1,88.1,194143.63395686,17222705.52514434
2026-05-15 02:15:00,88.1,88.1,87.4,87.8,178463.30973833,15632166.29011753
2026-05-15 02:30:00,87.8,88.4,87.7,88.4,66898.14296256,5875632.52408987
2026-05-15 02:45:00,88.4,89.1,88.3,88.5,241713.74686907,21451150.50690019
2026-05-15 03:00:00,88.5,88.5,87.9,88.4,34880.0904158,3078316.16270927
