,open,high,low,close,volume,value
2026-05-07 05:30:00,468.0,468.0,468.0,468.0,2141.94377162,1002429.68511816
2026-05-07 05:45:00,468.0,468.0,468.0,468.0,674.15730337,315505.61797716
2026-05-07 06:00:00,470.0,470.0,470.0,470.0,2107.1953385,990381.809095
2026-05-07 06:15:00,470.0,470.0,470.0,470.0,6563.38213871,3084789.6051937
2026-05-07 06:30:00,469.0,471.0,469.0,471.0,835.92731625,393296.23403887
2026-05-07 07:00:00,470.0,470.0,470.0,470.0,2635.71729909,1238787.1305723
2026-05-07 07:15:00,470.0,470.0,468.0,468.0,11754.72228289,5518673.37089664
2026-05-07 07:30:00,470.0,470.0,469.0,469.0,1218.8428771,572727.2592599
2026-05-07 07:45:00,469.0,469.0,468.0,468.0,11277.41706399,5279788.76590572
2026-05-07 08:00:00,469.0,469.0,468.0,468.0,292.94277081,137277.90091989
2026-05-07 08:15:00,469.0,469.0,469.0,469.0,21.32196162,9999.99999978
2026-05-07 08:45:00,469.0,469.0,468.0,469.0,2401.81288462,1125029.59758702
2026-05-07 09:00:00,469.0,469.0,466.0,467.0,26659.69830196,12436126.6633327
2026-05-07 09:15:00,467.0,467.0,465.0,466.0,1275.23415881,594801.8129267
2026-05-07 09:30:00,465.0,466.0,464.0,464.0,3885.36263126,1804970.45483602
2026-05-07 09:45:00,465.0,465.0,463.0,465.0,3699.84702014,1719956.919142
2026-05-07 10:00:00,464.0,465.0,463.0,465.0,5268.04649958,2448434.83027335
2026-05-07 10:15:00,466.0,466.0,465.0,465.0,229.31920515,106676.34884968
2026-05-07 10:30:00,466.0,466.0,465.0,465.0,2133.87186426,992261.14649463
2026-05-07 10:45:00,465.0,465.0,464.0,464.0,526.31578947,244232.03169042
2026-05-07 11:00:00,464.0,468.0,463.0,468.0,3511.46201515,1638300.77772332
2026-05-07 11:30:00,466.0,466.0,466.0,466.0,44.60559498,20786.20726068
2026-05-07 11:45:00,466.0,466.0,465.0,465.0,193.04725318,89938.56075442
2026-05-07 12:00:00,465.0,466.0,465.0,466.0,434.56693453,202138.00223884
2026-05-07 12:15:00,465.0,465.0,465.0,465.0,2620.96979995,1218750.95697675
2026-05-07 12:30:00,465.0,465.0,464.0,464.0,219.18494623,101820.99999695
2026-05-07 12:45:00,464.0,464.0,463.0,463.0,2781.99207933,1288202.52732432
2026-05-07 13:00:00,462.0,464.0,462.0,464.0,1694.07667671,784733.63153654
2026-05-07 13:15:00,464.0,466.0,464.0,466.0,5151.67974636,2395564.43983615
2026-05-07 13:30:00,467.0,467.0,464.0,464.0,5828.66543962,2705994.30553067
2026-05-07 13:45:00,467.0,467.0,467.0,467.0,42.82655246,19999.99999882
2026-05-07 14:00:00,467.0,468.0,465.0,468.0,25036.20289009,11688703.75899218
2026-05-07 14:15:00,468.0,468.0,466.0,468.0,33876.31249449,15832179.74907702
2026-05-07 14:30:00,468.0,468.0,468.0,468.0,401.63287226,187964.18421768
2026-05-07 14:45:00,468.0,468.0,468.0,468.0,250.0,117000.0
2026-05-07 15:15:00,469.0,470.0,469.0,470.0,2445.2788414,1148708.11704212
