,open,high,low,close,volume,value
2026-04-27 15:00:00,1.92,1.93,1.92,1.93,4395135.74817925,8479384.78184082
2026-04-27 15:15:00,1.92,1.93,1.91,1.92,3468586.09226293,6646821.86052706
2026-04-27 15:30:00,1.92,1.92,1.92,1.92,73070.772521,140295.88324032
2026-04-27 15:45:00,1.91,1.93,1.91,1.92,6307238.68638823,12053923.34878229
2026-04-27 16:00:00,1.92,1.93,1.92,1.92,296924.42523119,570104.89644388
2026-04-27 16:15:00,1.92,1.92,1.91,1.91,5048442.10530005,9642560.1557231
2026-04-27 16:30:00,1.91,1.93,1.91,1.92,2605867.58408129,5011085.18525764
2026-04-27 16:45:00,1.93,1.95,1.92,1.92,9925293.11305584,19251370.92254033
2026-04-27 17:00:00,1.95,1.96,1.94,1.95,4358204.17780527,8512633.580877
2026-04-27 17:15:00,1.94,1.94,1.93,1.93,6379918.69646087,12354024.44694441
2026-04-27 17:30:00,1.92,1.92,1.9,1.9,9590878.67046241,18327326.17216338
2026-04-27 17:45:00,1.92,1.93,1.91,1.93,8183731.38865285,15743777.74238235
2026-04-27 18:00:00,1.93,1.93,1.92,1.93,1066929.76341509,2048541.24420257
2026-04-27 18:15:00,1.93,1.93,1.92,1.92,2566026.85431558,4942899.89256019
2026-04-27 18:30:00,1.92,1.92,1.91,1.91,906425.25406588,1737228.84120751
2026-04-27 18:45:00,1.93,1.93,1.92,1.93,127661.66490551,245826.63561382
2026-04-27 19:00:00,1.93,1.93,1.9,1.9,8958524.01891818,17137439.96749545
2026-04-27 19:30:00,1.92,1.92,1.92,1.92,2793.24321941,5363.02698127
2026-04-27 19:45:00,1.92,1.93,1.92,1.93,28062.76308408,54009.30756597
2026-04-27 20:00:00,1.93,1.93,1.92,1.92,10378.75647665,19979.18652843
2026-04-27 20:30:00,1.92,1.92,1.92,1.92,25000.0,48000.0
2026-04-27 20:45:00,1.92,1.92,1.92,1.92,24200.37287196,46464.71591416
2026-04-27 21:00:00,1.92,1.92,1.91,1.91,64405.82137161,123535.95215311
2026-04-27 21:15:00,1.91,1.92,1.9,1.92,5334228.39979761,10189292.42430787
2026-04-27 21:30:00,1.91,1.92,1.91,1.92,383254.60936197,733267.44997498
2026-04-27 21:45:00,1.92,1.92,1.92,1.92,555471.85088463,1066505.95369849
2026-04-27 22:00:00,1.91,1.91,1.91,1.91,84153.84615384,160733.84615383
2026-04-27 22:15:00,1.93,1.93,1.93,1.93,5197.40932641,10030.99999997
2026-04-27 22:30:00,1.93,1.93,1.93,1.93,2613.9896373,5044.99999999
2026-04-27 22:45:00,1.93,1.93,1.93,1.93,52625.38860103,101566.99999999
2026-04-27 23:00:00,1.93,1.93,1.93,1.93,2602.59067357,5022.99999999
2026-04-27 23:15:00,1.93,1.93,1.92,1.93,128679.68147958,248111.25787085
2026-04-27 23:30:00,1.93,1.93,1.93,1.93,26793.62002934,51711.68665663
2026-04-27 23:45:00,1.93,1.93,1.93,1.93,2617.61658031,5052.0
2026-04-28 00:00:00,1.92,1.92,1.92,1.92,1369275.3058816,2629008.58729267
2026-04-28 00:15:00,1.92,1.92,1.92,1.92,50000.0,96000.0
2026-04-28 00:30:00,1.92,1.93,1.92,1.92,273519.77391685,525883.35452139
2026-04-28 00:45:00,1.93,1.93,1.92,1.92,1191436.715606,2287568.49396352
2026-04-28 01:00:00,1.91,1.91,1.91,1.91,525998.1214706,1004656.41200885
2026-04-28 01:15:00,1.92,1.92,1.91,1.91,104712.04188481,200026.99999999
2026-04-28 01:30:00,1.93,1.93,1.93,1.93,1000.0,1930.0
2026-04-28 01:45:00,1.92,1.92,1.91,1.91,518134.7150259,989664.30569947
2026-04-28 02:45:00,1.92,1.92,1.92,1.92,7527.8687187,14453.5079399
2026-04-28 03:00:00,1.93,1.93,1.93,1.93,5181.34715025,9999.99999998
2026-04-28 04:45:00,1.93,1.93,1.93,1.93,5181.34715025,9999.99999998
2026-04-28 05:30:00,1.93,1.93,1.93,1.93,103626.94300518,200000.0
2026-04-28 05:45:00,1.92,1.92,1.92,1.92,10129.57323421,19448.78060968
2026-04-28 06:15:00,1.91,1.91,1.91,1.91,883807.82401088,1688072.94386078
2026-04-28 06:30:00,1.92,1.93,1.92,1.93,261171.98433107,503066.74861522
2026-04-28 08:15:00,1.93,1.93,1.93,1.93,842870.46632124,1626739.99999999
2026-04-28 08:30:00,1.93,1.94,1.93,1.94,1771422.18841322,3421603.20202564
2026-04-28 09:00:00,1.94,1.94,1.93,1.93,567774.94142839,1096481.95923864
2026-04-28 09:15:00,1.93,1.93,1.92,1.92,3678235.02235101,7096810.97317739
2026-04-28 09:30:00,1.92,1.92,1.92,1.92,4261150.69602503,8181409.33636806
2026-04-28 09:45:00,1.92,1.93,1.92,1.92,289392.06009576,556005.15274137
2026-04-28 10:00:00,1.92,1.92,1.92,1.92,299077.08309543,574227.99954323
2026-04-28 10:30:00,1.92,1.92,1.92,1.92,2506121.8119579,4811753.87895917
2026-04-28 10:45:00,1.92,1.92,1.92,1.92,5152.867051,9893.50473792
2026-04-28 11:30:00,1.92,1.92,1.92,1.92,279708.7,537040.704
2026-04-28 11:45:00,1.92,1.93,1.92,1.93,172996.73051948,332163.7225974
2026-04-28 12:15:00,1.92,1.92,1.92,1.92,9694.1,18612.672
2026-04-28 12:30:00,1.92,1.92,1.92,1.92,67539.2670157,129675.39267014
2026-04-28 13:00:00,1.92,1.92,1.92,1.92,12688.47522146,24361.8724252
2026-04-28 13:15:00,1.92,1.92,1.92,1.92,26041.66666667,50000.00000001
2026-04-28 13:45:00,1.92,1.93,1.92,1.93,98667.32864544,189959.40571427
2026-04-28 14:00:00,1.93,1.93,1.93,1.93,12435.23316062,24000.0
2026-04-28 14:45:00,1.92,1.92,1.92,1.92,30000.0,57600.0
2026-04-28 15:15:00,1.92,1.93,1.91,1.93,2170523.2213598,4164747.4581184
2026-04-28 15:30:00,1.93,1.93,1.93,1.93,72499.48186528,139923.99999999
2026-04-28 16:30:00,1.92,1.92,1.92,1.92,10362.69430051,19896.37305698
2026-04-28 16:45:00,1.92,1.92,1.92,1.92,5668.317649,10883.16988608
2026-04-28 17:00:00,1.92,1.92,1.91,1.91,128525.97572156,245535.24100868
2026-04-28 17:15:00,1.91,1.91,1.91,1.91,864952.13931496,1652058.58609157
2026-04-28 17:30:00,1.91,1.91,1.91,1.91,2411395.5474602,4605765.49564898
2026-04-28 17:45:00,1.91,1.93,1.91,1.93,98668.74786444,188477.30842108
2026-04-28 18:00:00,1.93,1.93,1.93,1.93,259847.79630909,501506.24687654
2026-04-28 18:15:00,1.92,1.92,1.91,1.91,2666879.22239379,5093793.31477214
2026-04-28 18:30:00,1.91,1.91,1.9,1.91,818592.92283421,1563353.13223672
2026-04-28 18:45:00,1.9,1.91,1.9,1.91,8514978.21539273,16261009.91343702
2026-04-28 19:30:00,1.91,1.91,1.91,1.91,429319.37172774,819999.99999998
2026-04-28 19:45:00,1.91,1.91,1.91,1.91,2635655.75850817,5034102.4987506
2026-04-28 20:00:00,1.9,1.91,1.9,1.91,18963.72704513,36116.00661431
2026-04-28 20:15:00,1.9,1.91,1.9,1.9,2372421.38886012,4514236.1561541
2026-04-28 20:30:00,1.91,1.91,1.91,1.91,52356.0209424,99999.99999998
2026-04-28 20:45:00,1.91,1.91,1.91,1.91,463467.21926994,885222.38880559
2026-04-28 21:00:00,1.9,1.91,1.9,1.91,591821.19143407,1127918.02814358
2026-04-28 21:15:00,1.9,1.9,1.9,1.9,167373.46091324,318009.57573516
2026-04-28 21:30:00,1.9,1.91,1.9,1.9,2159098.97373331,4102412.76213517
2026-04-28 21:45:00,1.91,1.91,1.91,1.91,27135.07853402,51827.99999998
2026-04-28 22:00:00,1.9,1.91,1.9,1.91,88599.77838758,168349.5789364
2026-04-28 22:15:00,1.9,1.9,1.9,1.9,115017.43997085,218533.13594462
2026-04-28 22:30:00,1.91,1.91,1.91,1.91,3618.32460732,6910.99999998
2026-04-28 23:00:00,1.91,1.91,1.91,1.91,31652.04188481,60455.39999999
2026-04-28 23:15:00,1.9,1.9,1.9,1.9,313622.80166568,595883.32316479
2026-04-28 23:30:00,1.91,1.91,1.91,1.91,10517.77776033,20088.95552223
2026-04-28 23:45:00,1.91,1.91,1.91,1.91,261663.93609477,499778.11794101
2026-04-29 01:00:00,1.9,1.9,1.9,1.9,49160.92735272,93405.76197017
2026-04-29 02:15:00,1.9,1.91,1.9,1.91,18524.15459607,35330.11487033
2026-04-29 02:45:00,1.9,1.91,1.9,1.9,16413.40635414,31237.82809381
2026-04-29 04:00:00,1.91,1.91,1.91,1.91,15625.0,29843.75
2026-04-29 04:45:00,1.91,1.91,1.91,1.91,117800.78547113,224999.50024986
2026-04-29 05:15:00,1.91,1.91,1.91,1.91,1966675.65445024,3756350.49999996
2026-04-29 05:30:00,1.91,1.91,1.91,1.91,4188.48167539,7999.99999999
2026-04-29 06:00:00,1.91,1.91,1.91,1.91,230531.85449159,440315.84207894
2026-04-29 06:15:00,1.91,1.91,1.91,1.91,10000.0,19100.0
2026-04-29 07:15:00,1.9,1.9,1.9,1.9,256410.25641025,487179.48717948
2026-04-29 07:30:00,1.91,1.92,1.91,1.91,7613507.21736723,14542767.17056205
2026-04-29 07:45:00,1.92,1.92,1.92,1.92,157250.0,301920.0
2026-04-29 08:15:00,1.91,1.91,1.91,1.91,58387.25068625,111519.64881074
2026-04-29 08:30:00,1.92,1.92,1.92,1.92,1000.0,1920.0
2026-04-29 08:45:00,1.92,1.92,1.92,1.92,748133.72389325,1436416.74987504
2026-04-29 09:00:00,1.91,1.91,1.91,1.91,368302.2196126,703457.23946007
2026-04-29 09:15:00,1.9,1.91,1.9,1.91,468473.61250402,893799.18404514
2026-04-29 09:30:00,1.9,1.91,1.9,1.9,7746205.70841523,14718417.73865909
2026-04-29 09:45:00,1.91,1.91,1.91,1.91,1000.0,1910.0
2026-04-29 10:15:00,1.91,1.91,1.91,1.91,209424.08376962,399999.99999997
2026-04-29 10:30:00,1.9,1.9,1.9,1.9,131771.81042986,250366.43981673
2026-04-29 10:45:00,1.91,1.91,1.9,1.9,467521.41921963,888300.6965173
2026-04-29 11:00:00,1.91,1.91,1.91,1.91,53329.8560144,101860.0249875
2026-04-29 11:45:00,1.9,1.9,1.9,1.9,1403367.21500422,2666397.70850802
2026-04-29 12:00:00,1.9,1.9,1.9,1.9,248620.86505986,472379.64361373
2026-04-29 12:15:00,1.9,1.9,1.9,1.9,110988.93310345,210878.97289656
2026-04-29 12:30:00,1.91,1.91,1.91,1.91,76296.6150018,145726.53465344
2026-04-29 12:45:00,1.9,1.91,1.9,1.91,53356.0209424,101386.43979056
2026-04-29 13:00:00,1.91,1.91,1.91,1.91,389187.43455497,743347.99999999
2026-04-29 13:15:00,1.91,1.91,1.9,1.9,58421.70654691,111524.80264855
2026-04-29 13:30:00,1.91,1.91,1.91,1.91,1360368.58638741,2598303.99999995
2026-04-29 13:45:00,1.91,1.91,1.91,1.91,7589.39901776,14495.75212392
2026-04-29 14:00:00,1.91,1.91,1.9,1.91,805284.81675391,1530664.71204185
2026-04-29 14:15:00,1.91,1.91,1.91,1.91,192957.44797758,368548.72563718
2026-04-29 14:30:00,1.91,1.91,1.91,1.91,493731.78010471,943027.7
2026-04-29 15:00:00,1.91,1.91,1.91,1.91,422785.98920434,807521.23938029
2026-04-29 15:15:00,1.9,1.92,1.9,1.92,2694123.040798,5144756.9809454
2026-04-29 15:30:00,1.92,1.92,1.9,1.92,274182.80426453,526204.3241879
2026-04-29 17:15:00,1.92,1.92,1.91,1.91,40411.46093619,77290.00499748
2026-04-29 17:30:00,1.92,1.92,1.92,1.92,10416.66666666,19999.99999999
2026-04-29 17:45:00,1.91,1.92,1.9,1.92,1878805.34407275,3574873.46082029
2026-04-29 18:00:00,1.91,1.91,1.9,1.91,2095236.08102146,3981001.87499341
2026-04-29 18:15:00,1.91,1.91,1.9,1.9,183239.97770026,349946.49691583
2026-04-29 18:30:00,1.9,1.91,1.9,1.91,582351.62017228,1112226.97898172
2026-04-29 18:45:00,1.91,1.91,1.9,1.9,486051.60082701,927135.32952943
2026-04-29 19:00:00,1.91,1.91,1.91,1.91,1027380.31184648,1962296.39562678
2026-04-29 19:15:00,1.92,1.92,1.92,1.92,52083.33333333,99999.99999999
2026-04-29 19:30:00,1.92,1.92,1.92,1.92,153122.39713476,293995.00249874
2026-04-29 20:00:00,1.91,1.91,1.91,1.91,1190018.17733303,2272934.71870609
2026-04-29 20:15:00,1.92,1.92,1.91,1.92,10935.82928255,20937.43392967
2026-04-29 20:30:00,1.91,1.91,1.91,1.91,265476.30374601,507059.74015488
2026-04-29 21:00:00,1.92,1.92,1.92,1.92,62499.99999999,119999.99999998
