,open,high,low,close,volume,value
2026-05-14 16:15:00,4618.0,4618.0,4611.0,4611.0,254.54851952,1174578.15024102
2026-05-14 16:30:00,4615.0,4632.0,4615.0,4632.0,654.71055478,3030107.95077481
2026-05-14 16:45:00,4632.0,4633.0,4632.0,4633.0,22.79447322,105595.99995504
2026-05-14 17:00:00,4629.0,4629.0,4610.0,4617.0,6574.69105672,30347462.44025064
2026-05-14 17:15:00,4617.0,4617.0,4611.0,4611.0,218.55259836,1007834.10503796
2026-05-14 17:30:00,4616.0,4635.0,4616.0,4635.0,862.2572156,3984417.74791923
2026-05-14 17:45:00,4622.0,4625.0,4619.0,4625.0,532.71236749,2460690.14701463
2026-05-14 18:00:00,4619.0,4619.0,4606.0,4608.0,2985.62450364,13760532.39614971
2026-05-14 18:15:00,4608.0,4611.0,4601.0,4601.0,1735.39375198,7996282.42768885
2026-05-14 18:30:00,4600.0,4600.0,4592.0,4597.0,2824.43715088,12986570.40027144
2026-05-14 18:45:00,4598.0,4598.0,4592.0,4594.0,689.90534274,3170846.86257452
2026-05-14 19:00:00,4595.0,4613.0,4584.0,4611.0,1221.00170427,5605533.15214111
2026-05-14 19:15:00,4611.0,4614.0,4607.0,4609.0,367.74227733,1695521.16632355
2026-05-14 19:30:00,4609.0,4621.0,4604.0,4621.0,2530.43666453,11685779.8364506
2026-05-14 19:45:00,4621.0,4641.0,4621.0,4641.0,2103.48843317,9758795.90463943
2026-05-14 20:00:00,4641.0,4645.0,4636.0,4636.0,1068.36744261,4958248.42099958
2026-05-14 20:15:00,4631.0,4631.0,4613.0,4613.0,843.20694149,3898123.16832651
2026-05-14 20:30:00,4613.0,4613.0,4603.0,4603.0,71.80767128,330608.05382258
2026-05-14 20:45:00,4603.0,4612.0,4598.0,4598.0,3836.25811679,17650436.66901789
2026-05-14 21:00:00,4598.0,4611.0,4591.0,4606.0,1919.63157032,8836578.4888328
2026-05-14 21:15:00,4599.0,4606.0,4599.0,4606.0,108.09860554,497407.05013539
2026-05-14 21:30:00,4606.0,4615.0,4606.0,4615.0,755.82427875,3482254.52602129
2026-05-14 21:45:00,4611.0,4631.0,4611.0,4631.0,771.45937763,3569467.82331052
2026-05-14 22:00:00,4626.0,4635.0,4616.0,4629.0,836.83330251,3873705.18291537
2026-05-14 22:15:00,4632.0,4636.0,4629.0,4635.0,506.71200105,2345733.81670972
2026-05-14 22:30:00,4633.0,4633.0,4615.0,4623.0,759.87894624,3514105.10037122
2026-05-14 22:45:00,4626.0,4632.0,4623.0,4623.0,690.34885559,3193855.87156381
2026-05-14 23:00:00,4623.0,4623.0,4613.0,4623.0,907.22499684,4188387.8269502
2026-05-14 23:15:00,4649.0,4649.0,4641.0,4645.0,337.28043705,1567181.99037681
2026-05-14 23:30:00,4645.0,4661.0,4644.0,4661.0,1635.45053266,7599418.12544186
