,open,high,low,close,volume,value
2026-05-11 18:00:00,123.0,124.0,123.0,124.0,894.06209022,110010.00000028
2026-05-11 18:15:00,124.0,124.0,123.0,124.0,538.41292897,66587.73381169
2026-05-11 18:45:00,123.0,123.0,123.0,123.0,11095.98054193,1364805.60665739
2026-05-11 19:00:00,123.0,124.0,123.0,123.0,4459.19193463,548520.97086271
2026-05-11 19:15:00,124.0,124.0,123.0,123.0,156143.44407433,19359246.82051262
2026-05-11 19:30:00,124.0,124.0,124.0,124.0,4072.62096773,505004.99999852
2026-05-11 19:45:00,123.0,124.0,123.0,123.0,123889.08431603,15238397.73377491
2026-05-11 20:00:00,123.0,124.0,123.0,123.0,103169.96902343,12689986.91568833
2026-05-11 20:15:00,122.0,123.0,122.0,122.0,71175.46612003,8693147.38656724
2026-05-11 20:30:00,123.0,124.0,123.0,124.0,34802.23422337,4282301.87399061
2026-05-11 20:45:00,123.0,124.0,123.0,123.0,12848.86296252,1580450.50729318
2026-05-11 21:00:00,123.0,123.0,122.0,123.0,13398.57704985,1637268.71715486
2026-05-11 21:15:00,123.0,123.0,123.0,123.0,10121.43543699,1244936.55874977
2026-05-11 21:30:00,123.0,123.0,122.0,123.0,29040.68701795,3571959.26482085
2026-05-11 21:45:00,123.0,126.0,123.0,126.0,807631.35988416,100474553.32492933
2026-05-11 22:00:00,126.0,128.0,125.0,127.0,702884.12009276,89257209.88589692
2026-05-11 22:15:00,128.0,128.0,126.0,128.0,154076.52389597,19568085.1392593
2026-05-11 22:30:00,128.0,128.0,126.0,127.0,214558.33754521,27250550.68162945
2026-05-11 22:45:00,127.0,128.0,127.0,128.0,42892.81106026,5461474.12314454
2026-05-11 23:00:00,128.0,129.0,127.0,128.0,310276.37575147,39584164.95663251
2026-05-11 23:15:00,128.0,128.0,128.0,128.0,46990.71875,6014812.0
2026-05-11 23:30:00,127.0,128.0,127.0,128.0,108695.84654175,13824352.46705225
2026-05-11 23:45:00,128.0,128.0,127.0,128.0,103547.83231673,13221175.55908243
2026-05-12 00:00:00,128.0,128.0,128.0,128.0,102541.62098912,13125327.48660736
2026-05-12 00:15:00,128.0,128.0,127.0,128.0,78020.47876914,9986575.33650398
2026-05-12 00:30:00,127.0,127.0,127.0,127.0,8897.13063728,1129935.59093456
2026-05-12 00:45:00,128.0,128.0,128.0,128.0,69814.69109604,8936280.46029312
2026-05-12 01:00:00,128.0,129.0,128.0,129.0,286342.56749508,36830004.98381312
2026-05-12 01:15:00,129.0,129.0,128.0,128.0,10131.72300316,1301399.86389202
2026-05-12 01:30:00,128.0,128.0,127.0,127.0,49837.77180321,6337315.11900767
2026-05-12 01:45:00,127.0,128.0,127.0,127.0,29627.86298193,3762791.65853742
2026-05-12 02:00:00,128.0,128.0,127.0,127.0,158426.02738998,20120144.54102746
2026-05-12 02:15:00,127.0,127.0,126.0,127.0,62641.05487248,7954502.51535382
2026-05-12 02:30:00,126.0,127.0,126.0,126.0,160004.65793313,20160930.1594413
2026-05-12 02:45:00,127.0,127.0,126.0,126.0,3204.299881,405316.5881556
2026-05-12 03:00:00,126.0,126.0,125.0,125.0,8747.03162103,1094251.96850176
2026-05-12 03:15:00,126.0,126.0,126.0,126.0,13312.66473826,1677395.75702076
2026-05-12 03:30:00,126.0,126.0,125.0,125.0,21323.53500066,2686529.18961072
2026-05-12 03:45:00,126.0,126.0,126.0,126.0,121.61017085,15322.8815271
2026-05-12 04:00:00,126.0,126.0,126.0,126.0,44.24692415,5575.1124429
2026-05-12 04:15:00,125.0,126.0,125.0,126.0,77897.01559368,9737166.67143222
2026-05-12 04:45:00,125.0,125.0,125.0,125.0,11940.0,1492500.0
2026-05-12 05:15:00,125.0,125.0,125.0,125.0,41937.36216363,5242170.27045375
2026-05-12 05:30:00,125.0,125.0,125.0,125.0,10037.70216606,1254712.7707575
2026-05-12 05:45:00,126.0,126.0,125.0,125.0,1750.22170184,218817.12217881
2026-05-12 06:00:00,125.0,126.0,125.0,126.0,7334.93286789,916906.33070847
