,open,high,low,close,volume,value
2026-05-15 10:15:00,530.0,530.0,528.0,529.0,8516.21296205,4505249.46996047
2026-05-15 10:30:00,531.0,531.0,529.0,529.0,568.0396189,301316.78426513
2026-05-15 10:45:00,530.0,530.0,527.0,527.0,18333.7982726,9691872.61798198
2026-05-15 11:00:00,528.0,528.0,523.0,526.0,56893.84528154,29896071.61264364
2026-05-15 11:15:00,523.0,526.0,522.0,522.0,44048.75770749,23046060.47565967
2026-05-15 11:30:00,524.0,527.0,523.0,527.0,17728.56815797,9286177.72320458
2026-05-15 11:45:00,525.0,525.0,524.0,525.0,16305.59939455,8560087.63738314
2026-05-15 12:00:00,525.0,526.0,524.0,524.0,1502.65555704,788039.31575814
2026-05-15 12:15:00,523.0,523.0,523.0,523.0,115.67148756,60496.18799388
2026-05-15 12:30:00,524.0,524.0,520.0,520.0,18280.93090699,9539363.57252878
2026-05-15 12:45:00,520.0,523.0,520.0,523.0,11987.10494355,6253239.82943761
2026-05-15 13:00:00,524.0,526.0,523.0,525.0,22917.98403422,11995969.16048883
2026-05-15 13:15:00,525.0,527.0,524.0,524.0,3322.39908892,1744525.25278138
2026-05-15 13:30:00,526.0,528.0,525.0,525.0,13568.9284666,7149300.16186341
2026-05-15 13:45:00,524.0,524.0,521.0,521.0,22281.54833775,11624314.77325692
2026-05-15 14:00:00,521.0,522.0,521.0,522.0,7843.14848599,4087592.51828891
2026-05-15 14:15:00,522.0,523.0,521.0,523.0,3616.37118573,1890066.82776533
2026-05-15 14:30:00,524.0,524.0,521.0,521.0,29266.54505768,15268269.76442981
2026-05-15 14:45:00,521.0,521.0,517.0,517.0,15312.62599379,7945304.0677088
2026-05-15 15:00:00,518.0,520.0,516.0,518.0,26564.30791307,13749023.1157416
2026-05-15 15:15:00,518.0,519.0,513.0,513.0,82722.67942332,42627617.95904019
2026-05-15 15:30:00,513.0,515.0,511.0,515.0,116723.9117255,59703006.53262084
2026-05-15 15:45:00,514.0,516.0,514.0,516.0,3043.5087329,1566054.81041602
2026-05-15 16:00:00,516.0,517.0,515.0,515.0,18900.1536979,9753560.08654405
2026-05-15 16:15:00,515.0,516.0,513.0,514.0,16369.53572492,8416630.68038683
2026-05-15 16:30:00,513.0,513.0,511.0,511.0,1220.72500183,623830.97654513
2026-05-15 16:45:00,511.0,511.0,510.0,510.0,35024.1292402,17869600.9476554
2026-05-15 17:00:00,510.0,511.0,509.0,511.0,23249.69101304,11835388.21111244
2026-05-15 17:15:00,511.0,511.0,507.0,509.0,28570.29794113,14531424.29374102
2026-05-15 17:30:00,509.0,509.0,508.0,508.0,2854.47247928,1451672.01947424
2026-05-15 17:45:00,509.0,511.0,509.0,510.0,31073.63235317,15851507.61034569
2026-05-15 18:00:00,510.0,510.0,508.0,508.0,6621.34295246,3375095.66327038
2026-05-15 18:15:00,507.0,507.0,504.0,504.0,4548.64725056,2301530.27058155
2026-05-15 18:30:00,505.0,506.0,505.0,505.0,328.09069281,165903.19474604
2026-05-15 18:45:00,504.0,509.0,504.0,509.0,13243.12540464,6691246.1513699
2026-05-15 19:00:00,509.0,510.0,509.0,510.0,11391.31375487,5798188.50515039
2026-05-15 19:15:00,509.0,509.0,506.0,506.0,24113.1834292,12226088.20868319
2026-05-15 19:30:00,508.0,509.0,507.0,509.0,2640.81473988,1342292.94279227
2026-05-15 19:45:00,510.0,512.0,510.0,511.0,14395.4466611,7348632.74999737
2026-05-15 20:00:00,513.0,513.0,511.0,511.0,2449.45428242,1252363.11307682
2026-05-15 20:15:00,512.0,513.0,511.0,513.0,84.22634929,43168.03906077
2026-05-15 20:30:00,513.0,514.0,513.0,514.0,8657.88939999,4448049.17388945
2026-05-15 20:45:00,513.0,513.0,512.0,512.0,10428.78931656,5349291.8498621
2026-05-15 21:00:00,512.0,515.0,512.0,515.0,1311.62559242,674190.11365762
2026-05-15 21:15:00,513.0,515.0,513.0,515.0,2564.39403583,1319002.90391259
2026-05-15 21:30:00,515.0,515.0,512.0,512.0,5891.35305062,3023725.32835262
2026-05-15 21:45:00,511.0,513.0,511.0,513.0,2041.94236753,1043461.01855783
2026-05-15 22:00:00,510.0,511.0,509.0,509.0,5645.87593889,2875006.1666205
2026-05-15 22:15:00,512.0,515.0,512.0,515.0,29947.32168408,15410963.15854282
2026-05-15 22:30:00,516.0,519.0,515.0,516.0,52465.7315901,27136221.19814769
2026-05-15 22:45:00,514.0,517.0,511.0,512.0,34917.21658705,17953403.51860155
2026-05-15 23:00:00,511.0,513.0,511.0,511.0,26590.9929813,13638622.67665638
2026-05-15 23:15:00,513.0,513.0,509.0,509.0,12810.60572658,6558304.99106504
2026-05-15 23:30:00,509.0,509.0,507.0,507.0,5303.31172301,2693049.76619637
2026-05-15 23:45:00,507.0,508.0,501.0,503.0,46631.98243046,23544615.60686759
2026-05-16 00:00:00,504.0,504.0,504.0,504.0,14148.96127426,7131076.48222704
2026-05-16 00:15:00,504.0,506.0,503.0,506.0,3443.94220316,1742102.48516248
2026-05-16 00:30:00,504.0,504.0,504.0,504.0,152.86428095,77043.5975988
2026-05-16 00:45:00,503.0,504.0,503.0,504.0,5702.92717748,2870332.74374591
2026-05-16 01:00:00,503.0,503.0,503.0,503.0,5261.85786138,2646714.50427414
2026-05-16 01:15:00,502.0,503.0,502.0,503.0,3436.59669643,1726903.84167671
2026-05-16 01:30:00,505.0,505.0,504.0,505.0,2540.29760492,1281296.55921631
2026-05-16 01:45:00,506.0,506.0,505.0,506.0,2554.50191112,1290542.2601277
2026-05-16 02:00:00,506.0,506.0,506.0,506.0,13.08618,6621.60708
2026-05-16 02:45:00,507.0,507.0,505.0,505.0,1223.90701412,619038.2421306
2026-05-16 03:15:00,507.0,507.0,506.0,506.0,2892.85551774,1463855.63964008
