,open,high,low,close,volume,value
2026-05-18 07:30:00,525.0,526.0,523.0,524.0,346291.64813459,181373502.933047
2026-05-18 07:45:00,524.0,524.0,521.0,523.0,170150.66614923,88730877.25076607
2026-05-18 08:00:00,523.0,523.0,520.0,521.0,828482.34888769,431531179.8308251
2026-05-18 08:15:00,521.0,521.0,516.0,517.0,768623.86068416,398528076.0108834
2026-05-18 08:30:00,517.0,517.0,500.0,507.0,3360366.42374328,1705410929.9899988
2026-05-18 08:45:00,506.0,518.0,506.0,517.0,1348283.22523394,690589672.0844408
2026-05-18 09:00:00,517.0,517.0,508.0,511.0,1853497.634765,947561478.6801325
2026-05-18 09:15:00,509.0,513.0,509.0,511.0,950868.9908107,485816508.5744894
2026-05-18 09:30:00,510.0,512.0,507.0,508.0,968242.2329055,492380068.98882794
2026-05-18 09:45:00,508.0,512.0,506.0,512.0,618893.61774819,314603693.22849894
2026-05-18 10:00:00,512.0,513.0,509.0,510.0,673694.53868304,344288996.7137838
2026-05-18 10:15:00,509.0,509.0,506.0,507.0,511532.30019866,259786884.346559
2026-05-18 10:30:00,507.0,508.0,505.0,506.0,566625.49332322,286800775.3054106
2026-05-18 10:45:00,506.0,511.0,505.0,510.0,369112.46350765,187316839.15619126
2026-05-18 11:00:00,509.0,513.0,509.0,513.0,380190.54679175,194072140.4608658
2026-05-18 11:15:00,512.0,513.0,509.0,509.0,1526415.02791391,780388258.3111386
2026-05-18 11:30:00,510.0,512.0,507.0,509.0,377218.51353927,192175815.57409048
2026-05-18 11:45:00,509.0,510.0,507.0,509.0,222511.72153799,113224298.84472182
2026-05-18 12:00:00,509.0,512.0,509.0,509.0,493926.65222402,251825322.64400247
2026-05-18 12:15:00,509.0,511.0,507.0,508.0,234650.35864402,119313871.52595907
2026-05-18 12:30:00,508.0,508.0,505.0,507.0,715614.94304231,362018915.06373227
2026-05-18 12:45:00,508.0,508.0,505.0,506.0,220439.87098284,111555231.06806797
2026-05-18 13:00:00,506.0,509.0,505.0,509.0,385314.04369289,195279691.25886834
2026-05-18 13:15:00,509.0,510.0,506.0,507.0,491839.05613122,249464151.30291256
2026-05-18 13:30:00,507.0,510.0,506.0,510.0,288290.600263,146140578.34998155
2026-05-18 13:45:00,510.0,512.0,509.0,511.0,558556.8452563,285027790.75478554
2026-05-18 14:00:00,511.0,512.0,509.0,511.0,252480.36980727,128947623.50257336
2026-05-18 14:15:00,510.0,511.0,508.0,508.0,538929.09903695,274090356.0347908
2026-05-18 14:30:00,509.0,509.0,505.0,506.0,422927.5429609,213906765.58548987
2026-05-18 14:45:00,506.0,506.0,502.0,503.0,1472039.8201316,742477189.3960208
2026-05-18 15:00:00,503.0,506.0,502.0,505.0,1010992.78153662,510184709.4365869
2026-05-18 15:15:00,506.0,507.0,501.0,503.0,525970.57861663,264769440.0449237
2026-05-18 15:30:00,502.0,504.0,501.0,504.0,280305.8054906,140786376.4282273
2026-05-18 15:45:00,504.0,506.0,502.0,504.0,244223.44178576,122985714.38680197
2026-05-18 16:00:00,504.0,505.0,502.0,503.0,295836.2573467,148761839.94562685
2026-05-18 16:15:00,502.0,506.0,500.0,505.0,435626.82394885,219032700.51959246
2026-05-18 16:30:00,505.0,506.0,502.0,502.0,502602.93014879,253412459.94559917
2026-05-18 16:45:00,502.0,505.0,502.0,504.0,263204.98350599,132483449.30277938
2026-05-18 17:00:00,504.0,508.0,504.0,506.0,454591.80539433,230224132.83014187
2026-05-18 17:15:00,506.0,506.0,503.0,504.0,396631.76238997,200112489.22555482
2026-05-18 17:30:00,505.0,505.0,503.0,503.0,250851.66632136,126239298.2881256
2026-05-18 17:45:00,503.0,505.0,502.0,504.0,577518.82952295,290652831.55069834
2026-05-18 18:00:00,503.0,504.0,501.0,503.0,304447.68760376,152781091.79214957
2026-05-18 18:15:00,502.0,503.0,500.0,500.0,275238.99941545,138002262.6273869
2026-05-18 18:30:00,500.0,502.0,500.0,500.0,488595.32175962,244671637.6968354
2026-05-18 18:45:00,500.0,501.0,498.0,498.0,1023049.10083016,510586318.35850435
2026-05-18 19:00:00,499.0,499.0,496.0,498.0,909304.9723003,452184656.68589276
2026-05-18 19:15:00,498.0,499.0,496.0,497.0,745366.22621687,370232530.5931852
2026-05-18 19:30:00,497.0,498.0,496.0,497.0,660958.62657677,328335106.6612147
2026-05-18 19:45:00,497.0,499.0,495.0,496.0,569510.65270371,282901526.42838407
2026-05-18 20:00:00,496.0,497.0,494.0,495.0,1189360.66560424,589005751.3584527
2026-05-18 20:15:00,495.0,497.0,495.0,497.0,295344.05283215,146310453.41436124
2026-05-18 20:30:00,497.0,507.0,495.0,506.0,1059861.80757321,532782881.59301114
2026-05-18 20:45:00,506.0,508.0,504.0,507.0,1050834.00389806,532205838.20140284
2026-05-18 21:00:00,506.0,513.0,506.0,512.0,1533068.08598319,783320315.8980604
2026-05-18 21:15:00,512.0,517.0,511.0,515.0,948981.66791954,487897061.2726875
2026-05-18 21:30:00,515.0,521.0,513.0,521.0,1666860.75272209,862618115.0302999
2026-05-18 21:45:00,521.0,522.0,516.0,517.0,1078331.17187105,559249510.938614
2026-05-18 22:00:00,518.0,518.0,511.0,515.0,1012202.56099757,519987938.81975347
2026-05-18 22:15:00,515.0,515.0,513.0,513.0,591383.51945812,303833090.8527566
2026-05-18 22:30:00,513.0,516.0,507.0,513.0,3102654.67702534,1586833720.9207966
2026-05-18 22:45:00,512.0,519.0,512.0,517.0,1229295.20506314,634304483.8702437
2026-05-18 23:00:00,517.0,517.0,512.0,514.0,1416900.36885252,730699864.4117405
2026-05-18 23:15:00,513.0,514.0,508.0,510.0,2135259.77715544,1090140749.7550187
2026-05-18 23:30:00,510.0,512.0,506.0,509.0,1251793.16893989,638355147.3741553
2026-05-18 23:45:00,509.0,509.0,505.0,509.0,577837.59019761,292688030.43268543
2026-05-19 00:00:00,507.0,510.0,505.0,509.0,415052.3087214,210401359.15557733
2026-05-19 00:15:00,508.0,509.0,504.0,505.0,241766.10181169,122285402.11605296
2026-05-19 00:30:00,504.0,510.0,504.0,509.0,210217.01935171,106301127.87184113
2026-05-19 00:45:00,509.0,511.0,508.0,509.0,191208.8158895,97361001.7202876
2026-05-19 01:00:00,508.0,511.0,507.0,510.0,256589.30800956,130343099.13489988
2026-05-19 01:15:00,509.0,510.0,506.0,507.0,279645.76134369,142139489.6883537
2026-05-19 01:30:00,507.0,508.0,506.0,508.0,127662.84840746,64738025.59387098
2026-05-19 01:45:00,509.0,510.0,507.0,507.0,101047.88982176,51297302.81777687
2026-05-19 02:00:00,507.0,510.0,506.0,510.0,105340.17991891,53438294.62155326
2026-05-19 02:15:00,510.0,513.0,510.0,512.0,117363.90122839,59958103.5662146
2026-05-19 02:30:00,512.0,516.0,512.0,514.0,126610.90176566,65051324.89267133
2026-05-19 02:45:00,514.0,516.0,514.0,515.0,188617.15872029,97267007.66082372
2026-05-19 03:00:00,516.0,516.0,509.0,510.0,109385.74441266,55961738.62345364
2026-05-19 03:15:00,509.0,509.0,505.0,508.0,143862.46917159,72870444.63366581
2026-05-19 03:30:00,506.0,507.0,505.0,506.0,46850.07232034,23735641.87859325
2026-05-19 03:45:00,506.0,507.0,503.0,504.0,139506.47633631,70309978.03637893
2026-05-19 04:00:00,504.0,517.0,504.0,513.0,444196.04858853,227915608.14234212
2026-05-19 04:15:00,512.0,512.0,510.0,510.0,67337.16229757,34356730.84442784
2026-05-19 04:30:00,511.0,517.0,511.0,515.0,136459.15327688,70195388.07085983
2026-05-19 04:45:00,517.0,519.0,515.0,518.0,159331.00165436,82434840.33965702
