,open,high,low,close,volume,value
2026-05-15 17:15:00,91.5,91.5,91.0,91.0,198234.44869446,18069126.40805308
2026-05-15 17:30:00,91.1,91.5,91.0,91.5,140373.34846682,12792692.01346158
2026-05-15 17:45:00,91.5,91.5,91.3,91.3,25997.96697343,2375749.56205988
2026-05-15 18:00:00,91.3,91.3,91.3,91.3,40862.62493209,3730757.65629982
2026-05-15 18:15:00,91.3,91.3,91.1,91.1,63153.04787567,5756237.69361267
2026-05-15 18:30:00,91.2,91.2,91.1,91.1,59039.93097591,5383892.30500299
2026-05-15 18:45:00,91.2,91.4,91.1,91.4,105099.32178904,9585189.15228154
2026-05-15 19:00:00,91.1,91.1,91.1,91.1,8766.45111833,798623.69687986
2026-05-15 19:15:00,91.1,91.1,91.1,91.1,95237.52268619,8676138.31671191
2026-05-15 19:30:00,91.0,91.0,90.9,90.9,69022.3021888,6280939.7296072
2026-05-15 19:45:00,91.0,91.1,91.0,91.1,36874.12895683,3355679.86782181
2026-05-15 20:00:00,91.1,91.1,90.9,90.9,133975.64181259,12184148.45801231
2026-05-15 20:15:00,90.9,90.9,90.9,90.9,18469.3040595,1678859.73900855
2026-05-15 20:30:00,90.9,91.1,90.9,91.1,10356.64114834,941441.29289783
2026-05-15 20:45:00,91.0,91.2,90.9,90.9,94838.9171722,8625834.51337873
2026-05-15 21:00:00,90.9,90.9,90.6,90.6,276469.80682241,25087938.13059415
2026-05-15 21:15:00,90.6,90.7,90.4,90.7,230785.90327672,20893916.72895105
2026-05-15 21:30:00,90.5,90.8,90.4,90.6,102958.11010719,9322366.76384552
2026-05-15 21:45:00,90.6,90.6,90.3,90.5,219506.90369714,19842838.71981334
2026-05-15 22:00:00,90.3,90.3,89.9,89.9,540151.48603693,48653521.21573291
2026-05-15 22:15:00,90.0,90.3,90.0,90.3,3189.62502792,287101.17264977
2026-05-15 22:30:00,90.2,90.2,88.8,88.8,827611.35527034,74092875.83511066
2026-05-15 22:45:00,88.8,88.8,87.7,88.0,2120653.08988987,187346436.91203398
2026-05-15 23:00:00,87.9,88.9,87.6,88.9,697295.68737005,61463915.85937006
2026-05-15 23:15:00,88.9,89.0,88.3,88.3,177137.04809065,15740793.46457074
2026-05-15 23:30:00,88.3,88.4,87.2,87.4,606176.2404707,53089980.10057691
2026-05-15 23:45:00,87.4,87.4,86.8,87.2,814584.20013102,70890451.45702618
2026-05-16 00:00:00,87.5,87.5,87.1,87.3,193589.92773092,16909029.8905479
2026-05-16 00:15:00,87.3,87.4,87.0,87.1,216345.49249749,18865061.07540618
2026-05-16 00:30:00,87.1,87.2,86.5,86.8,168730.99950522,14642476.13628762
2026-05-16 00:45:00,86.7,87.0,86.6,86.9,92704.85082396,8040349.24167665
2026-05-16 01:00:00,87.3,87.4,87.3,87.3,49523.0838394,4323593.19069962
2026-05-16 01:15:00,87.1,87.8,87.0,87.8,47223.25718523,4123045.9744758
2026-05-16 01:30:00,87.8,88.0,87.7,88.0,74840.55037433,6575274.01653907
2026-05-16 01:45:00,88.0,88.0,87.7,87.9,483141.80401281,42465525.53896021
2026-05-16 02:00:00,88.0,88.3,88.0,88.3,22649.48866714,1994819.95965795
2026-05-16 02:15:00,88.3,88.6,88.3,88.6,32077.02668928,2833353.14511536
2026-05-16 02:30:00,88.7,88.7,88.4,88.7,46463.00968559,4117830.99293371
2026-05-16 02:45:00,88.9,89.2,88.7,89.2,124150.15658641,11045033.30833751
2026-05-16 03:00:00,89.2,89.5,89.1,89.1,116075.42651258,10357022.55867319
2026-05-16 03:15:00,89.1,89.1,88.5,88.7,152913.51238263,13581799.55526289
2026-05-16 03:30:00,88.7,88.7,88.7,88.7,15153.3626189,1344103.26429643
2026-05-16 03:45:00,88.5,88.7,88.5,88.7,17817.19733829,1578457.19724588
2026-05-16 04:00:00,88.7,88.7,88.2,88.2,176184.16988208,15555744.93897032
2026-05-16 04:15:00,88.2,88.3,88.2,88.3,28854.60556043,2546091.29945054
2026-05-16 04:30:00,88.3,88.6,88.3,88.4,43128.38149461,3810610.79205834
2026-05-16 04:45:00,88.5,88.5,88.3,88.3,34444.45319238,3043322.20144598
2026-05-16 05:00:00,88.3,88.3,88.0,88.1,151437.9777516,13344132.13416303
2026-05-16 05:15:00,88.1,88.3,88.1,88.3,94824.46142207,8357634.96118083
2026-05-16 05:30:00,88.3,88.3,88.3,88.3,10053.78907373,887749.57521036
2026-05-16 05:45:00,88.1,88.1,88.1,88.1,81931.24179671,7218142.40229015
2026-05-16 06:00:00,88.1,88.4,88.1,88.3,26987.67829907,2381668.88112279
2026-05-16 06:15:00,88.1,88.1,88.1,88.1,90214.14868632,7947866.49926479
2026-05-16 06:30:00,88.1,88.1,88.1,88.1,70213.09136555,6185773.34930496
2026-05-16 06:45:00,88.1,88.3,88.1,88.3,315980.96603684,27900272.69862213
2026-05-16 07:00:00,88.3,88.3,88.2,88.2,9668.58581421,852779.26881332
2026-05-16 07:15:00,88.2,88.4,88.1,88.1,10997.86302296,970148.72250523
2026-05-16 07:30:00,88.2,88.2,88.0,88.0,26446.66225063,2330907.21784821
2026-05-16 07:45:00,88.0,88.0,88.0,88.0,32893.65202908,2894641.37855904
2026-05-16 08:00:00,88.0,88.2,88.0,88.2,13561.25299894,1193617.02127633
2026-05-16 08:15:00,88.2,88.2,87.9,87.9,73497.67574851,6476624.11052497
