,open,high,low,close,volume,value
2026-05-10 08:30:00,242.0,242.0,241.0,241.0,7531.7810673,1820722.5143496
2026-05-10 08:45:00,241.0,241.0,240.0,240.0,60557.86419111,14594074.26153459
2026-05-10 09:00:00,240.0,241.0,239.0,241.0,116276.64507865,27915281.7940244
2026-05-10 09:15:00,241.0,241.0,240.0,240.0,41199.97796744,9889024.58770427
2026-05-10 09:30:00,239.0,240.0,238.0,240.0,67158.65639077,16031993.84203188
2026-05-10 09:45:00,239.0,240.0,239.0,240.0,441.28466666,105883.7019984
2026-05-10 10:00:00,238.0,239.0,238.0,239.0,11059.82045457,2634492.10799947
2026-05-10 10:15:00,238.0,239.0,237.0,239.0,54550.0718658,12981919.791045
2026-05-10 10:30:00,239.0,239.0,237.0,238.0,18578.11564705,4411421.60918767
2026-05-10 10:45:00,238.0,238.0,238.0,238.0,4025.3609689,958035.9105982
2026-05-10 11:00:00,238.0,240.0,238.0,240.0,32703.1080565,7784290.31654654
2026-05-10 11:15:00,239.0,241.0,239.0,241.0,29745.94270714,7137153.66585695
2026-05-10 11:30:00,241.0,241.0,241.0,241.0,329.23262406,79345.06239846
2026-05-10 11:45:00,241.0,241.0,240.0,240.0,12209.85269709,2930779.99999869
2026-05-10 12:00:00,240.0,240.0,240.0,240.0,42816.1710811,10275881.059464
2026-05-10 12:15:00,240.0,240.0,239.0,239.0,21508.53251144,5140697.45148416
2026-05-10 12:30:00,239.0,239.0,239.0,239.0,101.01685644,24143.02868916
2026-05-10 13:15:00,239.0,239.0,238.0,239.0,4421.93419649,1053298.37673307
2026-05-10 13:30:00,239.0,239.0,239.0,239.0,147.52301254,35257.99999706
2026-05-10 13:45:00,240.0,240.0,240.0,240.0,41.84100418,10041.8410032
2026-05-10 14:00:00,239.0,240.0,239.0,240.0,16223.71929933,3877556.41253987
2026-05-10 14:15:00,239.0,240.0,239.0,239.0,37370.59622452,8931848.5059936
2026-05-10 14:30:00,238.0,239.0,238.0,238.0,54106.61622399,12877439.83215941
2026-05-10 14:45:00,238.0,239.0,237.0,239.0,38690.14459441,9208047.47758792
2026-05-10 15:00:00,240.0,240.0,238.0,239.0,67841.38121793,16218485.57668579
2026-05-10 15:15:00,239.0,239.0,238.0,239.0,13469.02695974,3206765.6574223
2026-05-10 15:30:00,239.0,239.0,239.0,239.0,50.0,11950.0
2026-05-10 15:45:00,238.0,238.0,236.0,236.0,125130.35644066,29656811.23759488
2026-05-10 16:00:00,236.0,238.0,236.0,238.0,41867.11263003,9921154.15435814
2026-05-10 16:15:00,238.0,239.0,238.0,238.0,38926.0406163,9264441.52023587
2026-05-10 16:30:00,238.0,238.0,238.0,238.0,25.47778361,6063.71249918
2026-05-10 16:45:00,239.0,239.0,237.0,237.0,3510.60104877,834143.99976695
2026-05-10 17:00:00,237.0,239.0,237.0,239.0,3373.35284502,799735.67029484
2026-05-10 17:15:00,238.0,238.0,237.0,238.0,33881.43240218,8063739.07071465
2026-05-10 17:45:00,239.0,239.0,239.0,239.0,666.45552301,159282.86999939
2026-05-10 18:00:00,239.0,239.0,239.0,239.0,8366.98172367,1999708.63195713
2026-05-10 18:15:00,239.0,239.0,239.0,239.0,28260.93743357,6754364.04662323
2026-05-10 18:30:00,239.0,239.0,239.0,239.0,4970.71547908,1188000.99950012
2026-05-10 18:45:00,239.0,239.0,239.0,239.0,12813.26730981,3062370.88704459
2026-05-10 19:00:00,238.0,238.0,237.0,238.0,35817.70962598,8505273.15762628
2026-05-10 19:15:00,240.0,240.0,240.0,240.0,10134.63555544,2432312.5333056
2026-05-10 19:30:00,240.0,240.0,240.0,240.0,4223.628125,1013670.75
2026-05-10 19:45:00,241.0,242.0,241.0,241.0,57657.41166719,13922495.12861533
2026-05-10 20:00:00,241.0,242.0,241.0,242.0,4894.06028141,1183998.78659949
2026-05-10 20:15:00,241.0,241.0,239.0,240.0,19519.49322007,4680268.73412492
2026-05-10 20:30:00,240.0,241.0,240.0,241.0,8572.36734329,2060940.52973289
2026-05-10 20:45:00,239.0,239.0,239.0,239.0,27800.82987551,6644398.34024689
2026-05-10 21:00:00,238.0,238.0,238.0,238.0,1789.84200833,425982.39798254
2026-05-10 21:30:00,238.0,239.0,238.0,239.0,5264.91667932,1256282.56603228
2026-05-10 21:45:00,238.0,238.0,238.0,238.0,396.82539682,94444.44444316
2026-05-10 22:00:00,240.0,241.0,240.0,241.0,83.16044261,20000.00000234
2026-05-10 22:15:00,241.0,242.0,241.0,241.0,149657.68428835,36216342.92372939
2026-05-10 22:30:00,241.0,241.0,240.0,241.0,158252.10365028,38076970.74522298
2026-05-10 23:00:00,241.0,241.0,240.0,240.0,1443.61113447,346553.71174061
2026-05-10 23:15:00,239.0,239.0,239.0,239.0,283.68200418,67799.99899902
2026-05-10 23:30:00,239.0,239.0,238.0,238.0,37865.52591865,9036401.14051273
2026-05-10 23:45:00,238.0,239.0,238.0,239.0,2756.77313087,656153.84615124
2026-05-11 00:00:00,238.0,239.0,238.0,238.0,47676.70119065,11347180.40638724
2026-05-11 00:15:00,238.0,239.0,237.0,239.0,175785.69003646,41665671.77724774
2026-05-11 00:30:00,238.0,239.0,237.0,237.0,3421.76281177,814405.43638947
2026-05-11 00:45:00,239.0,239.0,239.0,239.0,72056.08943365,17221405.37464235
2026-05-11 01:00:00,240.0,240.0,239.0,239.0,43258.33333333,10381699.9999992
2026-05-11 01:15:00,240.0,240.0,239.0,240.0,3325.55348223,795385.58298795
2026-05-11 01:30:00,241.0,241.0,240.0,240.0,21017.8603349,5044411.88286561
2026-05-11 01:45:00,240.0,242.0,239.0,242.0,51972.81490374,12517943.92684979
2026-05-11 02:00:00,242.0,242.0,240.0,240.0,29100.48716808,6987869.4003392
2026-05-11 02:15:00,240.0,242.0,240.0,242.0,35756.79000908,8584172.76308608
2026-05-11 02:30:00,242.0,242.0,240.0,240.0,53.28413149,12830.34031792
2026-05-11 02:45:00,241.0,242.0,241.0,242.0,11589.77287248,2800534.24987097
2026-05-11 03:00:00,243.0,243.0,240.0,241.0,9723.65975103,2346236.99999823
2026-05-11 03:15:00,241.0,242.0,241.0,242.0,4373.44573229,1055883.99999427
2026-05-11 03:30:00,242.0,243.0,241.0,241.0,5049.96007946,1217100.73736054
2026-05-11 04:00:00,242.0,242.0,241.0,241.0,50464.22846667,12211879.06046747
2026-05-11 04:15:00,242.0,242.0,241.0,241.0,13191.95704697,3183378.8384024
2026-05-11 04:30:00,241.0,241.0,241.0,241.0,21053.70377224,5073942.60910984
2026-05-11 05:00:00,242.0,242.0,241.0,241.0,1568.59504132,378099.99999944
2026-05-11 05:15:00,240.0,240.0,240.0,240.0,355.56421789,85335.4122936
2026-05-11 05:30:00,239.0,239.0,237.0,238.0,82824.5978771,19729504.27463053
2026-05-11 05:45:00,236.0,236.0,231.0,234.0,140914.76309377,32772319.04381375
2026-05-11 06:00:00,234.0,235.0,233.0,234.0,73746.07229494,17281174.69704441
2026-05-11 06:15:00,235.0,235.0,235.0,235.0,42.55319149,10000.00000015
2026-05-11 06:30:00,238.0,238.0,238.0,238.0,4587.58746046,1091845.81558948
2026-05-11 06:45:00,238.0,238.0,238.0,238.0,9903.43323295,2357017.1094421
2026-05-11 07:00:00,238.0,240.0,238.0,238.0,10789.24998813,2568661.46820961
2026-05-11 07:15:00,238.0,238.0,238.0,238.0,7721.96745737,1837828.25485406
2026-05-11 07:30:00,239.0,239.0,238.0,238.0,11861.47094519,2823430.08495522
2026-05-11 07:45:00,239.0,239.0,239.0,239.0,2227.97281966,532485.50389874
2026-05-11 08:00:00,239.0,240.0,239.0,240.0,16720.13890918,3996144.88429399
2026-05-11 08:15:00,239.0,239.0,238.0,238.0,790.29196898,188854.57050218
2026-05-11 08:30:00,238.0,240.0,238.0,239.0,5729.16806723,1368951.00000074
2026-05-11 08:45:00,239.0,240.0,239.0,240.0,2187.69750271,522880.53648102
2026-05-11 09:00:00,240.0,240.0,238.0,238.0,29650.86107045,7058270.79594009
2026-05-11 09:15:00,239.0,239.0,236.0,237.0,54672.52515987,13022746.75584653
2026-05-11 09:30:00,238.0,239.0,238.0,238.0,19083.34048283,4542110.99707702
2026-05-11 09:45:00,237.0,237.0,235.0,235.0,11364.84884722,2681997.57835568
2026-05-11 10:00:00,237.0,239.0,237.0,239.0,8729.6649194,2075840.2508172
2026-05-11 10:15:00,239.0,240.0,237.0,237.0,15105.25530934,3604640.21462916
2026-05-11 10:30:00,238.0,239.0,237.0,239.0,8375.24441289,1989177.54522167
2026-05-11 10:45:00,239.0,239.0,239.0,239.0,6424.82761506,1535533.79999934
2026-05-11 11:00:00,238.0,238.0,238.0,238.0,42.01680672,9999.99999936
2026-05-11 11:15:00,237.0,237.0,236.0,237.0,11011.25431689,2609590.54621218
2026-05-11 11:30:00,237.0,237.0,236.0,236.0,25203.37888436,5956215.27007019
2026-05-11 11:45:00,237.0,237.0,237.0,237.0,42.19409282,9999.99999834
2026-05-11 12:00:00,237.0,237.0,236.0,236.0,846.63108474,200560.51089864
2026-05-11 12:15:00,235.0,236.0,235.0,235.0,15583.25338607,3669724.12019453
2026-05-11 12:30:00,235.0,235.0,234.0,234.0,120597.08359718,28220172.43015501
2026-05-11 12:45:00,234.0,234.0,234.0,234.0,42.73504274,10000.00000116
2026-05-11 13:00:00,233.0,235.0,233.0,235.0,8156.12116519,1900418.79319139
2026-05-11 13:30:00,236.0,236.0,236.0,236.0,2096.99123559,494889.93159924
2026-05-11 13:45:00,236.0,237.0,235.0,237.0,721.38513546,170246.63690845
2026-05-11 14:00:00,236.0,237.0,236.0,237.0,9651.89873417,2279999.99999829
2026-05-11 14:15:00,236.0,237.0,235.0,237.0,77457.53632603,18257021.26914561
2026-05-11 14:30:00,237.0,237.0,236.0,236.0,9340.95829614,2212422.27728178
2026-05-11 14:45:00,236.0,236.0,236.0,236.0,1948.40221315,459822.9223034
2026-05-11 15:00:00,235.0,236.0,235.0,236.0,126.20521081,29715.83470984
2026-05-11 15:15:00,236.0,236.0,235.0,235.0,44545.2489165,10468260.61402156
2026-05-11 15:30:00,235.0,235.0,235.0,235.0,2711.9134233,637299.6544755
2026-05-11 15:45:00,235.0,235.0,235.0,235.0,1133.49821489,266372.08049915
2026-05-11 16:00:00,234.0,235.0,234.0,235.0,49461.30433654,11573987.76794184
2026-05-11 16:15:00,235.0,235.0,235.0,235.0,42.55319148,9999.9999978
2026-05-11 16:30:00,234.0,234.0,233.0,234.0,2309.64408753,538199.16252727
2026-05-11 16:45:00,234.0,234.0,234.0,234.0,7293.2931472,1706630.5964448
2026-05-11 17:00:00,235.0,235.0,235.0,235.0,854.7008547,200854.7008545
2026-05-11 17:15:00,235.0,235.0,233.0,233.0,25941.97679173,6069965.1624563
2026-05-11 17:30:00,233.0,235.0,233.0,235.0,6231.75991626,1457078.90086022
2026-05-11 17:45:00,234.0,235.0,234.0,235.0,10333.00486529,2417955.13847786
2026-05-11 18:00:00,235.0,235.0,235.0,235.0,10974.97954851,2579120.19389985
2026-05-11 18:15:00,234.0,234.0,234.0,234.0,959.85159459,224605.27313406
2026-05-11 18:30:00,234.0,234.0,234.0,234.0,5555.55555556,1300000.00000104
2026-05-11 18:45:00,234.0,236.0,234.0,235.0,15507.93740508,3638812.83804849
2026-05-11 19:00:00,235.0,236.0,235.0,236.0,145.82236583,34341.64001277
2026-05-11 19:15:00,236.0,237.0,236.0,236.0,15590.88245245,3679870.19970647
2026-05-11 19:30:00,236.0,236.0,235.0,235.0,66627.47209254,15663444.67732357
2026-05-11 19:45:00,235.0,236.0,234.0,234.0,14710.08705386,3455621.41934318
2026-05-11 20:00:00,233.0,234.0,233.0,233.0,10124.00211697,2359023.41305051
2026-05-11 20:15:00,233.0,234.0,233.0,233.0,21071.3925643,4911823.12527141
2026-05-11 20:30:00,233.0,233.0,233.0,233.0,17459.13126603,4067977.58498499
2026-05-11 20:45:00,233.0,233.0,232.0,232.0,2995.12123546,695726.49572543
2026-05-11 21:00:00,233.0,234.0,232.0,233.0,35233.84532505,8205433.24733529
2026-05-11 21:15:00,233.0,234.0,233.0,234.0,32265.69249488,7550129.12534699
2026-05-11 21:30:00,233.0,233.0,233.0,233.0,300.42918453,69999.99999549
2026-05-11 21:45:00,233.0,233.0,232.0,233.0,5665.2360515,1319957.08154457
2026-05-11 22:00:00,234.0,234.0,233.0,234.0,8939.34512314,2085033.80485501
2026-05-11 22:15:00,233.0,233.0,232.0,232.0,4386.23031548,1017648.35164629
2026-05-11 22:30:00,232.0,233.0,232.0,233.0,39265.48592691,9109635.83849139
2026-05-11 22:45:00,234.0,234.0,232.0,232.0,327.79644418,76134.24513522
2026-05-11 23:15:00,232.0,232.0,231.0,231.0,24616.34610102,5709851.36339768
2026-05-11 23:30:00,230.0,232.0,230.0,232.0,24512.36166309,5643400.736224
2026-05-11 23:45:00,231.0,231.0,230.0,231.0,18440.42648066,4256151.07308628
2026-05-12 00:00:00,231.0,231.0,231.0,231.0,21.68831168,5009.99999808
2026-05-12 00:15:00,231.0,232.0,231.0,232.0,4399.7385052,1016618.88474449
2026-05-12 00:45:00,232.0,232.0,232.0,232.0,200.0,46400.0
2026-05-12 01:00:00,233.0,233.0,231.0,231.0,13155.94853526,3039109.0991942
2026-05-12 01:15:00,233.0,233.0,231.0,231.0,4927.46640111,1141365.4883692
2026-05-12 01:30:00,231.0,231.0,231.0,231.0,2182.13849653,504073.99269843
2026-05-12 02:00:00,231.0,231.0,231.0,231.0,432.55861246,99921.03947826
2026-05-12 02:30:00,232.0,232.0,232.0,232.0,43.10344827,9999.99999864
2026-05-12 02:45:00,232.0,232.0,232.0,232.0,1293.10344827,299999.99999864
2026-05-12 03:00:00,232.0,232.0,232.0,232.0,129.31034481,29999.99999592
2026-05-12 03:15:00,231.0,231.0,231.0,231.0,43.29004329,9999.99999999
2026-05-12 03:45:00,232.0,232.0,232.0,232.0,431.46551724,100099.99999968
2026-05-12 04:00:00,232.0,232.0,232.0,232.0,1293.10344827,299999.99999864
2026-05-12 05:00:00,233.0,233.0,233.0,233.0,174.05708,40555.29964
2026-05-12 05:15:00,232.0,232.0,232.0,232.0,43.66812228,10131.00436896
2026-05-12 05:30:00,232.0,232.0,231.0,231.0,112.27315339,25978.01688802
2026-05-12 05:45:00,232.0,232.0,232.0,232.0,6493.5064935,1506493.506492
2026-05-12 06:00:00,232.0,232.0,232.0,232.0,4600.6384042,1067348.1097744
2026-05-12 06:15:00,232.0,232.0,232.0,232.0,43.10344828,10000.00000096
2026-05-12 06:30:00,232.0,232.0,232.0,232.0,4708.8,1092441.6
2026-05-12 06:45:00,233.0,233.0,232.0,232.0,6398.99265538,1484691.29604816
2026-05-12 07:00:00,232.0,232.0,231.0,232.0,1183.38371379,273605.15512686
2026-05-12 07:15:00,232.0,232.0,232.0,232.0,3125.5395718,725125.1806576
2026-05-12 07:30:00,231.0,231.0,231.0,231.0,832.72756717,192360.06801627
2026-05-12 07:45:00,233.0,233.0,233.0,233.0,429.18454935,99999.99999855
2026-05-12 08:00:00,231.0,231.0,230.0,230.0,19107.18417921,4413119.40049486
2026-05-12 08:15:00,230.0,230.0,230.0,230.0,28568.21227939,6570688.8242597
2026-05-12 08:30:00,230.0,231.0,230.0,231.0,3397.36474683,784205.95651773
2026-05-12 08:45:00,231.0,231.0,230.0,230.0,2005.14403842,462070.61801408
2026-05-12 09:00:00,230.0,232.0,230.0,232.0,18963.85225893,4367210.01608856
2026-05-12 09:15:00,231.0,232.0,231.0,232.0,20442.53351709,4722414.8976202
2026-05-12 09:30:00,231.0,232.0,231.0,232.0,681.95723706,157781.17856501
2026-05-12 10:00:00,232.0,232.0,231.0,231.0,22184.24034161,5143707.56988641
2026-05-12 10:15:00,231.0,231.0,231.0,231.0,65036.32928348,15023392.06448388
