,open,high,low,close,volume,value
2026-05-17 16:45:00,259.0,263.0,257.0,261.0,1561240.75039845,405657919.7466463
2026-05-17 17:00:00,260.0,262.0,259.0,259.0,894713.29363229,232758958.9430789
2026-05-17 17:15:00,259.0,271.0,258.0,265.0,4526330.96537111,1207083022.132472
2026-05-17 17:30:00,265.0,273.0,265.0,268.0,2847019.39218035,763062504.9935269
2026-05-17 17:45:00,267.0,270.0,266.0,269.0,1646868.37479702,441295044.0126506
2026-05-17 18:00:00,268.0,269.0,265.0,267.0,1296188.07791914,345806765.2797512
2026-05-17 18:15:00,268.0,274.0,268.0,273.0,1690733.63471336,458559122.82506716
2026-05-17 18:30:00,272.0,274.0,268.0,273.0,1315898.26292404,357589262.7143207
2026-05-17 18:45:00,273.0,274.0,269.0,270.0,1112164.57955283,301093970.3581204
2026-05-17 19:00:00,271.0,277.0,269.0,274.0,1828521.21505312,501423517.2860595
2026-05-17 19:15:00,274.0,276.0,272.0,272.0,920210.27634129,252264329.29364747
2026-05-17 19:30:00,272.0,277.0,272.0,276.0,959669.1970929,263419257.16328835
2026-05-17 19:45:00,276.0,276.0,266.0,266.0,1656009.5341639,447442424.9826934
2026-05-17 20:00:00,267.0,270.0,266.0,268.0,838185.82030756,224517297.31123832
2026-05-17 20:15:00,268.0,271.0,268.0,269.0,361656.70175573,97584555.76070184
2026-05-17 20:30:00,270.0,273.0,270.0,272.0,375686.43023223,102012408.35019727
2026-05-17 20:45:00,271.0,273.0,270.0,272.0,452590.30887482,123009885.50798944
2026-05-17 21:00:00,271.0,273.0,269.0,273.0,701949.93556665,190459686.4642826
2026-05-17 21:15:00,273.0,279.0,273.0,274.0,2240007.09405936,619575404.625936
2026-05-17 21:30:00,274.0,275.0,270.0,271.0,1426836.71365774,387454909.0443059
2026-05-17 21:45:00,271.0,273.0,271.0,272.0,479273.20748877,130221590.65951198
2026-05-17 22:00:00,272.0,273.0,270.0,273.0,338966.59706802,92152744.07005621
2026-05-17 22:15:00,273.0,277.0,273.0,277.0,1219462.78063786,336224468.2386706
2026-05-17 22:30:00,277.0,281.0,276.0,280.0,2213295.07547071,618044177.8726157
2026-05-17 22:45:00,280.0,281.0,277.0,278.0,764321.51789204,213224385.63923517
2026-05-17 23:00:00,278.0,278.0,275.0,276.0,960343.95117467,265087869.58313006
2026-05-17 23:15:00,276.0,280.0,274.0,274.0,1213208.70024192,336236865.00955266
2026-05-17 23:30:00,275.0,279.0,275.0,279.0,616475.69310734,170858089.84428915
