,open,high,low,close,volume,value
2026-05-17 20:30:00,2222.0,2223.0,2216.0,2217.0,21737.66502745,48224872.48614474
2026-05-17 20:45:00,2219.0,2233.0,2217.0,2229.0,32887.58001717,73238361.6794883
2026-05-17 21:00:00,2227.0,2238.0,2226.0,2231.0,21906.51990662,48871315.84281295
2026-05-17 21:15:00,2231.0,2236.0,2223.0,2225.0,22861.82202918,50925361.83203749
2026-05-17 21:30:00,2225.0,2228.0,2223.0,2224.0,13610.10173204,30294424.06902341
2026-05-17 21:45:00,2224.0,2224.0,2217.0,2217.0,17778.17040637,39492134.46919533
2026-05-17 22:00:00,2217.0,2217.0,2209.0,2209.0,40558.92636141,89711143.23303802
2026-05-17 22:15:00,2208.0,2217.0,2204.0,2217.0,23426.88934816,51710086.22501991
2026-05-17 22:30:00,2217.0,2227.0,2215.0,2225.0,13556.27704482,30137200.35576411
2026-05-17 22:45:00,2225.0,2228.0,2222.0,2223.0,12993.23213447,28894564.49317918
2026-05-17 23:00:00,2223.0,2224.0,2215.0,2216.0,22277.38841571,49454066.96122729
2026-05-17 23:15:00,2215.0,2241.0,2211.0,2239.0,67693.56957595,151005151.5968382
2026-05-17 23:30:00,2239.0,2240.0,2230.0,2235.0,26039.0928202,58201188.94978461
2026-05-17 23:45:00,2236.0,2255.0,2236.0,2250.0,63843.51596586,143367863.53115365
2026-05-18 00:00:00,2250.0,2269.0,2246.0,2265.0,55298.8115696,124932318.30702987
2026-05-18 00:15:00,2264.0,2278.0,2256.0,2275.0,46606.65771437,105697384.06128204
2026-05-18 00:30:00,2275.0,2277.0,2258.0,2266.0,80041.72266415,181434926.08392885
2026-05-18 00:45:00,2266.0,2268.0,2251.0,2256.0,45297.36730152,102207104.10347506
2026-05-18 01:00:00,2256.0,2262.0,2247.0,2262.0,26358.59624368,59352314.19528749
2026-05-18 01:15:00,2262.0,2283.0,2262.0,2276.0,47815.77990793,108817836.5786683
2026-05-18 01:30:00,2276.0,2292.0,2275.0,2276.0,54780.57627951,125110737.24516146
2026-05-18 01:45:00,2278.0,2279.0,2260.0,2274.0,15858.68109762,36021050.81875604
2026-05-18 02:00:00,2279.0,2294.0,2279.0,2292.0,30748.44232898,70315274.80470587
2026-05-18 02:15:00,2293.0,2306.0,2286.0,2306.0,80995.6632325,186043772.27525032
2026-05-18 02:30:00,2306.0,2310.0,2289.0,2294.0,43777.90471442,100755587.78130677
2026-05-18 02:45:00,2294.0,2309.0,2291.0,2294.0,48317.91019362,110884663.89899306
2026-05-18 03:00:00,2296.0,2303.0,2278.0,2287.0,42432.37501743,96966074.22290364
2026-05-18 03:15:00,2285.0,2288.0,2264.0,2274.0,33005.0196764,75125223.87751524
2026-05-18 03:30:00,2273.0,2274.0,2252.0,2257.0,35813.49474356,80889904.23072875
2026-05-18 03:45:00,2258.0,2260.0,2250.0,2253.0,25566.25293264,57630703.81987657
2026-05-18 04:00:00,2253.0,2255.0,2243.0,2250.0,28971.09021325,65126737.21085768
2026-05-18 04:15:00,2250.0,2251.0,2241.0,2241.0,14991.91172748,33650808.66238597
2026-05-18 04:30:00,2241.0,2248.0,2240.0,2248.0,2958.47296058,6633558.71056708
2026-05-18 04:45:00,2250.0,2250.0,2241.0,2244.0,16535.63746996,37129264.35335576
2026-05-18 05:00:00,2246.0,2251.0,2235.0,2241.0,9168.96896229,20531860.94451618
2026-05-18 05:15:00,2241.0,2246.0,2236.0,2239.0,9271.50566721,20768944.21184057
2026-05-18 05:30:00,2240.0,2248.0,2239.0,2248.0,6503.83287026,14592937.92829307
2026-05-18 05:45:00,2248.0,2253.0,2244.0,2253.0,47049.912918,105731033.22819877
2026-05-18 06:00:00,2254.0,2263.0,2254.0,2257.0,22301.56757982,50394284.46818604
2026-05-18 06:15:00,2260.0,2272.0,2258.0,2258.0,25936.22276984,58725687.65785056
2026-05-18 06:30:00,2258.0,2261.0,2254.0,2254.0,22838.53497207,51528345.82955307
2026-05-18 06:45:00,2253.0,2257.0,2248.0,2254.0,40230.51958328,90574355.67542858
2026-05-18 07:00:00,2253.0,2255.0,2238.0,2243.0,45735.74891121,102680501.7718998
2026-05-18 07:15:00,2243.0,2243.0,2229.0,2230.0,46224.82972971,103297564.41363814
2026-05-18 07:30:00,2234.0,2240.0,2228.0,2240.0,31540.52761748,70361610.00727113
2026-05-18 07:45:00,2237.0,2241.0,2231.0,2235.0,20122.34279589,45021748.36631522
2026-05-18 08:00:00,2234.0,2236.0,2215.0,2222.0,60533.93223803,134617601.89145675
2026-05-18 08:15:00,2221.0,2224.0,2210.0,2210.0,52703.04908704,116815156.16534838
2026-05-18 08:30:00,2211.0,2211.0,2168.0,2197.0,135734.63282498,298242229.20095986
2026-05-18 08:45:00,2193.0,2207.0,2185.0,2198.0,55056.28012821,120688193.1119226
2026-05-18 09:00:00,2201.0,2276.0,2145.0,2154.0,871391.18246588,1926462561.2322245
2026-05-18 09:15:00,2154.0,2171.0,2148.0,2151.0,89428.07685464,192902524.38024282
2026-05-18 09:30:00,2151.0,2151.0,2127.0,2130.0,142191.99892966,303669874.48261976
2026-05-18 09:45:00,2129.0,2152.0,2129.0,2146.0,78513.48667654,167959700.1538118
2026-05-18 10:00:00,2156.0,2165.0,2146.0,2155.0,39164.43853079,84409293.50196272
2026-05-18 10:15:00,2151.0,2153.0,2131.0,2134.0,53845.68399916,115169192.06651825
2026-05-18 10:30:00,2135.0,2135.0,2121.0,2125.0,37130.99092367,79053507.71333265
2026-05-18 10:45:00,2125.0,2143.0,2120.0,2138.0,26974.49286192,57485703.1666194
2026-05-18 11:00:00,2139.0,2159.0,2139.0,2159.0,20298.45109109,43627390.07832883
2026-05-18 11:15:00,2159.0,2162.0,2151.0,2155.0,14957.1637679,32252198.34402019
2026-05-18 11:30:00,2155.0,2160.0,2149.0,2155.0,23865.46544006,51405529.45125394
2026-05-18 11:45:00,2154.0,2159.0,2150.0,2152.0,6226.41839629,13409724.9182663
2026-05-18 12:00:00,2152.0,2162.0,2152.0,2154.0,13731.0144821,29616222.32776023
2026-05-18 12:15:00,2155.0,2156.0,2143.0,2143.0,22748.55853323,48848017.94408541
2026-05-18 12:30:00,2143.0,2146.0,2133.0,2141.0,24677.1780415,52754588.54922473
2026-05-18 12:45:00,2141.0,2146.0,2136.0,2146.0,13513.66288079,28917100.82137681
2026-05-18 13:00:00,2145.0,2163.0,2145.0,2162.0,14706.49107891,31722884.24596922
2026-05-18 13:15:00,2160.0,2162.0,2149.0,2156.0,28109.61868518,60602796.24846058
2026-05-18 13:30:00,2158.0,2171.0,2157.0,2171.0,14505.37447498,31397072.15190529
2026-05-18 13:45:00,2171.0,2178.0,2169.0,2178.0,9693.56491584,21059978.87251483
2026-05-18 14:00:00,2178.0,2185.0,2175.0,2177.0,34659.79890263,75587458.479907
2026-05-18 14:15:00,2178.0,2183.0,2166.0,2169.0,25724.85601218,55899605.33381088
2026-05-18 14:30:00,2169.0,2171.0,2151.0,2151.0,24587.33695012,53215279.17610565
2026-05-18 14:45:00,2154.0,2159.0,2153.0,2154.0,16574.01992928,35720887.9729588
2026-05-18 15:00:00,2155.0,2155.0,2142.0,2144.0,30244.97445653,65003864.22518904
2026-05-18 15:15:00,2144.0,2158.0,2143.0,2149.0,21743.43443894,46754422.05010528
2026-05-18 15:30:00,2149.0,2156.0,2144.0,2146.0,29239.2481848,62853406.74981696
2026-05-18 15:45:00,2145.0,2151.0,2139.0,2139.0,32174.85283878,68953734.17908385
2026-05-18 16:00:00,2139.0,2148.0,2126.0,2130.0,69200.53632246,147857861.0802949
2026-05-18 16:15:00,2129.0,2141.0,2125.0,2135.0,27327.96274577,58253000.71534802
2026-05-18 16:30:00,2129.0,2133.0,2117.0,2121.0,51977.03590982,110416509.26746032
2026-05-18 16:45:00,2121.0,2131.0,2120.0,2129.0,17436.51578298,37062358.15719329
2026-05-18 17:00:00,2130.0,2160.0,2129.0,2150.0,29522.97294311,63429550.63275427
2026-05-18 17:15:00,2150.0,2152.0,2136.0,2143.0,12180.95932128,26084148.36315978
2026-05-18 17:30:00,2137.0,2143.0,2134.0,2135.0,15897.36170935,33971596.37457272
2026-05-18 17:45:00,2141.0,2147.0,2133.0,2133.0,10683.34110818,22850862.86734234
2026-05-18 18:00:00,2133.0,2133.0,2124.0,2129.0,14911.87333989,31744747.25587551
2026-05-18 18:15:00,2129.0,2133.0,2127.0,2128.0,3682.02761533,7834229.71025189
2026-05-18 18:30:00,2128.0,2128.0,2117.0,2122.0,37687.36840229,80007758.45611157
2026-05-18 18:45:00,2123.0,2131.0,2115.0,2118.0,33801.75111028,71616000.69254467
2026-05-18 19:00:00,2118.0,2120.0,2096.0,2099.0,57642.34838041,121262964.38803941
2026-05-18 19:15:00,2099.0,2102.0,2085.0,2086.0,62035.2972921,129696688.24528462
2026-05-18 19:30:00,2087.0,2091.0,2084.0,2089.0,24645.91027057,51445230.73971633
2026-05-18 19:45:00,2089.0,2096.0,2083.0,2083.0,23824.9564021,49770771.48900758
2026-05-18 20:00:00,2082.0,2097.0,2082.0,2097.0,21463.4919064,44878101.55413232
2026-05-18 20:15:00,2096.0,2105.0,2096.0,2105.0,15961.92747819,33559824.95036684
2026-05-18 20:30:00,2105.0,2119.0,2100.0,2115.0,24229.20529052,51093458.89306297
2026-05-18 20:45:00,2115.0,2119.0,2105.0,2109.0,28452.55519019,60069856.4057706
2026-05-18 21:00:00,2115.0,2137.0,2115.0,2130.0,28960.56969602,61708767.23916429
