,open,high,low,close,volume,value
2026-05-17 22:30:00,12.8,12.8,12.7,12.7,5320575.27499121,68101720.51169121
2026-05-17 22:45:00,12.8,12.9,12.7,12.9,4425281.99804678,56649423.01627106
2026-05-17 23:00:00,12.8,12.8,12.7,12.7,886040.12398268,11323081.99544157
2026-05-17 23:15:00,12.7,12.7,12.6,12.7,6020644.37023267,76456990.08544087
2026-05-17 23:30:00,12.7,12.7,12.6,12.6,330836.79664103,4171583.79515729
2026-05-17 23:45:00,12.7,12.7,12.6,12.6,1839312.23930631,23259054.80580582
2026-05-18 00:00:00,12.7,12.8,12.7,12.8,3980846.9300604,50560307.38439028
2026-05-18 00:15:00,12.7,12.7,12.7,12.7,3823866.15931203,48563100.22326278
2026-05-18 00:30:00,12.7,12.7,12.6,12.7,5057223.56112536,64209344.44504207
2026-05-18 00:45:00,12.7,12.8,12.7,12.7,61265.54198113,778249.638569
2026-05-18 01:00:00,12.8,12.8,12.7,12.8,429654.67810365,5489270.20123263
2026-05-18 01:15:00,12.8,12.8,12.8,12.8,192662.15265413,2466075.55397286
2026-05-18 01:30:00,12.8,12.8,12.8,12.8,85898.45702148,1099500.24987494
2026-05-18 01:45:00,12.7,12.7,12.7,12.7,527194.81268202,6695374.12106165
2026-05-18 02:00:00,12.7,12.7,12.6,12.7,889497.3129921,11296412.18307054
2026-05-18 02:30:00,12.7,12.7,12.7,12.7,79917.56555291,1014953.08252196
2026-05-18 02:45:00,12.6,12.6,12.6,12.6,1666750.18752306,21001052.36279056
2026-05-18 03:00:00,12.7,12.8,12.6,12.6,2180013.53974249,27683142.44084074
2026-05-18 03:15:00,12.7,12.7,12.6,12.7,544362.22261233,6913222.10217659
2026-05-18 03:45:00,12.7,12.7,12.6,12.6,4677529.87164525,58975936.04055298
2026-05-18 04:00:00,12.7,12.7,12.6,12.7,2052538.62941755,26063841.31667885
2026-05-18 04:15:00,12.7,12.7,12.7,12.7,151791.46516322,1927751.60757289
2026-05-18 04:30:00,12.7,12.7,12.7,12.7,787.4015748,9999.99999996
2026-05-18 04:45:00,12.8,12.8,12.8,12.8,41116.78535732,526294.8525737
2026-05-18 05:00:00,12.8,12.8,12.7,12.7,1035032.95464997,13150579.377417
2026-05-18 05:15:00,12.8,12.8,12.8,12.8,781.25,10000.0
2026-05-18 05:30:00,12.8,12.8,12.7,12.7,175887.48679974,2246869.39452874
2026-05-18 05:45:00,12.7,12.8,12.7,12.8,69286.48651402,883730.8028285
2026-05-18 06:00:00,12.7,12.8,12.7,12.8,360888.14020546,4583594.34123926
2026-05-18 06:15:00,12.8,12.9,12.7,12.8,845217.63373325,10820113.7867856
2026-05-18 06:30:00,12.8,12.9,12.8,12.9,754854.78769168,9714185.50686378
2026-05-18 06:45:00,12.8,12.9,12.8,12.8,212356.69791353,2721663.33794435
2026-05-18 07:00:00,12.9,12.9,12.7,12.8,4545409.20137498,57743780.87381108
2026-05-18 07:15:00,12.7,12.7,12.7,12.7,2039928.21853476,25907088.37539145
2026-05-18 07:30:00,12.7,12.7,12.7,12.7,2093943.29530309,26593079.85034924
2026-05-18 07:45:00,12.7,12.7,12.7,12.7,121429.36405812,1542152.92353812
2026-05-18 08:00:00,12.6,12.7,12.6,12.7,847229.61706502,10706466.87399653
2026-05-18 08:15:00,12.6,12.6,12.6,12.6,9944183.1042229,125296707.11320855
2026-05-18 08:30:00,12.6,12.6,12.0,12.2,53382950.10015959,661294045.0165107
2026-05-18 08:45:00,12.3,12.5,12.2,12.5,18765012.00086424,232432535.89512017
2026-05-18 09:00:00,12.5,12.5,12.3,12.3,7568405.68197771,93802635.4767059
2026-05-18 09:15:00,12.3,12.5,12.3,12.5,2914477.20633897,36174771.42564571
2026-05-18 09:30:00,12.5,12.5,12.4,12.5,1061617.96549024,13251305.17988307
2026-05-18 09:45:00,12.4,12.5,12.4,12.5,3358578.39481306,41889329.51514091
2026-05-18 10:00:00,12.6,12.6,12.4,12.5,11559741.15969536,144499966.11715975
2026-05-18 10:15:00,12.5,12.5,12.3,12.4,5473708.5722497,67833499.28542385
2026-05-18 10:30:00,12.4,12.4,12.3,12.4,1338047.55625413,16522350.32930684
2026-05-18 10:45:00,12.4,12.5,12.3,12.5,11056078.17919574,136799976.96677738
