,open,high,low,close,volume,value
2026-05-18 00:30:00,1379.0,1380.0,1372.0,1380.0,10760.00870066,14824500.27787281
2026-05-18 00:45:00,1378.0,1379.0,1371.0,1379.0,787.71159954,1083510.56670302
2026-05-18 01:00:00,1375.0,1375.0,1375.0,1375.0,20.0,27500.0
2026-05-18 01:15:00,1380.0,1381.0,1367.0,1367.0,5800.87832654,7959057.88589117
2026-05-18 01:30:00,1369.0,1373.0,1368.0,1373.0,2956.73955138,4052684.80275493
2026-05-18 01:45:00,1374.0,1374.0,1367.0,1367.0,282.12815576,386859.21001134
2026-05-18 02:00:00,1366.0,1370.0,1362.0,1370.0,18243.78011607,24884893.27779794
2026-05-18 02:15:00,1365.0,1369.0,1365.0,1369.0,708.92577422,967706.78984034
2026-05-18 02:30:00,1373.0,1378.0,1368.0,1374.0,15208.26866747,20853287.90459743
2026-05-18 02:45:00,1369.0,1369.0,1366.0,1369.0,1775.1209366,2427978.68072279
2026-05-18 03:00:00,1370.0,1376.0,1370.0,1374.0,1219.73368761,1674914.96608422
2026-05-18 03:15:00,1374.0,1374.0,1368.0,1368.0,7100.93412583,9731415.89816309
2026-05-18 03:30:00,1370.0,1370.0,1366.0,1366.0,2361.07962444,3230428.8175221
2026-05-18 03:45:00,1366.0,1367.0,1360.0,1367.0,63061.55000675,85939205.58322813
2026-05-18 04:00:00,1363.0,1364.0,1359.0,1364.0,5167.55540197,7040454.68229447
2026-05-18 04:15:00,1363.0,1366.0,1363.0,1366.0,4682.21539119,6384047.32446648
2026-05-18 04:30:00,1366.0,1366.0,1361.0,1362.0,11493.27896661,15656448.2661668
2026-05-18 04:45:00,1361.0,1367.0,1361.0,1367.0,4989.95459452,6798171.71282466
2026-05-18 05:00:00,1365.0,1374.0,1364.0,1371.0,4306.67064732,5887237.2821824
2026-05-18 05:15:00,1371.0,1373.0,1370.0,1373.0,3598.85909994,4933424.68686186
2026-05-18 05:30:00,1370.0,1374.0,1369.0,1374.0,4568.32020293,6266362.06262527
2026-05-18 05:45:00,1374.0,1374.0,1366.0,1366.0,16487.15804513,22611367.02054921
2026-05-18 06:00:00,1366.0,1367.0,1360.0,1360.0,6321.20149703,8614287.52947576
2026-05-18 06:15:00,1361.0,1363.0,1361.0,1362.0,4663.35649506,6352013.95755913
2026-05-18 06:30:00,1363.0,1363.0,1356.0,1356.0,19325.16763042,26288823.45918733
2026-05-18 06:45:00,1355.0,1360.0,1355.0,1360.0,10268.99268806,13933750.85167592
2026-05-18 07:00:00,1357.0,1359.0,1354.0,1354.0,12480.55175869,16940858.55385685
2026-05-18 07:15:00,1354.0,1354.0,1340.0,1340.0,26410.81969985,35590901.61484683
2026-05-18 07:30:00,1345.0,1351.0,1344.0,1351.0,9252.39074644,12450112.62897703
2026-05-18 07:45:00,1349.0,1356.0,1348.0,1356.0,1652.13876735,2232275.34824208
2026-05-18 08:00:00,1352.0,1352.0,1342.0,1346.0,9721.95002076,13088474.30642282
2026-05-18 08:15:00,1341.0,1349.0,1341.0,1344.0,9578.24893284,12869833.78379904
2026-05-18 08:30:00,1344.0,1355.0,1334.0,1350.0,32438.20839251,43626826.67187537
2026-05-18 08:45:00,1352.0,1364.0,1345.0,1345.0,31147.06585927,42215569.35970345
2026-05-18 09:00:00,1343.0,1345.0,1310.0,1313.0,133024.34697369,175651108.9834155
2026-05-18 09:15:00,1313.0,1318.0,1295.0,1301.0,181285.67649166,236516103.39630204
2026-05-18 09:30:00,1302.0,1307.0,1287.0,1293.0,143358.54542808,185729264.97638518
2026-05-18 09:45:00,1298.0,1306.0,1293.0,1297.0,53046.02377871,68812409.41474515
2026-05-18 10:00:00,1301.0,1308.0,1283.0,1287.0,177170.97989344,229705304.1039966
2026-05-18 10:15:00,1289.0,1289.0,1260.0,1284.0,261505.47932202,333039425.0534938
2026-05-18 10:30:00,1290.0,1341.0,1290.0,1337.0,64528.94837063,84758505.9901764
2026-05-18 10:45:00,1335.0,1349.0,1325.0,1338.0,89190.64596527,119218718.79125413
2026-05-18 11:00:00,1335.0,1339.0,1314.0,1318.0,36037.3959966,47577299.12571857
2026-05-18 11:15:00,1320.0,1323.0,1316.0,1318.0,18062.57016515,23804649.67756889
2026-05-18 11:30:00,1321.0,1326.0,1314.0,1316.0,9482.25187233,12492571.50922482
2026-05-18 11:45:00,1317.0,1318.0,1308.0,1313.0,23310.07879718,30586341.17144907
2026-05-18 12:00:00,1312.0,1314.0,1304.0,1305.0,15138.35100046,19791613.6698732
2026-05-18 12:15:00,1307.0,1311.0,1305.0,1308.0,14208.37805704,18597145.52911038
2026-05-18 12:30:00,1308.0,1309.0,1299.0,1302.0,17444.46597676,22749468.1610267
2026-05-18 12:45:00,1300.0,1300.0,1294.0,1294.0,19228.96017307,24913461.66855367
2026-05-18 13:00:00,1296.0,1305.0,1296.0,1302.0,9543.98323544,12413254.91762906
2026-05-18 13:15:00,1301.0,1304.0,1298.0,1299.0,12700.44745478,16511602.75979446
2026-05-18 13:30:00,1301.0,1301.0,1291.0,1295.0,27030.12417425,35010529.46876972
2026-05-18 13:45:00,1292.0,1299.0,1291.0,1296.0,10726.61363407,13871320.01608879
2026-05-18 14:00:00,1296.0,1307.0,1295.0,1305.0,16208.87469209,21022598.90636653
2026-05-18 14:15:00,1305.0,1309.0,1300.0,1300.0,18012.3708211,23471057.36149677
2026-05-18 14:30:00,1297.0,1297.0,1282.0,1282.0,61873.84165926,79721759.42357251
2026-05-18 14:45:00,1282.0,1288.0,1278.0,1285.0,23025.96964327,29542077.13669823
2026-05-18 15:00:00,1285.0,1289.0,1275.0,1277.0,40705.95158066,52089079.45132453
2026-05-18 15:15:00,1276.0,1277.0,1269.0,1272.0,8918.15319211,11345910.45765454
2026-05-18 15:30:00,1271.0,1274.0,1267.0,1267.0,16489.393388,20952909.60113024
2026-05-18 15:45:00,1267.0,1276.0,1267.0,1271.0,15605.04757932,19831990.76447043
2026-05-18 16:00:00,1272.0,1282.0,1272.0,1275.0,3104.57292968,3957302.67893235
2026-05-18 16:15:00,1273.0,1274.0,1265.0,1266.0,24381.74476252,30931611.60333916
2026-05-18 16:30:00,1266.0,1268.0,1261.0,1266.0,72497.39743566,91585441.1501029
2026-05-18 16:45:00,1265.0,1273.0,1264.0,1267.0,31366.83435459,39691491.47048855
2026-05-18 17:00:00,1271.0,1279.0,1269.0,1270.0,22393.28270048,28524731.95115311
2026-05-18 17:15:00,1270.0,1272.0,1263.0,1268.0,17209.91475169,21801103.87786347
2026-05-18 17:30:00,1268.0,1269.0,1262.0,1263.0,29813.48050639,37704119.1656191
2026-05-18 17:45:00,1261.0,1263.0,1254.0,1262.0,60065.08371304,75554414.31890841
2026-05-18 18:00:00,1262.0,1262.0,1252.0,1253.0,49976.94651045,62739843.86251739
2026-05-18 18:15:00,1256.0,1263.0,1254.0,1257.0,37029.86359908,46672303.24205244
2026-05-18 18:30:00,1257.0,1260.0,1253.0,1255.0,15985.9137631,20083901.72579393
2026-05-18 18:45:00,1255.0,1260.0,1249.0,1252.0,21905.15402089,27441672.48351089
2026-05-18 19:00:00,1252.0,1252.0,1240.0,1251.0,82781.43769053,103117738.12833619
2026-05-18 19:15:00,1250.0,1250.0,1244.0,1245.0,21660.87497978,26990592.93219473
2026-05-18 19:30:00,1245.0,1245.0,1241.0,1242.0,21993.44337368,27343692.79400597
2026-05-18 19:45:00,1243.0,1243.0,1230.0,1230.0,53626.20193809,66359564.62352388
2026-05-18 20:00:00,1231.0,1235.0,1229.0,1233.0,62501.42161313,76968803.84147967
2026-05-18 20:15:00,1233.0,1243.0,1231.0,1243.0,80933.1670797,99832172.51785772
2026-05-18 20:30:00,1243.0,1259.0,1233.0,1252.0,33151.76594523,41276246.64267173
2026-05-18 20:45:00,1251.0,1256.0,1244.0,1253.0,30647.66430691,38377795.27344929
2026-05-18 21:00:00,1254.0,1261.0,1251.0,1256.0,28356.45480118,35653425.13595091
2026-05-18 21:15:00,1258.0,1260.0,1248.0,1256.0,41150.19526808,51709785.55007826
2026-05-18 21:30:00,1256.0,1266.0,1251.0,1263.0,49279.92299893,61953507.82065376
2026-05-18 21:45:00,1263.0,1271.0,1261.0,1270.0,18060.58249054,22810593.43060946
2026-05-18 22:00:00,1269.0,1269.0,1256.0,1259.0,12693.319416,16024032.28980617
2026-05-18 22:15:00,1257.0,1258.0,1250.0,1253.0,9491.46159318,11900203.08860449
2026-05-18 22:30:00,1252.0,1252.0,1243.0,1243.0,7106.99488884,8849451.67182424
2026-05-18 22:45:00,1243.0,1245.0,1238.0,1240.0,30926.96740049,38364570.99131965
2026-05-18 23:00:00,1240.0,1241.0,1230.0,1230.0,53504.96307046,65972208.36479809
2026-05-18 23:15:00,1231.0,1236.0,1224.0,1228.0,51133.41903512,62808135.24096487
2026-05-18 23:30:00,1227.0,1227.0,1220.0,1224.0,13004.25980306,15885607.0542024
2026-05-18 23:45:00,1224.0,1226.0,1218.0,1219.0,21366.61148015,26113422.21991343
2026-05-19 00:00:00,1219.0,1225.0,1215.0,1225.0,36571.04486234,44553871.30453844
2026-05-19 00:15:00,1224.0,1224.0,1210.0,1215.0,38086.51886744,46356488.50226422
2026-05-19 00:30:00,1215.0,1223.0,1211.0,1222.0,21653.21586111,26388123.19336766
2026-05-19 00:45:00,1220.0,1226.0,1218.0,1224.0,34362.07230583,41973588.69321459
2026-05-19 01:00:00,1224.0,1224.0,1218.0,1218.0,7231.79821132,8830118.5912258
2026-05-19 01:15:00,1219.0,1223.0,1219.0,1219.0,452.19255251,552291.02164013
2026-05-19 01:30:00,1219.0,1220.0,1213.0,1220.0,11341.93160266,13807332.87917076
2026-05-19 01:45:00,1224.0,1235.0,1224.0,1234.0,17981.19867933,22145037.91277817
2026-05-19 02:00:00,1232.0,1232.0,1221.0,1221.0,11615.32949943,14245574.38605038
2026-05-19 02:15:00,1227.0,1227.0,1218.0,1219.0,6780.05592875,8313383.93910894
2026-05-19 02:30:00,1219.0,1220.0,1218.0,1218.0,1101.44239929,1342431.32248299
2026-05-19 02:45:00,1216.0,1219.0,1212.0,1216.0,34105.84404289,41431183.43881535
2026-05-19 03:00:00,1216.0,1218.0,1211.0,1215.0,12649.63046599,15329545.6334975
2026-05-19 03:15:00,1215.0,1216.0,1213.0,1214.0,11254.15831856,13663458.51578627
2026-05-19 03:45:00,1218.0,1219.0,1212.0,1212.0,2319.69615487,2821425.6011501
2026-05-19 04:00:00,1219.0,1219.0,1219.0,1219.0,4.26579163,5199.99999697
2026-05-19 04:30:00,1219.0,1219.0,1216.0,1218.0,12222.41432772,14864734.77669638
2026-05-19 04:45:00,1218.0,1220.0,1218.0,1220.0,237.16187321,289089.27253987
2026-05-19 05:00:00,1220.0,1220.0,1219.0,1220.0,692.20919607,844224.50550565
2026-05-19 05:15:00,1220.0,1223.0,1220.0,1223.0,8287.28373074,10118786.51021532
2026-05-19 05:30:00,1223.0,1223.0,1220.0,1220.0,10730.78715795,13092902.57269457
2026-05-19 05:45:00,1220.0,1220.0,1213.0,1215.0,22192.90738267,27012640.87207603
2026-05-19 06:00:00,1215.0,1218.0,1210.0,1218.0,8595.08689307,10433440.48427077
2026-05-19 06:15:00,1224.0,1237.0,1224.0,1229.0,13905.18153655,17082748.24649751
2026-05-19 06:30:00,1230.0,1232.0,1224.0,1224.0,1025.60434653,1260555.73603386
2026-05-19 06:45:00,1224.0,1224.0,1222.0,1222.0,3874.57947942,4736143.01828536
2026-05-19 07:00:00,1226.0,1231.0,1223.0,1229.0,15887.32172735,19450173.09442844
2026-05-19 07:15:00,1229.0,1234.0,1229.0,1229.0,12593.80091934,15521432.2086638
2026-05-19 07:30:00,1230.0,1230.0,1215.0,1215.0,54112.79561137,66126696.58052518
2026-05-19 07:45:00,1219.0,1219.0,1208.0,1208.0,23669.66617453,28713539.36309569
2026-05-19 08:00:00,1213.0,1217.0,1213.0,1216.0,28630.25861577,34783535.51551877
2026-05-19 08:15:00,1219.0,1221.0,1217.0,1218.0,17760.49253452,21641573.82116188
2026-05-19 08:30:00,1218.0,1220.0,1216.0,1220.0,8426.48458537,10259294.43987183
2026-05-19 08:45:00,1218.0,1219.0,1215.0,1215.0,14786.42579088,17982878.24750659
2026-05-19 09:00:00,1214.0,1225.0,1213.0,1213.0,42389.46265043,51608576.94966308
2026-05-19 09:15:00,1212.0,1214.0,1206.0,1208.0,53399.27177334,64624553.43181983
2026-05-19 09:30:00,1211.0,1222.0,1211.0,1219.0,36675.70360082,44618258.95957184
2026-05-19 09:45:00,1219.0,1230.0,1219.0,1229.0,27193.48980742,33261476.21838879
2026-05-19 10:00:00,1228.0,1231.0,1225.0,1231.0,14115.55918061,17320721.58570417
2026-05-19 10:15:00,1231.0,1235.0,1223.0,1234.0,29617.62880897,36439343.42898377
2026-05-19 10:30:00,1235.0,1257.0,1235.0,1242.0,353921.75604032,441264682.7538531
2026-05-19 10:45:00,1242.0,1248.0,1228.0,1240.0,212814.2734517,263246722.3669854
2026-05-19 11:00:00,1240.0,1249.0,1233.0,1240.0,91909.57783135,114001322.40011398
2026-05-19 11:15:00,1241.0,1258.0,1236.0,1258.0,124045.36744849,154135185.31446415
2026-05-19 11:30:00,1259.0,1270.0,1246.0,1248.0,362388.51649985,457612370.53562707
2026-05-19 11:45:00,1250.0,1261.0,1250.0,1257.0,66626.30520048,83623334.56137319
2026-05-19 12:00:00,1256.0,1274.0,1252.0,1267.0,122231.33873962,154736211.6302215
2026-05-19 12:15:00,1267.0,1276.0,1262.0,1269.0,70206.9419495,89052272.25024787
2026-05-19 12:30:00,1269.0,1272.0,1260.0,1264.0,92501.0379251,117036756.97745107
2026-05-19 12:45:00,1264.0,1264.0,1239.0,1247.0,105381.13640162,131767889.73740591
2026-05-19 13:00:00,1247.0,1258.0,1244.0,1258.0,40470.97426804,50605258.69862215
2026-05-19 13:15:00,1258.0,1267.0,1250.0,1250.0,27078.18852031,34048475.00471415
2026-05-19 13:30:00,1251.0,1261.0,1246.0,1258.0,60523.07332389,75681677.16403174
2026-05-19 13:45:00,1258.0,1275.0,1251.0,1274.0,33641.78431345,42490204.03839269
