,open,high,low,close,volume,value
2026-05-15 14:30:00,19.2,19.2,18.8,19.0,1185258.29809647,22454314.19838668
2026-05-15 14:45:00,18.9,18.9,18.8,18.9,3314746.52228999,62377398.56419091
2026-05-15 15:00:00,18.8,18.9,18.8,18.8,1556868.02368123,29300304.57670425
2026-05-15 15:15:00,18.8,18.8,18.7,18.7,1190459.1957238,22322204.61792976
2026-05-15 15:30:00,18.8,19.0,18.8,18.9,30638.16761428,578208.07746425
2026-05-15 15:45:00,19.0,19.0,19.0,19.0,847593.83071618,16104282.78360742
2026-05-15 16:00:00,19.0,19.0,19.0,19.0,2631.57894736,49999.99999984
2026-05-15 16:15:00,19.0,19.1,18.9,19.1,224640.87650135,4271597.18953231
2026-05-15 16:30:00,19.1,19.1,19.0,19.0,1363240.32363453,25992670.3718138
2026-05-15 16:45:00,19.0,19.0,18.9,18.9,143029.42105263,2706958.99999997
2026-05-15 17:00:00,18.9,18.9,18.9,18.9,397942.47355527,7521112.7501946
2026-05-15 17:15:00,18.8,18.8,18.7,18.7,1229517.04591485,23014920.46319918
2026-05-15 17:30:00,18.7,18.8,18.6,18.7,1263196.91241818,23525974.09283433
2026-05-15 17:45:00,18.7,18.8,18.6,18.6,1394819.18362203,25956988.16427179
2026-05-15 18:00:00,18.6,18.6,18.5,18.5,3405387.35975913,63159006.23590957
2026-05-15 18:15:00,18.5,18.6,18.5,18.6,2853205.1772512,53017776.73061188
2026-05-15 18:30:00,18.6,18.6,18.6,18.6,1612.90322581,30000.00000007
2026-05-15 18:45:00,18.7,18.7,18.7,18.7,1367042.24905694,25563690.05736478
2026-05-15 19:00:00,18.7,18.7,18.7,18.7,32498.70320721,607725.74997483
2026-05-15 19:15:00,18.7,18.7,18.6,18.6,527168.928522,9806945.5468459
2026-05-15 19:30:00,18.6,18.8,18.6,18.7,2017840.12903839,37722202.9455686
2026-05-15 19:45:00,18.7,18.8,18.7,18.7,95384.53935223,1789903.07930394
2026-05-15 20:00:00,18.8,18.8,18.8,18.8,165528.0338554,3111927.03648152
2026-05-15 20:15:00,18.7,18.7,18.7,18.7,160558.88491923,3002451.1479896
2026-05-15 20:30:00,18.8,18.8,18.7,18.7,2233079.10499321,41908810.53535025
2026-05-15 20:45:00,18.7,18.7,18.6,18.7,227054.57534099,4241152.76988143
2026-05-15 21:00:00,18.7,18.7,18.6,18.6,1901914.00687349,35375627.31929076
2026-05-15 21:15:00,18.6,18.7,18.6,18.7,36968.43984364,689691.67093128
2026-05-15 21:30:00,18.7,18.7,18.7,18.7,108098.10214643,2021434.51013824
2026-05-15 21:45:00,18.7,18.7,18.6,18.6,79370.71185847,1476482.40634294
2026-05-15 22:00:00,18.6,18.6,18.2,18.3,8554305.69034506,156371775.64905706
2026-05-15 22:15:00,18.4,18.4,18.3,18.3,186858.8222404,3433026.27019405
2026-05-15 22:30:00,18.4,18.4,18.1,18.1,2869050.74720855,52107166.35015235
2026-05-15 22:45:00,18.1,18.3,17.9,18.0,7165271.1649757,129242573.18113618
2026-05-15 23:00:00,17.9,18.0,17.8,18.0,3302701.65110994,59266037.0614067
2026-05-15 23:15:00,18.1,18.2,17.9,17.9,3583631.26777643,64920056.7480027
2026-05-15 23:30:00,17.9,18.0,17.9,18.0,430567.45861285,7711754.73139224
2026-05-15 23:45:00,17.9,18.0,17.8,18.0,1554226.17714186,27828849.25965656
2026-05-16 00:00:00,17.9,18.0,17.9,18.0,83713.71857271,1506307.67417342
2026-05-16 00:15:00,17.9,17.9,17.8,17.9,112860.68662583,2019817.40171347
2026-05-16 00:30:00,17.9,17.9,17.8,17.8,552855.76856949,9841282.68053692
2026-05-16 00:45:00,17.7,17.8,17.7,17.8,364292.86558437,6465681.27271047
2026-05-16 01:00:00,17.9,17.9,17.7,17.7,618420.19401575,11050605.86708919
2026-05-16 01:15:00,17.9,18.0,17.9,18.0,121347.5811,2173256.4598
2026-05-16 01:30:00,18.0,18.1,18.0,18.1,389093.65256413,7003768.89532561
2026-05-16 01:45:00,18.0,18.1,18.0,18.1,710469.86129035,12859404.48935534
2026-05-16 02:00:00,18.1,18.1,18.1,18.1,531.06043663,9612.193903
