,open,high,low,close,volume,value
2026-05-13 06:45:00,18.4,18.5,18.4,18.5,186714.09523656,3452348.73484669
2026-05-13 07:00:00,18.5,18.6,18.4,18.6,998555.88569336,18501599.32754797
2026-05-13 07:15:00,18.5,18.5,18.4,18.4,308590.23321276,5684003.58764372
2026-05-13 07:30:00,18.5,18.5,18.4,18.5,519527.09869541,9589857.9680149
2026-05-13 07:45:00,18.5,18.6,18.4,18.4,502803.72586058,9279291.34686986
2026-05-13 08:00:00,18.5,18.5,18.4,18.5,544380.75335392,10070972.74313628
2026-05-13 08:15:00,18.5,18.5,18.5,18.5,22747.7612545,420833.58320825
2026-05-13 08:30:00,18.5,18.5,18.4,18.4,566303.8283266,10426522.08932211
2026-05-13 08:45:00,18.4,18.6,18.4,18.4,1105171.76932288,20418632.94789669
2026-05-13 09:00:00,18.6,18.7,18.3,18.5,5543947.00764347,102454664.95608453
2026-05-13 09:15:00,18.5,18.5,18.3,18.4,1985250.42587,36414667.86849109
2026-05-13 09:30:00,18.4,18.4,18.2,18.3,3987287.42403893,72742659.79361936
2026-05-13 09:45:00,18.2,18.2,18.1,18.2,2875528.65802981,52094847.50187785
2026-05-13 10:00:00,18.2,18.2,18.0,18.2,1573261.54014337,28489578.45813847
2026-05-13 10:15:00,18.1,18.2,18.1,18.2,948859.18446374,17225944.79866765
2026-05-13 10:30:00,18.1,18.2,18.1,18.2,433873.73710255,7864067.22060015
2026-05-13 10:45:00,18.2,18.4,18.2,18.4,687912.84299651,12587020.758675
2026-05-13 11:00:00,18.4,18.4,18.1,18.3,1098140.07013578,20019959.6819938
2026-05-13 11:15:00,18.2,18.2,18.1,18.1,483593.48773587,8773651.71259717
2026-05-13 11:30:00,18.1,18.3,18.1,18.3,777773.50448707,14190131.31479697
2026-05-13 11:45:00,18.2,18.3,18.2,18.2,147973.42378566,2705973.56836144
2026-05-13 12:00:00,18.2,18.3,18.1,18.2,850251.86715982,15474554.27140992
2026-05-13 12:15:00,18.2,18.3,18.1,18.3,478588.57375204,8710965.96802545
2026-05-13 12:30:00,18.3,18.3,18.2,18.3,292374.8119464,5350324.22847359
2026-05-13 12:45:00,18.3,18.3,18.1,18.2,584744.75492369,10647842.43117632
2026-05-13 13:00:00,18.1,18.2,18.1,18.1,768059.39013942,13910123.04627233
2026-05-13 13:15:00,18.1,18.2,18.1,18.1,1876628.26526121,34013336.10613397
2026-05-13 13:30:00,18.2,18.3,18.1,18.3,377188.32317619,6876173.69720307
2026-05-13 13:45:00,18.3,18.3,18.1,18.2,1022152.19745624,18600058.22658269
2026-05-13 14:00:00,18.1,18.2,18.1,18.2,804108.586962,14627110.19962519
2026-05-13 14:15:00,18.3,18.3,18.1,18.2,445331.58520803,8101225.54687695
2026-05-13 14:30:00,18.1,18.3,18.1,18.2,519101.0265063,9411659.81728988
2026-05-13 14:45:00,18.2,18.2,18.1,18.2,412733.57500682,7497328.02977006
2026-05-13 15:00:00,18.2,18.2,18.2,18.2,21967.03845879,399800.09994998
2026-05-13 15:15:00,18.1,18.2,18.1,18.2,67443.57305788,1220783.56248498
2026-05-13 15:30:00,18.2,18.2,18.1,18.1,1888185.08224494,34182081.24827832
2026-05-13 15:45:00,18.1,18.1,18.1,18.1,1416782.07717132,25643755.59680089
2026-05-13 16:00:00,18.1,18.1,18.0,18.0,257616.33695942,4639294.96982733
2026-05-13 16:15:00,18.0,18.1,18.0,18.0,600581.5517867,10818102.87711906
2026-05-13 16:30:00,18.0,18.1,17.9,18.0,3581322.25265709,64450630.95917602
2026-05-13 16:45:00,18.0,18.1,18.0,18.1,1817272.92266578,32716492.729531
2026-05-13 17:00:00,18.1,18.1,18.0,18.0,320599.08108327,5791990.49878677
2026-05-13 17:15:00,18.1,18.1,18.0,18.1,514142.47718425,9274438.7771618
2026-05-13 17:30:00,18.0,18.1,18.0,18.1,430883.87718593,7775704.92301629
2026-05-13 17:45:00,18.0,18.1,18.0,18.0,470785.53451759,8487946.25391192
2026-05-13 18:00:00,18.0,18.0,18.0,18.0,2018775.09255997,36337951.66607946
2026-05-13 18:15:00,18.0,18.0,17.9,18.0,803494.95235179,14461989.46889137
2026-05-13 18:30:00,18.0,18.1,18.0,18.0,325805.61316687,5864556.28562244
2026-05-13 18:45:00,18.0,18.1,17.9,18.0,679998.7981416,12242852.68138525
2026-05-13 19:00:00,18.0,18.1,18.0,18.0,1687995.43903093,30405211.03435425
2026-05-13 19:15:00,18.0,18.0,17.9,18.0,409710.20909234,7347475.01366553
2026-05-13 19:30:00,18.0,18.0,17.9,17.9,2287442.36086706,40991630.64674874
2026-05-13 19:45:00,17.9,18.0,17.9,18.0,1196191.46446989,21411885.21401103
2026-05-13 20:00:00,18.0,18.0,17.9,17.9,441504.25447685,7902992.82180228
2026-05-13 20:15:00,18.0,18.0,17.9,18.0,66958.64249155,1204817.46304319
2026-05-13 20:30:00,17.9,18.0,17.9,17.9,1051021.77581605,18814767.02887491
2026-05-13 20:45:00,17.9,18.0,17.9,17.9,419348.99066976,7510832.25450017
2026-05-13 21:00:00,17.9,18.0,17.8,17.9,966974.37512192,17325170.99416841
2026-05-13 21:15:00,17.9,17.9,17.8,17.8,1045875.30006573,18629022.52025131
2026-05-13 21:30:00,17.8,17.9,17.8,17.8,1999194.89258733,35588478.07681852
2026-05-13 21:45:00,17.8,17.9,17.8,17.9,811036.23661078,14439586.43749435
2026-05-13 22:00:00,17.9,17.9,17.9,17.9,452.40223463,8097.99999988
2026-05-13 22:15:00,17.8,17.9,17.7,17.9,352976.06815197,6277939.3191335
2026-05-13 22:30:00,17.8,17.8,17.7,17.8,745362.29680816,13234501.24908179
2026-05-13 22:45:00,17.8,17.8,17.7,17.8,1874840.47594233,33188023.42731407
2026-05-13 23:00:00,17.7,17.8,17.6,17.8,2416251.00151092,42629799.52845998
2026-05-13 23:15:00,17.8,17.8,17.6,17.8,892294.02967366,15769003.04918716
2026-05-13 23:30:00,17.8,17.8,17.6,17.8,1428484.30353517,25399493.28091576
2026-05-13 23:45:00,17.7,17.7,17.6,17.6,556295.08074618,9817604.55906662
2026-05-14 00:00:00,17.7,17.7,17.6,17.7,440821.82361048,7801849.76970878
2026-05-14 00:15:00,17.6,17.6,17.6,17.6,431251.89016972,7590033.26698707
2026-05-14 00:30:00,17.7,17.7,17.6,17.7,678839.49999968,11962376.64930361
2026-05-14 00:45:00,17.7,17.7,17.6,17.6,220352.82379685,3895062.89653361
2026-05-14 01:00:00,17.7,17.7,17.6,17.6,209448.03647988,3686785.44204589
2026-05-14 01:15:00,17.6,17.6,17.6,17.6,617040.35094655,10859910.17665928
2026-05-14 01:30:00,17.6,17.6,17.6,17.6,454442.91860105,7998195.36737848
2026-05-14 01:45:00,17.6,17.6,17.5,17.6,93350.17945659,1640106.01557884
2026-05-14 02:00:00,17.5,17.6,17.5,17.6,228469.78735979,4018180.8303235
2026-05-14 02:15:00,17.5,17.5,17.5,17.5,1000.0,17500.0
2026-05-14 02:30:00,17.6,17.6,17.5,17.5,8819.00492071,154929.18270333
2026-05-14 02:45:00,17.6,17.7,17.6,17.6,333852.40313364,5875832.99543615
2026-05-14 03:00:00,17.6,17.6,17.6,17.6,57102.27272727,1004999.99999995
2026-05-14 03:15:00,17.6,17.6,17.6,17.6,17833.3920426,313867.69994976
2026-05-14 03:30:00,17.5,17.5,17.5,17.5,334919.58100691,5861092.66762093
2026-05-14 03:45:00,17.6,17.6,17.6,17.6,88298.21604459,1554048.60238478
2026-05-14 04:00:00,17.6,17.6,17.5,17.5,26412.08015543,464798.93073557
2026-05-14 04:30:00,17.5,17.5,17.5,17.5,1515402.05111018,26519535.89442815
2026-05-14 04:45:00,17.5,17.5,17.5,17.5,70364.16168323,1231372.82945653
2026-05-14 05:00:00,17.5,17.6,17.5,17.6,99700.82587879,1745382.34563983
2026-05-14 05:15:00,17.5,17.6,17.4,17.4,600052.30404693,10502613.90064662
2026-05-14 05:30:00,17.5,17.6,17.5,17.6,14632.75313258,256425.61877145
2026-05-14 05:45:00,17.6,17.7,17.5,17.6,159324.48809015,2803738.81969451
2026-05-14 06:00:00,17.6,17.6,17.5,17.5,27221.20685847,478986.96202055
2026-05-14 06:15:00,17.6,17.7,17.6,17.7,149479.73917582,2632363.80358044
2026-05-14 06:30:00,17.6,17.7,17.6,17.6,82586.59850628,1453552.38794782
2026-05-14 06:45:00,17.6,17.7,17.6,17.6,156818.18181818,2764623.75479853
2026-05-14 07:00:00,17.6,17.7,17.6,17.7,54972.0143324,972324.32061182
2026-05-14 07:15:00,17.7,17.7,17.6,17.6,101835.36918381,1793002.49763506
2026-05-14 07:30:00,17.6,17.7,17.6,17.7,55437.23195592,975751.77959933
2026-05-14 07:45:00,17.7,17.7,17.7,17.7,107026.65333998,1894371.76411765
2026-05-14 08:00:00,17.7,17.7,17.6,17.7,626994.1196008,11097474.17624097
2026-05-14 08:15:00,17.8,17.8,17.7,17.7,131190.78554709,2322878.0541703
2026-05-14 08:30:00,17.7,17.7,17.6,17.6,133037.80018028,2352066.36048825
2026-05-14 08:45:00,17.7,17.8,17.6,17.6,264004.09634895,4647188.14068534
2026-05-14 09:00:00,17.7,18.0,17.6,17.7,5546760.17024825,98591408.16947484
2026-05-14 09:15:00,17.6,17.8,17.1,17.5,9380572.47878094,163162491.60993552
2026-05-14 09:30:00,17.5,17.7,17.3,17.6,1195224.73225959,20911293.78767399
2026-05-14 09:45:00,17.7,17.7,17.4,17.5,2380144.88455483,41664972.37158405
2026-05-14 10:00:00,17.5,17.6,17.3,17.6,1430818.07398787,24942287.05298527
2026-05-14 10:15:00,17.4,17.5,17.4,17.5,93433.75427946,1625804.1994626
2026-05-14 10:30:00,17.5,17.5,17.4,17.5,966788.6722771,16913620.8756149
2026-05-14 10:45:00,17.4,17.4,17.3,17.3,601378.1766622,10430921.83462223
2026-05-14 11:00:00,17.4,17.4,17.4,17.4,344147.69917276,5988169.96560602
2026-05-14 11:15:00,17.4,17.5,17.4,17.5,180302.00704256,3153862.03468841
2026-05-14 11:30:00,17.5,17.6,17.4,17.6,138658.45959594,2435504.7435311
2026-05-14 11:45:00,17.5,17.5,17.5,17.5,20027.2131,350476.22925
2026-05-14 12:00:00,17.6,17.6,17.3,17.3,1371434.47524572,23916690.91137719
2026-05-14 12:15:00,17.3,17.3,17.2,17.3,1096862.32573285,18922718.23517831
2026-05-14 12:30:00,17.3,17.3,17.2,17.2,36718.68095628,631787.89279946
2026-05-14 12:45:00,17.2,17.2,17.1,17.2,686290.3887652,11789515.98697514
2026-05-14 13:00:00,17.2,17.2,17.1,17.1,125166.54055418,2152806.01799973
2026-05-14 13:15:00,17.1,17.3,17.1,17.3,175384.26203341,3016299.80621164
2026-05-14 13:30:00,17.3,17.3,17.2,17.2,324971.65946609,5590668.61218091
2026-05-14 13:45:00,17.2,17.3,17.2,17.3,796423.91183946,13743512.82304438
