,open,high,low,close,volume,value
2026-05-16 07:15:00,81.3,81.7,81.2,81.7,807713.15552634,65786422.6778085
2026-05-16 07:30:00,81.7,81.9,81.6,81.9,555248.57933509,45366713.09064694
2026-05-16 07:45:00,81.9,82.1,81.7,81.7,780612.16225413,63947968.25065564
2026-05-16 08:00:00,81.7,82.2,81.7,82.1,765638.32028288,62832587.54190542
2026-05-16 08:15:00,82.1,82.3,82.0,82.2,973611.52496155,80027999.81674558
2026-05-16 08:30:00,82.2,82.7,82.2,82.6,1468414.68599812,121096414.39394581
2026-05-16 08:45:00,82.6,82.7,82.0,82.4,3152710.86471322,260006083.72922322
2026-05-16 09:00:00,82.4,86.5,80.5,86.4,48907390.12853782,4130552124.1583085
2026-05-16 09:15:00,86.5,86.9,84.3,86.1,20971119.89877746,1795762538.4226062
2026-05-16 09:30:00,86.1,88.7,84.8,87.8,37760924.89823726,3293522246.3266654
2026-05-16 09:45:00,87.6,92.2,87.5,91.1,47378295.74753942,4254689979.4238777
2026-05-16 10:00:00,91.1,92.2,88.7,92.0,30043081.23728461,2721872787.841091
2026-05-16 10:15:00,92.0,92.1,87.4,87.4,26219339.12598684,2356639449.627261
2026-05-16 10:30:00,87.6,88.0,85.5,86.8,21930957.58271664,1904502204.664899
2026-05-16 10:45:00,86.8,87.5,85.9,86.7,9031266.99795638,783832869.9856749
2026-05-16 11:00:00,86.7,86.8,83.0,83.9,16269621.42324027,1372796408.889537
2026-05-16 11:15:00,83.9,84.2,83.4,83.9,3075103.5349322,257814458.48006323
2026-05-16 11:30:00,83.8,83.8,81.4,83.1,9359665.91860475,770507811.417296
2026-05-16 11:45:00,83.1,83.4,82.4,82.8,2852678.65530721,236221783.3605151
2026-05-16 12:00:00,82.8,83.4,82.7,83.0,1907618.34992028,158510670.03369197
2026-05-16 12:15:00,83.0,83.3,82.7,83.0,1274243.14306922,105751579.88028002
2026-05-16 12:30:00,83.0,83.9,83.0,83.6,1804633.37099625,150872229.95184833
2026-05-16 12:45:00,83.5,84.0,83.5,83.9,1450220.99567893,121439527.98803492
2026-05-16 13:00:00,83.8,84.5,83.1,83.1,2894590.06965717,242192990.305661
2026-05-16 13:15:00,83.1,84.7,83.0,84.2,3882566.54834816,327516149.0765927
2026-05-16 13:30:00,84.2,86.7,84.2,86.2,8509212.80184712,729570419.8486499
2026-05-16 13:45:00,86.4,87.1,84.6,84.7,7751184.84910675,667364661.5998765
2026-05-16 14:00:00,84.7,85.3,84.2,85.2,2514351.54086996,213218635.92076537
2026-05-16 14:15:00,85.2,86.9,85.2,85.7,3892395.40309847,335061627.66246754
2026-05-16 14:30:00,85.8,85.8,84.4,84.6,3607978.09402083,306588723.39074636
2026-05-16 14:45:00,84.5,85.2,84.1,84.4,2476223.36196245,209591517.62484676
2026-05-16 15:00:00,84.4,85.1,84.2,84.3,1512960.54638008,128046463.09051235
2026-05-16 15:15:00,84.2,84.8,83.5,83.9,2193099.86157601,184361317.58804664
2026-05-16 15:30:00,83.8,84.3,83.7,84.2,1225937.81502887,102971815.21522479
2026-05-16 15:45:00,84.3,84.9,83.9,83.9,1511814.43963026,127339659.09933712
2026-05-16 16:00:00,83.9,84.0,82.2,82.3,3786908.31536648,314631006.088155
2026-05-16 16:15:00,82.3,83.3,82.2,82.9,2322182.64704043,192037120.76307392
2026-05-16 16:30:00,82.9,84.0,82.9,84.0,1966695.47802158,164096855.98459098
2026-05-16 16:45:00,83.9,83.9,82.4,82.5,3886113.86686232,321960384.13571465
2026-05-16 17:00:00,82.5,83.2,82.4,83.0,1206627.91978632,99911091.1082178
2026-05-16 17:15:00,83.1,83.8,82.7,83.2,1277565.01124202,106213411.37151974
2026-05-16 17:30:00,83.2,83.6,82.8,83.2,1161324.08219196,96709291.72359928
2026-05-16 17:45:00,83.2,83.2,82.8,82.9,495270.48040011,41063601.21592833
2026-05-16 18:00:00,82.9,83.3,82.8,82.9,631609.99005017,52383110.71223908
2026-05-16 18:15:00,82.9,82.9,82.2,82.6,1824018.52372774,150448982.3243478
2026-05-16 18:30:00,82.6,83.9,82.6,83.8,2286057.9577308,190777191.89482906
2026-05-16 18:45:00,83.8,84.0,83.2,83.8,906838.54417309,75799288.27164036
2026-05-16 19:00:00,83.8,84.0,83.5,84.0,1444969.49866492,121137892.24254014
2026-05-16 19:15:00,84.0,84.2,83.6,83.9,1355542.4398853,113919069.17033689
2026-05-16 19:30:00,83.9,84.0,83.6,83.6,1422365.12986726,119175402.94511339
2026-05-16 19:45:00,83.6,84.2,83.0,83.8,2425685.31929234,203178508.64134794
2026-05-16 20:00:00,83.8,84.5,83.8,84.5,839987.61602758,70759500.82737961
2026-05-16 20:15:00,84.3,84.5,83.9,84.0,909437.66643387,76565313.75735441
2026-05-16 20:30:00,84.2,84.4,84.1,84.4,1094287.98495664,92268147.02982764
2026-05-16 20:45:00,84.3,84.4,83.8,84.2,1024935.20324404,86270691.08740443
2026-05-16 21:00:00,84.1,84.9,83.9,84.8,2399173.01720898,202996618.53983626
2026-05-16 21:15:00,84.8,84.8,83.8,83.8,1468904.62340323,123827331.51969877
