,open,high,low,close,volume,value
2026-05-16 14:15:00,311.0,311.0,310.0,311.0,93905.15105662,29128203.22628079
2026-05-16 14:30:00,310.0,311.0,308.0,310.0,117702.68076466,36377604.91043699
2026-05-16 14:45:00,310.0,310.0,307.0,307.0,152775.79429768,46985067.23839974
2026-05-16 15:00:00,307.0,309.0,306.0,306.0,132601.89996549,40802342.00159276
2026-05-16 15:15:00,306.0,309.0,306.0,308.0,172990.6248915,53027579.1341222
2026-05-16 15:30:00,307.0,308.0,307.0,308.0,100873.98141565,30992419.53660435
2026-05-16 15:45:00,308.0,309.0,307.0,308.0,82747.17149891,25464843.897886
2026-05-16 16:00:00,308.0,308.0,301.0,302.0,426914.28671843,130079517.65656678
2026-05-16 16:15:00,302.0,305.0,301.0,305.0,208970.55739897,63163380.75118803
2026-05-16 16:30:00,304.0,305.0,303.0,305.0,155402.95541214,47200572.59843316
2026-05-16 16:45:00,305.0,306.0,303.0,303.0,75528.6230473,22964158.61269626
2026-05-16 17:00:00,303.0,305.0,303.0,305.0,101072.45767497,30662197.39003449
2026-05-16 17:15:00,304.0,304.0,302.0,302.0,53725.29266031,16233073.3991516
2026-05-16 17:30:00,302.0,304.0,302.0,304.0,114132.83384178,34581503.92261913
2026-05-16 17:45:00,303.0,303.0,300.0,302.0,328864.54037753,98964201.65261808
2026-05-16 18:00:00,302.0,302.0,299.0,299.0,237406.9283607,71336672.04245207
2026-05-16 18:15:00,299.0,301.0,297.0,297.0,309062.54728968,92191446.76405217
2026-05-16 18:30:00,298.0,299.0,297.0,298.0,208663.87268514,62248101.66291089
2026-05-16 18:45:00,299.0,300.0,298.0,298.0,135742.00552337,40507892.51811224
2026-05-16 19:00:00,298.0,298.0,293.0,295.0,499259.26398612,147637443.34312052
2026-05-16 19:15:00,294.0,297.0,294.0,297.0,73463.54134833,21702108.86460194
2026-05-16 19:30:00,297.0,297.0,295.0,296.0,48370.67978824,14295895.59170943
2026-05-16 19:45:00,296.0,297.0,296.0,297.0,36010.63138237,10663625.94372697
2026-05-16 20:00:00,296.0,299.0,296.0,298.0,58845.32452211,17537537.43944839
2026-05-16 20:15:00,298.0,300.0,298.0,300.0,74648.67723985,22288181.99259986
2026-05-16 20:30:00,300.0,300.0,299.0,299.0,43515.2733028,13011233.38420386
2026-05-16 20:45:00,299.0,299.0,298.0,298.0,24479.6496909,7314413.57015337
2026-05-16 21:00:00,298.0,300.0,298.0,299.0,17454.28342161,5232742.73797554
2026-05-16 21:15:00,299.0,300.0,299.0,299.0,20152.28664232,6025567.03938701
2026-05-16 21:30:00,299.0,299.0,298.0,298.0,6843.67486323,2040363.91504031
2026-05-16 21:45:00,298.0,299.0,298.0,299.0,105845.93495889,31554882.27573364
2026-05-16 22:00:00,299.0,299.0,298.0,298.0,37366.21663756,11160016.65307172
2026-05-16 22:15:00,300.0,301.0,300.0,300.0,52924.09534221,15888513.28696842
2026-05-16 22:30:00,300.0,302.0,300.0,301.0,97962.65865719,29457334.74474967
2026-05-16 22:45:00,301.0,301.0,300.0,301.0,11322.43192448,3397516.36589195
2026-05-16 23:00:00,301.0,301.0,299.0,299.0,50363.74654661,15104973.79963412
2026-05-16 23:15:00,299.0,300.0,298.0,299.0,30602.97234083,9121779.01578493
2026-05-16 23:30:00,299.0,301.0,299.0,300.0,78572.88042643,23555711.36713164
2026-05-16 23:45:00,300.0,301.0,300.0,301.0,65362.10861654,19646688.48834785
2026-05-17 00:00:00,301.0,303.0,301.0,303.0,41146.84730853,12451443.87730522
2026-05-17 00:15:00,304.0,304.0,302.0,304.0,40326.70872832,12221725.40346658
2026-05-17 00:30:00,304.0,305.0,304.0,305.0,95351.25420618,29040697.15146284
2026-05-17 00:45:00,304.0,305.0,303.0,305.0,71452.74351614,21708134.97365489
2026-05-17 01:00:00,305.0,305.0,304.0,305.0,33481.27248592,10178477.95715566
2026-05-17 01:15:00,305.0,306.0,305.0,305.0,48056.43785777,14662694.27734069
2026-05-17 01:30:00,305.0,307.0,305.0,306.0,117229.34175131,35912293.42445716
2026-05-17 01:45:00,305.0,306.0,304.0,304.0,5208.81373702,1586138.08729307
2026-05-17 02:00:00,305.0,306.0,305.0,305.0,8671.36969732,2646564.85000286
2026-05-17 02:15:00,305.0,305.0,305.0,305.0,258.04735746,78704.4440253
2026-05-17 02:45:00,305.0,305.0,304.0,304.0,1273.40068854,388216.99815126
2026-05-17 03:00:00,304.0,306.0,304.0,306.0,84702.17146401,25815156.20572531
2026-05-17 03:15:00,306.0,306.0,304.0,305.0,18967.16710976,5778430.2665184
2026-05-17 03:30:00,305.0,306.0,304.0,306.0,3334.86451442,1017415.128047
2026-05-17 03:45:00,305.0,305.0,304.0,304.0,13389.40495437,4073134.6110465
2026-05-17 04:00:00,303.0,303.0,302.0,302.0,25966.81653895,7857029.47697863
2026-05-17 05:00:00,303.0,303.0,303.0,303.0,6924.55427915,2098139.94658245
