,open,high,low,close,volume,value
2026-05-17 10:00:00,1103.0,1120.0,1102.0,1117.0,157194.67735758,174628489.54112715
2026-05-17 10:15:00,1116.0,1121.0,1106.0,1110.0,173437.34261771,193035036.30530366
2026-05-17 10:30:00,1110.0,1114.0,1081.0,1084.0,367463.87429615,402852442.51724595
2026-05-17 10:45:00,1084.0,1093.0,1080.0,1087.0,290141.7602148,314876290.02980155
2026-05-17 11:00:00,1087.0,1088.0,1081.0,1083.0,146815.29254611,159074802.5494038
2026-05-17 11:15:00,1083.0,1087.0,1081.0,1085.0,63681.13092879,68980564.81593955
2026-05-17 11:30:00,1086.0,1092.0,1085.0,1090.0,56111.50095702,61086090.7253345
2026-05-17 11:45:00,1090.0,1090.0,1083.0,1088.0,84158.99071552,91430721.69366054
2026-05-17 12:00:00,1089.0,1091.0,1085.0,1086.0,35253.59725691,38318055.24715126
2026-05-17 12:15:00,1085.0,1089.0,1085.0,1086.0,35652.86201509,38728367.53359098
2026-05-17 12:30:00,1086.0,1092.0,1086.0,1089.0,39916.83243308,43492862.22135617
2026-05-17 12:45:00,1089.0,1097.0,1087.0,1092.0,38398.28703494,41893876.81246121
2026-05-17 13:00:00,1092.0,1121.0,1092.0,1114.0,359838.82443881,398724942.89507043
2026-05-17 13:15:00,1113.0,1114.0,1098.0,1100.0,88107.44692599,97198571.5527622
2026-05-17 13:30:00,1101.0,1119.0,1100.0,1110.0,158561.73246234,176192977.88616678
2026-05-17 13:45:00,1109.0,1110.0,1100.0,1101.0,128123.35697143,141718894.2996311
2026-05-17 14:00:00,1105.0,1107.0,1099.0,1103.0,60936.95396355,67189899.64490344
2026-05-17 14:15:00,1103.0,1107.0,1092.0,1096.0,88806.05822391,97484715.52861989
2026-05-17 14:30:00,1097.0,1101.0,1096.0,1101.0,12446.64657168,13669997.27736747
2026-05-17 14:45:00,1100.0,1103.0,1096.0,1103.0,19928.77190509,21872044.48990144
2026-05-17 15:00:00,1103.0,1108.0,1092.0,1095.0,76424.78970684,84132142.60125491
2026-05-17 15:15:00,1095.0,1096.0,1088.0,1093.0,136564.21729785,149047162.7308581
2026-05-17 15:30:00,1092.0,1095.0,1088.0,1088.0,53938.5970973,58902288.20332342
2026-05-17 15:45:00,1088.0,1098.0,1087.0,1090.0,32308.91246591,35264002.35099767
2026-05-17 16:00:00,1091.0,1096.0,1089.0,1095.0,15297.73279713,16689673.98857456
2026-05-17 16:15:00,1093.0,1093.0,1088.0,1089.0,52978.7776189,57714727.00362397
2026-05-17 16:30:00,1088.0,1089.0,1080.0,1080.0,164687.73491878,178321096.0049119
2026-05-17 16:45:00,1081.0,1084.0,1077.0,1082.0,75144.34537566,81190483.5211377
2026-05-17 17:00:00,1082.0,1090.0,1082.0,1090.0,85110.3914144,92510237.16345848
2026-05-17 17:15:00,1090.0,1091.0,1087.0,1087.0,49578.58895227,53986679.94932293
2026-05-17 17:30:00,1087.0,1087.0,1069.0,1071.0,320632.90438373,344961470.35598415
2026-05-17 17:45:00,1071.0,1078.0,1068.0,1077.0,147346.83549353,157970012.38581148
2026-05-17 18:00:00,1078.0,1082.0,1074.0,1079.0,74672.11998344,80478349.78019142
2026-05-17 18:15:00,1079.0,1081.0,1075.0,1081.0,42666.47920606,45927041.183553
2026-05-17 18:30:00,1081.0,1085.0,1080.0,1082.0,26396.26617385,28584200.7698208
2026-05-17 18:45:00,1082.0,1084.0,1079.0,1084.0,37269.86426227,40290180.5567128
2026-05-17 19:00:00,1084.0,1091.0,1082.0,1086.0,82302.78189251,89478729.11196516
2026-05-17 19:15:00,1088.0,1090.0,1086.0,1089.0,48285.92302814,52523367.78752169
2026-05-17 19:30:00,1089.0,1098.0,1086.0,1097.0,107357.16507749,117140356.33583122
2026-05-17 19:45:00,1097.0,1130.0,1096.0,1100.0,404087.12620826,447259060.0068902
2026-05-17 20:00:00,1100.0,1108.0,1096.0,1105.0,111054.54336626,122711104.35675985
2026-05-17 20:15:00,1105.0,1105.0,1096.0,1099.0,102328.92496043,112504818.26770915
2026-05-17 20:30:00,1099.0,1105.0,1098.0,1104.0,55675.10648563,61364928.59445328
2026-05-17 20:45:00,1104.0,1104.0,1089.0,1089.0,81134.88887337,88743746.73548956
2026-05-17 21:00:00,1090.0,1099.0,1090.0,1092.0,58765.749396,64180737.30673352
2026-05-17 21:15:00,1092.0,1095.0,1089.0,1092.0,40660.22800078,44340559.62400946
2026-05-17 21:30:00,1092.0,1093.0,1088.0,1089.0,52438.79323103,57115759.57785961
2026-05-17 21:45:00,1090.0,1090.0,1071.0,1079.0,257550.27800616,278035435.740519
2026-05-17 22:00:00,1080.0,1081.0,1077.0,1080.0,78390.20996997,84555540.55509384
2026-05-17 22:15:00,1080.0,1080.0,1075.0,1078.0,47180.00151785,50795613.62093962
2026-05-17 22:30:00,1078.0,1080.0,1075.0,1079.0,76030.49896452,81901583.02574311
2026-05-17 22:45:00,1079.0,1084.0,1075.0,1076.0,75677.53595701,81676049.94362123
2026-05-17 23:00:00,1076.0,1077.0,1070.0,1072.0,79931.52376104,85828124.05928966
2026-05-17 23:15:00,1072.0,1072.0,1064.0,1070.0,115325.08331919,123174220.32411765
2026-05-17 23:30:00,1070.0,1077.0,1070.0,1073.0,46411.71074735,49760486.43148024
2026-05-17 23:45:00,1074.0,1076.0,1071.0,1073.0,29911.35706174,32073092.57730894
2026-05-18 00:00:00,1073.0,1076.0,1069.0,1072.0,20517.75028615,21995436.97391636
2026-05-18 00:15:00,1070.0,1072.0,1068.0,1069.0,21197.39318488,22684746.35490098
2026-05-18 00:30:00,1069.0,1069.0,1066.0,1068.0,47588.50513871,50797826.57352919
2026-05-18 00:45:00,1068.0,1069.0,1066.0,1066.0,3446.99912139,3682103.73941797
2026-05-18 01:00:00,1069.0,1083.0,1069.0,1070.0,56297.61154401,60529441.85692434
2026-05-18 01:15:00,1070.0,1077.0,1069.0,1069.0,21162.37190611,22678382.37539036
2026-05-18 01:30:00,1069.0,1072.0,1066.0,1072.0,20386.13329627,21782767.40005076
2026-05-18 01:45:00,1071.0,1072.0,1063.0,1066.0,25111.26831847,26814638.02054576
2026-05-18 02:00:00,1065.0,1066.0,1063.0,1066.0,14597.20305543,15548341.18457841
2026-05-18 02:15:00,1065.0,1080.0,1065.0,1080.0,6211.11684321,6664937.13988154
2026-05-18 02:30:00,1076.0,1076.0,1069.0,1074.0,22809.47149085,24511520.06179794
2026-05-18 02:45:00,1079.0,1086.0,1078.0,1084.0,54729.98683143,59271974.77818817
2026-05-18 03:00:00,1085.0,1100.0,1085.0,1100.0,66903.07452699,73197624.24157572
2026-05-18 03:15:00,1100.0,1105.0,1096.0,1105.0,53639.29692858,59027616.51706501
2026-05-18 03:30:00,1099.0,1108.0,1099.0,1106.0,46732.92514989,51606040.10725264
2026-05-18 03:45:00,1108.0,1130.0,1108.0,1113.0,210945.72659303,235773687.24279568
2026-05-18 04:00:00,1116.0,1125.0,1116.0,1119.0,54722.64657949,61347513.31653917
2026-05-18 04:15:00,1120.0,1126.0,1114.0,1120.0,60834.9613557,68200120.99843265
2026-05-18 04:30:00,1127.0,1129.0,1116.0,1119.0,89925.99462992,100852861.66864315
2026-05-18 04:45:00,1119.0,1122.0,1115.0,1119.0,22310.73372109,24969273.01386574
2026-05-18 05:00:00,1119.0,1119.0,1112.0,1119.0,20688.23113031,23065453.41112903
2026-05-18 05:15:00,1115.0,1116.0,1110.0,1110.0,31218.27166567,34695056.39516582
2026-05-18 05:30:00,1110.0,1110.0,1101.0,1104.0,22081.55175514,24420939.48635415
2026-05-18 05:45:00,1104.0,1110.0,1104.0,1110.0,23273.91479894,25799763.10993215
2026-05-18 06:00:00,1110.0,1112.0,1107.0,1107.0,28567.63486324,31689741.11099735
2026-05-18 06:15:00,1107.0,1114.0,1107.0,1112.0,21581.0195847,23920211.09185969
2026-05-18 06:30:00,1112.0,1116.0,1112.0,1116.0,22249.60757395,24808198.55868822
2026-05-18 06:45:00,1117.0,1120.0,1116.0,1117.0,50140.4314727,56079748.94265155
2026-05-18 07:00:00,1117.0,1122.0,1112.0,1112.0,48292.92237204,53994745.22474652
2026-05-18 07:15:00,1112.0,1114.0,1107.0,1109.0,67392.2380203,74815581.6072297
2026-05-18 07:30:00,1111.0,1117.0,1111.0,1113.0,19321.52147192,21549415.18339798
2026-05-18 07:45:00,1117.0,1117.0,1109.0,1109.0,39407.25784827,43844103.23075529
