,open,high,low,close,volume,value
2026-05-12 21:15:00,401.0,401.0,401.0,401.0,24.93765586,9999.99999986
2026-05-12 21:30:00,401.0,401.0,399.0,401.0,11246.57889063,4501338.35791499
2026-05-12 21:45:00,402.0,403.0,402.0,403.0,658.46491563,265199.17399889
2026-05-12 22:00:00,403.0,403.0,403.0,403.0,2877.05294246,1159452.33581138
2026-05-12 22:30:00,404.0,404.0,403.0,404.0,571.08685697,230210.2759594
2026-05-12 22:45:00,404.0,404.0,400.0,400.0,2809.78218746,1129267.70013424
2026-05-12 23:00:00,400.0,403.0,400.0,402.0,6257.96260139,2512754.87239982
2026-05-12 23:15:00,403.0,403.0,400.0,400.0,3753.34914164,1506989.41020181
2026-05-12 23:30:00,400.0,401.0,398.0,399.0,21522.86266331,8581377.66446593
2026-05-12 23:45:00,399.0,399.0,398.0,398.0,11811.54504345,4706042.19125135
2026-05-13 00:15:00,399.0,399.0,398.0,398.0,5781.26943632,2302646.52409168
2026-05-13 00:30:00,398.0,399.0,398.0,399.0,13496.24495721,5371632.73496958
2026-05-13 00:45:00,399.0,399.0,399.0,399.0,68.77256878,27440.25494322
2026-05-13 01:00:00,400.0,400.0,400.0,400.0,25.0,10000.0
2026-05-13 01:15:00,400.0,400.0,400.0,400.0,25.0,10000.0
2026-05-13 01:45:00,399.0,399.0,399.0,399.0,40.89803047,16318.31415753
2026-05-13 02:00:00,400.0,400.0,400.0,400.0,26.79249732,10716.998928
2026-05-13 02:15:00,401.0,401.0,401.0,401.0,26.79249732,10743.79142532
2026-05-13 03:15:00,402.0,402.0,402.0,402.0,25.0,10050.0
2026-05-13 03:30:00,403.0,403.0,403.0,403.0,2481.38957816,999999.99999848
2026-05-13 03:45:00,403.0,403.0,403.0,403.0,9960.53949881,4014097.41802043
2026-05-13 04:00:00,403.0,403.0,403.0,403.0,3034.51000614,1222907.53247442
2026-05-13 05:00:00,403.0,403.0,403.0,403.0,3336.49156277,1344606.09979631
2026-05-13 05:30:00,403.0,403.0,403.0,403.0,160.3076711,64603.9914533
2026-05-13 05:45:00,403.0,403.0,403.0,403.0,444.157,178995.271
2026-05-13 06:00:00,403.0,403.0,403.0,403.0,490.24723957,197569.63754671
2026-05-13 06:30:00,402.0,402.0,402.0,402.0,18828.6131448,7569102.4842096
2026-05-13 06:45:00,402.0,402.0,402.0,402.0,9358.03401843,3761929.67540886
2026-05-13 07:00:00,402.0,402.0,402.0,402.0,751.8,302223.6
2026-05-13 07:15:00,402.0,402.0,402.0,402.0,425.26355571,170955.94939542
2026-05-13 07:30:00,402.0,402.0,402.0,402.0,240.96385542,96867.46987884
2026-05-13 08:00:00,403.0,403.0,402.0,402.0,566.13764267,227600.97999601
2026-05-13 08:15:00,402.0,402.0,402.0,402.0,10891.67823657,4378454.65110114
2026-05-13 08:30:00,402.0,402.0,401.0,401.0,15689.78492709,6304203.19592095
2026-05-13 09:00:00,401.0,401.0,401.0,401.0,2239.41344327,898004.79075127
2026-05-13 09:15:00,402.0,402.0,402.0,402.0,2083.68706467,837642.19999734
2026-05-13 10:00:00,402.0,402.0,402.0,402.0,20791.88902439,8358339.38780478
2026-05-13 10:15:00,402.0,404.0,402.0,404.0,1922.46158254,772879.06113156
2026-05-13 10:30:00,404.0,404.0,404.0,404.0,883.58202911,356967.13976044
2026-05-13 10:45:00,404.0,404.0,403.0,403.0,5234.08308583,2111812.89599106
2026-05-13 11:00:00,402.0,406.0,402.0,406.0,25760.10484858,10424780.88582565
2026-05-13 11:15:00,405.0,405.0,403.0,403.0,27111.50540849,10935066.03698902
2026-05-13 11:30:00,405.0,405.0,405.0,405.0,274.69135802,111249.9999981
2026-05-13 11:45:00,404.0,404.0,404.0,404.0,2475.24752475,999999.999999
2026-05-13 12:00:00,404.0,404.0,404.0,404.0,37.12871287,14999.99999948
2026-05-13 12:15:00,403.0,403.0,403.0,403.0,652.656,263020.368
2026-05-13 12:30:00,402.0,402.0,401.0,401.0,6701.60018528,2689753.19440067
2026-05-13 13:15:00,401.0,401.0,401.0,401.0,1744.98217667,699737.85284467
2026-05-13 13:30:00,401.0,401.0,401.0,401.0,18801.84329523,7539539.16138723
2026-05-13 13:45:00,401.0,401.0,401.0,401.0,1309.08823477,524944.38214277
2026-05-13 14:00:00,400.0,400.0,400.0,400.0,4932.57263891,1973029.055564
2026-05-13 14:15:00,400.0,400.0,398.0,398.0,3812.73692368,1521162.11604534
2026-05-13 14:30:00,399.0,399.0,399.0,399.0,12.53383458,5000.99999742
2026-05-13 14:45:00,398.0,398.0,398.0,398.0,14.37929,5722.95742
2026-05-13 15:15:00,397.0,398.0,397.0,397.0,7952.86737282,3159047.14097938
2026-05-13 15:30:00,397.0,398.0,396.0,398.0,4854.57930848,1927266.66042102
2026-05-13 15:45:00,398.0,398.0,398.0,398.0,112.75,44874.5
2026-05-13 16:00:00,397.0,400.0,397.0,400.0,272.76317429,108362.54694374
2026-05-13 16:30:00,399.0,399.0,397.0,397.0,15237.31444445,6064571.22715464
2026-05-13 16:45:00,397.0,397.0,397.0,397.0,1582.45138562,628233.20009114
2026-05-13 17:00:00,397.0,397.0,396.0,396.0,14218.82793017,5635131.62254962
2026-05-13 17:15:00,398.0,398.0,398.0,398.0,1626.62621541,647397.23373318
2026-05-13 17:30:00,397.0,399.0,397.0,399.0,7877.55059012,3135264.22282702
2026-05-13 18:00:00,400.0,400.0,400.0,400.0,99.03699,39614.796
2026-05-13 18:15:00,400.0,401.0,400.0,401.0,7824.93765586,3130299.99999986
2026-05-13 18:30:00,401.0,402.0,401.0,402.0,11378.10246723,4562956.38935923
2026-05-13 18:45:00,402.0,403.0,402.0,402.0,267.36972704,107499.99999712
2026-05-13 19:00:00,402.0,402.0,401.0,401.0,2855.05148656,1144902.37596512
2026-05-13 19:15:00,401.0,401.0,399.0,399.0,8892.25898686,3555823.3015015
2026-05-13 19:45:00,400.0,400.0,400.0,400.0,15.909,6363.6
2026-05-13 20:00:00,399.0,399.0,399.0,399.0,806.02276423,321603.08292777
2026-05-13 20:15:00,399.0,399.0,398.0,398.0,5358.74156508,2138122.14634692
2026-05-13 20:45:00,397.0,397.0,397.0,397.0,973.572094,386508.121318
2026-05-13 21:00:00,397.0,398.0,397.0,397.0,2575.62184458,1023051.16878066
2026-05-13 21:15:00,397.0,397.0,396.0,396.0,2213.9559785,877613.46783303
2026-05-13 21:30:00,396.0,396.0,392.0,393.0,54704.90901061,21526956.98271697
2026-05-13 21:45:00,395.0,395.0,392.0,392.0,12379.09537062,4857428.13164435
2026-05-13 22:00:00,391.0,392.0,391.0,391.0,10653.93903468,4165817.71358028
2026-05-13 22:15:00,393.0,393.0,392.0,392.0,39.45944,15487.55992
2026-05-13 22:30:00,391.0,391.0,390.0,390.0,19219.22302976,7500559.08352252
2026-05-13 22:45:00,390.0,390.0,388.0,388.0,20460.46808155,7945797.14722466
2026-05-13 23:00:00,387.0,390.0,386.0,390.0,17229.61483133,6684683.64136072
2026-05-13 23:15:00,390.0,390.0,389.0,389.0,1221.88204034,475825.19061533
2026-05-13 23:30:00,390.0,390.0,389.0,389.0,274.67707641,107105.7929799
2026-05-14 00:00:00,389.0,389.0,386.0,386.0,4358.13331382,1683776.28613452
2026-05-14 00:15:00,386.0,387.0,383.0,383.0,18631.40841273,7186973.88690904
2026-05-14 00:30:00,384.0,385.0,384.0,385.0,9199.84448707,3532818.40803488
2026-05-14 00:45:00,386.0,386.0,385.0,385.0,4433.56249812,1706984.70213931
2026-05-14 01:00:00,385.0,385.0,384.0,384.0,7218.37381283,2779007.81636331
2026-05-14 01:15:00,387.0,387.0,387.0,387.0,7803.41880341,3019923.07691967
2026-05-14 01:30:00,387.0,387.0,387.0,387.0,1258.065355,486871.292385
2026-05-14 02:00:00,388.0,388.0,388.0,388.0,999.05670103,387633.99999964
2026-05-14 02:15:00,386.0,386.0,386.0,386.0,100.0,38600.0
2026-05-14 02:30:00,385.0,385.0,385.0,385.0,497.487438,191532.66363
2026-05-14 03:30:00,385.0,385.0,385.0,385.0,900.0,346500.0
2026-05-14 03:45:00,386.0,386.0,386.0,386.0,1258.065355,485613.22703
2026-05-14 04:15:00,385.0,385.0,385.0,385.0,748.740554,288265.11329
2026-05-14 04:45:00,385.0,385.0,385.0,385.0,1751.898733,674481.012205
2026-05-14 05:00:00,385.0,385.0,385.0,385.0,194.33408319,74818.62202815
2026-05-14 05:15:00,386.0,386.0,386.0,386.0,360.70075647,139230.49199742
2026-05-14 06:00:00,387.0,387.0,385.0,385.0,22709.14154685,8773013.56262709
2026-05-14 06:15:00,385.0,385.0,385.0,385.0,6434.4166409,2477250.4067465
2026-05-14 06:30:00,385.0,386.0,385.0,386.0,1548.33423483,596134.45360542
2026-05-14 06:45:00,385.0,385.0,385.0,385.0,6570.73350098,2529732.3978773
2026-05-14 07:00:00,385.0,385.0,384.0,385.0,21621.94247545,8311444.94522462
2026-05-14 08:15:00,385.0,385.0,385.0,385.0,3465.46755973,1334205.01049605
2026-05-14 08:30:00,385.0,385.0,385.0,385.0,25.97402597,9999.99999845
