,open,high,low,close,volume,value
2026-05-09 10:00:00,241.0,242.0,240.0,241.0,3840.01620226,925459.26627751
2026-05-09 10:15:00,242.0,243.0,241.0,241.0,21782.59207461,5289597.45348805
2026-05-09 10:30:00,242.0,243.0,242.0,243.0,2714.94924634,657062.98510399
2026-05-09 10:45:00,243.0,243.0,242.0,242.0,4084.12753456,992401.66858404
2026-05-09 11:00:00,241.0,242.0,241.0,242.0,4223.08219467,1017904.13122951
2026-05-09 11:15:00,242.0,242.0,242.0,242.0,3917.62107434,948064.29999028
2026-05-09 11:30:00,241.0,241.0,241.0,241.0,201.7013842,48610.0335922
2026-05-09 11:45:00,241.0,241.0,241.0,241.0,4928.92003016,1187869.72726856
2026-05-09 12:00:00,241.0,241.0,241.0,241.0,1244.95873925,300035.05615925
2026-05-09 12:15:00,241.0,241.0,240.0,240.0,514.93775934,123685.0622416
2026-05-09 12:30:00,240.0,241.0,240.0,241.0,7743.79606249,1858808.04254946
2026-05-09 12:45:00,240.0,240.0,239.0,239.0,49969.69702175,11944839.27262337
2026-05-09 13:00:00,239.0,239.0,239.0,239.0,2228.94510191,532717.87935649
2026-05-09 13:15:00,239.0,239.0,239.0,239.0,836.82008369,200000.00000191
2026-05-09 13:30:00,239.0,240.0,239.0,239.0,920.85369713,220105.86521407
2026-05-09 13:45:00,241.0,241.0,241.0,241.0,20.76348547,5003.99999827
2026-05-09 14:00:00,241.0,241.0,239.0,239.0,33681.20981357,8050329.24953587
2026-05-09 14:15:00,239.0,239.0,239.0,239.0,7626.87431546,1822822.96139494
2026-05-09 15:15:00,240.0,240.0,239.0,239.0,13571.1332225,3244000.8401775
2026-05-09 15:30:00,239.0,239.0,238.0,238.0,44137.88962521,10513362.88698314
2026-05-09 15:45:00,239.0,239.0,239.0,239.0,1048.41004184,250569.99999976
2026-05-09 16:00:00,238.0,238.0,238.0,238.0,6258.75284107,1489583.17617466
2026-05-09 16:15:00,238.0,238.0,238.0,238.0,5826.31593218,1386663.19185884
2026-05-09 16:30:00,238.0,238.0,238.0,238.0,2168.16666666,516023.66666508
2026-05-09 16:45:00,238.0,238.0,237.0,237.0,3175.16236101,752639.52997953
2026-05-09 17:00:00,239.0,239.0,239.0,239.0,2262.14002139,540651.46511221
2026-05-09 17:15:00,240.0,241.0,240.0,241.0,3459.55773132,833496.84226195
2026-05-09 17:45:00,242.0,242.0,239.0,239.0,5446.56029091,1304416.34377153
2026-05-09 18:15:00,240.0,240.0,234.0,235.0,57031.80887055,13544660.08282692
2026-05-09 18:30:00,235.0,237.0,235.0,237.0,294.77808081,69788.33107791
2026-05-09 18:45:00,236.0,236.0,235.0,235.0,939.09040606,220730.68974934
2026-05-09 19:00:00,235.0,236.0,234.0,236.0,867.05087881,204061.565216
2026-05-09 19:15:00,236.0,236.0,234.0,234.0,4275.25054534,1003240.84105763
2026-05-09 19:30:00,236.0,237.0,236.0,237.0,32331.49779324,7662160.65599788
2026-05-09 19:45:00,237.0,239.0,237.0,239.0,4380.17858631,1041017.30188545
2026-05-09 20:15:00,237.0,237.0,237.0,237.0,5400.0,1279800.0
2026-05-09 20:30:00,237.0,237.0,237.0,237.0,826.44628099,195867.76859463
2026-05-09 20:45:00,237.0,237.0,237.0,237.0,7909.42092095,1874532.75826515
2026-05-09 21:00:00,237.0,238.0,237.0,237.0,11404.46931063,2707060.90729157
2026-05-09 21:15:00,236.0,237.0,236.0,237.0,7407.73360727,1752466.05958576
2026-05-09 21:30:00,236.0,236.0,236.0,236.0,9776.46600733,2307245.97772988
2026-05-09 22:00:00,236.0,237.0,236.0,236.0,37484.59888875,8854914.20905301
2026-05-09 22:15:00,236.0,236.0,235.0,235.0,5890.83881787,1390199.46101732
2026-05-09 22:30:00,235.0,235.0,235.0,235.0,45931.78460913,10793969.38314555
2026-05-09 23:00:00,235.0,235.0,234.0,234.0,1446.9787234,339039.999999
2026-05-09 23:15:00,234.0,234.0,234.0,234.0,15193.52132482,3555283.99000788
2026-05-09 23:30:00,233.0,234.0,233.0,233.0,2117.57042331,493418.47193123
2026-05-09 23:45:00,235.0,235.0,235.0,235.0,450.53191489,105874.99999915
2026-05-10 00:00:00,235.0,235.0,231.0,231.0,39767.48310744,9230608.01900447
2026-05-10 00:15:00,231.0,232.0,231.0,232.0,9867.46486883,2288005.07435489
2026-05-10 00:30:00,232.0,232.0,231.0,231.0,14828.42551891,3425905.47241517
2026-05-10 00:45:00,231.0,231.0,231.0,231.0,900.0,207900.0
2026-05-10 01:00:00,231.0,231.0,230.0,231.0,5552.22341031,1282476.63328904
2026-05-10 01:15:00,231.0,232.0,231.0,232.0,17974.38053978,4168190.20964607
2026-05-10 01:30:00,232.0,232.0,232.0,232.0,3877.37165899,899550.22488568
2026-05-10 01:45:00,232.0,232.0,232.0,232.0,4308.19073222,999500.24987504
2026-05-10 02:15:00,231.0,231.0,231.0,231.0,4301.12723851,993560.39209581
2026-05-10 02:30:00,232.0,232.0,232.0,232.0,927.06896551,215079.99999832
2026-05-10 02:45:00,231.0,231.0,231.0,231.0,3867.07440965,893294.18862915
2026-05-10 03:00:00,231.0,231.0,231.0,231.0,9796.67525543,2263031.98400433
2026-05-10 03:30:00,231.0,231.0,231.0,231.0,5236.26931123,1209578.21089413
2026-05-10 03:45:00,232.0,232.0,232.0,232.0,835.15219889,193755.31014248
2026-05-10 04:30:00,232.0,232.0,232.0,232.0,337.47781281,78294.85257192
2026-05-10 04:45:00,232.0,232.0,232.0,232.0,3329.46090298,772434.92949136
2026-05-10 05:15:00,232.0,232.0,232.0,232.0,8663.79310345,2010000.0000004
2026-05-10 05:30:00,232.0,232.0,232.0,232.0,129.31034481,29999.99999592
2026-05-10 05:45:00,232.0,232.0,232.0,232.0,96.12435161,22300.84957352
2026-05-10 06:00:00,232.0,232.0,232.0,232.0,7844.269431,1819870.507992
2026-05-10 06:15:00,231.0,231.0,231.0,231.0,126.58227848,29240.50632888
2026-05-10 06:30:00,231.0,232.0,231.0,232.0,1815.62189204,421045.94757848
2026-05-10 06:45:00,232.0,232.0,232.0,232.0,26.29310344,6099.99999808
2026-05-10 07:45:00,232.0,232.0,232.0,232.0,16894.1951438,3919453.2733616
2026-05-10 08:00:00,231.0,232.0,231.0,232.0,1071.98490819,248657.19999878
2026-05-10 08:30:00,232.0,232.0,231.0,231.0,73713.82914672,17027918.70184232
2026-05-10 08:45:00,231.0,231.0,231.0,231.0,8869.73686965,2048909.21688915
2026-05-10 09:00:00,231.0,232.0,230.0,231.0,41268.70638113,9492359.99076469
2026-05-10 09:15:00,230.0,232.0,230.0,231.0,17613.88672035,4064439.76595215
2026-05-10 09:30:00,231.0,231.0,231.0,231.0,491.83545106,113613.98919486
2026-05-10 09:45:00,231.0,231.0,231.0,231.0,529.85286062,122396.01080322
2026-05-10 10:00:00,230.0,230.0,228.0,228.0,27946.66274685,6393887.73101095
2026-05-10 10:15:00,228.0,228.0,228.0,228.0,38525.47002592,8783807.16590976
2026-05-10 10:30:00,228.0,228.0,228.0,228.0,46345.23527709,10566713.64317652
2026-05-10 10:45:00,228.0,229.0,228.0,229.0,967.65057631,220646.33139868
2026-05-10 11:00:00,228.0,228.0,228.0,228.0,511.06800813,116523.50585364
