,open,high,low,close,volume,value
2026-05-16 09:00:00,69.4,69.5,69.0,69.4,332377.32333776,23008667.08824255
2026-05-16 09:15:00,69.3,69.4,68.9,69.1,251573.31480306,17382388.3911545
2026-05-16 09:30:00,69.2,69.3,69.1,69.3,161535.00992726,11165411.36875616
2026-05-16 09:45:00,69.3,69.3,69.2,69.2,14970.63788356,1036190.42653514
2026-05-16 10:00:00,69.2,69.3,69.0,69.1,149847.94853358,10363648.96822618
2026-05-16 10:15:00,69.1,69.1,68.7,68.9,128901.62366437,8861529.80563045
2026-05-16 10:30:00,68.9,68.9,68.6,68.6,93235.67350789,6403579.17935192
2026-05-16 10:45:00,68.8,68.9,68.6,68.7,237542.76654339,16305123.07359641
2026-05-16 11:00:00,68.7,68.7,68.7,68.7,124145.47959385,8528794.4480975
2026-05-16 11:15:00,68.6,68.7,68.4,68.5,228679.84540323,15684172.91121158
2026-05-16 11:30:00,68.4,68.6,68.4,68.6,149117.93083652,10211734.21116789
2026-05-16 11:45:00,68.7,68.7,68.7,68.7,60335.64579634,4145058.86620856
2026-05-16 12:00:00,68.9,69.4,68.9,69.4,38615.05635358,2668888.6788996
2026-05-16 12:15:00,69.5,69.5,69.2,69.2,127319.17595118,8836893.23608374
2026-05-16 12:30:00,69.2,69.2,69.1,69.1,83375.50442195,5769439.91299894
2026-05-16 12:45:00,69.1,69.1,68.9,68.9,234648.31970934,16199306.31672014
2026-05-16 13:00:00,68.9,69.0,68.9,69.0,121104.81570407,8344797.94418912
2026-05-16 13:15:00,68.9,68.9,68.7,68.7,74395.49259318,5119560.38273312
2026-05-16 13:30:00,68.7,68.7,68.4,68.6,178797.19026271,12251710.33331749
2026-05-16 13:45:00,68.6,68.8,68.4,68.4,40814.35578892,2799818.91295129
2026-05-16 14:00:00,68.4,68.6,68.4,68.5,6867.42736632,470136.27752755
2026-05-16 14:15:00,68.5,68.5,68.5,68.5,28484.80451856,1951209.10952136
