,open,high,low,close,volume,value
2026-04-29 14:45:00,4.6,4.62,4.6,4.62,388140.6663,1787754.90339747
2026-04-29 15:00:00,4.58,4.58,4.58,4.58,153458.54528828,702840.13742032
2026-04-29 15:15:00,4.59,4.59,4.58,4.58,599279.29053509,2749862.24923292
2026-04-29 15:45:00,4.58,4.58,4.58,4.58,203092.63345103,930164.26120572
2026-04-29 16:15:00,4.6,4.6,4.58,4.58,177926.36043706,816195.72244373
2026-04-29 16:45:00,4.58,4.58,4.58,4.58,105263.15789474,482105.26315791
2026-04-29 17:00:00,4.58,4.58,4.58,4.58,67041.20275268,307048.70860727
2026-04-29 17:15:00,4.58,4.62,4.58,4.62,1562583.55052915,7156676.3382794
2026-04-29 17:45:00,4.58,4.58,4.58,4.58,88089.31651955,403449.06965954
2026-04-29 18:00:00,4.57,4.57,4.57,4.57,157370.79069432,719184.51347304
2026-04-29 18:15:00,4.58,4.58,4.58,4.58,105218.47416864,481900.61169237
2026-04-29 18:30:00,4.58,4.61,4.58,4.58,116211.37959754,533600.75492037
2026-04-29 18:45:00,4.62,4.62,4.62,4.62,3246.75324675,14999.99999999
2026-04-29 19:00:00,4.61,4.61,4.61,4.61,4485.40860916,20677.73368823
2026-04-29 19:15:00,4.6,4.6,4.6,4.6,105604.26257505,485779.60784523
2026-04-29 19:30:00,4.61,4.61,4.61,4.61,106518.29163428,491049.32443403
2026-04-29 19:45:00,4.62,4.62,4.59,4.59,203000.0,933389.35852239
2026-04-29 20:15:00,4.58,4.58,4.58,4.58,110948.83023091,508145.64245757
2026-04-29 20:30:00,4.59,4.59,4.59,4.59,80814.02257873,370936.36363637
2026-04-29 21:00:00,4.59,4.59,4.59,4.59,161139.47383606,739630.18490752
2026-04-29 21:15:00,4.58,4.58,4.58,4.58,199309.87693888,912839.23638007
2026-04-29 21:30:00,4.58,4.58,4.57,4.57,1969432.79723581,9012043.39222727
2026-04-29 21:45:00,4.57,4.61,4.57,4.61,433657.37835644,1993514.99999999
2026-04-29 22:00:00,4.6,4.61,4.6,4.61,28674.77965863,132176.97068628
2026-04-29 22:15:00,4.58,4.58,4.57,4.57,87483.09170636,399906.89940374
2026-04-29 22:30:00,4.57,4.57,4.57,4.57,53085.70019999,242601.64991395
2026-04-29 23:00:00,4.57,4.57,4.56,4.56,500882.35838507,2288399.92185238
2026-04-29 23:15:00,4.56,4.56,4.55,4.55,1301322.61543634,5925083.29909252
2026-04-30 00:00:00,4.55,4.55,4.55,4.55,546281.6601873,2485581.55385222
2026-04-30 00:15:00,4.55,4.55,4.55,4.55,88000.0,400400.0
2026-04-30 00:30:00,4.55,4.55,4.54,4.54,119742.37359509,544735.70793778
2026-04-30 00:45:00,4.54,4.54,4.54,4.54,497454.32497228,2258442.63537415
2026-04-30 01:00:00,4.55,4.57,4.53,4.53,1949702.30497623,8843316.43201486
2026-04-30 01:15:00,4.53,4.54,4.53,4.53,954224.63438402,4322857.85807679
2026-04-30 01:30:00,4.54,4.54,4.53,4.53,28674.77965863,129962.29662972
2026-04-30 01:45:00,4.53,4.57,4.53,4.57,701750.54704595,3178999.99999999
2026-04-30 02:30:00,4.54,4.54,4.54,4.54,103153.703,468317.81162
2026-04-30 03:00:00,4.57,4.57,4.53,4.53,1675000.84375649,7636856.38386774
2026-04-30 03:15:00,4.52,4.52,4.52,4.52,664922.41451359,3005449.31360143
2026-04-30 03:45:00,4.52,4.52,4.52,4.52,299051.29572668,1351711.85668459
2026-04-30 04:30:00,4.52,4.52,4.52,4.52,1339718.194884,6055526.24087568
2026-04-30 04:45:00,4.52,4.52,4.52,4.52,999992.297,4519965.18244
2026-04-30 05:15:00,4.52,4.52,4.52,4.52,658362.48681497,2975798.44040366
2026-04-30 06:00:00,4.51,4.52,4.5,4.5,2117276.18844609,9539684.18921622
2026-04-30 06:45:00,4.52,4.52,4.52,4.52,4.11572753,18.60308844
2026-04-30 07:15:00,4.54,4.54,4.54,4.54,105724.45055005,479989.00549723
2026-04-30 07:30:00,4.53,4.55,4.52,4.55,396318.78179588,1793651.78576587
2026-04-30 07:45:00,4.55,4.55,4.55,4.55,2196.70384587,9995.00249871
2026-04-30 08:00:00,4.55,4.55,4.55,4.55,109780.27469781,499500.24987504
2026-04-30 08:30:00,4.55,4.55,4.53,4.53,110189.16288894,499200.86393085
2026-04-30 08:45:00,4.55,4.55,4.53,4.55,262693.34417793,1190658.88464558
2026-04-30 09:15:00,4.54,4.54,4.53,4.54,39353.26639561,178636.71577627
2026-04-30 09:30:00,4.54,4.54,4.54,4.54,5166.44836843,23455.67559267
2026-04-30 09:45:00,4.54,4.54,4.53,4.53,109949.69672026,498240.72597627
2026-04-30 10:15:00,4.53,4.53,4.53,4.53,93888.64475532,425315.5607416
2026-04-30 10:45:00,4.55,4.55,4.55,4.55,264996.504495,1205734.09545225
2026-04-30 11:00:00,4.53,4.53,4.53,4.53,167300.45869231,757871.07787616
2026-04-30 11:15:00,4.53,4.53,4.53,4.53,79403.27892209,359696.85351707
2026-04-30 11:30:00,4.53,4.53,4.52,4.52,250480.53122137,1134626.3967375
