,open,high,low,close,volume,value
2026-05-09 11:30:00,1291.0,1291.0,1285.0,1287.0,25164.07504106,32410648.8781815
2026-05-09 11:45:00,1285.0,1292.0,1285.0,1286.0,47051.79374997,60708878.61575664
2026-05-09 12:00:00,1289.0,1290.0,1283.0,1290.0,11677.87534395,15015248.79022041
2026-05-09 12:15:00,1290.0,1292.0,1290.0,1292.0,23855.73672656,30811169.93720169
2026-05-09 12:30:00,1286.0,1286.0,1283.0,1283.0,13541.50020866,17382725.3117774
2026-05-09 12:45:00,1286.0,1293.0,1285.0,1293.0,16585.68824004,21437112.19192976
2026-05-09 13:00:00,1293.0,1303.0,1293.0,1300.0,111219.02699418,144161324.8282182
2026-05-09 13:15:00,1301.0,1301.0,1289.0,1289.0,18110.68635858,23473120.91372223
2026-05-09 13:30:00,1286.0,1286.0,1278.0,1284.0,48971.05425624,62754404.39635589
2026-05-09 13:45:00,1284.0,1289.0,1281.0,1281.0,15420.83775287,19845637.76836715
2026-05-09 14:00:00,1280.0,1281.0,1273.0,1273.0,23077.92226252,29430489.97096853
2026-05-09 14:15:00,1276.0,1286.0,1276.0,1286.0,6993.30178397,8962767.33342473
2026-05-09 14:30:00,1283.0,1294.0,1283.0,1294.0,7800.70063519,10070756.47847297
2026-05-09 14:45:00,1294.0,1303.0,1294.0,1295.0,17515.91581994,22719310.6146422
2026-05-09 15:00:00,1295.0,1308.0,1295.0,1304.0,13517.8278211,17558992.89718067
2026-05-09 15:15:00,1304.0,1307.0,1300.0,1305.0,16321.47744091,21297820.4745867
2026-05-09 15:30:00,1306.0,1308.0,1294.0,1297.0,11845.02922334,15424280.01794724
2026-05-09 15:45:00,1297.0,1302.0,1296.0,1296.0,7185.92940509,9332586.2865241
2026-05-09 16:00:00,1296.0,1298.0,1291.0,1291.0,7798.51450516,10101853.25306153
2026-05-09 16:15:00,1291.0,1298.0,1291.0,1295.0,14267.00653295,18472069.14922822
2026-05-09 16:30:00,1295.0,1295.0,1280.0,1281.0,29584.27857002,38064514.82783396
2026-05-09 16:45:00,1281.0,1283.0,1277.0,1280.0,15367.9222693,19659900.12763138
2026-05-09 17:00:00,1281.0,1283.0,1279.0,1282.0,11176.69614207,14315545.17605264
2026-05-09 17:15:00,1282.0,1283.0,1279.0,1279.0,6464.79811183,8279590.09767857
2026-05-09 17:30:00,1283.0,1284.0,1278.0,1278.0,13208.5864662,16931849.13427441
2026-05-09 17:45:00,1279.0,1282.0,1277.0,1280.0,15830.54377953,20230728.06233562
2026-05-09 18:00:00,1280.0,1280.0,1269.0,1272.0,18111.1854109,23078662.52341047
2026-05-09 18:15:00,1268.0,1268.0,1260.0,1265.0,53294.6167546,67261050.85213053
2026-05-09 18:30:00,1263.0,1268.0,1256.0,1263.0,52629.5158711,66378950.3977436
2026-05-09 18:45:00,1263.0,1263.0,1253.0,1258.0,26872.66339978,33767665.55651188
2026-05-09 19:00:00,1258.0,1260.0,1254.0,1259.0,25114.69550198,31545889.29335217
2026-05-09 19:15:00,1259.0,1259.0,1253.0,1254.0,23103.00605437,28953254.63690648
2026-05-09 19:30:00,1254.0,1257.0,1250.0,1254.0,30383.34449248,38057386.99144466
2026-05-09 19:45:00,1253.0,1255.0,1251.0,1255.0,14451.18154891,18095847.01483224
2026-05-09 20:00:00,1253.0,1254.0,1249.0,1254.0,12499.45371194,15651048.08025759
2026-05-09 20:15:00,1252.0,1256.0,1252.0,1256.0,3418.10590284,4282016.77498866
2026-05-09 20:30:00,1256.0,1259.0,1253.0,1259.0,12805.01301519,16094399.86737438
2026-05-09 20:45:00,1257.0,1257.0,1253.0,1254.0,28769.98381875,36082527.93142197
2026-05-09 21:00:00,1255.0,1255.0,1250.0,1250.0,4065.86299528,5098587.56743163
2026-05-09 21:15:00,1250.0,1256.0,1250.0,1256.0,2598.6730117,3248803.369925
2026-05-09 21:30:00,1256.0,1256.0,1249.0,1250.0,12097.73204837,15141426.85573359
2026-05-09 21:45:00,1253.0,1254.0,1251.0,1251.0,7175.76218286,8984094.22411579
2026-05-09 22:00:00,1255.0,1257.0,1254.0,1257.0,3053.84283963,3832645.89334043
2026-05-09 22:15:00,1256.0,1257.0,1253.0,1253.0,5661.23666998,7096729.72663076
2026-05-09 22:30:00,1252.0,1256.0,1250.0,1250.0,1671.64280382,2095062.26710277
2026-05-09 22:45:00,1255.0,1256.0,1253.0,1253.0,3181.08433147,3992123.87838292
