,open,high,low,close,volume,value
2026-06-19 21:00:00,1209.0,1250.0,1146.0,1210.0,15477340.53065419,18634541913.69444
2026-06-19 21:15:00,1209.0,1332.0,1202.0,1310.0,13455269.16437958,17186769977.86266
2026-06-19 21:30:00,1310.0,1323.0,1259.0,1277.0,7800209.98343655,10050393811.261171
2026-06-19 21:45:00,1276.0,1286.0,1207.0,1228.0,6008604.35234175,7502465124.6724205
2026-06-19 22:00:00,1228.0,1250.0,1192.0,1208.0,4603015.35609604,5601185787.774187
2026-06-19 22:15:00,1208.0,1233.0,1200.0,1215.0,2940000.77615367,3578798945.3701077
2026-06-19 22:30:00,1213.0,1218.0,1200.0,1209.0,1525123.79904493,1844684097.751196
2026-06-19 22:45:00,1211.0,1211.0,1142.0,1143.0,4884312.35035869,5698431749.432225
2026-06-19 23:00:00,1144.0,1145.0,1093.0,1106.0,5007105.93971943,5571867056.295085
2026-06-19 23:15:00,1106.0,1108.0,1021.0,1038.0,6154176.57202067,6484347495.803439
2026-06-19 23:30:00,1039.0,1110.0,1037.0,1080.0,5348413.47620064,5797598528.958812
2026-06-19 23:45:00,1085.0,1156.0,1078.0,1137.0,5780488.67499902,6537787567.396905
2026-06-20 00:00:00,1136.0,1198.0,1116.0,1134.0,6050195.95779077,7015523080.904736
2026-06-20 00:15:00,1135.0,1177.0,1132.0,1167.0,3226795.69383726,3735062000.9467773
2026-06-20 00:30:00,1168.0,1174.0,1128.0,1134.0,2595253.17981055,2993019363.5821986
2026-06-20 00:45:00,1133.0,1157.0,1129.0,1144.0,1649212.3595964,1885391907.3965585
2026-06-20 01:00:00,1146.0,1147.0,1092.0,1122.0,2811574.4844305,3144188867.6074452
2026-06-20 01:15:00,1121.0,1121.0,1063.0,1066.0,2824459.34175824,3084295674.033827
2026-06-20 01:30:00,1066.0,1140.0,1057.0,1128.0,2870500.82119549,3167335361.808951
2026-06-20 01:45:00,1128.0,1159.0,1092.0,1121.0,1998817.12399742,2248599173.668948
2026-06-20 02:00:00,1121.0,1139.0,1107.0,1131.0,1097759.50712183,1237627939.7043886
2026-06-20 02:15:00,1129.0,1135.0,1109.0,1116.0,625320.7672884,699405408.922118
