,open,high,low,close,volume,value
2026-05-18 00:30:00,2727.0,2727.0,2712.0,2712.0,7262.7110065,19797488.3538886
2026-05-18 00:45:00,2711.0,2733.0,2711.0,2728.0,23751.34916297,64739650.91202634
2026-05-18 01:00:00,2728.0,2728.0,2721.0,2727.0,5598.59191272,15245586.61646076
2026-05-18 01:15:00,2724.0,2724.0,2721.0,2724.0,1477.76173431,4024320.42842805
2026-05-18 01:30:00,2726.0,2726.0,2726.0,2726.0,3.66568914,9992.66859564
2026-05-18 01:45:00,2726.0,2726.0,2716.0,2717.0,16452.5952705,44767072.15642578
2026-05-18 02:00:00,2715.0,2719.0,2712.0,2712.0,2543.55189976,6907218.82136152
2026-05-18 02:15:00,2712.0,2715.0,2703.0,2715.0,5202.18992512,14105890.71761722
2026-05-18 02:30:00,2710.0,2710.0,2707.0,2707.0,422.329035,1143251.08485
2026-05-18 02:45:00,2713.0,2720.0,2712.0,2720.0,456.21705881,1240221.83996328
2026-05-18 03:00:00,2721.0,2722.0,2715.0,2715.0,885.46052872,2409689.87557584
2026-05-18 03:15:00,2709.0,2713.0,2704.0,2713.0,1159.17348582,3139740.06927188
2026-05-18 03:45:00,2723.0,2727.0,2723.0,2727.0,393.04370803,1071726.98501565
2026-05-18 04:15:00,2723.0,2723.0,2723.0,2723.0,220.3452075,600000.0000225
2026-05-18 04:30:00,2723.0,2732.0,2723.0,2732.0,1850.16482033,5051719.31425905
2026-05-18 04:45:00,2733.0,2734.0,2733.0,2734.0,1168.52244523,3194667.18560276
2026-05-18 05:00:00,2736.0,2740.0,2733.0,2735.0,195.42500578,534124.87483771
2026-05-18 05:15:00,2734.0,2734.0,2734.0,2734.0,4.31967812,11809.99998008
2026-05-18 05:30:00,2733.0,2736.0,2731.0,2735.0,521.22998855,1425153.24610648
2026-05-18 05:45:00,2739.0,2739.0,2739.0,2739.0,7.30193501,19999.99999239
2026-05-18 06:00:00,2733.0,2733.0,2728.0,2728.0,1941.67916771,5299294.66196614
2026-05-18 06:15:00,2727.0,2731.0,2727.0,2731.0,3545.00885443,9667335.43694249
2026-05-18 06:30:00,2739.0,2745.0,2739.0,2739.0,3352.72180665,9186394.01649168
2026-05-18 06:45:00,2740.0,2748.0,2738.0,2748.0,15116.40943649,41408654.10824704
2026-05-18 07:00:00,2740.0,2741.0,2719.0,2724.0,5112.72844392,13964081.81686107
