,open,high,low,close,volume,value
2026-05-12 23:30:00,9.03,9.07,9.0,9.05,1266064.26068272,11412960.22464945
2026-05-12 23:45:00,9.05,9.05,8.99,8.99,2906303.43635614,26174376.4449987
2026-05-13 00:00:00,8.99,9.06,8.99,9.06,1251274.04246968,11261952.35073234
2026-05-13 00:15:00,9.06,9.08,9.05,9.05,4050243.53482719,36706400.03184627
2026-05-13 00:30:00,9.07,9.09,9.03,9.05,435278.75427849,3947605.31295167
2026-05-13 00:45:00,9.02,9.05,9.02,9.05,456038.87453345,4124874.68369239
2026-05-13 01:00:00,9.04,9.06,9.04,9.06,173971.75864095,1572875.00219154
2026-05-13 01:15:00,9.07,9.07,9.06,9.06,554341.94690124,5026881.45839425
2026-05-13 01:30:00,9.09,9.11,9.09,9.11,575205.96786826,5239624.44605503
2026-05-13 01:45:00,9.06,9.06,9.05,9.05,397792.31631423,3601124.30034965
2026-05-13 02:15:00,9.08,9.08,9.08,9.08,21473.91491519,194983.14742993
2026-05-13 02:45:00,9.12,9.12,9.12,9.12,1061.64023251,9682.15892049
2026-05-13 03:15:00,9.11,9.11,9.11,9.11,814.135,7416.76985
2026-05-13 05:00:00,9.16,9.16,9.12,9.12,715009.5095526,6549438.50750182
2026-05-13 05:15:00,9.14,9.14,9.13,9.13,611994.24733617,5589296.14394947
2026-05-13 05:45:00,9.14,9.14,9.12,9.12,291480.58522943,2658740.35534486
2026-05-13 06:15:00,9.12,9.14,9.12,9.14,279169.14287887,2549029.38095079
2026-05-13 06:30:00,9.11,9.11,9.11,9.11,28516.76122943,259787.69480011
2026-05-13 07:00:00,9.11,9.11,9.11,9.11,668.89632107,6093.64548495
2026-05-13 07:30:00,9.11,9.13,9.11,9.11,120202.46274875,1095088.24725119
2026-05-13 07:45:00,9.11,9.11,9.11,9.11,379569.95827178,3457882.31985592
2026-05-13 08:00:00,9.11,9.11,9.1,9.1,348283.580575,3170224.8733591
2026-05-13 08:15:00,9.1,9.1,9.1,9.1,12493.186813,113687.9999983
2026-05-13 08:30:00,9.11,9.11,9.09,9.09,131078.51192278,1193673.71289509
2026-05-13 08:45:00,9.09,9.09,9.05,9.06,264178.42498693,2393781.88431373
2026-05-13 09:00:00,9.06,9.09,9.06,9.08,628075.6087638,5703049.93619041
2026-05-13 09:15:00,9.08,9.09,9.08,9.08,134087.92106794,1218252.0053669
2026-05-13 09:30:00,9.12,9.12,9.12,9.12,109124.19911205,995212.6959019
2026-05-13 09:45:00,9.09,9.12,9.09,9.12,3135.66885964,28579.29999992
2026-05-13 10:00:00,9.11,9.15,9.11,9.15,264199.87563195,2412721.29290451
2026-05-13 10:15:00,9.15,9.16,9.15,9.16,221422.52507375,2026889.01299745
2026-05-13 10:30:00,9.16,9.16,9.16,9.16,548653.22227437,5025663.51603323
2026-05-13 10:45:00,9.16,9.16,9.15,9.15,710391.92469781,6507081.92212383
2026-05-13 11:00:00,9.15,9.17,9.13,9.13,572233.81690402,5231781.61846395
2026-05-13 11:15:00,9.15,9.15,9.13,9.15,570429.43412803,5218339.9126055
2026-05-13 11:30:00,9.14,9.14,9.13,9.13,77182.70753399,704710.92613926
2026-05-13 11:45:00,9.15,9.15,9.14,9.14,362852.61165317,3317605.13572651
2026-05-13 12:15:00,9.14,9.15,9.14,9.15,1096356.04856992,10031244.36207415
2026-05-13 12:30:00,9.15,9.15,9.15,9.15,129109.10077343,1181348.27207688
2026-05-13 12:45:00,9.17,9.17,9.15,9.15,311662.56371018,2854264.22023494
2026-05-13 13:00:00,9.16,9.16,9.15,9.15,17584.41739828,160973.26336824
2026-05-13 13:15:00,9.15,9.15,9.15,9.15,94615.40316441,865730.93895435
2026-05-13 13:30:00,9.16,9.18,9.16,9.17,240969.3811163,2207344.95207719
2026-05-13 13:45:00,9.16,9.16,9.14,9.14,133333.38381792,1220320.75405274
2026-05-13 14:00:00,9.14,9.14,9.14,9.14,268431.968538,2453468.19243732
2026-05-13 14:15:00,9.14,9.14,9.1,9.1,45352.14428437,412956.46443063
2026-05-13 14:30:00,9.13,9.13,9.1,9.1,446567.85714284,4063800.46703281
2026-05-13 14:45:00,9.09,9.11,9.08,9.09,471587.53719751,4283820.95748152
2026-05-13 15:00:00,9.11,9.11,9.11,9.11,321671.00891651,2930422.89122941
2026-05-13 15:15:00,9.11,9.11,9.11,9.11,6047.73874862,55094.89999993
2026-05-13 15:30:00,9.09,9.09,9.09,9.09,47479.49484498,431588.60814087
2026-05-13 15:45:00,9.09,9.11,9.08,9.08,341482.26204906,3106315.53379072
2026-05-13 16:00:00,9.08,9.11,9.08,9.11,334402.78331036,3036706.43279557
2026-05-13 16:15:00,9.11,9.11,9.11,9.11,101097.69484083,920999.99999996
2026-05-13 16:30:00,9.09,9.09,9.08,9.09,126507.24887902,1149290.09935875
2026-05-13 16:45:00,9.09,9.09,9.09,9.09,22006.8,200041.812
2026-05-13 17:00:00,9.09,9.09,9.09,9.09,15691.04623601,142631.61028533
2026-05-13 17:15:00,9.09,9.13,9.09,9.13,259252.3741465,2363674.99999994
2026-05-13 17:30:00,9.12,9.14,9.11,9.14,553947.99069996,5061479.34902857
2026-05-13 18:00:00,9.15,9.15,9.15,9.15,5549.94535519,50781.99999999
2026-05-13 18:15:00,9.13,9.16,9.13,9.16,394991.52091196,3612068.33319586
2026-05-13 18:30:00,9.16,9.17,9.16,9.17,3273.34528448,29991.47639362
2026-05-13 18:45:00,9.17,9.17,9.14,9.14,174260.03276099,1593483.10240235
2026-05-13 19:00:00,9.17,9.17,9.14,9.15,224709.15180107,2055815.63246504
2026-05-13 19:15:00,9.13,9.13,9.1,9.1,40593.10877277,370315.08309539
2026-05-13 19:30:00,9.1,9.1,9.1,9.1,218997.7748434,1992879.75107494
2026-05-13 19:45:00,9.09,9.09,9.09,9.09,34865.87609409,316930.81369528
2026-05-13 20:00:00,9.09,9.1,9.08,9.1,1653447.30472575,15033544.22982373
2026-05-13 20:15:00,9.1,9.1,9.07,9.07,18223.95450384,165345.43603983
2026-05-13 20:30:00,9.07,9.07,9.05,9.05,1212850.86192535,10977359.05267359
2026-05-13 20:45:00,9.08,9.08,9.03,9.03,1493277.97814079,13528190.93902256
2026-05-13 21:00:00,9.06,9.07,9.06,9.06,125520.94433536,1137277.07739832
2026-05-13 21:15:00,9.04,9.04,9.01,9.01,183891.67866199,1657863.18239489
2026-05-13 21:30:00,9.01,9.01,8.88,8.92,5059964.52051434,45266120.86247645
2026-05-13 21:45:00,8.92,8.94,8.87,8.87,2024974.75279116,18017508.93562874
2026-05-13 22:00:00,8.87,8.93,8.87,8.92,76689.90198717,680906.28195838
2026-05-13 22:15:00,8.92,8.92,8.89,8.89,394725.79523524,3511835.00752252
2026-05-13 22:30:00,8.89,8.9,8.85,8.87,918831.30115547,8158042.52147236
2026-05-13 22:45:00,8.86,8.86,8.82,8.85,328859.70596342,2905266.05960112
2026-05-13 23:00:00,8.83,8.86,8.79,8.84,1830739.89524441,16164632.71493271
2026-05-13 23:15:00,8.84,8.86,8.83,8.84,2211701.73372197,19537523.85260571
2026-05-13 23:30:00,8.87,8.88,8.84,8.84,185517.80004253,1645789.10544699
2026-05-13 23:45:00,8.84,8.85,8.83,8.83,1067479.21044876,9428739.13708338
2026-05-14 00:00:00,8.84,8.84,8.78,8.81,532162.13460674,4693550.11631144
2026-05-14 00:15:00,8.81,8.81,8.76,8.76,1375103.13289804,12064484.21358554
2026-05-14 00:30:00,8.76,8.76,8.75,8.75,375339.92781898,3284243.03269119
2026-05-14 00:45:00,8.76,8.76,8.7,8.7,5593481.87503427,48850781.83790841
2026-05-14 01:00:00,8.74,8.78,8.74,8.74,1076653.65390465,9410538.44668677
2026-05-14 01:15:00,8.77,8.77,8.77,8.77,163105.09806157,1430431.70999997
2026-05-14 01:30:00,8.81,8.81,8.8,8.81,80169.58059815,706175.5935997
2026-05-14 01:45:00,8.8,8.8,8.77,8.77,23976.97300763,210879.60978964
2026-05-14 02:00:00,8.81,8.81,8.77,8.8,15404.06355958,135518.4607999
2026-05-14 02:15:00,8.8,8.8,8.8,8.8,2.44763636,21.53919997
2026-05-14 02:30:00,8.77,8.79,8.77,8.77,323100.21402996,2833640.30619986
2026-05-14 02:45:00,8.78,8.8,8.78,8.79,23786.83971836,208876.87476075
2026-05-14 03:00:00,8.81,8.81,8.81,8.81,35170.26957576,309850.07496245
2026-05-14 03:15:00,8.81,8.81,8.81,8.81,2442.4283514,21517.79377583
2026-05-14 03:30:00,8.81,8.81,8.81,8.81,375137.27470777,3304959.39017545
2026-05-14 03:45:00,8.81,8.81,8.81,8.81,213475.94393288,1880723.06604867
2026-05-14 04:00:00,8.78,8.78,8.77,8.77,401997.27614432,3525523.09221849
2026-05-14 04:15:00,8.77,8.78,8.77,8.77,806588.08050591,7074346.49245756
2026-05-14 04:30:00,8.76,8.76,8.76,8.76,56987.74000931,499212.60248156
2026-05-14 04:45:00,8.76,8.76,8.74,8.74,122826.42316318,1074475.47885149
2026-05-14 05:00:00,8.78,8.78,8.77,8.77,299952.76404639,2633119.84037959
2026-05-14 05:15:00,8.77,8.79,8.77,8.79,644398.41943239,5661026.73646888
2026-05-14 05:30:00,8.79,8.79,8.79,8.79,5688.28213879,49999.99999996
2026-05-14 06:00:00,8.8,8.8,8.79,8.79,423001.14180419,3719008.39955001
2026-05-14 06:15:00,8.77,8.77,8.73,8.73,90852.77860541,793609.50456329
2026-05-14 06:30:00,8.74,8.76,8.74,8.76,212003.65234647,1853070.13200401
2026-05-14 06:45:00,8.76,8.76,8.76,8.76,546772.26181996,4789725.01354285
2026-05-14 07:00:00,8.75,8.75,8.74,8.74,268271.62696983,2345879.54085917
2026-05-14 07:15:00,8.75,8.75,8.75,8.75,206447.46434122,1806415.31298568
2026-05-14 07:30:00,8.76,8.78,8.75,8.78,473657.18111938,4154584.75959407
2026-05-14 07:45:00,8.8,8.8,8.78,8.78,203681.81818181,1788439.99999993
2026-05-14 08:00:00,8.78,8.8,8.78,8.8,179710.4280278,1578041.40544408
2026-05-14 08:15:00,8.8,8.81,8.8,8.8,572190.13796719,5039914.6091697
2026-05-14 08:30:00,8.8,8.8,8.79,8.79,7769.70209142,68303.39345314
2026-05-14 08:45:00,8.79,8.79,8.78,8.78,5000.0,43918.13598125
2026-05-14 09:00:00,8.78,8.86,8.78,8.81,1839267.83481619,16236323.71337538
2026-05-14 09:15:00,8.85,8.86,8.82,8.86,393689.06819696,3474327.22268499
2026-05-14 09:30:00,8.81,8.86,8.81,8.85,259554.10223631,2287151.9335701
2026-05-14 09:45:00,8.85,8.85,8.82,8.82,61909.1499122,547046.79126503
2026-05-14 10:00:00,8.83,8.83,8.83,8.83,16072.2794487,141918.22753202
2026-05-14 10:15:00,8.83,8.84,8.83,8.84,27452.27419457,242516.70331
2026-05-14 10:30:00,8.84,8.84,8.83,8.83,1021819.81459656,9024603.38665975
2026-05-14 10:45:00,8.82,8.82,8.82,8.82,279038.74448351,2461121.72634456
2026-05-14 11:00:00,8.84,8.84,8.84,8.84,93327.10785658,825011.63345217
2026-05-14 11:15:00,8.85,8.86,8.84,8.84,362523.20176341,3211399.96439742
2026-05-14 11:30:00,8.84,8.84,8.83,8.83,78423.5664615,692727.84683296
2026-05-14 11:45:00,8.83,8.83,8.81,8.81,1516916.40930962,13372578.51969902
2026-05-14 12:00:00,8.81,8.81,8.78,8.78,1738501.1748198,15309682.65047277
2026-05-14 12:15:00,8.78,8.78,8.72,8.73,5611406.19181143,49048382.7144131
2026-05-14 12:30:00,8.77,8.77,8.75,8.75,22030.8363492,193043.47826075
2026-05-14 12:45:00,8.74,8.74,8.72,8.72,442381.7071702,3860367.096169
2026-05-14 13:00:00,8.72,8.74,8.72,8.74,319934.46502227,2792694.85714052
2026-05-14 13:15:00,8.75,8.78,8.74,8.74,58370.6574,510968.92912914
2026-05-14 13:30:00,8.74,8.77,8.74,8.77,48082.26025618,420651.67416295
2026-05-14 14:00:00,8.77,8.77,8.76,8.76,10201.78998906,89433.82739026
2026-05-14 14:15:00,8.76,8.76,8.74,8.74,1406519.08092479,12294246.12350781
2026-05-14 14:30:00,8.74,8.74,8.74,8.74,7234.67408111,63231.0514689
2026-05-14 14:45:00,8.78,8.79,8.76,8.76,172698.65006619,1516085.66503946
2026-05-14 15:00:00,8.76,8.8,8.76,8.79,931763.73655016,8187348.13559599
2026-05-14 15:15:00,8.79,8.79,8.79,8.79,35898.72739964,315549.81384284
2026-05-14 15:30:00,8.78,8.78,8.78,8.78,257659.89442636,2262253.87306344
2026-05-14 15:45:00,8.79,8.79,8.77,8.79,479248.00464909,4212384.69349409
2026-05-14 16:00:00,8.78,8.78,8.77,8.77,171897.52082497,1507546.95888926
2026-05-14 16:15:00,8.78,8.78,8.77,8.77,96875.28259212,849601.92958717
2026-05-14 16:30:00,8.77,8.77,8.77,8.77,1068415.05131128,9369999.99999993
2026-05-14 16:45:00,8.79,8.8,8.77,8.77,281717.0355323,2473132.14020418
2026-05-14 17:00:00,8.77,8.82,8.73,8.82,1797212.66313392,15726723.47224426
2026-05-14 17:15:00,8.76,8.76,8.76,8.76,370345.32800163,3244225.07329428
2026-05-14 17:30:00,8.76,8.77,8.76,8.77,102091.83367563,895195.17649328
2026-05-14 17:45:00,8.78,8.78,8.77,8.77,91313.933,800853.30634
2026-05-14 18:00:00,8.77,8.77,8.76,8.76,50632.01897715,443764.54999053
2026-05-14 18:15:00,8.76,8.76,8.76,8.76,295240.05112345,2586302.84784142
2026-05-14 18:30:00,8.76,8.76,8.74,8.74,644270.82568431,5642827.97472443
2026-05-14 18:45:00,8.73,8.73,8.72,8.72,314096.22098599,2738969.72549837
2026-05-14 19:00:00,8.76,8.76,8.75,8.75,14157.23342305,123887.19496024
2026-05-14 19:30:00,8.76,8.76,8.75,8.75,20847.02609553,182425.75426544
2026-05-14 19:45:00,8.75,8.76,8.75,8.76,317986.07561153,2785552.29498014
2026-05-14 20:00:00,8.76,8.77,8.75,8.77,224076.2430014,1961626.60010618
2026-05-14 20:15:00,8.76,8.76,8.75,8.75,137225.19535722,1200726.17366139
2026-05-14 20:30:00,8.75,8.75,8.72,8.72,2772697.5216102,24233974.67045545
2026-05-14 20:45:00,8.76,8.76,8.73,8.76,20647.78951782,180444.73137681
2026-05-14 21:00:00,8.72,8.77,8.72,8.77,180245.63286613,1579652.57686861
