,open,high,low,close,volume,value
2026-05-08 15:15:00,218.0,219.0,218.0,218.0,11900.22762012,2594414.0047478
2026-05-08 15:30:00,217.0,218.0,215.0,215.0,262175.51754686,56448099.39450946
2026-05-08 15:45:00,217.0,217.0,217.0,217.0,23.04608294,5000.99999798
2026-05-08 16:00:00,215.0,216.0,215.0,216.0,1383.99071341,297581.61449426
2026-05-08 16:15:00,215.0,215.0,215.0,215.0,10127.04982913,2177315.71326295
2026-05-08 16:30:00,215.0,215.0,215.0,215.0,398.02511627,85575.39999805
2026-05-08 16:45:00,214.0,214.0,213.0,213.0,2539.0066254,540999.99999522
2026-05-08 17:00:00,214.0,214.0,213.0,214.0,13375.16780945,2850707.72341285
2026-05-08 17:15:00,213.0,213.0,213.0,213.0,14886.96067801,3170922.62441613
2026-05-08 17:45:00,214.0,214.0,213.0,213.0,9294.15486104,1980061.09002131
2026-05-08 18:00:00,213.0,214.0,213.0,214.0,2212.7177127,473362.95224435
2026-05-08 18:15:00,214.0,217.0,214.0,216.0,48993.80494294,10535352.12200388
2026-05-08 18:30:00,217.0,217.0,216.0,217.0,4492.80846016,974430.60562417
2026-05-08 18:45:00,217.0,218.0,217.0,218.0,32477.2164122,7065282.93802932
2026-05-08 19:00:00,217.0,217.0,217.0,217.0,552.75744616,119948.36581672
2026-05-08 19:15:00,216.0,216.0,216.0,216.0,4722.26295014,1020008.79723024
2026-05-08 19:30:00,216.0,216.0,216.0,216.0,31789.32762321,6866494.76661336
2026-05-08 19:45:00,217.0,218.0,217.0,217.0,44576.7807855,9708017.97924331
2026-05-08 20:00:00,216.0,216.0,216.0,216.0,970.5560064,209640.0973824
2026-05-08 20:30:00,218.0,218.0,217.0,217.0,1561.19674065,339880.05996861
2026-05-08 20:45:00,216.0,216.0,216.0,216.0,3609.83690111,779724.77063976
2026-05-08 21:00:00,217.0,217.0,217.0,217.0,28365.26,6155261.42
2026-05-08 21:15:00,217.0,217.0,215.0,215.0,15130.16407707,3254223.05592656
2026-05-08 21:30:00,215.0,215.0,215.0,215.0,38010.90975508,8172345.5973422
2026-05-08 21:45:00,214.0,214.0,213.0,213.0,21420.11662581,4562919.78992929
2026-05-08 22:00:00,215.0,216.0,215.0,215.0,10368.91285412,2230387.4997469
2026-05-08 22:45:00,217.0,218.0,217.0,218.0,17592.53681346,3818043.509304
2026-05-08 23:00:00,217.0,218.0,217.0,218.0,1631.32855327,354078.18883386
2026-05-08 23:15:00,219.0,219.0,217.0,217.0,1485.8518334,322475.50994824
