,open,high,low,close,volume,value
2026-05-18 07:30:00,55.1,55.1,54.8,55.0,688854.88963711,37822516.38549663
2026-05-18 07:45:00,55.0,55.1,54.9,55.1,770326.26869072,42406535.55711923
2026-05-18 08:00:00,55.1,55.2,54.9,55.0,687249.65985647,37825796.73353839
2026-05-18 08:15:00,55.0,55.3,54.9,55.0,1815850.56540372,100149433.2976479
2026-05-18 08:30:00,55.0,55.1,53.9,54.7,3915215.75618245,213892287.9684326
2026-05-18 08:45:00,54.8,55.3,54.6,54.6,2584829.30489505,141862375.34135088
2026-05-18 09:00:00,54.6,54.6,53.5,53.6,7187873.57320302,387263975.502358
2026-05-18 09:15:00,53.7,54.1,53.6,54.0,1669728.38426097,89832306.22005107
2026-05-18 09:30:00,54.0,54.3,53.8,54.2,1132549.76214998,61207877.75789738
2026-05-18 09:45:00,54.2,54.2,53.7,53.7,2122879.16139837,114484152.63014902
2026-05-18 10:00:00,53.7,54.0,53.6,53.8,2540409.25255164,136498138.60553133
2026-05-18 10:15:00,53.7,53.8,52.8,53.2,4519077.2407541,240694765.74281088
2026-05-18 10:30:00,53.2,53.4,52.8,53.0,1611913.76802322,85540799.70798627
2026-05-18 10:45:00,52.9,53.3,52.8,53.1,2064749.06436804,109480592.30705649
2026-05-18 11:00:00,53.1,53.4,52.9,53.3,2737484.87508998,145117467.27775842
2026-05-18 11:15:00,53.3,53.4,52.9,53.2,2483052.04597071,131748764.20305921
2026-05-18 11:30:00,53.0,53.2,52.9,52.9,1997392.11797032,105872010.9187505
2026-05-18 11:45:00,53.0,53.2,52.6,52.7,2523502.0651659,133090309.88459444
2026-05-18 12:00:00,52.8,53.0,52.5,52.7,957136.88002769,50488353.09558306
2026-05-18 12:15:00,52.7,52.8,52.5,52.7,2449463.70875804,128900642.28421086
2026-05-18 12:30:00,52.7,52.8,52.3,52.6,1291758.36245212,67845545.3331786
2026-05-18 12:45:00,52.6,52.8,52.5,52.5,1256576.1456238,66180983.02262401
2026-05-18 13:00:00,52.5,53.1,52.5,52.9,1049024.27687556,55485895.5556061
2026-05-18 13:15:00,52.9,52.9,52.4,52.5,1261817.1745411,66443514.09569892
2026-05-18 13:30:00,52.6,52.8,52.3,52.6,3117701.73550887,163868419.11297092
2026-05-18 13:45:00,52.6,52.7,52.3,52.7,3075563.26270491,161465954.73847172
2026-05-18 14:00:00,52.7,52.7,52.2,52.6,1760218.87618615,92376055.92981297
2026-05-18 14:15:00,52.6,53.2,52.5,52.6,3118794.03054569,164530527.14750898
2026-05-18 14:30:00,52.6,52.8,52.2,52.3,1427492.78155053,74736270.86809555
2026-05-18 14:45:00,52.3,52.4,52.0,52.0,1961372.9751729,102309533.97054443
2026-05-18 15:00:00,52.0,52.3,51.9,52.3,6177709.55985755,321595512.0245507
2026-05-18 15:15:00,52.3,52.6,51.6,51.7,5151653.48327471,267698726.15825644
2026-05-18 15:30:00,51.7,51.7,51.4,51.4,4383372.81469259,225854098.42885312
2026-05-18 15:45:00,51.6,51.8,51.4,51.5,3358010.61824151,173384215.50292817
2026-05-18 16:00:00,51.5,52.1,51.4,51.5,3238196.70016471,167468948.9237949
2026-05-18 16:15:00,51.5,51.6,51.2,51.2,1993199.32683524,102479520.9742439
2026-05-18 16:30:00,51.2,51.7,51.0,51.2,3269243.50131341,167633810.4328734
2026-05-18 16:45:00,51.2,51.5,50.9,51.1,3619080.74814496,185160442.323479
2026-05-18 17:00:00,51.1,51.8,51.0,51.7,2080244.97807036,106813690.18623608
2026-05-18 17:15:00,51.6,51.8,51.4,51.6,1926722.51243718,99363420.77018303
