,open,high,low,close,volume,value
2026-05-17 21:15:00,110.0,110.0,109.0,109.0,12834.41181348,1408096.79676022
2026-05-17 21:30:00,110.0,110.0,109.0,110.0,1604.57448505,176412.2842646
2026-05-17 21:45:00,109.0,110.0,109.0,109.0,81865.36322864,8943288.89769982
2026-05-17 22:00:00,110.0,110.0,108.0,108.0,975884.64814539,106368345.92694616
2026-05-17 22:15:00,108.0,109.0,108.0,108.0,3448.71998745,373510.43546673
2026-05-17 22:30:00,109.0,109.0,109.0,109.0,20876.21326947,2275507.24637223
2026-05-17 22:45:00,108.0,109.0,108.0,109.0,23273.9663872,2535683.78541254
2026-05-17 23:00:00,109.0,109.0,109.0,109.0,24065.14242877,2623100.52473593
2026-05-17 23:15:00,108.0,109.0,108.0,109.0,1482817.45970485,160144469.13436234
2026-05-17 23:30:00,109.0,109.0,108.0,108.0,8611.43885685,930081.3965398
2026-05-17 23:45:00,109.0,109.0,108.0,108.0,12223.23654395,1329666.49358509
2026-05-18 00:00:00,108.0,108.0,108.0,108.0,572511.50042213,61831242.04559004
2026-05-18 00:15:00,109.0,109.0,109.0,109.0,7250.0,790250.0
2026-05-18 00:30:00,109.0,109.0,109.0,109.0,1233.48623852,134449.99999868
2026-05-18 00:45:00,108.0,109.0,108.0,109.0,7875.08214504,854314.62286209
2026-05-18 01:00:00,108.0,109.0,108.0,108.0,4142.32444985,450169.25159297
2026-05-18 01:15:00,109.0,109.0,109.0,109.0,1259.625,137299.125
2026-05-18 01:45:00,108.0,108.0,108.0,108.0,229099.37404339,24742732.39668612
2026-05-18 02:00:00,108.0,108.0,107.0,108.0,64488.78201584,6942131.7516254
2026-05-18 02:15:00,108.0,108.0,107.0,107.0,822.75925923,88748.07407092
2026-05-18 02:30:00,108.0,108.0,108.0,108.0,34870.14217519,3765975.35492052
2026-05-18 02:45:00,108.0,108.0,108.0,108.0,18946.43391821,2046214.86316668
2026-05-18 03:00:00,108.0,108.0,108.0,108.0,64552.21463341,6971639.18040828
2026-05-18 03:15:00,107.0,107.0,107.0,107.0,4218.05371777,451331.74780139
2026-05-18 03:30:00,108.0,108.0,108.0,108.0,589.75700934,63693.75700872
2026-05-18 03:45:00,108.0,108.0,108.0,108.0,7664.55925925,827772.399999
2026-05-18 04:00:00,107.0,108.0,107.0,108.0,20748.17080364,2240665.78253712
2026-05-18 04:15:00,108.0,108.0,108.0,108.0,24196.49968719,2613221.96621652
2026-05-18 04:30:00,107.0,108.0,107.0,108.0,195626.96421668,21097602.13544453
2026-05-18 04:45:00,109.0,109.0,108.0,108.0,163904.76188093,17705619.04502137
2026-05-18 05:00:00,108.0,108.0,108.0,108.0,35768.54898355,3863003.2902234
2026-05-18 05:15:00,108.0,108.0,107.0,108.0,27648.43103484,2985025.54759258
2026-05-18 05:30:00,108.0,108.0,108.0,108.0,11838.33076053,1278539.72213724
2026-05-18 05:45:00,108.0,108.0,107.0,107.0,19129.59546712,2065824.365599
2026-05-18 06:00:00,108.0,109.0,107.0,108.0,166802.25244399,18014191.65580203
2026-05-18 06:15:00,109.0,109.0,109.0,109.0,1008.37440485,109912.81012865
2026-05-18 06:30:00,108.0,109.0,108.0,109.0,146338.84957867,15910456.99360614
2026-05-18 06:45:00,109.0,109.0,108.0,108.0,38675.78235297,4204923.02164368
2026-05-18 07:00:00,108.0,109.0,108.0,109.0,298079.59053924,32194068.3968426
2026-05-18 07:15:00,108.0,108.0,107.0,107.0,1283204.33850456,138572812.3356652
2026-05-18 07:30:00,108.0,108.0,107.0,107.0,78815.58431774,8484375.85816141
2026-05-18 07:45:00,108.0,108.0,107.0,107.0,198070.46752534,21289220.46277037
2026-05-18 08:00:00,107.0,108.0,107.0,107.0,22126.21707373,2367840.75098975
2026-05-18 08:15:00,107.0,108.0,106.0,107.0,1594222.23311248,170556406.2715853
2026-05-18 08:30:00,107.0,107.0,103.0,104.0,5125245.18094135,538717786.1961588
2026-05-18 08:45:00,105.0,106.0,104.0,106.0,1679835.53822591,176765709.33241472
