,open,high,low,close,volume,value
2026-05-18 05:30:00,92.8,92.9,92.6,92.8,174977.76548156,16206481.43165697
2026-05-18 05:45:00,92.8,93.0,92.8,93.0,4254.24900027,395461.51264583
2026-05-18 06:00:00,92.9,92.9,92.8,92.8,11724.30344864,1089067.80794331
2026-05-18 06:15:00,92.8,93.2,92.8,93.0,126387.01941798,11742606.46252868
2026-05-18 06:30:00,93.0,93.2,93.0,93.2,39276.52777839,3658504.80238976
2026-05-18 06:45:00,93.2,93.2,92.8,93.1,111642.64446485,10384607.60946976
2026-05-18 07:00:00,93.1,93.1,92.5,92.5,319713.40234386,29619458.36411049
2026-05-18 07:15:00,92.5,92.7,92.4,92.4,154826.4112691,14315976.40357288
2026-05-18 07:30:00,92.4,92.6,92.3,92.6,64114.63846204,5919295.44436506
2026-05-18 07:45:00,92.5,92.5,92.0,92.2,228801.72493286,21108468.90399889
2026-05-18 08:00:00,92.4,92.4,92.0,92.0,143436.96864493,13228304.56924721
2026-05-18 08:15:00,92.1,92.1,91.8,91.9,511345.43496378,47017592.29105063
2026-05-18 08:30:00,91.8,91.9,89.7,90.4,3139982.57575268,284274069.1971865
2026-05-18 08:45:00,90.6,91.6,90.4,91.4,956817.60959075,87023904.59028383
2026-05-18 09:00:00,91.3,91.3,90.2,90.5,1731498.4951838,156616667.50046661
2026-05-18 09:15:00,90.5,90.8,90.3,90.3,645348.02433617,58451616.02902348
2026-05-18 09:30:00,90.3,90.5,90.0,90.5,654309.54279315,59043738.45891908
2026-05-18 09:45:00,90.3,90.8,90.2,90.8,889748.12800033,80379939.16296712
2026-05-18 10:00:00,90.8,91.1,90.8,90.9,602219.60765053,54764730.51142694
2026-05-18 10:15:00,90.8,90.8,90.5,90.6,364693.2100582,33054630.14587834
2026-05-18 10:30:00,90.6,90.6,90.5,90.6,1157792.04668657,104847120.13508932
2026-05-18 10:45:00,90.5,90.8,90.3,90.8,606012.88413227,54829511.31815557
2026-05-18 11:00:00,90.8,91.4,90.6,91.4,304284.67171401,27708903.81372741
2026-05-18 11:15:00,91.4,91.5,91.0,91.0,146930.58907547,13400712.11605558
2026-05-18 11:30:00,91.3,91.3,90.9,90.9,208776.87691097,18989886.29649891
2026-05-18 11:45:00,90.9,91.0,90.8,90.9,106250.10620391,9662572.2541351
2026-05-18 12:00:00,91.1,91.4,91.0,91.0,146986.52057096,13412061.68208451
2026-05-18 12:15:00,91.1,91.1,90.8,91.0,23979.29614132,2179383.9513993
2026-05-18 12:30:00,90.9,90.9,90.4,90.5,446336.38071323,40409996.75732566
2026-05-18 12:45:00,90.6,90.6,90.4,90.5,130607.48761604,11829945.70712556
2026-05-18 13:00:00,90.5,90.6,90.4,90.5,139277.59870413,12604443.5265718
2026-05-18 13:15:00,90.6,90.6,90.1,90.4,162447.29214629,14657836.08662139
2026-05-18 13:30:00,90.5,90.7,90.2,90.7,411205.03212218,37128421.155429
2026-05-18 13:45:00,90.6,90.8,90.4,90.6,295525.08244958,26763153.03757878
2026-05-18 14:00:00,90.6,90.6,90.4,90.5,259140.29459136,23453290.48598837
2026-05-18 14:15:00,90.6,90.6,90.2,90.5,203974.58277907,18443118.00844417
2026-05-18 14:30:00,90.5,90.6,90.0,90.1,354849.20622256,32043884.03865117
2026-05-18 14:45:00,90.1,90.2,90.0,90.0,144557.15764202,13023791.64975735
2026-05-18 15:00:00,90.0,90.2,89.4,89.8,989827.55165671,88886612.31986433
2026-05-18 15:15:00,89.8,89.8,89.3,89.6,225201.07098241,20157529.5116968
2026-05-18 15:30:00,89.6,89.7,89.4,89.5,545266.90453835,48827636.87671018
2026-05-18 15:45:00,89.6,89.7,89.3,89.6,291887.1666585,26148115.29062883
2026-05-18 16:00:00,89.7,89.8,89.4,89.4,141875.30262772,12720971.74024282
2026-05-18 16:15:00,89.3,89.9,89.1,89.6,235430.9547841,21011368.4690811
2026-05-18 16:30:00,89.6,89.6,89.4,89.4,258412.48419028,23128238.80274608
2026-05-18 16:45:00,89.4,89.7,89.4,89.5,262356.48799287,23498686.36837795
2026-05-18 17:00:00,89.6,90.2,89.6,90.0,230550.63291435,20745827.75789116
2026-05-18 17:15:00,90.0,90.0,89.8,89.9,11557.85742475,1038560.32269966
2026-05-18 17:30:00,89.8,89.9,89.5,89.5,104907.10536893,9411856.57977496
2026-05-18 17:45:00,89.5,89.7,89.5,89.6,149157.96374312,13365416.91863581
2026-05-18 18:00:00,89.7,89.7,89.2,89.3,601032.50678377,53810400.54014739
2026-05-18 18:15:00,89.4,89.4,89.2,89.2,232810.16223667,20794673.78606068
2026-05-18 18:30:00,89.2,89.5,89.2,89.4,92626.83708096,8263783.32948583
2026-05-18 18:45:00,89.4,89.5,89.2,89.3,354943.48978098,31669476.77719081
2026-05-18 19:00:00,89.3,89.3,88.9,89.1,627458.10489663,55839628.55330749
2026-05-18 19:15:00,89.1,89.1,88.8,88.9,248037.09085781,22051900.21658278
2026-05-18 19:30:00,88.9,89.0,88.8,88.8,85261.71015098,7583654.44970813
2026-05-18 19:45:00,88.8,89.1,88.8,89.0,84337.11159568,7504714.22940806
2026-05-18 20:00:00,88.9,88.9,88.6,88.7,348785.60345882,30970157.58009649
2026-05-18 20:15:00,88.7,89.0,88.6,88.9,139831.75964758,12415081.85932773
2026-05-18 20:30:00,88.9,90.0,88.8,89.9,326012.4392859,29230168.83957933
2026-05-18 20:45:00,89.8,89.9,89.4,89.6,1077079.96123548,96556934.05197409
2026-05-18 21:00:00,89.8,90.2,89.8,90.1,229741.91005126,20686061.53582304
2026-05-18 21:15:00,90.1,90.4,90.0,90.2,210107.82391914,18966543.74168995
2026-05-18 21:30:00,90.2,90.7,90.1,90.6,227042.02428764,20517378.59407799
2026-05-18 21:45:00,90.7,90.8,90.3,90.4,120309.81576057,10905409.75129452
2026-05-18 22:00:00,90.3,90.4,90.1,90.4,176414.81064281,15911780.18571856
2026-05-18 22:15:00,90.3,90.3,90.0,90.1,410870.44656577,37054626.65742828
2026-05-18 22:30:00,90.0,90.1,89.5,89.8,442827.03406875,39774144.96994531
2026-05-18 22:45:00,89.7,90.3,89.7,90.3,101166.82843,9111965.23059507
2026-05-18 23:00:00,90.0,90.2,89.8,89.8,102191.07541497,9197992.12525847
2026-05-18 23:15:00,89.8,89.9,89.4,89.6,120187.33629132,10767596.48125665
2026-05-18 23:30:00,89.4,89.5,89.2,89.3,331904.68489558,29637186.1521758
2026-05-18 23:45:00,89.3,89.3,88.7,88.8,620472.26972956,55157157.73590343
2026-05-19 00:00:00,88.8,89.2,88.5,89.1,446066.25756928,39524274.48746228
2026-05-19 00:15:00,88.9,88.9,88.4,88.5,219737.60140357,19469053.32004932
2026-05-19 00:30:00,88.7,89.2,88.5,89.0,130687.04169814,11613127.45275954
2026-05-19 00:45:00,89.0,89.4,89.0,89.2,200660.41870235,17881456.6975359
2026-05-19 01:00:00,89.1,89.5,88.8,89.3,196704.75119786,17527509.9428788
2026-05-19 01:15:00,89.5,89.5,89.3,89.3,14696.18151444,1314327.52034767
2026-05-19 01:30:00,89.6,89.6,89.4,89.4,15530.84770436,1388563.95431066
2026-05-19 01:45:00,89.5,89.5,89.5,89.5,5884.54928891,526667.16135745
2026-05-19 02:00:00,89.4,89.6,89.4,89.5,33313.67898071,2982148.29533083
2026-05-19 02:15:00,89.7,89.9,89.7,89.9,136675.75013569,12272482.89904089
2026-05-19 02:30:00,89.9,90.0,89.9,90.0,112873.179343,10157876.278
2026-05-19 02:45:00,89.9,90.0,89.8,89.8,54775.3476579,4929405.10614933
2026-05-19 03:00:00,89.4,89.4,89.4,89.4,341297.53914987,30511999.99999838
